Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Savkina,Victoria Savkina,-471585,Ladomir,Ladomir,https://cdn5.wyscout.com/photos/team/public/g39856_120x120.png,Premier League Women,"LCB, DMF, RCB",LCB,52,DMF,14,RCB,13,17.0,2008-06-20,0,,26,2464,3,3.25,2,0.64,12.75,59.31,Ukraine,['Ukraine'],unknown,0,0,False,8.77,4.86,76.69,1.79,63.27,0.07,0.09,0.47000000000000003,4.97,5.8,0.22,1,0.04,0,0.0,1.28,0.11,3,0.11,0.12,1,0.04,25,0.91,48.0,12.0,0.07,0.62,0.0,0.22,0.0,0.37,0.0,0.07,0.99,85.19,4.71,46.51,1.17,1.06,0.04,22.65,0.29,0.66,42.0,78.17,19.83,68.51,3.54,93.81,34.04,86.91,7.38,44.06,19.15,33.22,0.02,0.29,0.0,0.0,0.0,0.0,0.18,5.19,53.52,0.6900000000000001,21.05,0.58,18.75,0.29,0.0,8.4,54.78,88.12,12.6,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.79,0.26,0.0,0.0,0.04,0,0.0
M. Nevar,Myroslava Nevar,-214148,Ladomir,Ladomir,https://cdn5.wyscout.com/photos/team/public/g39856_120x120.png,Premier League Women,"DMF, RCMF, LCMF",DMF,36,RCMF,25,LCMF,17,21.0,2005-01-08,0,,26,2464,8,4.54,2,2.99,20.27,55.86,Ukraine,['Ukraine'],,0,0,False,12.24,9.35,71.88,1.46,27.5,0.18,0.21,0.18,5.33,6.23,0.9500000000000001,2,0.07,0,0.0,3.1,0.29,8,0.29,0.17,0,0.0,55,2.01,36.36,14.545,0.07,1.6099999999999999,38.64,0.77,23.81,0.84,52.17,0.15,2.85,60.26,7.52,44.17,1.17,2.05,0.22,23.67,0.8,0.37,44.42,65.46,18.88,47.58,7.16,92.35,34.22,74.17,8.66,35.86,18.69,32.22,0.11,1.02,0.0,0.04,0.15,25.0,0.29,8.4,43.48,2.52,28.99,1.35,29.73,0.47000000000000003,0.51,8.4,51.3,76.85,10.88,0,,0,,0,0.0,0.0,0.0,,,0.33,,1.46,0.77,0.22,33.33,1.83,0,0.0
D. Korotchuk,Dana Korotchuk,-251553,Ladomir,Ladomir,https://cdn5.wyscout.com/photos/team/public/g39856_120x120.png,Premier League Women,"RB, LW",RB,59,LW,17,,0,20.0,2005-12-23,0,,26,2385,3,1.04,0,1.0,13.25,54.13,Ukraine,['Ukraine'],,0,0,False,10.08,6.94,61.41,0.45,25.0,0.11,0.13,0.15,5.7,6.71,0.23,1,0.04,0,0.0,1.4,0.11,3,0.11,0.04,0,0.0,27,1.02,40.74,11.111,0.0,1.21,28.13,0.26,0.0,0.9400000000000001,36.0,0.15,0.9400000000000001,68.0,4.49,47.9,0.49,0.79,0.11,20.42,1.02,1.09,34.6,73.06,18.34,66.46,4.79,95.28,27.81,82.36,5.7,36.42,17.95,30.83,0.04,0.38,0.0,0.04,0.04,0.0,0.0,5.62,60.4,1.25,36.36,0.5700000000000001,33.33,0.26,0.42,8.45,58.93,74.1,6.26,0,,0,,0,0.0,0.0,0.0,,,0.34,,0.45,0.9400000000000001,0.15,50.0,0.34,0,0.0
S. Kohut,Svitlana Kohut,-214169,Kolos Kovalivka,Kolos Kovalivka,https://cdn5.wyscout.com/photos/team/public/g-14219_120x120.png,Premier League Women,"RCMF, LCMF, RDMF",RCMF,38,LCMF,17,RDMF,15,28.0,1997-06-01,0,,25,2369,7,3.75,4,4.02,22.64,46.48,Ukraine,['Ukraine'],,0,0,False,8.17,7.14,63.3,1.67,50.0,0.38,0.55,0.08,3.27,4.73,1.44,3,0.11,0,0.0,3.34,0.27,7,0.27,0.14,0,0.0,47,1.79,42.55,14.894,0.15,1.71,42.22,1.1,51.72,0.61,25.0,0.23,2.77,58.9,11.28,37.04,1.71,1.67,0.23,27.77,0.84,1.4100000000000001,44.6,74.28,14.32,59.15,7.37,92.78,38.26,79.25,4.71,45.16,19.26,33.75,0.15,1.1400000000000001,0.11,0.04,0.68,33.33,0.46,7.9,60.58,3.15,42.17,1.25,30.3,1.06,0.61,7.07,68.82,81.67,16.37,0,,0,,0,0.0,0.0,0.0,,,0.49,,1.67,0.87,0.19,60.0,2.2,0,0.0
M. Ignatenko,Maria Ignatenko,-374841,Ladomir,Ladomir,https://cdn5.wyscout.com/photos/team/public/g39856_120x120.png,Premier League Women,"LB, LW",LB,67,LW,10,,0,19.0,2007-04-07,0,,25,2368,3,3.03,0,0.47000000000000003,17.14,53.44,Ukraine,['Ukraine'],unknown,0,0,False,12.24,7.37,68.04,1.9,64.0,0.42,0.48,0.34,6.8,7.84,0.5700000000000001,6,0.23,0,0.0,1.4100000000000001,0.11,1,0.04,0.12,0,0.0,15,0.5700000000000001,40.0,20.0,0.0,1.03,18.52,0.9500000000000001,20.0,0.08,0.0,0.08,2.09,47.27,6.5,35.09,0.30000000000000004,1.56,0.27,24.4,1.18,0.9500000000000001,42.87,69.68,20.79,56.49,5.59,93.2,34.43,78.37,7.49,36.55,19.22,31.72,0.02,0.27,0.04,0.0,0.0,0.0,0.11,5.63,42.57,1.79,27.66,0.53,14.29,0.30000000000000004,0.19,10.07,46.04,78.11,11.29,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,1.9,0.04,0.04,0.0,0.0,3,66.667
I. Rybalkina,Iryna Rybalkina,385531,Pantery,Pantery,https://cdn5.wyscout.com/photos/team/public/g36081_120x120.png,Premier League Women,"RCB, LCB, RCMF",RCB,47,LCB,20,RCMF,11,27.0,1999-04-24,0,,25,2365,0,0.98,1,1.33,14.16,58.33,Ukraine,['Ukraine'],,0,0,False,11.53,6.24,65.85,2.93,59.74,0.53,0.66,0.84,6.89,8.5,0.46,2,0.08,0,0.0,0.53,0.0,0,0.0,0.04,0,0.0,21,0.8,23.81,0.0,0.04,0.15,25.0,0.04,0.0,0.11,33.33,0.0,0.53,57.14,3.01,40.51,0.27,0.15,0.0,12.37,0.11,1.33,28.77,60.71,14.92,44.13,2.25,84.75,19.37,73.67,9.25,34.16,21.79,34.0,0.05,0.23,0.04,0.0,0.0,0.0,0.11,4.3,42.48,0.8,23.81,0.5700000000000001,33.33,0.15,0.08,8.45,37.39,81.74,8.33,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.93,1.52,0.38,40.0,0.0,0,0.0
A. Stakhnyuk,Anastasiia Stakhnyuk,-422632,Kryvbas,Kryvbas,https://cdn5.wyscout.com/photos/team/public/g-14220_120x120.png,Premier League Women,"RCMF, AMF, LCMF",RCMF,31,AMF,22,LCMF,19,19.0,2006-06-05,0,,24,2337,8,6.1,1,2.79,20.53,48.78,Ukraine,['Ukraine'],unknown,0,0,False,9.7,6.97,64.09,3.66,48.42,0.39,0.49,0.23,4.85,6.18,1.08,2,0.08,0,0.0,1.3900000000000001,0.31,5,0.19,0.23,0,0.0,44,1.69,43.18,18.182,0.04,0.46,8.33,0.08,0.0,0.31,12.5,0.12,1.19,51.61,6.28,33.13,0.96,0.46,0.04,14.09,1.04,0.92,31.04,62.03,13.63,48.31,4.62,88.33,25.61,68.87,4.97,31.78,16.7,31.5,0.11,0.73,0.04,0.0,0.04,0.0,0.04,5.47,41.55,1.08,14.29,0.46,16.67,0.27,0.04,6.28,49.69,64.2,6.78,0,,0,,0,0.0,0.0,0.0,,,0.46,,3.66,1.85,0.58,40.0,2.12,4,75.0
N. Churikova,Natalia Churikova,385517,SeaSters,SeaSters,https://cdn5.wyscout.com/photos/team/public/g-21885_120x120.png,Premier League Women,"RCB, RCB3, RB",RCB,41,RCB3,30,RB,24,27.0,1998-06-24,0,,25,2337,2,1.73,0,0.08,13.75,57.42,Ukraine,['Ukraine'],,0,0,False,8.7,6.39,75.9,1.62,50.0,0.04,0.06,0.0,3.81,5.65,0.81,3,0.12,0,0.0,0.77,0.08,2,0.08,0.07,1,0.04,15,0.58,33.33,13.333,0.0,0.81,33.33,0.0,0.0,0.77,35.0,0.04,0.54,57.14,4.04,32.38,1.08,0.6900000000000001,0.0,25.61,0.27,0.5,42.36,73.45,20.72,62.27,2.54,89.39,33.97,81.75,7.63,40.4,20.05,33.07,0.0,0.04,0.0,0.0,0.0,0.0,0.0,6.89,53.07,1.16,46.67,0.46,33.33,0.31,0.35000000000000003,10.4,59.63,87.31,15.48,0,,0,,0,0.0,0.0,0.0,,,1.23,,1.62,0.0,0.0,0.0,0.0,0,0.0
N. Pantsulaya,Natya Pantsulaya,-653960,SeaSters,SeaSters,https://cdn5.wyscout.com/photos/team/public/g-21885_120x120.png,Premier League Women,"RW, RCMF, LCMF",RW,29,RCMF,26,LCMF,18,34.0,1991-12-28,0,,25,2328,5,2.85,3,2.2800000000000002,17.28,49.44,Ukraine,['Ukraine'],unknown,0,0,False,8.2,5.64,67.12,3.05,43.04,0.27,0.4,0.15,4.14,6.15,1.78,3,0.12,0,0.0,2.01,0.19,5,0.19,0.11,2,0.08,36,1.3900000000000001,27.78,13.889,0.12,2.09,27.78,0.58,13.33,1.51,33.33,0.43,1.6600000000000001,58.14,6.19,38.13,1.8599999999999999,1.24,0.08,17.98,1.6600000000000001,1.12,33.29,65.74,14.23,57.07,4.48,95.69,27.02,72.82,4.21,39.45,17.64,31.52,0.09,0.81,0.08,0.0,0.15,50.0,0.5,7.38,47.64,3.79,35.71,0.89,21.74,1.08,0.73,6.77,73.14,62.5,8.66,0,,0,,0,0.0,0.0,0.0,,,0.08,,3.05,0.19,0.04,0.0,0.0,0,0.0
K. Roshka,Kristina Roshka,-214145,Pantery,Pantery,https://cdn5.wyscout.com/photos/team/public/g36081_120x120.png,Premier League Women,LB,LB,87,,0,,0,21.0,2004-10-14,0,,24,2280,1,0.68,1,0.76,21.99,54.94,Ukraine,['Ukraine'],,0,0,False,14.76,12.59,63.95,2.25,57.89,0.55,0.6900000000000001,0.36,6.16,7.65,1.74,4,0.16,0,0.0,1.38,0.04,1,0.04,0.03,1,0.04,8,0.32,37.5,12.5,0.04,1.42,22.22,1.26,25.0,0.16,0.0,0.28,1.78,53.33,4.74,37.5,0.55,0.8300000000000001,0.04,13.26,0.32,0.36,25.38,59.25,15.24,53.63,1.8599999999999999,85.11,19.74,67.6,4.22,32.71,18.48,30.25,0.03,0.43,0.0,0.04,0.0,0.0,0.04,3.91,49.49,1.54,20.51,0.16,50.0,0.08,0.36,7.5,44.74,68.07,4.7,0,,0,,0,0.0,0.0,0.0,,,0.04,,2.25,0.04,0.0,0.0,0.91,0,0.0
