Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Agkatsev,Stanislav Agkatsev,-92435,Krasnodar,Krasnodar,https://cdn5.wyscout.com/photos/team/public/1741_120x120.png,Premier League,GK,GK,100,,0,,0,24,2002-01-09,0,2029-06-30,5,495,0,0.0,0,0.0,0.0,0.0,Russia,['Russia'],right,189,82,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,10.18,0.0,0.0,17.27,81.05,10.0,67.27,0.18,100.0,9.64,98.11,7.64,59.52,35.26,51.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,40.0,0.18,0.0,0.0,0.0,0.0,0.0,5.64,70.97,100.0,6.73,4,0.73,10,1.82,2,60.0,3.44,0.62,-0.56,-0.10200000000000001,0.0,1.82,0.0,,,,0.0,0,0
Vítor Tormena,Vítor Tormena de Farias,433196,Krasnodar,Krasnodar,https://cdn5.wyscout.com/photos/team/public/1741_120x120.png,Premier League,RCB,RCB,100,,0,,0,30,1996-01-04,0,2029-06-30,5,495,0,0.04,0,0.0,10.36,71.93,Brazil,['Brazil'],right,192,84,False,6.55,3.27,61.11,5.64,74.19,0.0,0.0,0.73,4.55,7.73,0.18,0,0.0,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,2,0.36,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.36,0.0,0.18,0.0,0.0,0.36,100.0,0.55,0.36,0.0,30.91,1.09,0.73,45.64,82.07,19.27,68.87,2.18,100.0,38.91,89.25,6.36,42.86,22.81,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,57.5,1.09,50.0,0.0,0.0,0.55,0.18,8.18,55.56,95.61,20.73,0,,0,,0,0.0,0.0,0.0,,,1.82,,5.64,0.0,0.0,0.0,0.0,0,0
K. Cake,Klisman Cake,472765,Akhmat Grozny,Akhmat Grozny,https://cdn5.wyscout.com/photos/team/public/1017_120x120.png,Premier League,"LCB3, LCB",LCB3,54,LCB,45,,0,27,1999-05-02,0,2029-06-30,5,494,0,0.0,0,0.0,6.19,58.82,Albania,['Albania'],right,185,80,False,9.11,3.83,61.9,1.46,37.5,0.18,0.23,0.73,6.5600000000000005,8.37,0.18,0,0.0,0,0.0,0.18,0.0,0,0.0,0.0,0,0.0,1,0.18,0.0,0.0,0.0,0.36,0.0,0.18,0.0,0.18,0.0,0.0,0.18,100.0,0.73,75.0,0.18,0.36,0.0,24.96,0.36,0.18,38.81,83.1,15.67,72.09,1.82,100.0,34.43,89.95,4.01,31.82,21.0,37.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,68.42,0.18,0.0,0.0,0.0,0.0,0.0,5.65,54.84,94.51,16.58,0,,0,,0,0.0,0.0,0.0,,,1.09,,1.46,0.0,0.0,0.0,0.0,0,0
S. Varatynov,Sergey Varatynov,-153473,Baltika,Baltika,https://cdn5.wyscout.com/photos/team/public/1653_120x120.png,Premier League,RCB3,RCB3,100,,0,,0,23,2003-06-27,800000,2027-06-30,5,494,1,0.53,1,0.17,6.38,51.43,Russia,['Russia'],right,187,79,False,7.83,2.55,57.14,3.46,52.63,0.18,0.21,0.36,6.19,7.29,0.55,0,0.0,0,0.0,1.09,0.18,1,0.18,0.1,1,0.18,4,0.73,75.0,25.0,0.18,0.73,75.0,0.0,0.0,0.73,75.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.18,18.04,0.91,0.0,29.7,69.33,15.12,55.42,1.09,100.0,20.59,80.53,8.74,43.75,24.62,41.37,0.03,0.18,0.0,0.0,0.0,0.0,0.18,6.5600000000000005,52.78,0.91,20.0,0.18,100.0,0.18,0.0,6.19,67.65,83.64,10.02,0,,0,,0,0.0,0.0,0.0,,,0.18,,3.46,0.0,0.0,0.0,0.0,0,0
E. Anderson,Eduardo Antonio Anderson Gómez,-101268,Baltika,Baltika,https://cdn5.wyscout.com/photos/team/public/1653_120x120.png,Premier League,"CB, LCB3",CB,80,LCB3,19,,0,25,2001-01-31,275000,2030-06-30,5,494,0,0.96,0,0.25,11.11,65.57,Panama,['Panama'],right,191,70,False,11.66,4.55,84.0,4.55,56.0,0.0,0.0,0.36,7.83,9.21,0.55,2,0.36,0,0.0,0.36,0.0,0,0.0,0.18,0,0.0,3,0.55,33.33,0.0,0.0,0.36,50.0,0.18,0.0,0.18,100.0,0.0,0.0,0.0,0.55,66.67,1.28,0.0,0.18,13.66,0.18,0.73,29.33,81.99,13.85,72.37,1.46,100.0,21.13,85.34,8.02,75.0,26.12,42.19,0.04,0.18,0.0,0.0,0.0,0.0,0.18,5.47,76.67,0.55,66.67,0.0,0.0,0.55,0.0,8.74,79.17,92.54,12.21,0,,0,,0,0.0,0.0,0.0,,,1.28,,4.55,0.0,0.0,0.0,0.0,0,0
M. Beveev,Mingiyan Beveev,411309,Baltika,Baltika,https://cdn5.wyscout.com/photos/team/public/1653_120x120.png,Premier League,"RB5, LWB, RWB",RB5,42,LWB,19,RWB,19,30,1995-11-30,600000,2028-06-10,5,494,0,0.14,0,0.25,14.94,50.0,Russia,['Russia'],right,182,74,False,9.47,7.47,51.22,3.46,52.63,0.18,0.21,0.0,5.47,6.43,1.82,1,0.18,0,0.0,2.0,0.0,0,0.0,0.03,0,0.0,4,0.73,0.0,0.0,0.0,3.2800000000000002,33.33,1.82,40.0,1.46,25.0,0.36,1.6400000000000001,55.56,3.1,35.29,1.28,0.55,0.0,18.95,1.82,0.55,28.42,61.54,13.12,48.61,4.37,95.83,19.68,68.52,5.65,54.84,22.19,44.04,0.05,0.55,0.18,0.18,0.0,0.0,0.18,6.01,57.58,3.46,36.84,0.0,0.0,0.55,1.46,8.02,63.64,66.67,7.65,0,,0,,0,0.0,0.0,0.0,,,0.18,,3.46,0.36,0.0,0.0,0.0,0,0
E. Bolotov,Evgeniy Bolotov,-91418,Orenburg,Orenburg,https://cdn5.wyscout.com/photos/team/public/3621_120x120.png,Premier League,"LDMF, LCMF, RDMF",LDMF,37,LCMF,36,RDMF,14,25,2001-06-04,300000,2028-06-30,5,494,0,1.3599999999999999,0,0.0,10.57,51.72,Russia,['Russia'],right,182,78,False,8.02,5.28,48.28,2.0,63.64,0.18,0.25,0.91,5.28,7.19,1.28,2,0.36,0,0.0,0.73,0.0,0,0.0,0.25,0,0.0,7,1.28,14.29,0.0,0.0,0.73,25.0,0.55,33.33,0.18,0.0,0.0,0.55,66.67,2.19,50.0,1.6400000000000001,0.36,0.0,18.77,0.0,0.36,32.98,65.75,17.67,55.67,3.46,84.21,24.78,70.59,7.47,53.66,19.47,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74,64.58,2.91,37.5,0.18,0.0,0.36,0.18,7.83,67.44,85.37,7.47,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.0,0.0,0.0,0.0,0.0,0,0
M. Sivis,Maxime Sivis,434179,Orenburg,Orenburg,https://cdn5.wyscout.com/photos/team/public/3621_120x120.png,Premier League,"RB, RWB",RB,81,RWB,18,,0,28,1998-04-01,900000,2028-06-30,5,494,0,0.07,1,0.58,10.75,54.24,France,"['France', 'Congo DR']",right,180,73,False,6.38,2.55,57.14,3.83,42.86,0.18,0.25,0.55,4.74,6.45,0.55,0,0.0,0,0.0,0.91,0.0,0,0.0,0.01,0,0.0,1,0.18,0.0,0.0,0.18,1.6400000000000001,33.33,0.0,0.0,1.6400000000000001,33.33,0.55,1.09,33.33,2.73,46.67,0.36,0.55,0.36,13.48,1.6400000000000001,1.09,25.32,66.19,11.84,60.0,2.55,78.57,20.4,73.21,3.2800000000000002,38.89,18.44,35.15,0.11,0.36,0.0,0.0,0.0,0.0,0.55,4.74,61.54,2.0,36.36,0.0,0.0,0.36,0.55,7.47,65.85,68.42,6.92,0,,0,,0,0.0,0.0,0.0,,,0.55,,3.83,0.0,0.0,0.0,0.0,0,0
V. Melekhin,Viktor Melekhin,-245870,Rostov,Rostov,https://cdn5.wyscout.com/photos/team/public/1578_120x120.png,Premier League,"RCB3, RB",RCB3,51,RB,48,,0,22,2003-12-16,3200000,2027-06-30,5,493,1,0.12,0,0.07,14.24,56.41,Russia,['Russia'],right,180,70,False,9.49,6.94,63.16,4.5600000000000005,60.0,0.0,0.0,0.55,5.11,7.57,1.46,2,0.37,0,0.0,0.73,0.18,1,0.18,0.02,0,0.0,4,0.73,50.0,25.0,0.0,1.6400000000000001,22.22,0.0,0.0,1.6400000000000001,22.22,0.0,0.0,0.0,0.73,0.0,1.28,1.46,0.18,30.12,0.91,0.18,45.64,73.2,21.36,64.96,2.19,83.33,32.31,84.75,11.68,48.44,23.41,40.73,0.01,0.18,0.0,0.37,0.0,0.0,0.0,11.14,55.74,2.92,31.25,0.0,0.0,1.1,0.55,12.96,67.61,77.32,17.71,0,,0,,0,0.0,0.0,0.0,,,0.37,,4.5600000000000005,0.0,0.0,0.0,0.0,0,0
R. Yatimov,Rustam Yatimov,-115919,Rostov,Rostov,https://cdn5.wyscout.com/photos/team/public/1578_120x120.png,Premier League,GK,GK,100,,0,,0,28,1998-07-13,1200000,2029-06-30,5,493,0,0.0,0,0.0,0.0,0.0,Russia,"['Russia', 'Tajikistan']",right,194,81,False,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.03,0.18,0.0,13.69,81.33,8.4,71.74,0.0,0.0,6.75,97.3,6.94,65.79,38.12,53.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,60.0,0.18,100.0,0.0,0.0,0.0,0.0,5.66,77.42,96.3,4.93,9,1.6400000000000001,15,2.74,1,40.0,4.8,0.88,-4.2,-0.767,0.0,1.6400000000000001,0.0,,,,0.0,0,0
