Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Taipov,Kassymzhan Taipov,214337,Shakhtyor Karagandy,Shakhtyor Karagandy,https://cdn5.wyscout.com/photos/team/public/1362_120x120.png,1. Division,"CB, LCB",CB,81,LCB,12,,0,31.0,1995-02-19,0,2026-12-31,17,1595,1,2.2,1,0.8,15.74,63.44,Kazakhstan,['Kazakhstan'],right,180,72,False,7.67,4.85,73.26,7.5,63.91,0.28,0.41000000000000003,0.51,3.84,5.54,1.02,3,0.17,0,0.0,0.45,0.06,1,0.06,0.12,0,0.0,15,0.85,33.33,6.667,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,60.0,1.4100000000000001,44.0,1.02,0.11,0.0,25.79,0.0,1.02,42.15,86.08,16.59,71.09,1.24,100.0,35.21,92.79,6.94,52.03,25.02,42.54,0.05,0.17,0.0,0.0,0.0,0.0,0.17,6.09,54.63,0.9,25.0,0.68,33.33,0.39,0.0,8.63,77.12,96.27,22.68,0,,0,,0,0.0,0.0,0.0,,,1.02,,7.5,0.0,0.0,0.0,0.0,0,0.0
D. Tashpulatov,Daniyar Tashpulatov,-437206,Kairat,Kairat Res.,https://cdn5.wyscout.com/photos/team/public/g1358_120x120.png,Premier League,LB,LB,85,,0,,0,18.0,2007-08-21,0,2026-12-31,17,1516,6,2.45,5,3.86,15.38,59.46,Kazakhstan,['Kazakhstan'],left,175,57,False,8.55,7.12,68.33,3.38,52.63,0.18,0.33,0.12,3.5,6.41,1.01,1,0.06,0,0.0,2.9699999999999998,0.36,6,0.36,0.15,0,0.0,21,1.25,42.86,28.571,0.30000000000000004,4.04,41.18,3.74,41.27,0.24,25.0,0.53,1.25,61.9,3.09,48.08,2.67,1.13,0.06,24.1,1.6600000000000001,0.53,38.35,71.21,14.9,66.14,4.93,93.98,30.75,77.61,3.74,49.21,18.98,32.81,0.23,1.6,0.18,0.0,0.12,0.0,0.65,5.22,68.18,3.09,51.92,0.18,0.0,0.65,1.54,11.87,71.0,72.68,11.52,0,,0,,0,0.0,0.0,0.0,,,0.53,,3.38,0.18,0.0,0.0,2.02,0,0.0
A. Amanzhanov,Anuar Amanzhanov,-427090,Tobol Res.,Tobol Res.,https://cdn5.wyscout.com/photos/team/public/g27930_120x120.png,1. Division,"LCB3, CB",LCB3,54,CB,28,,0,21.0,2005-02-21,0,,16,1509,1,1.07,0,0.08,14.49,62.14,Kazakhstan,['Kazakhstan'],unknown,0,0,False,11.03,5.61,72.34,4.65,58.97,0.18,0.31,0.8300000000000001,6.8,11.88,0.48,0,0.0,0,0.0,0.89,0.06,1,0.06,0.06,1,0.06,10,0.6000000000000001,30.0,10.0,0.0,0.18,100.0,0.06,100.0,0.12,100.0,0.0,0.8300000000000001,64.29,2.56,46.51,0.8300000000000001,0.78,0.0,31.43,1.25,0.78,50.22,86.1,23.32,79.03,3.52,89.83,43.72,90.59,6.32,54.72,20.26,39.11,0.0,0.18,0.0,0.06,0.0,0.0,0.06,4.77,66.25,0.30000000000000004,60.0,0.12,0.0,0.06,0.18,9.9,65.06,94.82,18.43,0,,0,,0,0.0,0.0,0.0,,,2.15,,4.65,0.06,0.06,100.0,0.0,0,0.0
A. Orazbek,Amirali Orazbek,-293668,Ekibastuz,Ekibastuz,https://cdn5.wyscout.com/photos/team/public/g1354_120x120.png,1. Division,"RB, LB",RB,44,LB,40,,0,22.0,2004-02-03,0,2026-12-31,16,1454,0,0.23,2,1.42,19.19,51.94,Kazakhstan,['Kazakhstan'],left,181,75,False,9.04,7.3,59.32,2.7199999999999998,56.82,0.37,0.51,0.25,4.33,5.98,1.24,3,0.19,0,0.0,2.17,0.0,0,0.0,0.01,0,0.0,7,0.43,14.29,0.0,0.12,1.92,38.71,0.62,20.0,1.3,47.62,0.31,2.91,44.68,6.62,40.19,1.18,2.17,0.25,29.71,2.17,0.99,42.71,81.16,17.08,73.19,5.82,93.62,37.08,86.64,3.9,49.21,19.51,35.98,0.09,0.68,0.0,0.0,0.12,50.0,0.56,5.14,69.88,2.04,54.55,0.56,55.56,0.62,0.68,8.6,71.94,85.1,12.87,0,,0,,0,0.0,0.0,0.0,,,0.8,,2.7199999999999998,0.0,0.0,0.0,0.0,0,0.0
M. Sapanov,Miram Sapanov,295281,Jaiyq,Jaiyq,https://cdn5.wyscout.com/photos/team/public/g-23634_120x120.png,1. Division,RCB,RCB,92,,0,,0,40.0,1986-03-12,0,2026-12-31,16,1436,0,1.25,0,0.39,8.52,50.74,Kazakhstan,['Kazakhstan'],right,183,80,False,4.39,1.63,69.23,4.07,53.85,0.06,0.07,0.63,3.2,3.5300000000000002,0.31,0,0.0,0,0.0,0.56,0.0,0,0.0,0.08,0,0.0,7,0.44,28.57,0.0,0.0,0.19,100.0,0.0,0.0,0.19,100.0,0.0,0.44,57.14,1.75,39.29,0.88,0.75,0.13,14.23,0.31,0.56,26.39,81.0,13.98,72.2,1.19,89.47,21.18,85.21,5.01,62.5,20.64,30.07,0.02,0.25,0.06,0.0,0.0,0.0,0.13,1.88,60.0,0.31,80.0,0.06,0.0,0.25,0.19,5.7,58.24,94.63,9.34,0,,0,,0,0.0,0.0,0.0,,,0.63,,4.07,0.0,0.0,0.0,0.0,0,0.0
N. Zhumadelov,Nurbol Zhumadelov,-438379,Tobol Res.,Tobol Res.,https://cdn5.wyscout.com/photos/team/public/g27930_120x120.png,1. Division,"RWB, CF",RWB,62,CF,32,,0,20.0,2006-02-14,0,2026-12-31,16,1435,1,1.08,2,1.74,20.01,43.26,Kazakhstan,['Kazakhstan'],unknown,177,69,False,7.28,6.33,58.42,3.07,32.65,0.63,1.08,0.13,2.95,5.09,1.38,2,0.13,0,0.0,1.76,0.06,1,0.06,0.07,0,0.0,7,0.44,71.43,14.286,0.13,1.38,22.73,0.0,0.0,1.38,22.73,0.13,2.13,50.0,7.9,38.1,1.44,1.0,0.13,20.38,3.07,1.07,31.3,81.36,8.15,67.69,8.22,95.42,28.66,84.9,1.38,63.64,15.18,22.84,0.11,1.0,0.0,0.06,0.06,100.0,0.56,2.32,70.27,1.19,36.84,0.19,66.67,0.44,0.25,4.01,57.81,82.79,7.65,0,,0,,0,0.0,0.0,0.0,,,0.38,,3.07,0.0,0.0,0.0,0.25,0,0.0
B. Omarov,Bauyrzhan Omarov,123170,Jaiyq,Jaiyq,https://cdn5.wyscout.com/photos/team/public/g-23634_120x120.png,1. Division,LCB,LCB,93,,0,,0,36.0,1990-08-03,0,2026-12-31,15,1427,0,0.02,0,0.73,5.61,53.93,Kazakhstan,['Kazakhstan'],left,180,79,False,5.8,2.7800000000000002,59.09,0.8200000000000001,69.23,0.13,0.13,0.63,4.04,4.3,0.32,3,0.19,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.0,0.25,0.0,0.13,0.0,0.13,0.0,0.06,0.06,0.0,0.63,50.0,0.06,0.06,0.0,15.2,0.13,0.25,26.3,84.17,12.42,74.11,1.58,96.0,17.91,93.66,8.14,65.89,25.56,38.0,0.05,0.5,0.0,0.0,0.0,0.0,0.0,3.5300000000000002,66.07,0.13,0.0,0.06,100.0,0.0,0.0,6.87,73.39,94.83,10.97,0,,0,,0,0.0,0.0,0.0,,,1.26,,0.8200000000000001,1.96,0.0,0.0,1.3900000000000001,0,0.0
K. Makhametzhan,Karim Makhametzhan,-437196,Kairat Res.,Kairat Res.,https://cdn5.wyscout.com/photos/team/public/g27717_120x120.png,1. Division,"RCMF3, RAMF, LAMF",RCMF3,21,RAMF,21,LAMF,18,18.0,2007-10-11,0,,17,1415,2,2.21,2,2.36,20.73,54.91,Kazakhstan,['Kazakhstan'],unknown,173,63,False,9.73,8.52,66.42,3.5,56.36,0.0,0.0,0.06,4.07,7.53,1.46,1,0.06,0,0.0,2.04,0.13,1,0.06,0.14,0,0.0,32,2.04,28.13,6.25,0.13,1.46,39.13,0.32,40.0,1.02,37.5,0.25,1.4,54.55,6.17,35.05,1.21,2.04,0.19,31.36,0.89,0.89,49.87,77.04,18.06,66.2,5.47,81.4,43.76,81.1,4.83,51.32,17.4,31.14,0.15,1.78,0.13,0.13,0.19,66.67,0.89,10.49,73.94,3.31,51.92,0.76,41.67,1.65,0.5700000000000001,9.73,77.78,87.5,17.81,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,3.5,1.02,0.19,33.33,0.7000000000000001,1,100.0
D. Narzildaev,Duman Narzildaev,193749,Turan Turkistan,Turan Turkistan,https://cdn5.wyscout.com/photos/team/public/g-9831_120x120.png,1. Division,"DMF, RCMF, LCMF",DMF,29,RCMF,27,LCMF,19,32.0,1993-09-06,200000,2026-12-31,16,1389,0,0.8200000000000001,4,5.92,11.02,54.71,Kazakhstan,['Kazakhstan'],right,178,72,False,6.29,5.18,62.5,1.3599999999999999,42.86,0.13,0.19,0.0,2.92,4.17,0.84,2,0.13,0,0.0,1.49,0.0,0,0.0,0.05,0,0.0,22,1.43,45.45,0.0,0.26,1.1,58.82,0.65,60.0,0.39,66.67,0.39,0.45,42.86,3.3,50.98,0.71,0.52,0.0,29.68,0.65,1.3599999999999999,42.89,85.2,14.84,74.24,4.86,93.33,37.39,88.21,4.47,66.67,20.08,40.6,0.38,2.79,0.06,0.06,0.06,0.0,0.39,8.03,73.39,2.66,63.41,0.84,53.85,1.3,0.65,8.81,79.41,90.94,17.88,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.3599999999999999,3.95,0.26,25.0,4.41,0,0.0
S. Tazhikenov,Sultan Tazhikenov,-437195,Caspiy Reserve,Caspiy Reserve,https://cdn5.wyscout.com/photos/team/public/g-12127_120x120.png,1. Division,"LB, LAMF, LCMF",LB,37,LAMF,16,LCMF,14,20.0,2006-04-19,0,2026-12-31,15,1381,1,2.25,1,1.11,20.85,46.25,Kazakhstan,['Kazakhstan'],unknown,171,62,False,10.43,8.93,62.04,2.54,35.9,0.91,1.23,0.26,3.98,5.37,1.76,3,0.2,1,0.07,1.3,0.07,1,0.07,0.15,0,0.0,13,0.85,15.38,7.692,0.07,1.37,14.29,0.78,8.33,0.52,25.0,0.2,2.61,35.0,6.84,32.38,1.63,1.17,0.26,17.4,0.65,1.17,26.98,65.46,11.93,57.38,4.95,88.16,22.09,74.34,3.52,29.63,18.71,31.6,0.07,0.52,0.0,0.0,0.07,100.0,0.2,3.91,53.33,1.96,36.67,0.46,28.57,0.65,0.13,6.0,56.52,68.75,5.21,0,,0,,0,0.0,0.0,0.0,,,0.26,,2.54,0.07,0.0,0.0,0.13,0,0.0
