Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Lukyanets,Ksenia Lukyanets,-838886,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"RCB, RCB3",RCB,77,RCB3,19,,0,20.0,2006-07-09,0,,10,967,0,0.0,0,0.0,8.38,62.22,Kazakhstan,['Kazakhstan'],unknown,0,0,False,7.45,5.12,72.73,0.84,55.56,0.19,0.26,0.37,3.54,4.91,0.37,0,0.0,0,0.0,0.28,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,100.0,1.12,41.67,0.0,0.19,0.0,6.98,0.09,0.28,26.62,55.24,16.94,47.25,1.6800000000000002,61.11,15.92,70.18,10.7,33.04,22.66,32.42,0.0,0.0,0.0,0.0,0.0,0.0,0.09,5.86,36.51,1.02,9.09,0.84,33.33,0.19,0.0,8.75,40.43,73.44,5.96,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,0.84,0.09,0.0,0.0,0.0,0,0.0
K. Shustova,Kristina Shustova,-510428,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"LCB, LCB3",LCB,77,LCB3,19,,0,22.0,2004-05-04,0,,10,967,1,1.1400000000000001,0,0.09,18.43,60.61,Kazakhstan,['Kazakhstan'],unknown,0,0,False,12.19,6.7,62.5,4.0,69.77,0.37,0.52,0.65,7.63,10.6,1.02,3,0.28,0,0.0,0.56,0.09,1,0.09,0.11,1,0.09,12,1.12,41.67,8.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,33.33,3.35,47.22,1.3,0.0,0.19,10.33,0.09,0.93,30.71,58.79,19.08,54.15,2.51,88.89,22.24,67.36,8.47,36.26,20.04,32.79,0.01,0.28,0.0,0.0,0.0,0.0,0.09,5.49,40.68,0.47000000000000003,0.0,0.47000000000000003,20.0,0.09,0.0,8.84,44.21,64.41,5.49,0,,0,,0,0.0,0.0,0.0,,,1.3,,4.0,1.02,0.47000000000000003,60.0,0.0,0,0.0
F. Satygaliyeva,Fatima Satygaliyeva,-279863,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"AMF, LCMF3, LWF",AMF,27,LCMF3,16,LWF,10,26.0,1999-11-14,0,,10,967,4,4.98,3,3.3,23.83,50.0,Kazakhstan,['Kazakhstan'],unknown,0,0,False,7.54,6.79,60.27,1.8599999999999999,60.0,0.0,0.0,0.28,3.44,4.78,1.12,1,0.09,0,0.0,4.19,0.37,4,0.37,0.46,0,0.0,27,2.51,40.74,14.815,0.28,1.02,45.45,0.37,50.0,0.65,42.86,0.19,3.7199999999999998,65.0,12.47,44.78,2.42,1.3,0.19,13.03,1.8599999999999999,1.77,24.29,58.24,10.42,50.0,3.07,75.76,19.64,64.45,3.63,28.21,17.57,33.99,0.31,2.14,0.0,0.09,0.65,42.86,0.74,4.75,49.02,2.61,46.43,1.49,43.75,1.21,0.56,5.12,63.64,60.66,5.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.8599999999999999,2.05,0.37,25.0,2.79,0,0.0
L. Kadyševa,Liana Kadyševa,-838834,Zhetysu,Zhetysu,https://cdn5.wyscout.com/photos/team/public/g-26132_120x120.png,Women's Premier League,"RCB, CB",RCB,85,CB,12,,0,18.0,2007-09-06,0,,10,963,0,0.0,0,0.09,8.5,60.44,Kazakhstan,['Kazakhstan'],unknown,0,0,False,8.6,4.49,75.0,1.03,54.55,0.09,0.14,0.75,5.14,7.75,0.47000000000000003,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,1.03,27.27,0.28,0.0,0.09,12.43,0.09,0.19,29.72,63.52,19.16,57.56,1.21,69.23,21.31,71.05,8.41,44.44,22.01,35.04,0.01,0.09,0.0,0.0,0.0,0.0,0.0,2.34,40.0,0.28,33.33,0.56,16.67,0.0,0.0,10.56,36.28,82.19,6.82,0,,0,,0,0.0,0.0,0.0,,,0.56,,1.03,0.47000000000000003,0.09,0.0,0.0,0,0.0
A. Mamyrova,Anelya Mamyrova,-364003,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"CF, CB",CF,77,CB,20,,0,19.0,2006-07-25,0,,10,956,9,7.18,3,2.12,17.6,44.39,Kazakhstan,['Kazakhstan'],unknown,0,0,False,4.61,3.39,77.78,1.13,33.33,0.09,0.13,0.28,1.88,2.62,0.56,1,0.09,0,0.0,4.14,0.85,9,0.85,0.68,1,0.09,54,5.08,46.3,16.667,0.28,1.6,17.65,0.38,50.0,1.22,7.69,0.19,2.35,64.0,10.17,39.81,4.14,1.32,0.38,9.51,2.54,1.13,17.23,50.82,6.21,46.97,3.01,81.25,12.71,57.78,3.01,40.63,17.57,35.19,0.2,0.85,0.0,0.0,0.09,0.0,0.66,1.88,40.0,1.4100000000000001,26.67,0.09,0.0,0.56,0.28,3.2,50.0,34.88,4.05,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.13,0.28,0.28,33.33,0.0,0,0.0
K. Zhanayeva,Kamshat Zhanayeva,-448863,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"LB, LB5",LB,70,LB5,20,,0,21.0,2005-02-07,0,,10,954,0,0.03,0,0.08,13.58,58.33,Kazakhstan,['Kazakhstan'],,0,0,False,11.98,7.64,74.07,0.75,62.5,0.28,0.39,0.19,6.04,8.35,0.47000000000000003,1,0.09,0,0.0,0.75,0.0,0,0.0,0.0,0,0.0,1,0.09,0.0,0.0,0.0,1.23,38.46,1.04,36.36,0.19,50.0,0.09,0.47000000000000003,60.0,3.68,30.77,0.47000000000000003,1.04,0.0,8.77,0.19,0.5700000000000001,26.13,52.71,15.94,49.7,1.42,86.67,18.49,62.24,6.42,27.94,20.35,32.42,0.01,0.19,0.09,0.0,0.0,0.0,0.09,5.0,30.19,1.51,31.25,0.47000000000000003,0.0,0.09,0.28,7.92,35.71,52.83,5.0,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,0.75,0.0,0.0,0.0,0.66,0,0.0
N. Bereket,Nargiza Bereket,-838837,Zhetysu,Zhetysu,https://cdn5.wyscout.com/photos/team/public/g-26132_120x120.png,Women's Premier League,GK,GK,100,,0,,0,20.0,2006-04-26,0,,10,950,0,0.0,0,0.0,0.76,87.5,Kazakhstan,['Kazakhstan'],unknown,0,0,False,2.37,0.09,100.0,0.47000000000000003,100.0,0.0,0.0,0.0,2.27,3.43,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,2.08,0.0,0.19,11.08,63.25,6.44,42.65,0.0,0.0,6.06,90.63,5.02,30.19,28.45,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,36.11,90.24,3.88,22,2.08,71,6.73,3,69.01,16.61,1.57,-5.39,-0.511,0.0,1.8900000000000001,0.47000000000000003,,,,0.0,0,0.0
V. Abdulayeva,Veronika Abdulayeva,-838933,Yelimay Semey,Yelimay Semey,https://cdn5.wyscout.com/photos/team/public/g-26146_120x120.png,Women's Premier League,"LW, LAMF, RAMF",LW,20,LAMF,15,RAMF,14,20.0,2005-10-17,0,,10,945,3,4.21,0,0.67,20.38,45.33,Russia,['Russia'],unknown,0,0,False,9.24,8.48,62.92,1.52,25.0,0.1,0.13,0.1,3.81,5.29,1.24,0,0.0,0,0.0,2.19,0.29,2,0.19,0.4,0,0.0,16,1.52,62.5,18.75,0.0,0.5700000000000001,16.67,0.19,0.0,0.29,33.33,0.19,1.52,75.0,8.29,34.48,2.0,0.76,0.1,9.52,2.19,1.1400000000000001,17.33,60.99,6.1,50.0,3.71,84.62,15.05,64.56,1.71,44.44,15.54,23.02,0.06,0.38,0.0,0.1,0.1,0.0,0.1,2.5700000000000003,33.33,1.71,38.89,0.48,20.0,0.86,0.1,3.05,40.63,60.0,3.81,0,,0,,0,0.0,0.0,0.0,,,0.1,,1.52,0.0,0.0,0.0,0.0,1,100.0
A. Nabokova,Aleksandra Nabokova,-448814,Shakhtyor Karagandy,Shakhtyor Karagandy,https://cdn5.wyscout.com/photos/team/public/g-26145_120x120.png,Women's Premier League,"LDMF, DMF, LCB",LDMF,30,DMF,14,LCB,13,20.0,2006-03-25,0,,10,931,1,2.58,0,0.27,23.2,51.25,Kazakhstan,['Kazakhstan'],unknown,0,0,False,14.98,9.38,70.1,2.22,52.17,1.06,1.29,0.1,7.35,8.94,1.74,0,0.0,0,0.0,1.45,0.1,0,0.0,0.25,0,0.0,22,2.13,27.27,4.545,0.0,0.19,0.0,0.1,0.0,0.0,0.0,0.1,1.9300000000000002,45.0,7.25,34.67,0.87,0.87,0.0,10.15,0.58,1.16,24.26,57.77,12.37,46.88,2.8,86.21,20.49,62.74,3.58,32.43,18.42,31.27,0.03,0.48,0.0,0.1,0.0,0.0,0.1,4.54,38.3,0.87,0.0,0.48,0.0,0.1,0.0,5.03,46.15,64.41,5.7,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.22,1.06,0.1,100.0,0.97,2,50.0
A. Bekkozhina,Adeliya Bekkozhina,-543724,Zhenys,Zhenys,https://cdn5.wyscout.com/photos/team/public/g-26142_120x120.png,Women's Premier League,RCB,RCB,90,,0,,0,18.0,2007-09-18,0,,10,925,3,1.27,1,0.27,8.27,74.12,Kazakhstan,['Kazakhstan'],unknown,0,0,False,5.45,3.02,80.65,1.56,75.0,0.0,0.0,0.39,3.02,5.47,0.49,1,0.1,0,0.0,0.88,0.29,3,0.29,0.12,3,0.29,13,1.26,38.46,23.077,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.58,66.67,2.14,63.64,1.56,1.17,0.0,27.15,0.1,0.68,46.8,84.82,22.48,74.03,3.11,96.88,41.16,89.6,5.55,50.88,19.32,35.93,0.03,0.29,0.1,0.0,0.0,0.0,0.1,6.13,53.97,0.97,20.0,0.49,20.0,0.39,0.0,8.17,72.62,95.29,16.54,0,,0,,0,0.0,0.0,0.0,,,1.9500000000000002,,1.56,0.78,0.29,33.33,0.0,0,0.0
