Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Szappanos,Péter Szappanos,162300,Újpest,Újpest,https://cdn5.wyscout.com/photos/team/public/351_120x120.png,NB I,GK,GK,100,,0,,0,35,1990-11-14,500000,2028-06-30,6,597,0,0.0,0,0.0,0.6000000000000001,50.0,Hungary,['Hungary'],right,194,93,False,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.23,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,66.67,0.0,0.0,0.0,15.83,0.30000000000000004,0.30000000000000004,24.27,81.99,15.08,73.0,0.0,0.0,13.12,98.85,11.16,62.16,37.88,52.68,0.0,0.0,0.15,0.0,0.0,0.0,0.0,3.47,34.78,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,7.09,87.23,96.61,8.89,10,1.51,32,4.82,0,68.75,9.79,1.48,-0.21,-0.032,0.0,1.81,0.15,,,,0.0,0,0
P. Stronati,Patrizio Stronati,283334,Újpest,Újpest,https://cdn5.wyscout.com/photos/team/public/351_120x120.png,NB I,LCB,LCB,100,,0,,0,31,1994-11-17,1000000,2027-06-30,6,597,0,1.45,0,0.67,13.27,60.23,Czech Republic,"['Czech Republic', 'Italy']",left,192,93,False,9.5,3.17,42.86,8.29,72.73,0.0,0.0,1.3599999999999999,8.14,12.66,1.51,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.22,0,0.0,8,1.21,25.0,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.75,60.0,1.51,0.0,0.30000000000000004,33.92,0.45,0.30000000000000004,46.58,87.06,17.79,72.03,2.71,94.44,42.66,91.52,3.62,41.67,20.42,46.09,0.1,0.15,0.15,0.0,0.0,0.0,0.15,3.62,50.0,1.06,42.86,0.15,100.0,0.45,0.0,5.13,41.18,97.35,22.76,0,,0,,0,0.0,0.0,0.0,,,2.11,,8.29,0.0,0.0,0.0,0.0,0,0
Á. Kovácsik,Ádám Kovácsik,90731,Paksi FC,Paksi FC,https://cdn5.wyscout.com/photos/team/public/360_120x120.png,NB I,GK,GK,100,,0,,0,35,1991-04-04,150000,,6,594,0,0.0,0,0.0,0.30000000000000004,50.0,Hungary,['Hungary'],right,193,84,False,0.61,0.30000000000000004,50.0,0.0,0.0,0.0,0.0,0.0,0.45,0.66,0.15,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.15,0.0,19.7,63.08,16.97,59.82,0.0,0.0,7.27,93.75,12.27,45.68,46.18,55.93,0.0,0.0,0.0,0.15,0.0,0.0,0.0,5.91,41.03,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,8.18,72.22,88.24,2.58,13,1.97,35,5.3,1,62.86,10.23,1.55,-2.77,-0.42,0.0,0.91,0.0,,,,0.0,0,0
K. Papp,Kristóf Papp,156059,Paksi FC,Paksi FC,https://cdn5.wyscout.com/photos/team/public/360_120x120.png,NB I,"DMF, LCMF, LCMF3",DMF,34,LCMF,26,LCMF3,12,33,1993-05-14,550000,,6,594,0,0.75,2,0.6000000000000001,13.33,61.36,Hungary,['Hungary'],right,183,73,False,8.79,6.67,63.64,4.09,59.26,0.30000000000000004,0.44,0.45,4.24,6.18,1.06,2,0.30000000000000004,0,0.0,0.91,0.0,0,0.0,0.11,0,0.0,5,0.76,40.0,0.0,0.30000000000000004,0.45,33.33,0.0,0.0,0.30000000000000004,50.0,0.0,0.45,100.0,2.27,53.33,1.97,0.15,0.0,13.03,0.76,0.91,24.7,77.91,9.24,63.93,4.39,89.66,22.12,81.51,2.12,50.0,18.17,32.05,0.09,0.61,0.0,0.0,0.0,0.0,0.61,4.39,62.07,1.21,62.5,0.0,0.0,0.61,0.15,3.18,71.43,88.1,6.36,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,4.09,0.0,0.0,0.0,0.0,0,0
M. Kata,Mihály Kata,-101342,MTK,MTK,https://cdn5.wyscout.com/photos/team/public/349_120x120.png,NB I,"RDMF, RCMF, LDMF",RDMF,66,RCMF,16,LDMF,16,24,2002-04-13,1000000,2030-06-30,6,592,0,0.8200000000000001,0,0.13,16.42,62.04,Hungary,['Hungary'],right,176,75,False,9.12,7.6,58.0,1.37,55.56,1.06,1.43,0.46,3.65,4.9,1.98,1,0.15,0,0.0,1.06,0.0,0,0.0,0.12,0,0.0,4,0.61,75.0,0.0,0.0,0.15,100.0,0.0,0.0,0.15,100.0,0.0,0.91,50.0,6.39,69.05,0.76,0.76,0.15,31.77,0.0,2.58,48.65,89.38,12.01,78.48,8.51,100.0,43.33,90.88,5.17,76.47,18.5,42.29,0.02,0.46,0.15,0.15,0.0,0.0,0.15,6.23,80.49,1.06,57.14,0.0,0.0,0.30000000000000004,0.15,6.23,73.17,94.7,20.07,0,,0,,0,0.0,0.0,0.0,,,2.58,,1.37,0.0,0.0,0.0,0.0,1,0
P. Demjén,Patrik Demjén,316278,MTK,MTK,https://cdn5.wyscout.com/photos/team/public/349_120x120.png,NB I,GK,GK,100,,0,,0,28,1998-03-22,600000,,6,592,0,0.0,0,0.0,0.61,75.0,Hungary,['Hungary'],right,185,83,False,0.46,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.61,0.15,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,16.72,0.46,0.30000000000000004,27.82,75.96,19.0,65.6,0.15,100.0,13.99,98.91,13.83,52.75,34.87,48.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,34.62,0.15,0.0,0.0,0.0,0.0,0.0,8.06,66.04,97.87,7.15,10,1.52,32,4.86,1,68.75,10.17,1.55,0.17,0.026000000000000002,0.0,1.22,0.0,,,,0.0,0,0
B. Lehoczki,Bendegúz Lehoczki,-303266,Puskás FC,Puskás FC,https://cdn5.wyscout.com/photos/team/public/g22345_120x120.png,NB I,GK,GK,100,,0,,0,19,2006-12-28,0,2029-06-30,6,588,0,0.0,0,0.0,0.31,100.0,Hungary,['Hungary'],right,0,0,False,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.15,100.0,0.0,0.0,0.0,17.14,0.46,0.0,30.31,84.34,15.77,70.87,0.0,0.0,19.44,99.21,10.56,59.42,32.44,47.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,66.67,0.0,0.0,0.15,100.0,0.15,0.0,8.42,60.0,100.0,13.93,8,1.22,35,5.36,2,77.14,8.57,1.31,0.5700000000000001,0.08700000000000001,0.0,2.76,0.15,,,,0.0,0,0
G. Harutyunyan,Georgiy Harutyunyan,-154432,Puskás FC,Puskás FC,https://cdn5.wyscout.com/photos/team/public/g22345_120x120.png,NB I,LCB,LCB,94,,0,,0,22,2004-08-09,0,2028-06-30,6,588,2,1.5,0,0.0,9.03,61.02,Russia,"['Russia', 'Armenia']",right,189,82,False,9.64,3.52,78.26,4.29,50.0,0.15,0.19,1.53,6.73,8.35,0.61,1,0.15,0,0.0,0.46,0.31,2,0.31,0.23,1,0.15,4,0.61,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.07,0.15,0.0,35.66,0.92,0.31,48.21,87.94,17.91,75.21,2.45,87.5,43.62,91.23,4.59,56.67,21.58,40.78,0.0,0.15,0.0,0.15,0.0,0.0,0.15,3.67,87.5,0.31,50.0,0.0,0.0,0.31,0.0,7.19,51.06,97.45,24.03,0,,0,,0,0.0,0.0,0.0,,,1.22,,4.29,0.0,0.0,0.0,0.0,0,0
W. Golla,Wojciech Golla,162027,Puskás FC,Puskás FC,https://cdn5.wyscout.com/photos/team/public/g22345_120x120.png,NB I,RCB,RCB,94,,0,,0,34,1992-01-12,500000,2027-06-30,6,588,0,1.58,0,0.0,11.02,54.17,Poland,['Poland'],right,186,80,False,10.1,4.13,51.85,5.05,54.55,0.46,0.5700000000000001,1.07,7.5,9.3,1.07,1,0.15,0,0.0,0.61,0.0,0,0.0,0.24,0,0.0,7,1.07,28.57,0.0,0.0,0.46,66.67,0.15,100.0,0.31,50.0,0.0,0.0,0.0,0.77,60.0,1.8399999999999999,0.15,0.0,35.82,0.61,0.61,51.58,91.1,16.38,81.31,4.44,100.0,45.61,94.97,5.66,59.46,21.74,42.88,0.0,0.15,0.0,0.0,0.0,0.0,0.0,3.52,65.22,0.31,50.0,0.0,0.0,0.0,0.31,5.66,64.86,96.43,25.71,0,,0,,0,0.0,0.0,0.0,,,3.37,,5.05,0.0,0.0,0.0,0.0,0,0
F. Amato,Fabricio Amato,-407525,Zalaegerszegi TE,Zalaegerszegi TE,https://cdn5.wyscout.com/photos/team/public/354_120x120.png,NB I,"RCMF, RDMF",RCMF,81,RDMF,14,,0,22,2004-06-04,0,2029-06-30,6,587,0,0.30000000000000004,0,0.26,10.43,48.53,Argentina,['Argentina'],right,177,76,False,7.67,4.91,43.75,1.8399999999999999,58.33,0.15,0.19,0.61,5.37,6.65,1.53,2,0.31,0,0.0,0.61,0.0,0,0.0,0.05,0,0.0,6,0.92,16.67,0.0,0.0,0.31,50.0,0.15,0.0,0.15,100.0,0.0,0.46,66.67,3.07,60.0,0.77,1.38,0.0,40.78,0.61,0.61,53.82,87.75,14.41,70.21,5.37,97.14,49.83,91.38,3.99,42.31,20.3,43.05,0.04,0.15,0.15,0.15,0.0,0.0,0.31,7.51,67.35,1.23,12.5,0.0,0.0,0.46,0.0,5.37,62.86,94.22,26.52,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.8399999999999999,0.0,0.0,0.0,0.0,0,0
