Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Milosavljević,Ivan Milosavljević,-49053,AEL,AEL,https://cdn5.wyscout.com/photos/team/public/1285_120x120.png,1. Division,LB,LB,100,,0,,0,26,2000-03-19,1000000,2027-05-31,1,102,0,0.0,0,0.13,8.82,80.0,Serbia,['Serbia'],left,180,74,False,6.18,2.65,66.67,1.76,100.0,0.0,0.0,0.0,4.41,8.82,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,50.0,0.88,1.76,0.0,27.35,1.76,0.88,41.47,74.47,12.35,57.14,9.71,63.64,39.71,75.56,1.76,50.0,16.87,70.85,0.11,0.88,0.0,0.0,0.0,0.0,0.88,1.76,50.0,0.88,100.0,0.0,0.0,0.88,0.0,6.18,28.57,90.91,9.71,0,,0,,0,0.0,0.0,0.0,,,2.65,,1.76,0.0,0.0,0.0,0.0,0,0
S. Kapino,Stefanos Kapino,154019,AEL,AEL,https://cdn5.wyscout.com/photos/team/public/1285_120x120.png,1. Division,GK,GK,100,,0,,0,32,1994-03-18,400000,2028-05-31,1,102,0,0.0,0,0.0,0.0,0.0,Greece,['Greece'],right,196,85,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.76,1.76,0.0,26.47,86.67,13.24,73.33,0.0,0.0,18.53,100.0,7.94,55.56,30.57,44.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,66.67,100.0,13.24,0,0.0,1,0.88,1,100.0,0.23,0.2,0.23,0.203,0.0,2.65,0.0,,,,0.0,0,0
E. Bergström,Emil Bergström,185429,Anorthosis,Anorthosis,https://cdn5.wyscout.com/photos/team/public/714_120x120.png,1. Division,LCB,LCB,100,,0,,0,33,1993-05-19,400000,2027-05-31,1,102,0,0.02,0,0.0,8.82,70.0,Sweden,['Sweden'],right,188,85,False,12.35,6.18,71.43,1.76,50.0,0.0,0.0,0.88,7.94,11.74,0.0,0,0.0,0,0.0,0.88,0.0,0,0.0,0.02,0,0.0,2,1.76,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,100.0,2.65,0.0,0.0,21.18,0.88,0.88,28.24,90.63,14.12,81.25,0.0,0.0,26.47,93.33,1.76,50.0,17.51,43.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5300000000000002,75.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5300000000000002,75.0,100.0,11.47,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.76,0.0,0.0,0.0,0.0,0,0
S. Denswil,Stefano Denswil,191101,AEL,AEL,https://cdn5.wyscout.com/photos/team/public/1285_120x120.png,1. Division,LCB,LCB,100,,0,,0,33,1993-05-07,2800000,2029-05-31,1,102,0,0.0,0,0.0,0.88,100.0,Netherlands,"['Netherlands', 'Suriname']",left,188,82,False,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,5.29,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.76,0.0,0.88,28.24,81.25,11.47,69.23,0.88,100.0,24.71,89.29,3.5300000000000002,25.0,22.91,45.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,60.0,93.33,13.24,0,,0,,0,0.0,0.0,0.0,,,0.88,,0.0,0.0,0.0,0.0,0.0,0,0
Kiko,Francisco Manuel Geraldo Rosa,223977,Anorthosis,Anorthosis,https://cdn5.wyscout.com/photos/team/public/714_120x120.png,1. Division,LB,LB,100,,0,,0,33,1993-01-20,250000,2028-05-31,1,102,0,0.0,0,0.19,14.12,56.25,Portugal,['Portugal'],left,181,73,False,8.82,5.29,50.0,1.76,0.0,0.0,0.0,0.0,6.18,9.13,1.76,0,0.0,0,0.0,2.65,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.5300000000000002,50.0,1.76,50.0,1.76,50.0,0.0,1.76,50.0,7.06,75.0,0.88,0.0,0.0,20.29,0.0,2.65,32.65,48.65,17.65,35.0,0.88,100.0,20.29,56.52,9.71,36.36,23.92,38.58,0.16,2.65,0.0,0.0,0.0,0.0,0.0,6.18,14.29,4.41,40.0,0.0,0.0,0.0,1.76,7.06,62.5,61.54,11.47,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.76,2.65,0.0,0.0,7.06,0,0
J. Karlström,Jacob Karlström,348451,Anorthosis,Anorthosis,https://cdn5.wyscout.com/photos/team/public/714_120x120.png,1. Division,GK,GK,100,,0,,0,29,1997-01-09,700000,2027-05-31,1,102,0,0.0,0,0.0,0.88,100.0,Norway,['Norway'],right,200,90,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,100.0,0.0,0.0,0.0,6.18,0.0,0.88,12.35,100.0,7.06,100.0,0.0,0.0,9.71,100.0,2.65,100.0,28.54,51.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5300000000000002,100.0,100.0,5.29,2,1.76,7,6.18,0,71.43,1.88,1.6600000000000001,-0.12,-0.106,0.0,0.88,0.0,,,,0.0,0,0
João Tavares,João Tavares Almeida,374841,AEL,AEL,https://cdn5.wyscout.com/photos/team/public/1285_120x120.png,1. Division,RDMF,RDMF,100,,0,,0,27,1998-12-12,200000,2027-05-31,1,102,0,0.0,0,0.0,7.06,62.5,Portugal,['Portugal'],right,175,70,False,6.18,2.65,66.67,1.76,50.0,0.0,0.0,0.0,4.41,8.82,0.0,0,0.0,0,0.0,0.88,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.88,100.0,0.0,0.0,0.88,100.0,0.0,0.0,0.0,1.76,50.0,0.88,0.0,0.0,35.29,0.0,0.0,46.76,84.91,12.35,71.43,5.29,100.0,44.12,86.0,1.76,50.0,15.05,41.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,80.0,0.88,0.0,0.0,0.0,0.0,0.0,5.29,66.67,100.0,14.12,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.76,0.88,0.0,0.0,0.0,0,0
L. Singh,Luther Wesley Singh,413520,AEL,AEL,https://cdn5.wyscout.com/photos/team/public/1285_120x120.png,1. Division,LAMF,LAMF,100,,0,,0,29,1997-08-05,0,2027-05-31,1,102,0,0.2,1,0.43,15.0,52.94,South Africa,"['South Africa', 'India']",right,171,65,False,4.41,3.5300000000000002,25.0,3.5300000000000002,50.0,0.0,0.0,0.0,3.5300000000000002,7.06,0.88,0,0.0,0,0.0,4.41,0.0,0,0.0,0.18,0,0.0,4,3.5300000000000002,50.0,0.0,0.88,1.76,50.0,1.76,50.0,0.0,0.0,1.76,2.65,66.67,7.94,66.67,4.41,1.76,0.0,14.12,1.76,3.5300000000000002,16.76,63.16,2.65,33.33,4.41,80.0,14.12,62.5,0.88,100.0,16.46,41.69,0.38,0.88,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,3.5300000000000002,50.0,62.5,7.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.5300000000000002,0.0,0.0,0.0,0.0,0,0
R. Oudin,Rémi Oudin,418016,AEL,AEL,https://cdn5.wyscout.com/photos/team/public/1285_120x120.png,1. Division,"AMF, LDMF",AMF,52,LDMF,47,,0,29,1996-11-18,3500000,,1,102,0,0.25,0,0.07,15.0,52.94,France,['France'],left,186,81,False,11.47,9.71,54.55,0.88,100.0,0.0,0.0,0.0,6.18,12.35,3.5300000000000002,0,0.0,0,0.0,1.76,0.0,0,0.0,0.22,0,0.0,3,2.65,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,50.0,3.5300000000000002,25.0,0.88,0.88,0.0,26.47,0.88,0.0,37.06,73.81,15.88,61.11,4.41,60.0,32.65,78.38,4.41,40.0,17.82,46.28,0.06,0.88,0.0,0.0,0.0,0.0,0.88,8.82,60.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18,71.43,84.62,11.47,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.88,0.88,0.0,0.0,2.65,0,0
A. Chrysostomou,Andreas Chrysostomou,467596,Anorthosis,Anorthosis,https://cdn5.wyscout.com/photos/team/public/714_120x120.png,1. Division,"AMF, RCMF",AMF,76,RCMF,23,,0,25,2001-01-14,300000,2027-05-31,1,102,0,0.0,0,0.0,11.47,46.15,Cyprus,"['Cyprus', 'England']",right,180,75,False,9.71,7.06,50.0,1.76,50.0,0.0,0.0,0.0,6.18,9.13,1.76,1,0.88,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,33.33,0.88,0.88,0.0,24.71,0.88,0.88,37.94,79.07,14.12,68.75,7.06,100.0,31.76,80.56,6.18,71.43,17.97,38.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82,60.0,0.88,100.0,0.0,0.0,0.88,0.0,6.18,57.14,81.82,9.71,0,,0,,0,0.0,0.0,0.0,,,0.88,,1.76,0.0,0.0,0.0,0.0,0,0
