Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Whitehouse,Sophie Elizabeth Verney Whitehouse,-206910,Charlton Athletic,Charlton Athletic,https://cdn5.wyscout.com/photos/team/public/g5245_120x120.png,Barclays Womens Super League 2,GK,GK,100,,0,,0,29.0,1996-10-10,0,2026-06-30,22,2223,0,0.0,0,0.0,0.85,80.95,England,"['England', 'Republic of Ireland']",right,0,0,False,1.54,0.0,0.0,0.4,80.0,0.0,0.0,0.0,1.54,1.9300000000000002,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,80.0,0.0,0.0,0.0,7.94,0.04,0.24,13.72,82.3,7.8100000000000005,71.5,0.0,0.0,8.1,97.0,5.63,61.15,29.93,43.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,14.29,0.16,0.0,0.08,0.0,0.0,0.0,4.09,62.38,96.88,5.18,21,0.85,72,2.91,8,70.83,20.96,0.85,-0.04,-0.002,0.0,1.42,0.4,,,,0.0,0,0.0
Shae Yáñez,Jessica Shae Yáñez Couey,-196899,Crystal Palace,Crystal Palace,https://cdn5.wyscout.com/photos/team/public/g5253_120x120.png,Barclays Womens Super League 2,GK,GK,100,,0,,0,28.0,1997-05-22,0,,22,2216,0,0.0,1,0.43,0.65,75.0,United States,"['United States', 'Spain']",,0,0,False,2.07,0.08,0.0,0.41000000000000003,90.0,0.0,0.0,0.0,2.07,3.43,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,19.62,0.16,0.12,28.55,84.92,15.6,74.48,0.0,0.0,20.75,96.48,7.76,54.45,27.12,43.25,0.02,0.08,0.0,0.0,0.0,0.0,0.08,1.42,42.86,0.12,0.0,0.16,75.0,0.0,0.0,5.89,51.03,98.26,11.7,26,1.06,88,3.5700000000000003,6,70.45,26.21,1.06,0.21,0.009000000000000001,0.0,1.22,0.41000000000000003,,,,0.0,0,0.0
F. Stenson,Frances Stenson,509523,Southampton,Southampton,https://cdn5.wyscout.com/photos/team/public/g-13954_120x120.png,Barclays Womens Super League 2,GK,GK,100,,0,,0,25.0,2001-04-27,0,,22,2216,0,0.0,0,0.0,0.85,85.71,England,['England'],,0,0,False,1.38,0.08,50.0,0.61,86.67,0.04,0.06,0.0,1.3,1.8,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,14.66,0.12,0.12,22.09,82.54,10.6,66.67,0.0,0.0,14.74,96.97,7.35,53.59,28.17,41.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,37.93,0.12,0.0,0.08,50.0,0.0,0.0,5.36,58.33,97.33,10.64,26,1.06,81,3.29,6,67.9,24.51,1.0,-1.49,-0.061,0.0,1.42,0.61,,,,0.0,0,0.0
A. Mannion,Aoife  Mannion,175755,Newcastle United,Newcastle United,https://cdn5.wyscout.com/photos/team/public/g5268_120x120.png,Barclays Womens Super League 2,"RCB, RCB3",RCB,68,RCB3,21,,0,30.0,1995-09-24,0,,22,2215,0,0.66,0,1.19,11.66,65.85,England,['England'],,168,0,False,9.1,5.61,76.81,2.4,57.63,0.12,0.19,0.49,4.67,7.13,0.61,4,0.16,0,0.0,0.73,0.0,0,0.0,0.03,0,0.0,5,0.2,40.0,0.0,0.0,0.53,69.23,0.04,100.0,0.49,66.67,0.12,0.41000000000000003,70.0,2.11,44.23,0.37,1.9500000000000002,0.2,44.9,0.61,0.04,62.65,85.6,29.95,76.66,4.96,95.08,52.5,91.72,9.67,53.36,20.74,37.58,0.05,0.28,0.0,0.0,0.04,0.0,0.16,9.79,64.73,1.63,50.0,0.6900000000000001,17.65,0.49,0.41000000000000003,13.86,75.95,96.62,21.66,0,,0,,0,0.0,0.0,0.0,,,2.44,,2.4,0.04,0.0,0.0,0.0,0,0.0
C. Sheppard,Catriona Rose Sheppard,-521714,Durham,Durham,https://cdn5.wyscout.com/photos/team/public/g27379_120x120.png,Barclays Womens Super League 2,GK,GK,100,,0,,0,25.0,2000-10-15,0,2027-02-01,22,2209,0,0.0,0,0.0,1.06,69.23,United States,['United States'],unknown,0,0,False,1.83,0.12,0.0,0.41000000000000003,90.0,0.0,0.0,0.0,1.83,2.68,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,75.0,0.0,0.0,0.0,12.71,0.04,0.29,20.25,83.7,8.07,70.2,0.04,0.0,14.67,96.39,5.58,50.36,25.92,41.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,15.38,0.04,0.0,0.04,0.0,0.0,0.0,3.3,48.15,92.78,11.29,35,1.43,112,4.5600000000000005,4,68.75,36.84,1.5,1.8399999999999999,0.075,0.0,1.55,0.41000000000000003,,,,0.0,0,0.0
B. Hepple,Elizabeth Hepple,340097,Durham,Durham,https://cdn5.wyscout.com/photos/team/public/g27379_120x120.png,Barclays Womens Super League 2,"AMF, LCMF, RDMF",AMF,26,LCMF,20,RDMF,18,29.0,1996-09-15,0,,22,2209,8,4.35,4,2.13,11.65,45.45,England,['England'],,0,0,False,4.48,3.75,54.35,2.44,45.0,0.16,0.24,0.12,2.2800000000000002,3.34,0.37,0,0.0,0,0.0,0.9400000000000001,0.33,6,0.24,0.18,2,0.08,28,1.1400000000000001,42.86,28.571,0.16,0.53,23.08,0.24,16.67,0.29,28.57,0.16,0.5700000000000001,50.0,3.59,35.23,1.06,0.86,0.16,20.29,1.26,0.86,29.95,77.41,9.0,62.9,7.33,91.11,27.26,80.42,2.2,51.85,16.77,31.01,0.09,0.81,0.0,0.0,0.04,100.0,0.33,3.75,61.96,1.5899999999999999,51.28,0.29,57.14,0.77,0.12,4.85,57.98,85.22,8.27,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,2.44,1.34,0.12,33.33,1.5899999999999999,2,100.0
A. Lafayette,Abbie Lafayette,-310537,Sheffield United LFC,Sheffield United LFC,https://cdn5.wyscout.com/photos/team/public/g9522_120x120.png,Barclays Womens Super League 2,"LCB3, LB",LCB3,51,LB,32,,0,24.0,2002-04-01,0,,22,2204,0,0.51,1,3.49,16.21,52.9,England,['England'],unknown,0,0,False,10.29,6.08,69.8,2.65,61.54,0.37,0.5,0.37,5.68,7.75,0.53,2,0.08,0,0.0,1.35,0.0,0,0.0,0.02,0,0.0,9,0.37,22.22,0.0,0.04,1.1,37.04,0.9,40.91,0.2,20.0,0.2,1.47,55.56,5.96,31.51,0.45,1.06,0.04,21.89,0.53,1.06,35.85,70.5,18.33,59.24,4.57,91.96,28.95,79.83,5.84,30.77,20.14,37.88,0.14,0.9,0.0,0.0,0.04,100.0,0.25,5.39,43.18,1.67,34.15,0.61,20.0,0.37,0.37,8.66,54.72,85.99,8.45,0,,0,,0,0.0,0.0,0.0,,,1.47,,2.65,0.8200000000000001,0.08,100.0,2.29,0,0.0
A. Weerden,Ashleigh Joëlle Elisabeth Weerden,427256,Crystal Palace,Crystal Palace,https://cdn5.wyscout.com/photos/team/public/g5253_120x120.png,Barclays Womens Super League 2,"LWB, LAMF",LWB,56,LAMF,23,,0,26.0,1999-06-07,0,,22,2198,7,3.35,10,7.14,17.03,47.84,Netherlands,['Netherlands'],,0,0,False,5.73,3.9699999999999998,55.67,1.19,41.38,0.08,0.14,0.04,3.44,5.69,0.61,1,0.04,0,0.0,5.73,0.29,7,0.29,0.14,0,0.0,38,1.56,34.21,18.421,0.41000000000000003,4.38,42.99,3.9699999999999998,44.33,0.41000000000000003,30.0,1.02,4.83,67.8,10.15,45.56,3.73,2.74,0.41000000000000003,14.86,1.76,0.5700000000000001,24.24,63.85,7.12,53.45,5.69,88.49,17.44,73.71,2.58,34.92,19.19,30.59,0.29,2.01,0.04,0.12,0.08,50.0,0.9400000000000001,2.17,43.4,3.2800000000000002,47.5,0.33,50.0,0.98,1.76,4.71,63.48,63.64,7.21,0,,0,,0,0.0,0.0,0.0,,,0.08,,1.19,0.61,0.12,33.33,2.83,0,0.0
E. Batty,Emily Batty,-187048,Nottingham Forest,Nottingham Forest,https://cdn5.wyscout.com/photos/team/public/g5269_120x120.png,Barclays Womens Super League 2,GK,GK,100,,0,,0,27.0,1998-11-02,0,,22,2189,0,0.0,0,0.0,0.62,66.67,England,['England'],,0,0,False,1.56,0.04,0.0,0.29,71.43,0.0,0.0,0.0,1.56,2.49,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,17.84,0.0,0.12,25.82,89.49,10.07,77.96,0.12,100.0,19.9,97.73,5.92,61.81,23.49,39.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,28.57,0.12,0.0,0.04,0.0,0.0,0.0,4.4,56.07,97.52,13.24,35,1.44,95,3.91,4,63.16,29.27,1.2,-5.73,-0.23600000000000002,0.12,0.78,0.29,,,,0.0,0,0.0
M. Lambert,Mollie Lambert,482245,Durham,Durham,https://cdn5.wyscout.com/photos/team/public/g27379_120x120.png,Barclays Womens Super League 2,"AMF, RAMF, RCMF",AMF,49,RAMF,20,RCMF,15,27.0,1998-06-14,0,,22,2180,4,3.01,1,2.02,14.04,44.41,England,['England'],,0,0,False,4.5,3.43,62.65,3.18,53.25,0.25,0.36,0.0,2.11,3.07,0.58,2,0.08,0,0.0,1.65,0.17,4,0.17,0.12,0,0.0,27,1.11,40.74,14.815,0.04,1.69,24.39,0.29,28.57,1.3599999999999999,24.24,0.21,1.57,50.0,5.82,33.33,1.98,1.78,0.41000000000000003,17.55,1.57,0.9500000000000001,26.42,73.44,6.15,63.76,7.76,89.36,23.57,78.28,1.2,48.28,16.3,26.15,0.08,0.7000000000000001,0.12,0.0,0.04,0.0,0.41000000000000003,2.77,67.16,1.98,39.58,0.17,0.0,0.62,0.5,3.55,61.63,67.25,7.06,0,,0,,0,0.0,0.0,0.0,,,0.37,,3.18,0.0,0.0,0.0,0.0,0,0.0
R. McKenna,Rebecca Mckenna,510276,Birmingham City,Birmingham City,https://cdn5.wyscout.com/photos/team/public/g5242_120x120.png,Barclays Womens Super League 2,RB,RB,81,,0,,0,25.0,2001-04-13,0,,22,2170,0,0.8,1,0.8200000000000001,17.75,55.37,Northern Ireland,['Northern Ireland'],,0,0,False,8.46,6.76,73.62,2.2800000000000002,56.36,0.12,0.21,0.46,3.36,5.73,0.41000000000000003,2,0.08,0,0.0,1.62,0.0,0,0.0,0.03,0,0.0,12,0.5,25.0,0.0,0.04,1.58,23.68,0.04,0.0,1.53,24.32,0.25,1.45,74.29,6.26,40.4,1.4100000000000001,1.04,0.0,24.51,0.58,1.12,35.79,79.72,15.43,68.01,6.64,95.63,30.19,87.23,4.11,45.45,18.85,31.79,0.03,0.33,0.0,0.0,0.04,100.0,0.17,6.22,61.33,1.7000000000000002,41.46,0.21,20.0,0.66,0.25,7.38,76.4,89.9,8.63,0,,0,,0,0.0,0.0,0.0,,,1.12,,2.2800000000000002,0.0,0.0,0.0,0.0,0,0.0
A. Andrews,Amy Andrews,-223033,Sheffield United LFC,Sheffield United LFC,https://cdn5.wyscout.com/photos/team/public/g9522_120x120.png,Barclays Womens Super League 2,"CF, LAMF",CF,71,LAMF,16,,0,26.0,1999-12-09,0,,22,2167,9,11.28,0,2.65,15.66,41.38,England,['England'],unknown,171,0,False,3.11,2.62,60.32,1.25,10.0,0.0,0.0,0.0,1.54,2.1,0.46,1,0.04,0,0.0,4.19,0.37,6,0.25,0.47000000000000003,1,0.04,54,2.24,46.3,16.667,0.0,1.5,41.67,1.45,42.86,0.04,0.0,0.21,4.19,60.4,10.01,41.49,4.36,3.11,0.96,11.96,2.2,0.29,16.07,61.76,2.5700000000000003,37.1,4.15,81.0,13.95,65.48,0.62,26.67,14.51,13.26,0.11,0.8300000000000001,0.0,0.0,0.04,0.0,0.42,1.33,21.88,1.5,47.22,0.29,14.29,0.75,0.62,1.7000000000000002,51.22,63.16,4.73,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.25,0.0,0.0,0.0,0.04,4,75.0
M. Foster,Michaela Foster,463793,Durham,Durham,https://cdn5.wyscout.com/photos/team/public/g27379_120x120.png,Barclays Womens Super League 2,"LCB, LCB3, LB",LCB,44,LCB3,22,LB,16,27.0,1999-01-09,0,2027-01-01,22,2161,1,2.1,2,1.9100000000000001,15.58,58.02,New Zealand,['New Zealand'],,173,0,False,8.66,7.0,63.1,3.79,59.34,0.04,0.06,0.46,4.21,6.17,0.46,0,0.0,0,0.0,1.17,0.04,1,0.04,0.09,1,0.04,13,0.54,38.46,7.692,0.08,0.96,43.48,0.67,31.25,0.29,71.43,0.21,0.8300000000000001,65.0,3.29,44.3,0.46,0.54,0.08,26.49,0.46,0.42,43.11,71.79,21.91,58.75,2.83,85.29,31.65,81.97,10.5,43.65,22.6,37.34,0.08,0.5,0.04,0.04,0.08,0.0,0.12,6.41,45.45,1.21,41.38,0.54,30.77,0.21,0.54,10.33,54.44,87.78,14.66,0,,0,,0,0.0,0.0,0.0,,,1.17,,3.79,0.5,0.0,0.0,0.92,0,0.0
J. Bull,Jasmine Bull,-214660,Portsmouth,Portsmouth,https://cdn5.wyscout.com/photos/team/public/g5256_120x120.png,Barclays Womens Super League 2,"RB, RB5, RWB",RB,45,RB5,26,RWB,17,23.0,2002-10-11,0,2027-06-30,21,2125,0,1.13,1,0.55,12.24,53.29,Scotland,"['Scotland', 'England']",,0,0,False,8.89,6.4,63.58,2.2,46.15,0.0,0.0,0.38,4.83,6.5,0.30000000000000004,3,0.13,0,0.0,0.72,0.0,0,0.0,0.05,0,0.0,5,0.21,60.0,0.0,0.04,1.27,30.0,0.0,0.0,1.23,31.03,0.30000000000000004,0.51,41.67,2.37,35.71,0.42,0.51,0.17,15.76,0.89,0.30000000000000004,26.17,58.74,13.26,46.65,3.68,89.66,20.08,66.67,4.87,33.04,19.77,35.99,0.02,0.25,0.0,0.0,0.0,0.0,0.13,5.29,42.4,1.69,35.0,0.25,33.33,0.30000000000000004,0.47000000000000003,7.28,50.58,66.39,5.04,0,,0,,0,0.0,0.0,0.0,,,0.85,,2.2,0.0,0.0,0.0,0.0,0,0.0
L. Cowan,Leanne Cowan,409197,Sheffield United LFC,Sheffield United LFC,https://cdn5.wyscout.com/photos/team/public/g9522_120x120.png,Barclays Womens Super League 2,"RCB3, RB, RWB",RCB3,32,RB,28,RWB,19,30.0,1996-02-01,0,,22,2120,0,0.39,0,0.23,9.64,55.95,England,['England'],,0,0,False,9.34,6.2,64.38,0.98,47.83,0.25,0.34,0.38,5.09,6.88,0.13,0,0.0,0,0.0,0.51,0.0,0,0.0,0.02,0,0.0,2,0.08,0.0,0.0,0.0,0.59,28.57,0.0,0.0,0.59,28.57,0.04,0.59,57.14,1.7000000000000002,32.5,0.21,0.38,0.04,21.14,0.55,0.13,33.58,76.99,14.99,66.01,5.05,91.6,29.97,81.3,3.06,43.06,17.94,34.08,0.01,0.13,0.0,0.08,0.0,0.0,0.04,3.65,62.79,0.98,39.13,0.17,75.0,0.21,0.17,7.05,57.83,89.69,8.24,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,0.98,0.0,0.0,0.0,0.0,0,0.0
R. Holloway,Rebecca Rayne Holloway,266654,Birmingham City,Birmingham City,https://cdn5.wyscout.com/photos/team/public/g5242_120x120.png,Barclays Womens Super League 2,LB,LB,82,,0,,0,30.0,1995-08-25,0,,22,2114,0,1.19,2,2.06,15.37,51.52,Northern Ireland,['Northern Ireland'],,0,0,False,7.11,5.7,64.18,3.02,64.79,0.04,0.07,0.09,3.41,5.73,0.9400000000000001,2,0.09,0,0.0,2.04,0.0,0,0.0,0.05,0,0.0,16,0.68,25.0,0.0,0.09,2.89,29.41,2.77,27.69,0.09,100.0,0.81,1.53,66.67,4.85,35.96,1.3599999999999999,2.0,0.43,25.88,1.62,0.43,38.7,72.39,18.48,66.36,5.11,92.5,31.25,82.15,4.68,32.73,20.21,38.82,0.09,0.38,0.09,0.09,0.0,0.0,0.26,7.75,60.44,3.11,39.73,0.21,20.0,0.64,0.81,8.9,74.64,73.39,9.92,0,,0,,0,0.0,0.0,0.0,,,0.68,,3.02,0.0,0.0,0.0,0.38,0,0.0
G. Ayre,Grace Ayre,-206718,Durham,Durham,https://cdn5.wyscout.com/photos/team/public/g27379_120x120.png,Barclays Womens Super League 2,"RB, RCB3",RB,70,RCB3,19,,0,24.0,2002-01-14,0,,22,2109,0,0.08,1,0.5700000000000001,18.52,58.53,England,['England'],,0,0,False,11.65,9.9,67.67,2.69,49.21,0.17,0.25,0.38,4.78,7.0,0.73,4,0.17,0,0.0,0.9,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.04,0.68,18.75,0.0,0.0,0.68,18.75,0.09,0.98,78.26,3.8,50.56,0.26,0.43,0.0,20.1,0.55,1.19,32.3,71.73,16.13,60.58,3.24,85.53,28.46,77.66,3.16,29.73,18.34,33.99,0.02,0.21,0.0,0.0,0.04,0.0,0.13,4.69,56.36,0.73,17.65,0.13,0.0,0.13,0.13,7.55,50.28,87.7,7.98,0,,0,,0,0.0,0.0,0.0,,,0.73,,2.69,0.0,0.0,0.0,0.0,0,0.0
C. Boye-Hlorkah,Chantelle Boye-Hlorkah,293549,Nottingham Forest,Nottingham Forest,https://cdn5.wyscout.com/photos/team/public/g5269_120x120.png,Barclays Womens Super League 2,"CF, LAMF, LW",CF,17,LAMF,16,LW,13,30.0,1995-09-08,0,,22,2107,7,6.84,1,1.6600000000000001,22.9,44.4,England,['England'],,0,0,False,6.36,4.66,71.56,4.49,45.71,0.04,0.07,0.09,2.99,4.78,0.6000000000000001,2,0.09,0,0.0,3.55,0.30000000000000004,7,0.30000000000000004,0.29,1,0.04,69,2.95,44.93,10.145,0.04,2.01,19.15,0.64,6.67,1.28,26.67,0.13,3.29,53.25,11.4,33.33,2.52,1.45,0.51,20.93,2.43,0.85,32.68,68.1,8.37,51.53,8.07,84.66,27.0,75.16,3.76,42.05,18.32,34.06,0.07,0.64,0.04,0.0,0.21,40.0,0.30000000000000004,4.7,53.64,3.03,39.44,0.85,30.0,0.85,0.34,5.85,66.42,70.9,10.42,0,,0,,0,0.0,0.0,0.0,,,0.09,,4.49,0.09,0.09,100.0,0.0,0,0.0
