Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. van Dijk,Virgil van Dijk,188624,Liverpool,Liverpool,https://cdn5.wyscout.com/photos/team/public/24_120x120.png,Premier League,LCB,LCB,99,,0,,0,34.0,1991-07-08,30000000,2027-06-30,38,3854,6,4.48,0,0.42,10.23,68.72,Netherlands,"['Netherlands', 'Suriname']",right,193,92,False,5.32,2.01,69.77,5.93,69.29,0.02,0.04,0.65,3.9,6.09,0.42,4,0.09,0,0.0,0.35000000000000003,0.14,6,0.14,0.1,6,0.14,29,0.68,44.83,20.69,0.0,0.07,33.33,0.07,33.33,0.0,0.0,0.0,0.05,50.0,0.37,56.25,1.17,1.03,0.02,44.63,0.35000000000000003,0.37,58.05,90.63,24.38,82.76,2.5,94.39,53.2,94.38,4.79,49.76,20.26,46.89,0.01,0.09,0.02,0.0,0.0,0.0,0.05,10.79,78.79,0.75,34.38,0.49,33.33,0.28,0.02,9.2,80.96,97.2,25.01,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,5.93,0.0,0.0,0.0,0.0,0,0.0
B. Verbruggen,Bart Verbruggen,-136986,Brighton,Brighton,https://cdn5.wyscout.com/photos/team/public/1169_120x120.png,Premier League,GK,GK,100,,0,,0,23.0,2002-08-18,18000000,2028-06-30,38,3819,0,0.0,0,0.0,0.75,70.97,Netherlands,['Netherlands'],right,194,75,False,1.26,0.12,20.0,0.48,80.0,0.02,0.04,0.0,1.21,1.75,0.05,3,0.07,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.1,100.0,0.0,0.0,0.0,23.01,0.27,0.07,31.92,86.05,15.34,73.03,0.02,0.0,23.3,98.75,8.54,52.12,28.89,51.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,44.83,0.41000000000000003,11.76,0.61,48.0,0.02,0.0,5.76,70.17,98.65,14.35,43,1.04,146,3.5300000000000002,10,70.55,43.61,1.06,0.61,0.015,0.0,1.43,0.48,,,,0.0,0,0.0
B. Leno,Bernd Leno,102533,Fulham,Fulham,https://cdn5.wyscout.com/photos/team/public/29_120x120.png,Premier League,GK,GK,100,,0,,0,34.0,1992-03-04,13000000,2027-06-30,38,3816,0,0.0,0,0.0,0.9,89.47,Germany,['Germany'],right,190,82,False,1.32,0.07,100.0,0.75,87.5,0.0,0.0,0.0,1.25,1.6600000000000001,0.0,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.0,0.0,0.0,18.73,0.26,0.12,27.41,91.22,13.18,83.72,0.02,0.0,20.94,98.54,6.46,67.52,26.58,49.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,55.1,0.07,0.0,0.02,0.0,0.0,0.0,5.12,72.35,98.21,13.18,51,1.2,149,3.51,9,65.77,44.17,1.04,-6.83,-0.161,0.0,1.7000000000000002,0.75,,,,0.0,0,0.0
A. Truffert,Adrien Truffert,-142208,Bournemouth,Bournemouth,https://cdn5.wyscout.com/photos/team/public/1173_120x120.png,Premier League,LB,LB,100,,0,,0,24.0,2001-11-20,18000000,2030-06-30,38,3776,1,1.46,4,2.41,16.8,54.18,Belgium,"['Belgium', 'France']",left,176,72,False,10.44,8.72,64.75,2.5300000000000002,37.74,0.19,0.26,0.26,4.6,6.34,0.98,5,0.12,0,0.0,2.43,0.02,1,0.02,0.03,0,0.0,16,0.38,37.5,6.25,0.1,3.79,35.22,3.69,34.19,0.1,75.0,0.31,1.72,54.17,3.81,41.88,1.19,1.74,0.31,27.93,0.98,0.74,40.59,81.5,13.85,76.08,7.65,95.64,33.7,89.75,3.34,47.14,18.04,34.21,0.06,0.55,0.0,0.02,0.02,100.0,0.45,4.24,74.72,2.98,49.6,0.24,30.0,0.38,1.29,7.58,71.38,81.72,11.35,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.5300000000000002,0.17,0.0,0.0,0.0,0,0.0
J. Garner,James Garner,467164,Everton,Everton,https://cdn5.wyscout.com/photos/team/public/37_120x120.png,Premier League,"LDMF, RDMF, RB",LDMF,30,RDMF,27,RB,15,25.0,2001-03-13,22000000,2030-06-30,38,3776,2,2.21,7,6.28,12.94,61.14,England,['England'],right,182,78,False,10.2,7.1,69.8,1.33,66.07,1.0,1.18,0.21,4.24,5.0,0.9500000000000001,12,0.29,0,0.0,1.55,0.05,2,0.05,0.05,0,0.0,43,1.02,32.56,4.651,0.17,1.81,36.84,0.93,35.9,0.88,37.84,0.24,0.81,55.88,2.67,50.0,0.5700000000000001,0.9500000000000001,0.21,30.46,0.41000000000000003,0.91,42.47,85.86,14.68,77.11,6.44,97.04,38.21,91.08,2.5700000000000003,41.67,17.82,33.94,0.15,1.1400000000000001,0.02,0.0,0.14,66.67,0.45,5.89,78.95,2.34,47.96,0.41000000000000003,47.06,0.5,0.6000000000000001,6.55,71.64,88.78,14.01,0,,0,,0,0.0,0.0,0.0,,,1.19,,1.33,1.29,0.26,45.45,2.55,0,0.0
J. Bowen,Jarrod Bowen,331388,West Ham United,West Ham United,https://cdn5.wyscout.com/photos/team/public/27_120x120.png,Premier League,"RW, RAMF, CF",RW,42,RAMF,24,CF,14,29.0,1996-12-20,50000000,2030-06-30,38,3760,9,8.99,10,7.53,18.93,42.48,England,"['England', 'Wales']",left,175,70,False,5.51,4.05,61.54,2.51,30.48,0.41000000000000003,0.47000000000000003,0.14,2.61,3.03,0.48,4,0.1,0,0.0,4.09,0.22,8,0.19,0.22,1,0.02,78,1.87,35.9,11.538,0.24,2.61,23.85,0.17,28.57,2.42,23.76,0.45,4.86,56.65,10.29,41.16,3.23,2.61,0.48,14.86,1.32,1.17,20.25,70.21,5.03,60.0,4.43,91.89,16.83,79.09,0.91,34.21,17.51,20.54,0.18,0.96,0.05,0.0,0.17,28.57,0.43,1.63,60.29,2.11,39.77,0.24,20.0,0.6000000000000001,0.62,3.06,71.88,65.07,5.48,0,,0,,0,0.0,0.0,0.0,,,0.24,,2.51,0.1,0.02,0.0,1.3599999999999999,1,100.0
N. Milenković,Nikola Milenković,440930,Nottingham Forest,Nottingham Forest,https://cdn5.wyscout.com/photos/team/public/1113_120x120.png,Premier League,RCB,RCB,87,,0,,0,28.0,1997-10-12,15000000,2029-06-30,38,3736,0,1.15,0,0.98,11.47,65.97,Serbia,['Serbia'],right,195,90,False,6.79,3.64,73.51,3.81,60.76,0.12,0.15,0.79,4.0,4.94,0.51,6,0.14,0,0.0,0.07,0.0,0,0.0,0.03,0,0.0,12,0.29,8.33,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,100.0,0.75,48.39,0.53,0.24,0.0,23.44,0.24,0.48,36.42,89.15,13.39,77.88,2.51,95.19,31.7,93.01,4.67,63.92,20.86,38.24,0.02,0.05,0.0,0.0,0.0,0.0,0.02,3.95,71.34,0.31,23.08,0.31,38.46,0.12,0.0,5.47,67.84,96.93,16.45,0,,0,,0,0.0,0.0,0.0,,,1.76,,3.81,0.0,0.0,0.0,0.0,0,0.0
David Raya,David Raya Martin,330279,Arsenal,Arsenal,https://cdn5.wyscout.com/photos/team/public/21_120x120.png,Premier League,GK,GK,100,,0,,0,30.0,1995-09-15,35000000,2028-06-30,37,3729,0,0.0,0,0.0,0.87,88.89,Spain,['Spain'],right,183,80,False,1.21,0.02,100.0,0.36,93.33,0.0,0.0,0.0,1.18,1.78,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,84.62,0.0,0.0,0.0,15.81,0.24,0.36,23.31,86.75,15.16,81.21,0.02,100.0,14.63,97.36,8.64,69.27,32.49,52.26,0.0,0.0,0.0,0.02,0.0,0.0,0.0,4.2,62.07,0.34,7.14,0.22,22.22,0.0,0.0,7.07,82.94,97.44,7.55,26,0.63,90,2.17,19,71.11,27.7,0.67,1.7000000000000002,0.041,0.0,1.5,0.36,,,,0.0,0,0.0
D. Petrović,Djordje Petrovic,463402,Bournemouth,Bournemouth,https://cdn5.wyscout.com/photos/team/public/1173_120x120.png,Premier League,GK,GK,100,,0,,0,26.0,1999-10-08,20000000,2030-06-30,37,3722,0,0.0,0,0.0,0.77,84.38,Serbia,['Serbia'],right,194,89,False,1.26,0.1,50.0,0.63,88.46,0.0,0.0,0.0,1.21,1.67,0.0,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.42,0.39,0.05,16.59,83.67,8.49,70.37,0.0,0.0,10.95,97.57,5.63,56.65,31.03,49.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,36.21,0.05,0.0,0.1,25.0,0.0,0.0,4.21,69.54,98.35,7.33,53,1.28,163,3.94,11,67.48,49.97,1.21,-3.03,-0.073,0.0,1.98,0.63,,,,0.0,0,0.0
D. Henderson,Dean Henderson,317323,Crystal Palace,Crystal Palace,https://cdn5.wyscout.com/photos/team/public/313_120x120.png,Premier League,GK,GK,100,,0,,0,29.0,1997-03-12,12000000,2028-06-30,37,3707,0,0.0,0,0.0,0.8,72.73,England,['England'],right,188,85,False,1.31,0.07,33.33,0.56,95.65,0.0,0.0,0.0,1.29,1.57,0.05,5,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,13.11,0.17,0.1,19.23,79.55,12.07,68.61,0.02,100.0,9.47,98.21,9.71,61.75,36.35,52.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,55.17,0.27,45.45,0.41000000000000003,29.41,0.1,0.0,7.16,77.97,98.83,6.24,51,1.24,157,3.81,11,67.52,53.61,1.3,2.61,0.063,0.02,1.65,0.56,,,,0.0,0,0.0
