Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ligger,Ligger Moreira Malaquias,80083,Itabaiana,Itabaiana,https://cdn5.wyscout.com/photos/team/public/g5126_120x120.png,Sergipano,"LCB, CB",LCB,78,CB,15,,0,38.0,1988-05-18,0,2026-10-30,17,1713,0,0.98,1,0.30000000000000004,11.66,67.57,Brazil,['Brazil'],left,186,73,False,7.57,4.1,82.05,5.04,65.63,0.16,0.21,0.42,4.05,5.45,0.58,1,0.05,0,0.0,0.42,0.0,0,0.0,0.05,0,0.0,9,0.47000000000000003,33.33,0.0,0.05,0.11,50.0,0.11,50.0,0.0,0.0,0.0,0.32,66.67,1.1,57.14,0.58,1.1,0.0,17.23,0.26,0.32,30.89,81.8,17.65,75.0,1.8399999999999999,91.43,23.91,86.59,6.88,65.65,22.67,36.57,0.02,0.11,0.0,0.0,0.0,0.0,0.05,6.67,71.65,0.68,46.15,0.79,53.33,0.37,0.05,9.46,76.67,93.82,9.35,0,,0,,0,0.0,0.0,0.0,,,1.31,,5.04,0.0,0.0,0.0,0.0,0,0
Matheus Nogueira,Matheus Nogueira da Silva,114578,Brusque,Brusque,https://cdn5.wyscout.com/photos/team/public/2364_120x120.png,Catarinense 1,GK,GK,100,,0,,0,40.0,1986-08-08,100000,,17,1699,0,0.0,0,0.0,1.17,95.45,Brazil,['Brazil'],right,190,84,False,0.9500000000000001,0.0,0.0,0.9500000000000001,94.44,0.0,0.0,0.0,0.9500000000000001,1.34,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,4.29,0.05,0.32,11.34,81.31,6.52,69.11,0.05,0.0,7.1,97.01,4.24,55.0,36.23,53.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9100000000000001,44.44,0.16,0.0,0.05,0.0,0.0,0.0,3.23,72.13,98.82,4.5,19,1.01,85,4.5,3,77.65,21.0,1.11,2.0,0.106,0.0,3.07,0.9500000000000001,,,,0.0,0,0
Dheimison,Dheimison Benavides Martins,112058,Floresta EC,Floresta EC,https://cdn5.wyscout.com/photos/team/public/g35157_120x120.png,Cearense 1,GK,GK,100,,0,,0,37.0,1989-08-01,0,2026-10-30,17,1684,0,0.0,0,0.0,0.32,100.0,Brazil,['Brazil'],,184,78,False,0.75,0.0,0.0,0.27,100.0,0.0,0.0,0.0,0.75,0.76,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.05,0.0,2.35,0.05,0.16,7.43,79.14,5.24,73.47,0.0,0.0,3.63,98.53,3.74,61.43,37.26,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,59.38,0.21,0.0,0.11,0.0,0.0,0.0,2.89,83.33,91.67,1.92,19,1.02,69,3.69,6,72.46,19.02,1.02,0.02,0.001,0.0,1.5,0.27,,,,0.0,0,0
Caíque França,Caíque França Godoy,292112,Guarani,Guarani,https://cdn5.wyscout.com/photos/team/public/534_120x120.png,Paulista A1,GK,GK,100,,0,,0,31.0,1995-06-03,450000,2027-12-31,16,1605,0,0.0,0,0.0,0.56,90.0,Brazil,['Brazil'],left,186,80,False,1.07,0.0,0.0,0.45,87.5,0.0,0.0,0.0,1.07,1.69,0.0,2,0.11,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.11,100.0,0.0,0.0,0.0,9.81,0.28,0.06,17.44,87.46,9.48,78.7,0.0,0.0,11.83,98.1,5.55,65.66,30.11,47.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,42.86,0.22,0.0,0.06,0.0,0.0,0.0,4.37,67.95,99.25,7.51,17,0.9500000000000001,75,4.21,6,77.33,26.24,1.47,9.24,0.518,0.0,1.63,0.45,,,,0.0,0,0
Avelino,Felipe Marco Avelino,-70064,Volta Redonda,Volta Redonda,https://cdn5.wyscout.com/photos/team/public/1707_120x120.png,Carioca 1,GK,GK,100,,0,,0,27.0,1998-11-11,0,2026-11-30,16,1596,0,0.0,0,0.0,0.56,70.0,Brazil,['Brazil'],right,192,84,False,1.69,0.17,33.33,0.23,100.0,0.0,0.0,0.0,1.6400000000000001,2.24,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,7.39,0.34,0.17,14.55,83.72,6.88,69.67,0.0,0.0,10.15,98.33,4.23,52.0,30.66,51.99,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1.58,50.0,0.11,0.0,0.34,16.67,0.0,0.0,3.27,65.52,98.32,6.71,21,1.18,88,4.96,6,76.14,20.69,1.17,-0.31,-0.017,0.0,1.47,0.23,,,,0.0,0,0
João Victor,João Victor Eliziário  Valeriano de Oliveira,-287998,Floresta EC,Floresta EC,https://cdn5.wyscout.com/photos/team/public/g35157_120x120.png,Cearense 1,LCB3,LCB3,100,,0,,0,24.0,2002-03-18,0,,16,1586,1,0.9400000000000001,0,0.04,13.73,59.92,Brazil,['Brazil'],unknown,0,0,False,9.42,4.54,66.25,6.58,56.9,0.28,0.29,1.25,6.13,6.34,1.13,4,0.23,0,0.0,0.34,0.06,1,0.06,0.05,1,0.06,8,0.45,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,80.0,1.13,70.0,0.5700000000000001,1.42,0.0,18.22,0.0,0.5700000000000001,30.25,79.17,18.27,72.67,0.91,75.0,23.95,86.97,6.3,49.55,22.32,41.07,0.0,0.06,0.0,0.0,0.0,0.0,0.0,5.45,58.33,0.45,0.0,0.11,0.0,0.0,0.0,7.32,69.77,92.16,8.68,0,,0,,0,0.0,0.0,0.0,,,0.23,,6.58,0.0,0.0,0.0,0.0,0,0
Willian Gomes,Willian da Silva Gomes dos Santos,112234,Ypiranga Erechim,Ypiranga Erechim,https://cdn5.wyscout.com/photos/team/public/1765_120x120.png,Gaúcho 1,"LCB, LB, LCB3",LCB,57,LB,28,LCB3,14,37.0,1989-07-08,0,,16,1584,0,1.17,2,1.58,11.19,55.33,Brazil,['Brazil'],left,183,80,False,8.07,5.23,56.52,3.58,49.21,0.34,0.49,0.63,4.77,6.83,1.3599999999999999,2,0.11,0,0.0,0.68,0.0,0,0.0,0.07,0,0.0,19,1.08,21.05,0.0,0.11,1.25,27.27,1.25,27.27,0.0,0.0,0.17,0.23,50.0,0.74,61.54,0.85,1.1400000000000001,0.0,26.76,1.19,0.4,37.78,78.35,17.78,66.77,2.05,88.89,27.56,91.55,9.03,45.28,24.75,39.43,0.09,0.4,0.0,0.0,0.0,0.0,0.28,6.59,55.17,1.08,31.58,0.17,0.0,0.28,0.23,8.64,72.37,91.32,15.06,0,,0,,0,0.0,0.0,0.0,,,0.63,,3.58,0.23,0.23,50.0,0.0,0,0
Rodrigo Alves,Rodrigo Alves da Cruz,447813,Itabaiana,Itabaiana,https://cdn5.wyscout.com/photos/team/public/g5126_120x120.png,Sergipano,"CF, LW, LAMF",CF,42,LW,29,LAMF,14,30.0,1995-09-10,0,2026-10-30,17,1579,3,2.74,0,1.56,23.65,37.83,Brazil,['Brazil'],right,171,71,True,2.62,2.91,52.94,2.56,22.22,0.11,0.16,0.0,0.97,1.34,1.08,1,0.06,0,0.0,3.5300000000000002,0.17,2,0.11,0.16,0,0.0,44,2.51,34.09,6.818,0.0,1.2,33.33,0.91,37.5,0.28,20.0,0.28,4.27,53.33,15.39,39.26,1.48,1.31,0.46,11.91,1.2,3.42,18.01,74.05,4.45,65.38,4.39,87.01,14.71,80.23,2.2800000000000002,52.5,18.02,35.32,0.09,1.37,0.06,0.0,0.0,0.0,0.11,2.17,71.05,1.77,48.39,0.23,25.0,0.8,0.4,3.02,75.47,69.41,4.84,0,,0,,0,0.0,0.0,0.0,,,0.34,,2.56,1.94,0.5700000000000001,40.0,1.77,1,100
Eurico,Eurico Nicolau de Lima Neto,330137,Santa Cruz,Santa Cruz,https://cdn5.wyscout.com/photos/team/public/1723_120x120.png,Pernambucano 1,"RCB, RB, RCB3",RCB,49,RB,34,RCB3,10,32.0,1994-04-16,0,,16,1565,1,1.19,0,0.05,10.41,60.77,Brazil,['Brazil'],right,182,70,False,6.33,3.39,57.63,4.2,63.01,0.23,0.33,0.6900000000000001,4.14,5.9,0.58,3,0.17,0,0.0,0.4,0.06,1,0.06,0.07,1,0.06,10,0.58,10.0,10.0,0.0,0.58,40.0,0.0,0.0,0.52,33.33,0.06,0.17,66.67,1.55,51.85,0.63,1.09,0.12,24.33,0.75,1.27,37.21,82.07,15.64,67.28,1.6099999999999999,96.43,29.73,92.65,6.96,40.5,24.64,40.65,0.0,0.06,0.06,0.0,0.0,0.0,0.06,6.9,60.0,0.98,29.41,0.29,60.0,0.23,0.17,7.19,68.8,93.33,17.25,0,,0,,0,0.0,0.0,0.0,,,0.46,,4.2,0.0,0.0,0.0,0.0,0,0
Yan,Yan Silva de Carvalho,471200,Inter de Limeira,Inter de Limeira,https://cdn5.wyscout.com/photos/team/public/g3753_120x120.png,Paulista A2,RB,RB,94,,0,,0,30.0,1996-02-19,0,2026-10-30,16,1563,2,0.6900000000000001,1,1.2,16.41,48.07,Brazil,['Brazil'],right,194,92,False,6.28,6.5600000000000005,58.77,2.42,35.71,0.0,0.0,0.17,2.42,3.35,1.55,3,0.17,0,0.0,3.63,0.12,2,0.12,0.04,0,0.0,13,0.75,38.46,15.385,0.06,4.03,42.86,0.0,0.0,3.9699999999999998,42.03,0.29,2.48,65.12,5.99,42.31,0.92,1.79,0.06,21.02,0.86,0.58,29.83,76.25,11.4,70.2,6.5600000000000005,96.49,21.94,85.56,4.26,59.46,20.33,34.77,0.07,0.58,0.06,0.0,0.0,0.0,0.29,4.26,70.27,3.2800000000000002,49.12,0.06,100.0,0.35000000000000003,1.5,6.97,81.82,70.73,7.08,0,,0,,0,0.0,0.0,0.0,,,0.58,,2.42,0.06,0.0,0.0,0.0,0,0
