Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Anarbekov,Temirlan Anarbekov,-157373,Kairat,Kairat,https://cdn5.wyscout.com/photos/team/public/g1358_120x120.png,Premier League,GK,GK,100,,0,,0,22,2003-10-14,150000,2028-12-31,12,1176,0,0.0,0,0.17,0.38,100.0,Kazakhstan,['Kazakhstan'],left,189,78,False,1.45,0.08,100.0,0.15,100.0,0.0,0.0,0.0,1.38,2.22,0.0,2,0.15,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11,0.23,0.0,16.45,88.37,7.35,75.0,0.08,0.0,12.55,98.78,3.83,54.0,29.57,53.04,0.01,0.08,0.0,0.0,0.0,0.0,0.08,1.6800000000000002,36.36,0.23,33.33,0.23,0.0,0.0,0.08,2.68,77.14,100.0,8.57,6,0.46,30,2.3,7,80.0,6.17,0.47000000000000003,0.17,0.013000000000000001,0.0,1.22,0.15,,,,0.0,0,0
G. Bukhal,Glib Bukhal,410636,Ulytau,Ulytau,https://cdn5.wyscout.com/photos/team/public/g-17974_120x120.png,Premier League,LCB,LCB,97,,0,,0,30,1995-11-12,0,2026-12-31,12,1170,0,0.74,0,0.0,10.0,60.77,Ukraine,['Ukraine'],left,190,75,False,8.38,4.46,67.24,3.0,51.28,0.08,0.11,0.77,5.31,7.8100000000000005,0.54,0,0.0,0,0.0,0.23,0.0,0,0.0,0.06,0,0.0,4,0.31,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,60.0,0.23,1.38,0.0,31.62,0.38,0.92,51.31,85.46,25.92,78.93,2.38,93.55,42.23,91.07,9.08,59.32,24.37,40.17,0.0,0.08,0.0,0.0,0.08,100.0,0.0,10.15,75.76,0.23,66.67,0.6900000000000001,44.44,0.0,0.0,14.31,76.34,94.66,20.15,0,,0,,0,0.0,0.0,0.0,,,1.62,,3.0,0.08,0.08,100.0,0.0,0,0
S. Odeoyibo,Samuel Odeoyibo,479673,Altay,Altay,https://cdn5.wyscout.com/photos/team/public/g36010_120x120.png,Premier League,RCB3,RCB3,90,,0,,0,32,1993-09-28,400000,2026-12-31,12,1166,1,0.35000000000000003,0,0.09,12.58,51.53,Nigeria,"['Nigeria', 'France']",right,188,83,False,6.79,5.25,66.18,1.78,39.13,0.0,0.0,0.39,3.32,4.1,0.54,2,0.15,0,0.0,1.23,0.08,1,0.08,0.03,1,0.08,4,0.31,50.0,25.0,0.0,0.93,33.33,0.15,0.0,0.77,40.0,0.23,1.16,66.67,3.7800000000000002,40.82,0.6900000000000001,1.08,0.0,21.38,0.62,0.6900000000000001,34.12,78.51,17.52,67.4,2.93,86.84,28.33,86.92,4.86,38.1,19.19,31.63,0.01,0.08,0.0,0.0,0.0,0.0,0.08,4.01,61.54,1.08,35.71,0.08,0.0,0.08,0.39,7.64,63.64,91.94,9.57,0,,0,,0,0.0,0.0,0.0,,,1.78,,1.78,0.0,0.0,0.0,0.0,0,0
D. Kenzhegulov,Doszhan Kenzhegulov,-123129,Altay,Altay,https://cdn5.wyscout.com/photos/team/public/g36010_120x120.png,Premier League,CB,CB,90,,0,,0,26,2000-01-13,0,2026-12-31,12,1138,1,2.12,0,0.0,15.03,62.63,Kazakhstan,['Kazakhstan'],,185,69,False,10.2,5.93,77.33,5.14,55.38,0.55,0.68,0.87,5.06,6.21,1.11,2,0.16,0,0.0,0.4,0.08,1,0.08,0.17,0,0.0,8,0.63,50.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,33.33,1.27,62.5,0.87,0.47000000000000003,0.0,20.09,0.24,1.03,34.64,83.33,13.92,71.59,3.24,97.56,28.95,88.8,5.69,55.56,22.49,39.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,52.63,0.55,0.0,0.32,0.0,0.08,0.0,5.77,60.27,90.91,14.79,0,,0,,0,0.0,0.0,0.0,,,2.5300000000000002,,5.14,0.0,0.0,0.0,0.0,0,0
S. Keiler,Sergey Keiler,154774,Ulytau,Ulytau,https://cdn5.wyscout.com/photos/team/public/g-17974_120x120.png,Premier League,LB,LB,97,,0,,0,31,1994-11-08,0,2026-12-31,12,1138,1,0.27,1,3.05,11.47,53.1,Kazakhstan,['Kazakhstan'],left,180,77,False,5.93,4.9,53.23,1.9,54.17,0.24,0.35000000000000003,0.08,3.08,4.53,1.11,2,0.16,0,0.0,2.93,0.08,1,0.08,0.02,0,0.0,13,1.03,23.08,7.692,0.08,6.09,32.47,5.62,29.58,0.47000000000000003,66.67,1.03,1.27,56.25,3.4,53.49,0.08,1.98,0.24,30.13,0.87,1.27,42.23,66.48,17.56,61.26,4.67,93.22,26.18,80.97,10.12,48.44,24.51,41.41,0.24,2.06,0.08,0.0,0.16,0.0,0.55,10.04,55.12,6.88,33.33,2.5300000000000002,37.5,0.55,2.14,12.5,73.42,65.43,14.87,0,,0,,0,0.0,0.0,0.0,,,0.63,,1.9,1.6600000000000001,0.4,20.0,3.48,0,0
Y. Vorogovskiy,Yan Vorogovskiy,273274,Astana,Astana,https://cdn5.wyscout.com/photos/team/public/2405_120x120.png,Premier League,"LB, LWB, LB5",LB,58,LWB,26,LB5,11,29,1996-08-07,500000,2026-12-31,12,1136,2,1.73,2,1.69,17.51,53.85,Kazakhstan,['Kazakhstan'],left,184,75,False,9.51,7.21,59.34,2.22,64.29,0.08,0.12,0.16,5.15,8.06,1.58,1,0.08,0,0.0,2.85,0.16,2,0.16,0.14,1,0.08,14,1.11,28.57,14.286,0.16,3.96,36.0,3.88,36.73,0.08,0.0,0.24,2.06,53.85,6.42,44.44,1.58,2.77,0.24,38.74,3.64,0.71,52.92,79.34,17.98,72.69,8.95,92.04,43.89,86.82,5.15,49.23,19.3,38.92,0.13,1.11,0.08,0.0,0.08,0.0,0.71,7.37,72.04,4.36,41.82,0.32,25.0,0.71,1.58,11.73,74.32,79.82,17.67,0,,0,,0,0.0,0.0,0.0,,,0.16,,2.22,0.0,0.0,0.0,0.0,0,0
I. Dadaev,Ibragim Dadaev,-241634,Altay,Altay,https://cdn5.wyscout.com/photos/team/public/g36010_120x120.png,Premier League,"RCMF3, RW",RCMF3,49,RW,34,,0,23,2002-06-11,0,2026-12-31,12,1112,0,1.72,0,0.55,18.62,40.0,Kazakhstan,['Kazakhstan'],,0,0,False,6.8,5.99,58.11,2.75,23.53,0.4,0.49,0.16,2.91,3.54,1.54,2,0.16,0,0.0,1.8599999999999999,0.0,0,0.0,0.14,0,0.0,25,2.02,28.0,0.0,0.0,1.13,21.43,0.08,0.0,1.05,23.08,0.24,2.67,36.36,8.01,34.34,2.02,0.97,0.49,17.64,1.46,1.54,25.74,71.07,9.55,59.32,5.1,93.65,22.18,77.74,2.59,31.25,16.67,36.8,0.04,0.89,0.08,0.0,0.4,20.0,0.24,5.1,58.73,2.43,43.33,0.65,37.5,0.97,0.24,4.78,71.19,67.53,6.23,0,,0,,0,0.0,0.0,0.0,,,0.32,,2.75,1.46,0.32,25.0,1.21,0,0
D. Nechaev,Danila Nechaev,-76840,Irtysh,Irtysh,https://cdn5.wyscout.com/photos/team/public/1361_120x120.png,Premier League,RB,RB,100,,0,,0,26,1999-10-30,700000,2026-12-31,12,1109,1,0.35000000000000003,0,0.35000000000000003,13.8,47.65,Belarus,['Belarus'],right,187,79,False,7.79,6.25,54.55,2.52,51.61,0.41000000000000003,0.61,0.32,3.98,5.95,0.73,1,0.08,0,0.0,1.22,0.08,1,0.08,0.03,1,0.08,2,0.16,50.0,50.0,0.0,1.62,25.0,0.0,0.0,1.62,25.0,0.32,1.06,61.54,3.17,38.46,1.22,1.87,0.41000000000000003,25.16,1.38,0.5700000000000001,35.22,80.18,13.88,73.1,6.65,95.12,30.11,86.79,3.65,46.67,17.17,32.23,0.03,0.24,0.0,0.0,0.08,100.0,0.16,3.9,64.58,1.79,50.0,0.16,100.0,0.89,0.49,6.65,65.85,82.83,8.03,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,2.52,0.0,0.0,0.0,0.0,0,0
S. Zharynbetov,Samat Zharynbetov,403926,Irtysh,Irtysh,https://cdn5.wyscout.com/photos/team/public/1361_120x120.png,Premier League,"DMF, RDMF, RCMF",DMF,50,RDMF,23,RCMF,17,32,1994-01-04,225000,2026-12-31,12,1098,0,0.18,0,0.30000000000000004,14.92,50.55,Kazakhstan,['Kazakhstan'],right,174,67,False,8.77,7.46,59.34,1.97,41.67,0.5700000000000001,0.86,0.41000000000000003,3.77,5.66,1.07,2,0.16,0,0.0,0.9,0.0,0,0.0,0.02,0,0.0,6,0.49,50.0,0.0,0.0,0.5700000000000001,57.14,0.0,0.0,0.5700000000000001,57.14,0.08,0.74,33.33,3.93,39.58,0.16,1.8,0.16,29.1,0.08,1.23,43.11,83.84,15.57,72.11,5.33,98.46,39.26,87.47,3.36,43.9,16.94,27.46,0.02,0.66,0.0,0.0,0.16,50.0,0.08,6.23,75.0,1.3900000000000001,52.94,0.33,25.0,0.49,0.41000000000000003,7.46,70.33,92.66,14.51,0,,0,,0,0.0,0.0,0.0,,,0.49,,1.97,0.5700000000000001,0.08,0.0,0.16,0,0
A. Dobay,Adilkhan Dobay,-103430,Zhetysu,Zhetysu,https://cdn5.wyscout.com/photos/team/public/g1364_120x120.png,Premier League,"RWB, RB5",RWB,72,RB5,24,,0,23,2002-06-02,175000,2026-12-31,11,1093,1,0.7000000000000001,0,0.32,13.01,50.63,Kazakhstan,['Kazakhstan'],right,183,0,False,6.01,5.68,62.32,1.98,58.33,0.25,0.34,0.08,2.22,3.1,0.99,0,0.0,0,0.0,1.24,0.08,1,0.08,0.06,0,0.0,7,0.58,42.86,14.286,0.0,1.32,50.0,0.08,100.0,1.24,46.67,0.08,0.66,50.0,3.46,30.95,0.41000000000000003,0.99,0.08,24.04,2.8,0.74,34.34,78.9,11.94,64.83,6.42,98.72,29.31,83.71,3.71,51.11,17.87,34.0,0.03,0.33,0.0,0.16,0.0,0.0,0.16,3.79,56.52,1.98,45.83,0.16,0.0,0.33,0.74,6.59,65.0,80.65,10.21,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,1.98,0.0,0.0,0.0,0.0,0,0
