Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Formento,Rodrigo Nicolás Formento Chialanza,-90811,Mushuc Runa,Mushuc Runa,https://cdn5.wyscout.com/photos/team/public/g21111_120x120.png,Liga Pro,GK,GK,100,,0,,0,26.0,1999-09-25,500000,2026-12-31,15,1560,0,0.0,0,0.0,0.6900000000000001,100.0,Uruguay,"['Uruguay', 'Italy']",right,181,76,False,1.56,0.06,100.0,0.35000000000000003,100.0,0.0,0.0,0.0,1.5,2.22,0.0,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,8.71,0.29,0.23,19.04,80.61,12.58,71.56,0.0,0.0,10.1,99.43,8.83,60.13,40.82,57.66,0.0,0.0,0.06,0.06,0.0,0.0,0.0,3.75,60.0,0.4,14.29,0.35000000000000003,50.0,0.06,0.0,6.4,80.18,98.17,6.29,21,1.21,56,3.23,5,62.5,18.53,1.07,-2.47,-0.14300000000000002,0.0,0.98,0.35000000000000003,,,,0.0,0,0
J. Ayoví,Junior Jimar Ayoví Caicedo,-320290,Guayaquil City,Guayaquil City,https://cdn5.wyscout.com/photos/team/public/g14771_120x120.png,Liga Pro,"RWB, RB5",RWB,72,RB5,19,,0,24.0,2001-12-21,0,2026-12-31,15,1554,0,0.91,4,2.42,12.28,38.21,Ecuador,['Ecuador'],,0,0,False,4.29,3.24,51.79,0.64,9.09,0.12,0.17,0.06,2.49,3.7,0.23,0,0.0,0,0.0,2.37,0.0,0,0.0,0.05,0,0.0,7,0.41000000000000003,28.57,0.0,0.23,2.9,42.0,0.0,0.0,2.9,42.0,0.35000000000000003,1.8,51.61,7.24,32.8,1.45,1.85,0.17,25.14,1.6800000000000002,1.04,32.26,83.84,6.54,69.91,7.88,96.32,27.86,89.6,1.6800000000000002,58.62,17.29,29.32,0.14,1.04,0.0,0.0,0.17,66.67,0.93,2.37,65.85,2.7199999999999998,53.19,0.41000000000000003,71.43,0.75,1.1,4.75,70.73,82.22,10.42,0,,0,,0,0.0,0.0,0.0,,,0.12,,0.64,0.0,0.0,0.0,0.0,0,0
J. Quiñónez,Joshué Jampier Quiñónez Rodriguez,-154348,Guayaquil City,Guayaquil City,https://cdn5.wyscout.com/photos/team/public/g14771_120x120.png,Liga Pro,CB,CB,91,,0,,0,24.0,2001-05-29,250000,2026-12-31,15,1554,1,0.53,0,0.0,7.36,63.78,Ecuador,['Ecuador'],right,180,76,False,6.49,2.7199999999999998,76.6,3.07,62.26,0.06,0.09,0.46,4.34,6.45,0.35000000000000003,0,0.0,0,0.0,0.17,0.06,1,0.06,0.03,0,0.0,3,0.17,33.33,33.333,0.0,0.06,100.0,0.0,0.0,0.06,100.0,0.0,0.06,100.0,0.64,54.55,0.52,0.12,0.06,29.31,0.29,0.29,41.12,92.25,14.48,82.4,1.74,96.67,37.88,96.18,3.19,45.45,20.49,37.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,39.13,0.12,50.0,0.06,0.0,0.0,0.06,4.29,68.92,98.57,20.27,0,,0,,0,0.0,0.0,0.0,,,1.33,,3.07,0.0,0.0,0.0,0.0,0,0
L. Gustavino,Luis Carlos Gustavino Chila,-354645,Aucas,Aucas,https://cdn5.wyscout.com/photos/team/public/g648_120x120.png,Liga Pro,"RCB, RCB3, RB",RCB,74,RCB3,15,RB,10,27.0,1999-05-09,0,2026-12-31,15,1545,0,1.65,0,0.45,13.46,57.58,Ecuador,['Ecuador'],unknown,0,0,False,6.82,6.06,66.35,3.84,53.03,0.06,0.1,0.35000000000000003,2.74,4.48,1.05,2,0.12,0,0.0,0.8200000000000001,0.0,0,0.0,0.1,0,0.0,15,0.87,33.33,0.0,0.0,0.99,23.53,0.0,0.0,0.99,23.53,0.0,0.64,45.45,1.63,50.0,0.87,1.17,0.06,37.57,0.29,0.29,50.1,85.93,20.27,78.45,2.16,97.3,41.53,92.57,7.8100000000000005,57.46,22.99,38.65,0.03,0.23,0.06,0.0,0.0,0.0,0.23,8.74,76.0,1.11,42.11,0.35000000000000003,50.0,0.35000000000000003,0.12,10.43,74.3,92.44,23.13,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,3.84,0.0,0.0,0.0,0.0,0,0
A. Spina,Agostino Luigi Spina,-242115,Aucas,Aucas,https://cdn5.wyscout.com/photos/team/public/g648_120x120.png,Liga Pro,DMF,DMF,81,,0,,0,24.0,2001-10-31,0,2027-12-31,15,1545,0,0.30000000000000004,1,0.49,11.18,60.42,Argentina,['Argentina'],right,180,71,True,9.15,6.41,67.27,1.4,50.0,1.17,1.9,0.17,3.67,6.0,0.99,2,0.12,0,0.0,0.35000000000000003,0.0,0,0.0,0.02,0,0.0,12,0.7000000000000001,16.67,0.0,0.06,0.29,60.0,0.06,0.0,0.17,66.67,0.06,0.17,33.33,1.69,55.17,0.47000000000000003,0.8200000000000001,0.12,29.77,0.06,0.76,43.92,91.78,11.83,81.28,6.17,96.23,41.59,93.7,2.1,58.33,17.72,31.1,0.03,0.7000000000000001,0.0,0.0,0.0,0.0,0.06,5.77,84.85,0.99,64.71,0.06,0.0,0.52,0.12,5.18,76.4,95.99,20.33,0,,0,,0,0.0,0.0,0.0,,,0.23,,1.4,0.0,0.0,0.0,0.17,0,0
E. Mero,Edinson Manuel Mero Figueroa,-321487,Guayaquil City,Guayaquil City,https://cdn5.wyscout.com/photos/team/public/g14771_120x120.png,Liga Pro,CF,CF,100,,0,,0,27.0,1998-08-03,0,2027-12-31,15,1537,4,5.75,1,1.02,21.55,28.53,Ecuador,['Ecuador'],right,173,67,False,2.17,1.82,58.06,4.74,28.4,0.0,0.0,0.23,1.11,1.65,0.59,2,0.12,0,0.0,1.52,0.23,4,0.23,0.34,2,0.12,32,1.87,40.63,12.5,0.06,0.35000000000000003,33.33,0.12,50.0,0.18,33.33,0.06,2.52,25.58,11.01,23.94,3.69,0.64,0.12,8.72,2.34,1.23,11.77,81.59,1.58,66.67,4.39,94.67,11.24,83.33,0.23,75.0,14.28,11.14,0.06,0.41000000000000003,0.0,0.0,0.0,0.0,0.12,0.64,81.82,0.53,55.56,0.0,0.0,0.64,0.06,0.88,86.67,80.43,2.69,0,,0,,0,0.0,0.0,0.0,,,0.06,,4.74,0.0,0.0,0.0,0.0,1,0
O. Moscarelli,Octavio  Moscarelli,-424498,Manta,Manta,https://cdn5.wyscout.com/photos/team/public/1674_120x120.png,Liga Pro,"LCB, RCB, RCB3",LCB,46,RCB,32,RCB3,15,25.0,2001-01-08,0,2026-12-31,15,1530,1,1.97,0,0.41000000000000003,12.71,61.11,Argentina,['Argentina'],unknown,0,0,False,9.06,5.76,70.41,3.12,54.72,0.29,0.41000000000000003,1.12,4.71,6.59,1.12,5,0.29,0,0.0,0.29,0.06,1,0.06,0.12,0,0.0,12,0.71,33.33,8.333,0.0,0.29,20.0,0.12,50.0,0.18,0.0,0.0,0.24,0.0,1.94,48.48,0.76,0.35000000000000003,0.0,16.29,0.35000000000000003,0.9400000000000001,28.41,83.23,11.94,71.43,1.53,100.0,23.94,89.93,4.18,49.3,22.17,38.9,0.02,0.12,0.0,0.0,0.0,0.0,0.06,2.35,55.0,0.35000000000000003,16.67,0.06,0.0,0.0,0.06,5.53,58.51,91.04,11.82,0,,0,,0,0.0,0.0,0.0,,,0.88,,3.12,0.0,0.0,0.0,0.0,0,0
I. Zambrano,Iván Frangoy Zambrano Vera,487017,Libertad,Libertad,https://cdn5.wyscout.com/photos/team/public/g-15385_120x120.png,Liga Pro,"RCMF, LCMF, LCMF3",RCMF,38,LCMF,35,LCMF3,12,29.0,1997-04-10,0,2026-12-31,15,1514,2,2.35,1,1.16,13.38,43.56,Ecuador,['Ecuador'],,0,0,False,4.52,3.51,64.41,2.91,44.9,0.06,0.08,0.24,2.2,2.94,0.54,4,0.24,0,0.0,1.07,0.12,2,0.12,0.14,0,0.0,18,1.07,44.44,11.111,0.06,0.36,50.0,0.18,33.33,0.18,66.67,0.06,1.25,33.33,5.23,35.23,1.72,1.07,0.12,16.76,0.9500000000000001,0.8300000000000001,24.85,84.45,6.6,67.57,3.92,93.94,23.18,87.18,1.31,45.45,16.31,24.74,0.07,0.71,0.0,0.0,0.0,0.0,0.42,3.33,73.21,0.89,60.0,0.0,0.0,0.36,0.18,2.26,73.68,90.48,8.74,0,,0,,0,0.0,0.0,0.0,,,0.12,,2.91,0.0,0.0,0.0,0.0,0,0
Y. Rodríguez,Janvier Yardely Rodríguez López,487021,Guayaquil City,Guayaquil City,https://cdn5.wyscout.com/photos/team/public/g14771_120x120.png,Liga Pro,RCB3,RCB3,92,,0,,0,31.0,1994-11-29,0,2026-12-31,15,1508,0,0.47000000000000003,0,0.14,14.68,57.72,Ecuador,['Ecuador'],,0,0,False,10.38,7.1,66.39,3.2800000000000002,50.91,0.36,0.53,0.84,5.31,7.92,1.07,0,0.0,0,0.0,0.72,0.0,0,0.0,0.03,0,0.0,3,0.18,66.67,0.0,0.0,0.12,100.0,0.0,0.0,0.12,100.0,0.0,0.72,66.67,2.92,51.02,0.24,0.66,0.0,27.81,0.72,1.07,37.12,86.66,15.99,77.61,2.92,95.92,32.59,91.21,4.42,52.7,20.37,44.02,0.01,0.06,0.0,0.0,0.0,0.0,0.0,4.42,60.81,0.36,50.0,0.30000000000000004,20.0,0.18,0.12,5.61,68.09,94.91,12.89,0,,0,,0,0.0,0.0,0.0,,,1.49,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0
K. Peralta,Kevin Marcelo Peralta Ayoví,401444,Mushuc Runa,Mushuc Runa,https://cdn5.wyscout.com/photos/team/public/g21111_120x120.png,Liga Pro,RB,RB,91,,0,,0,29.0,1997-05-01,125000,2026-12-31,15,1501,0,0.47000000000000003,0,0.17,9.11,37.5,Ecuador,['Ecuador'],right,0,0,False,4.2,4.14,42.03,1.2,30.0,0.18,0.26,0.24,2.2800000000000002,3.32,1.32,4,0.24,0,0.0,0.84,0.0,0,0.0,0.03,0,0.0,4,0.24,0.0,0.0,0.0,1.8,23.33,0.06,0.0,1.74,24.14,0.0,0.66,63.64,2.4,40.0,0.42,0.48,0.12,19.61,0.96,0.30000000000000004,25.96,78.29,10.79,75.0,4.2,98.57,20.45,89.15,3.9,43.08,21.24,38.91,0.01,0.24,0.0,0.0,0.0,0.0,0.12,4.14,66.67,1.98,24.24,0.18,0.0,0.30000000000000004,0.42,5.76,79.17,69.53,7.67,0,,0,,0,0.0,0.0,0.0,,,0.72,,1.2,0.0,0.0,0.0,0.0,0,0
