Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Yussi Diarra,Youssouf Diarra,-206831,Córdoba,Córdoba,https://cdn5.wyscout.com/photos/team/public/785_120x120.png,Segunda División,"RCMF3, RDMF, AMF",RCMF3,54,RDMF,33,AMF,11,27,1998-09-13,350000,2029-06-30,3,307,1,0.07,0,0.14,10.26,60.0,Mali,"['Mali', 'Spain']",right,174,71,True,4.98,4.69,62.5,0.88,66.67,0.29,0.48,0.0,1.76,2.9,1.47,1,0.29,0,0.0,1.47,0.29,1,0.29,0.02,0,0.0,3,0.88,66.67,33.333,0.0,0.59,0.0,0.0,0.0,0.59,0.0,0.0,1.17,75.0,3.81,61.54,1.17,1.17,0.0,14.66,0.0,0.59,20.81,80.28,7.04,70.83,2.05,100.0,19.93,82.35,0.29,100.0,15.24,14.24,0.04,0.29,0.0,0.0,0.0,0.0,0.29,2.93,90.0,1.76,16.67,0.0,0.0,0.29,0.0,2.93,70.0,80.95,6.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.88,0.0,0.0,0.0,0.0,0,0
Isma Ruiz,Ismael Ruiz Sánchez,-116337,Córdoba,Córdoba,https://cdn5.wyscout.com/photos/team/public/785_120x120.png,Segunda División,"DMF, LDMF",DMF,54,LDMF,45,,0,25,2001-02-14,300000,2028-06-30,3,307,0,0.15,0,0.0,7.04,70.83,Spain,['Spain'],right,180,67,False,5.28,3.52,66.67,1.47,60.0,0.29,0.48,0.0,2.64,4.35,0.0,0,0.0,0,0.0,0.29,0.0,0,0.0,0.04,0,0.0,4,1.17,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,100.0,0.29,0.88,0.29,32.54,0.0,1.17,46.61,88.05,17.88,75.41,6.45,90.91,43.09,89.12,3.52,75.0,17.59,38.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16,85.71,0.59,50.0,0.0,0.0,0.0,0.0,8.21,71.43,96.88,18.76,0,,0,,0,0.0,0.0,0.0,,,1.47,,1.47,0.0,0.0,0.0,0.0,0,0
Rubén Alves,Rubén González Alves,409663,Córdoba,Córdoba,https://cdn5.wyscout.com/photos/team/public/785_120x120.png,Segunda División,LCB,LCB,100,,0,,0,31,1994-09-07,800000,2028-06-30,3,307,0,0.0,0,0.0,9.97,64.71,Brazil,"['Brazil', 'Spain']",left,184,74,False,7.62,4.1,57.14,3.81,69.23,0.0,0.0,0.59,5.28,8.71,1.47,1,0.29,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,33.33,0.29,0.0,0.29,32.54,0.29,0.88,44.56,88.16,18.76,76.56,3.52,100.0,38.99,93.98,5.57,47.37,22.53,44.05,0.0,0.0,0.0,0.29,0.0,0.0,0.0,7.92,74.07,0.29,100.0,0.0,0.0,0.29,0.0,7.33,88.0,96.88,18.76,0,,0,,0,0.0,0.0,0.0,,,2.64,,3.81,0.0,0.0,0.0,0.0,0,0
Iker Álvarez,Iker Álvarez de Eulate Molne,427923,Córdoba,Córdoba,https://cdn5.wyscout.com/photos/team/public/785_120x120.png,Segunda División,GK,GK,100,,0,,0,25,2001-07-25,0,,3,307,0,0.0,0,0.0,0.29,100.0,Andorra,['Andorra'],right,190,81,False,0.88,0.0,0.0,0.29,100.0,0.0,0.0,0.0,0.88,1.45,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,23.75,0.29,0.0,37.23,90.55,16.12,81.82,0.0,0.0,28.73,96.94,8.5,68.97,28.34,49.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,88.89,0.0,0.0,0.0,0.0,0.0,0.0,6.74,78.26,98.59,20.81,7,2.05,13,3.81,0,46.15,4.9,1.44,-2.1,-0.616,0.0,1.76,0.29,,,,0.0,0,0
F. Bonini,Federico Bonini,-61787,Almería,Almería,https://cdn5.wyscout.com/photos/team/public/50_120x120.png,Segunda División,LCB,LCB,100,,0,,0,25,2001-08-06,0,2031-06-30,3,302,1,0.48,0,0.0,4.77,81.25,Italy,['Italy'],left,188,82,False,4.47,1.19,100.0,1.79,66.67,0.0,0.0,0.30000000000000004,3.2800000000000002,5.32,0.30000000000000004,0,0.0,0,0.0,0.30000000000000004,0.30000000000000004,1,0.30000000000000004,0.14,1,0.30000000000000004,2,0.6000000000000001,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,100.0,0.6000000000000001,0.0,0.0,48.87,0.0,0.6000000000000001,66.75,95.09,22.65,86.84,2.38,100.0,62.88,97.63,3.87,53.85,18.37,47.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,58.33,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,3.2800000000000002,45.45,99.09,32.78,0,,0,,0,0.0,0.0,0.0,,,0.89,,1.79,0.0,0.0,0.0,0.0,0,0
Andrés Fernández,Andrés Eduardo Fernández Moreno,62591,Almería,Almería,https://cdn5.wyscout.com/photos/team/public/50_120x120.png,Segunda División,GK,GK,100,,0,,0,39,1986-12-16,400000,2027-06-30,3,302,0,0.0,0,0.0,0.30000000000000004,0.0,Spain,['Spain'],right,187,82,False,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.97,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,13.11,0.0,0.0,24.14,91.36,11.32,86.84,0.6000000000000001,100.0,19.97,97.01,4.17,64.29,23.08,44.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77,68.75,94.59,11.03,2,0.6000000000000001,9,2.68,1,77.78,2.92,0.87,0.92,0.274,0.0,2.09,0.0,,,,0.0,0,0
Jorge Pulido,Jorge Pulido Mayoral,134447,Almería,Almería,https://cdn5.wyscout.com/photos/team/public/50_120x120.png,Segunda División,RCB,RCB,100,,0,,0,35,1991-04-08,800000,2028-06-30,3,302,0,0.29,0,0.0,7.45,48.0,Spain,['Spain'],right,186,74,False,8.94,3.2800000000000002,54.55,3.58,50.0,0.30000000000000004,0.48,0.0,6.85,11.13,0.30000000000000004,0,0.0,0,0.0,0.0,0.0,0,0.0,0.09,0,0.0,1,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0,45.3,0.30000000000000004,0.30000000000000004,58.11,91.79,19.37,78.46,5.36,100.0,53.64,96.11,4.17,42.86,17.28,42.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,66.67,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,6.26,61.9,97.59,24.74,0,,0,,0,0.0,0.0,0.0,,,3.2800000000000002,,3.58,0.0,0.0,0.0,0.0,0,0
Miguel de la Fuente,Miguel De La Fuente Escudero,471467,Almería,Almería,https://cdn5.wyscout.com/photos/team/public/50_120x120.png,Segunda División,CF,CF,100,,0,,0,26,1999-09-03,2500000,2029-06-30,3,302,0,0.31,0,0.74,11.62,53.85,Spain,['Spain'],right,182,82,False,1.79,1.49,80.0,3.2800000000000002,45.45,0.0,0.0,0.0,0.6000000000000001,0.97,0.89,0,0.0,0,0.0,0.89,0.0,0,0.0,0.09,0,0.0,4,1.19,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,100.0,5.66,57.89,3.58,0.89,0.0,8.05,1.49,2.68,12.81,67.44,1.19,25.0,4.77,87.5,12.52,69.05,0.30000000000000004,0.0,10.08,11.38,0.22,0.89,0.0,0.0,0.0,0.0,0.30000000000000004,0.6000000000000001,0.0,1.79,50.0,0.0,0.0,0.89,0.0,0.89,33.33,77.78,2.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0
F. Smand,Floris Smand,-358001,Eldense,Eldense,https://cdn5.wyscout.com/photos/team/public/g7071_120x120.png,Segunda División,"RCB, CB, LCB",RCB,35,CB,32,LCB,32,23,2003-01-20,0,2028-06-30,3,302,0,0.0,0,0.0,2.98,60.0,Netherlands,['Netherlands'],right,185,77,False,5.36,1.49,60.0,1.19,75.0,0.0,0.0,0.89,4.47,5.5600000000000005,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,31.89,0.0,0.0,45.3,92.76,16.09,87.04,3.87,100.0,40.83,97.81,4.17,50.0,19.46,42.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,71.43,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,4.77,68.75,95.59,20.26,0,,0,,0,0.0,0.0,0.0,,,2.09,,1.19,0.0,0.0,0.0,0.0,0,0
J. Smith,Justin Smith,-170074,Eldense,Eldense,https://cdn5.wyscout.com/photos/team/public/g7071_120x120.png,Segunda División,"RDMF, LCMF",RDMF,56,LCMF,32,,0,23,2003-02-04,300000,2029-06-30,3,302,0,0.08,0,0.21,10.13,41.18,France,"['France', 'Canada']",right,189,79,False,2.98,3.58,41.67,2.09,71.43,0.0,0.0,0.0,1.49,1.85,1.79,0,0.0,0,0.0,0.6000000000000001,0.0,0,0.0,0.02,0,0.0,1,0.30000000000000004,0.0,0.0,0.0,0.6000000000000001,50.0,0.6000000000000001,50.0,0.0,0.0,0.0,0.6000000000000001,50.0,4.17,28.57,0.6000000000000001,0.6000000000000001,0.30000000000000004,26.23,0.0,0.6000000000000001,39.04,88.55,9.83,72.73,5.96,100.0,36.66,89.43,1.79,83.33,17.94,39.19,0.06,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,4.17,78.57,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,3.2800000000000002,63.64,96.23,15.79,0,,0,,0,0.0,0.0,0.0,,,2.09,,2.09,0.0,0.0,0.0,0.0,0,0
