Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Abu,Faisal Adel Farid Abu Shanab,-536730,Al Ahli,Al Ahli,https://cdn5.wyscout.com/photos/team/public/g3563_120x120.png,Pro League,"LB, LCB3, LWB",LB,41,LCB3,25,LWB,10,24.0,2001-08-09,0,,23,2087,1,0.45,1,1.34,14.45,57.91,Jordan,['Jordan'],unknown,0,0,False,10.22,6.77,71.97,2.93,58.82,0.22,0.28,0.17,5.13,6.5600000000000005,0.78,5,0.22,0,0.0,1.81,0.04,1,0.04,0.02,0,0.0,13,0.56,30.77,7.692,0.04,3.41,35.44,3.1,34.72,0.30000000000000004,42.86,0.34,0.86,50.0,3.36,33.33,0.34,0.86,0.04,22.42,2.46,0.73,36.05,74.16,17.59,67.16,5.13,93.28,26.22,85.2,6.6,49.02,20.06,32.43,0.06,0.6900000000000001,0.0,0.0,0.0,0.0,0.09,5.82,63.7,3.54,50.0,0.34,25.0,0.65,1.21,9.31,71.76,73.66,8.02,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,2.93,1.03,0.09,50.0,1.21,0,0
Ahmed Al Jaeidi,Ahmed Muhannad Talib Al Jaeidi,-104222,Al Salt,Al Salt,https://cdn5.wyscout.com/photos/team/public/g25398_120x120.png,Pro League,GK,GK,100,,0,,0,25.0,2001-04-09,0,,21,2038,0,0.0,0,0.31,1.37,80.65,Jordan,['Jordan'],right,181,78,False,1.5,0.09,100.0,1.02,86.96,0.0,0.0,0.0,1.4100000000000001,1.58,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,50.0,0.0,0.0,0.0,8.08,0.4,0.4,15.19,74.13,10.25,67.67,0.0,0.0,6.98,95.57,8.17,56.22,38.17,49.05,0.01,0.04,0.04,0.0,0.0,0.0,0.09,2.21,46.0,0.18,50.0,0.22,40.0,0.09,0.0,5.21,67.8,88.89,4.77,24,1.06,104,4.59,8,76.92,27.66,1.22,3.66,0.162,0.0,2.56,1.02,,,,0.0,0,0
Y. Ibrahim Mahfouz,Yazeed Ibrahim Mahfouz,-680061,Shabab Al Ordon,Shabab Al Ordon,https://cdn5.wyscout.com/photos/team/public/3116_120x120.png,Pro League,"LB, LB5",LB,78,LB5,19,,0,,,0,,21,2022,0,0.15,0,0.11,15.36,56.52,Jordan,['Jordan'],,0,0,False,10.86,6.8100000000000005,70.59,2.85,51.56,0.18,0.2,0.36,5.88,6.5600000000000005,0.49,2,0.09,0,0.0,0.98,0.0,0,0.0,0.01,0,0.0,7,0.31,14.29,0.0,0.0,1.56,17.14,1.51,17.65,0.0,0.0,0.27,1.11,60.0,4.23,38.95,0.36,0.31,0.04,14.82,1.69,0.93,26.71,68.83,13.75,64.4,3.16,90.14,20.7,79.35,4.54,37.25,19.04,37.03,0.0,0.09,0.0,0.0,0.04,0.0,0.09,4.41,53.54,1.42,25.0,0.31,14.29,0.27,0.22,6.77,56.58,61.02,5.25,0,,0,,0,0.0,0.0,0.0,,,0.62,,2.85,0.04,0.0,0.0,0.0,0,0
R. Abu Khizran,Rawad Ahmad Ibrahim Abu Khizran,329075,Al Buqa'a,Al Buqa'a,https://cdn5.wyscout.com/photos/team/public/3475_120x120.png,Pro League,"RCB, CB",RCB,50,CB,47,,0,35.0,1991-07-13,0,,22,1977,1,0.87,0,0.0,7.28,58.75,Jordan,['Jordan'],right,0,0,False,7.33,4.46,63.27,1.82,50.0,0.18,0.22,0.73,4.32,5.34,0.41000000000000003,3,0.14,0,0.0,0.23,0.05,1,0.05,0.04,0,0.0,6,0.27,33.33,16.667,0.0,0.05,100.0,0.0,0.0,0.05,100.0,0.0,0.18,50.0,0.46,50.0,0.46,0.14,0.0,21.44,0.05,0.14,33.73,84.62,15.48,76.18,1.82,90.0,28.13,90.13,5.55,56.56,23.21,36.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,60.92,0.46,30.0,0.36,37.5,0.14,0.05,7.83,69.77,92.7,14.34,0,,0,,0,0.0,0.0,0.0,,,1.5,,1.82,0.09,0.05,100.0,0.0,0,0
Noureddin Zaid,Noureddin Zaid Khaleel Bani Ateyah,431959,Al Faisaly,Al Faisaly,https://cdn5.wyscout.com/photos/team/public/3564_120x120.png,Pro League,GK,GK,100,,0,,0,33.0,1993-01-25,0,2027-06-30,20,1966,0,0.0,0,0.0,0.5,100.0,Jordan,['Jordan'],,0,0,False,1.05,0.05,100.0,0.27,100.0,0.0,0.0,0.0,1.01,1.55,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,9.48,0.14,0.37,14.83,82.41,8.1,71.19,0.0,0.0,9.7,97.17,5.08,54.95,31.86,43.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,41.94,0.09,50.0,0.09,0.0,0.05,0.0,3.66,61.25,97.56,5.63,19,0.87,60,2.75,5,68.33,14.71,0.67,-4.29,-0.196,0.0,0.92,0.27,,,,0.0,0,0
A. Al-Majdoubah,Amer Al-Majdoubah,-536746,Shabab Al Ordon,Shabab Al Ordon,https://cdn5.wyscout.com/photos/team/public/3116_120x120.png,Pro League,"RB, RDMF, RCMF",RB,34,RDMF,19,RCMF,11,22.0,2004-04-11,0,,20,1939,0,1.09,2,0.63,17.31,54.42,Jordan,['Jordan'],unknown,0,0,False,12.07,8.45,65.93,3.81,45.12,0.42,0.46,0.51,6.08,6.76,0.7000000000000001,2,0.09,0,0.0,0.6000000000000001,0.0,0,0.0,0.05,0,0.0,6,0.28,16.67,0.0,0.09,0.74,31.25,0.0,0.0,0.74,31.25,0.05,0.74,43.75,3.02,35.38,0.74,0.32,0.0,18.29,0.65,0.65,30.91,75.98,14.48,69.87,3.25,85.71,25.67,81.74,4.5,50.52,16.57,29.49,0.03,0.37,0.0,0.0,0.0,0.0,0.19,4.5,63.92,1.3,39.29,0.23,20.0,0.28,0.23,7.15,62.34,77.36,7.38,0,,0,,0,0.0,0.0,0.0,,,0.32,,3.81,0.0,0.0,0.0,0.0,1,0
M. Shalabayh,Malik Samih Yousef Shalabayh,81130,Al Ramtha,Al Ramtha,https://cdn5.wyscout.com/photos/team/public/3105_120x120.png,Pro League,GK,GK,100,,0,,0,38.0,1988-02-20,0,,20,1935,0,0.0,0,0.0,0.74,81.25,Jordan,['Jordan'],,180,0,False,1.4,0.0,0.0,0.6000000000000001,76.92,0.0,0.0,0.0,1.4,1.9100000000000001,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,7.12,0.23,0.23,13.86,82.55,8.37,72.22,0.0,0.0,9.16,97.46,4.7,53.47,32.04,48.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,44.44,0.09,0.0,0.05,0.0,0.0,0.0,3.81,70.73,98.25,5.3,24,1.12,90,4.19,4,73.33,22.22,1.03,-1.78,-0.083,0.0,1.4,0.6000000000000001,,,,0.0,0,0
Suhib Emad El Qadi,Suhib Emad  El Qadi,-377530,Al Buqa'a,Al Buqa'a,https://cdn5.wyscout.com/photos/team/public/3475_120x120.png,Pro League,"RB5, RB",RB5,47,RB,44,,0,22.0,2004-01-22,0,,20,1923,2,1.1400000000000001,5,2.17,17.13,57.1,Jordan,['Jordan'],unknown,0,0,False,11.0,7.39,70.25,2.48,41.51,0.9400000000000001,1.18,0.28,4.87,6.14,0.84,1,0.05,0,0.0,2.29,0.09,2,0.09,0.05,0,0.0,13,0.61,53.85,15.385,0.23,2.34,30.0,0.05,0.0,2.25,31.25,0.23,1.78,68.42,6.08,46.15,0.98,1.3599999999999999,0.19,22.89,1.97,1.4,34.73,76.55,13.43,70.38,5.01,85.98,28.17,84.39,4.26,49.45,16.53,32.79,0.1,0.7000000000000001,0.0,0.14,0.19,25.0,0.47000000000000003,4.63,65.66,2.25,43.75,0.61,38.46,0.56,0.84,7.35,65.61,77.9,8.47,0,,0,,0,0.0,0.0,0.0,,,0.19,,2.48,0.0,0.0,0.0,0.0,0,0
Abdallah Al Fakhouri,Abdallah Ra'ed Mahmo Al Fakhouri,-69217,Al Faisaly,Al Faisaly,https://cdn5.wyscout.com/photos/team/public/3564_120x120.png,Pro League,GK,GK,100,,0,,0,26.0,2000-01-22,0,,21,1910,0,0.0,0,0.2,0.85,88.89,Jordan,['Jordan'],right,190,84,False,1.23,0.0,0.0,0.47000000000000003,100.0,0.0,0.0,0.0,1.23,1.65,0.0,4,0.19,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,71.43,0.0,0.05,0.0,7.92,0.38,0.33,14.18,76.08,8.86,66.49,0.0,0.0,7.49,95.6,6.64,54.61,36.52,50.94,0.01,0.05,0.0,0.0,0.0,0.0,0.05,1.74,27.03,0.14,0.0,0.09,0.0,0.0,0.0,4.57,65.98,92.45,4.99,18,0.85,62,2.92,5,70.97,15.82,0.75,-2.18,-0.10300000000000001,0.0,1.37,0.47000000000000003,,,,0.0,0,0
Mohannad Khairullah,Mohannad Khairullah Ahmed Al Souliman,373477,Al Faisaly,Al Faisaly,https://cdn5.wyscout.com/photos/team/public/3564_120x120.png,Pro League,"RCB, CB",RCB,51,CB,33,,0,33.0,1993-07-25,0,,20,1909,4,1.96,1,0.62,11.22,60.92,Jordan,['Jordan'],,0,0,False,9.76,4.2,73.03,3.68,52.56,0.75,1.15,0.71,5.94,9.06,0.61,4,0.19,0,0.0,0.71,0.19,4,0.19,0.09,2,0.09,13,0.61,69.23,30.769,0.05,0.14,33.33,0.0,0.0,0.14,33.33,0.0,0.33,57.14,1.7000000000000002,52.78,0.85,0.66,0.0,33.94,0.24,0.5700000000000001,51.44,84.6,23.53,73.95,2.64,94.64,42.85,91.42,8.44,50.84,21.34,36.32,0.03,0.33,0.0,0.05,0.09,50.0,0.14,7.17,62.5,0.85,38.89,0.9400000000000001,35.0,0.42,0.09,10.18,71.3,95.05,20.93,0,,0,,0,0.0,0.0,0.0,,,1.51,,3.68,0.0,0.0,0.0,0.0,0,0
