Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Muga,Cristian Daniel Muga Machado,485472,Cobreloa,Cobreloa,https://cdn5.wyscout.com/photos/team/public/945_120x120.png,Primera B,"LDMF, DMF, LCMF",LDMF,37,DMF,32,LCMF,18,30.0,1996-01-02,300000,2027-12-31,22,2220,1,2.69,2,0.85,16.86,46.15,Uruguay,['Uruguay'],left,178,78,False,6.73,5.31,54.96,3.65,50.0,0.08,0.11,0.6900000000000001,3.73,5.26,1.34,3,0.12,0,0.0,1.26,0.04,1,0.04,0.11,0,0.0,24,0.97,37.5,4.167,0.08,0.45,54.55,0.28,57.14,0.16,50.0,0.0,1.18,55.17,5.27,31.54,1.3,0.5700000000000001,0.08,15.41,0.45,1.01,27.08,78.89,10.09,61.04,4.01,93.94,23.64,85.08,3.0,33.78,18.38,35.4,0.03,0.53,0.04,0.0,0.0,0.0,0.2,4.74,60.68,0.53,53.85,0.08,0.0,0.24,0.24,4.5,64.86,89.59,8.96,0,,0,,0,0.0,0.0,0.0,,,0.2,,3.65,0.0,0.0,0.0,0.0,0,0.0
Y. Urra,Yerko Andrés Urra Cortés,426031,Deportes Temuco,Deportes Temuco,https://cdn5.wyscout.com/photos/team/public/g414_120x120.png,Primera B,GK,GK,100,,0,,0,30.0,1996-07-09,375000,2026-12-31,22,2219,0,0.0,0,0.0,0.77,73.68,Chile,['Chile'],right,192,86,False,1.58,0.12,100.0,0.45,81.82,0.04,0.06,0.0,1.42,2.02,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,50.0,0.0,0.16,0.0,10.79,0.37,0.08,21.17,85.06,11.64,74.91,0.0,0.0,13.34,98.48,7.75,62.83,35.83,52.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,58.33,0.32,37.5,0.2,0.0,0.08,0.0,6.53,75.78,99.12,9.25,33,1.34,126,5.11,3,73.81,33.23,1.35,0.23,0.009000000000000001,0.0,2.19,0.45,,,,0.0,0,0.0
P. Navarro,Pedro Ignacio Navarro Castillo,-173312,Santiago Wanderers,Santiago Wanderers,https://cdn5.wyscout.com/photos/team/public/2196_120x120.png,Primera B,LB,LB,91,,0,,0,25.0,2001-03-30,75000,2026-12-31,22,2215,1,1.07,0,0.47000000000000003,14.22,56.86,Chile,['Chile'],left,175,64,True,11.17,5.77,65.49,2.84,62.86,0.65,0.96,0.41000000000000003,6.74,10.0,0.37,4,0.16,0,0.0,1.18,0.04,1,0.04,0.04,0,0.0,18,0.73,16.67,5.556,0.0,1.46,25.0,1.38,23.53,0.04,100.0,0.33,0.6900000000000001,88.24,2.88,42.25,0.77,0.77,0.2,12.76,0.89,0.53,23.24,71.33,12.43,65.03,2.76,89.71,18.61,80.57,3.25,37.5,19.82,31.69,0.02,0.28,0.0,0.0,0.12,66.67,0.12,4.14,63.73,1.3,37.5,0.12,33.33,0.2,0.49,6.26,63.64,75.21,4.92,0,,0,,0,0.0,0.0,0.0,,,0.2,,2.84,0.0,0.0,0.0,0.0,0,0.0
D. Tello,Damián Ezequiel Tello Cabrera,-75000,Curicó Unido,Curicó Unido,https://cdn5.wyscout.com/photos/team/public/1667_120x120.png,Primera B,GK,GK,100,,0,,0,30.0,1995-09-23,0,,22,2213,0,0.0,0,0.0,0.45,90.91,Argentina,['Argentina'],right,190,85,False,1.67,0.04,100.0,0.28,85.71,0.0,0.0,0.0,1.63,2.14,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.04,0.0,0.0,6.38,0.0,0.16,12.81,85.4,7.04,77.46,0.0,0.0,6.75,99.4,6.06,69.8,36.75,48.81,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.83,62.22,0.04,0.0,0.04,100.0,0.04,0.0,4.11,83.17,94.85,5.53,32,1.3,111,4.51,8,71.17,30.48,1.24,-1.52,-0.062,0.0,1.22,0.28,,,,0.0,0,0.0
L. García,Luis Francisco García Varas,408488,Unión San Felipe,Unión San Felipe,https://cdn5.wyscout.com/photos/team/public/2259_120x120.png,Primera B,"RDMF, RB, RCMF",RDMF,34,RB,23,RCMF,18,30.0,1996-02-09,300000,2026-12-31,22,2212,3,2.29,0,0.58,9.2,50.88,Chile,['Chile'],right,175,70,False,6.79,3.7800000000000002,58.06,2.24,47.27,0.37,0.45,0.5700000000000001,4.23,5.17,0.65,4,0.16,0,0.0,0.45,0.12,3,0.12,0.09,1,0.04,18,0.73,27.78,16.667,0.0,0.24,16.67,0.0,0.0,0.24,16.67,0.0,0.28,71.43,1.9100000000000001,44.68,0.77,0.37,0.04,18.72,0.5700000000000001,0.5700000000000001,30.84,82.85,11.19,69.09,3.46,94.12,26.61,87.31,3.99,57.14,19.72,35.88,0.02,0.33,0.04,0.0,0.0,0.0,0.04,4.92,68.6,0.61,46.67,0.24,33.33,0.28,0.04,5.37,68.18,92.6,12.65,0,,0,,0,0.0,0.0,0.0,,,0.65,,2.24,0.04,0.0,0.0,0.0,0,0.0
F. Ledesma,Franco Emanuel Ledesma,348483,Deportes Iquique,Deportes Iquique,https://cdn5.wyscout.com/photos/team/public/1666_120x120.png,Primera B,"LCB, LCB3",LCB,83,LCB3,10,,0,33.0,1992-10-03,200000,2026-12-31,22,2212,1,1.6099999999999999,0,0.05,12.17,64.55,Argentina,['Argentina'],left,186,82,False,8.06,4.64,68.42,4.31,65.09,0.37,0.5,0.65,4.52,6.11,0.65,3,0.12,0,0.0,0.45,0.04,1,0.04,0.07,0,0.0,16,0.65,25.0,6.25,0.0,0.16,75.0,0.12,100.0,0.0,0.0,0.0,0.37,44.44,1.22,56.67,0.5700000000000001,1.1400000000000001,0.08,24.05,0.24,0.49,39.06,84.17,18.59,74.18,1.5899999999999999,92.31,32.02,90.85,6.88,53.25,21.3,37.18,0.0,0.04,0.0,0.0,0.0,0.0,0.04,5.29,63.08,0.33,37.5,0.28,14.29,0.08,0.12,8.83,70.97,94.15,14.61,0,,0,,0,0.0,0.0,0.0,,,0.73,,4.31,0.0,0.0,0.0,0.0,0,0.0
M. Suárez,Mathías Sebastián Suárez,316039,Antofagasta,Antofagasta,https://cdn5.wyscout.com/photos/team/public/947_120x120.png,Primera B,"RCB, RB",RCB,78,RB,10,,0,30.0,1996-06-24,250000,2026-12-31,22,2184,0,1.6400000000000001,0,0.45,15.7,61.94,Uruguay,['Uruguay'],right,182,80,False,8.24,5.65,74.45,4.0,56.7,0.29,0.43,0.41000000000000003,3.75,5.57,0.66,3,0.12,0,0.0,0.54,0.0,0,0.0,0.07,0,0.0,10,0.41000000000000003,0.0,0.0,0.0,0.78,42.11,0.29,57.14,0.49,33.33,0.0,0.33,62.5,2.55,50.0,0.78,0.62,0.04,19.49,0.12,1.28,32.1,79.97,16.77,72.73,1.77,90.7,24.19,87.05,7.13,60.12,23.72,39.37,0.02,0.45,0.04,0.0,0.0,0.0,0.04,4.95,60.83,0.9500000000000001,43.48,0.08,50.0,0.25,0.37,8.37,72.41,92.64,10.63,0,,0,,0,0.0,0.0,0.0,,,0.74,,4.0,0.0,0.0,0.0,0.0,0,0.0
C. Nuñez,Camilo Alejandro Núñez Gómez,412927,Deportes Temuco,Deportes Temuco,https://cdn5.wyscout.com/photos/team/public/g414_120x120.png,Primera B,"DMF, LCMF, LDMF",DMF,45,LCMF,23,LDMF,19,32.0,1994-03-06,350000,2026-12-31,22,2173,5,3.6,1,0.53,15.12,66.03,Uruguay,['Uruguay'],right,178,72,False,11.8,6.75,69.33,3.77,67.03,0.25,0.35000000000000003,0.62,6.88,9.65,0.66,3,0.12,0,0.0,1.12,0.21,4,0.17,0.15,1,0.04,32,1.33,37.5,15.625,0.04,0.37,44.44,0.12,33.33,0.25,50.0,0.0,0.62,73.33,2.69,64.62,0.8300000000000001,0.54,0.0,24.02,0.17,1.08,40.09,82.75,16.36,71.65,3.69,92.13,32.22,88.3,7.5,60.77,20.07,33.13,0.02,0.54,0.0,0.04,0.08,0.0,0.17,9.32,72.0,1.99,56.25,0.99,45.83,0.9500000000000001,0.17,9.28,77.23,91.99,14.99,0,,0,,0,0.0,0.0,0.0,,,0.87,,3.77,0.29,0.25,83.33,0.0,2,50.0
H. Sanhueza,Henry Steven Sanhueza Galaz,245739,Curicó Unido,Curicó Unido,https://cdn5.wyscout.com/photos/team/public/1667_120x120.png,Primera B,"LDMF, LCMF, RCB",LDMF,32,LCMF,22,RCB,15,30.0,1996-03-24,0,,22,2173,2,1.32,0,0.26,12.14,53.92,Chile,['Chile'],right,178,66,False,9.73,5.76,67.63,2.65,54.69,0.7000000000000001,0.93,0.37,5.14,6.75,1.12,4,0.17,0,0.0,0.37,0.08,2,0.08,0.05,1,0.04,12,0.5,41.67,16.667,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.37,44.44,1.78,23.26,0.29,0.29,0.04,23.86,0.0,0.12,40.63,79.61,15.74,64.74,3.6,97.7,33.84,85.43,6.75,50.92,21.92,38.65,0.01,0.21,0.04,0.0,0.0,0.0,0.04,7.33,62.15,0.91,22.73,0.58,35.71,0.17,0.0,7.91,63.35,91.11,16.77,0,,0,,0,0.0,0.0,0.0,,,0.62,,2.65,0.12,0.12,33.33,0.0,0,0.0
D. Plaza,Diego Eduardo Plaza Ramos,-227499,Deportes Santa Cruz,Deportes Santa Cruz,https://cdn5.wyscout.com/photos/team/public/g11197_120x120.png,Primera B,"RCMF3, LDMF, RDMF",RCMF3,21,LDMF,19,RDMF,18,23.0,2003-01-02,0,,22,2169,0,1.32,2,1.0,16.39,49.62,Chile,['Chile'],right,178,67,False,10.83,6.93,62.28,3.03,50.68,1.37,1.94,0.33,5.15,7.28,0.91,4,0.17,0,0.0,1.2,0.0,0,0.0,0.05,0,0.0,44,1.83,18.18,0.0,0.08,0.79,15.79,0.25,16.67,0.54,15.38,0.04,1.33,53.13,4.32,33.65,0.75,0.75,0.04,22.57,0.66,0.75,36.27,79.86,14.02,70.12,4.32,93.27,30.79,84.91,4.69,57.52,19.3,38.11,0.04,0.79,0.0,0.04,0.08,50.0,0.29,7.84,71.43,1.49,44.44,0.37,44.44,0.5,0.21,6.51,78.98,85.17,12.03,0,,0,,0,0.0,0.0,0.0,,,0.54,,3.03,0.04,0.04,0.0,0.04,0,0.0
