Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Daniela Santos,Daniela Areia Santos,-371167,Valadares Gaia,Valadares Gaia,https://cdn5.wyscout.com/photos/team/public/g25012_120x120.png,1a Divisão Women,"LCB, RCB3, CB",LCB,57,RCB3,21,CB,15,22.0,2004-02-18,0,,18,1844,1,0.9400000000000001,1,0.19,10.49,58.6,Portugal,['Portugal'],unknown,0,0,False,7.03,4.98,69.61,2.25,43.48,0.05,0.07,0.39,3.51,5.09,0.49,0,0.0,0,0.0,0.44,0.05,1,0.05,0.05,1,0.05,7,0.34,14.29,14.286,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.54,72.73,2.39,44.9,0.63,0.15,0.0,17.33,0.05,0.34,31.14,80.25,14.01,66.9,2.88,94.92,24.6,88.49,6.49,49.62,21.8,36.97,0.01,0.05,0.0,0.05,0.0,0.0,0.05,3.07,60.32,0.34,0.0,0.44,11.11,0.15,0.0,7.22,56.08,93.7,11.62,0,,0,,0,0.0,0.0,0.0,,,2.34,,2.25,0.05,0.0,0.0,0.0,0,0.0
T. Sornpao,Tiffany Sornpao,-126694,Vitória Guimarães,Vitória Guimarães,https://cdn5.wyscout.com/photos/team/public/g-24640_120x120.png,1a Divisão Women,GK,GK,100,,0,,0,27.0,1998-05-22,0,,18,1800,0,0.0,0,0.0,1.65,75.76,Thailand,['Thailand'],,170,0,False,2.95,0.2,50.0,1.05,80.95,0.0,0.0,0.0,2.85,3.89,0.1,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,80.0,0.0,0.0,0.0,10.15,0.1,0.2,20.55,80.05,10.05,63.68,0.0,0.0,12.4,96.37,8.15,55.21,31.89,47.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,36.11,0.15,0.0,0.0,0.0,0.0,0.0,5.05,63.37,95.79,9.5,19,0.9500000000000001,102,5.1,5,81.37,27.33,1.37,8.33,0.417,0.0,2.2,1.05,,,,0.0,0,0.0
Gabriela Zidoi,Gabriela Zidoi Melo dos Santos,-271935,Marítimo,Marítimo,https://cdn5.wyscout.com/photos/team/public/g-9284_120x120.png,1a Divisão Women,"RCB, CB",RCB,81,CB,15,,0,25.0,2000-10-03,0,,18,1795,3,1.27,1,0.32,12.84,59.77,Brazil,['Brazil'],unknown,0,0,False,11.83,5.57,69.37,3.86,59.74,0.0,0.0,1.4,7.97,10.17,0.30000000000000004,1,0.05,0,0.0,0.5,0.15,3,0.15,0.06,1,0.05,17,0.85,29.41,17.647,0.05,0.2,75.0,0.15,66.67,0.0,0.0,0.05,0.2,50.0,1.96,38.46,0.7000000000000001,0.05,0.0,11.18,0.1,0.8,26.72,66.04,13.74,50.0,2.51,92.0,17.5,80.23,9.03,38.33,25.07,37.72,0.02,0.1,0.0,0.0,0.0,0.0,0.05,3.71,36.49,0.65,30.77,0.55,27.27,0.1,0.2,7.92,40.51,85.12,8.42,0,,0,,0,0.0,0.0,0.0,,,1.9100000000000001,,3.86,0.35000000000000003,0.30000000000000004,16.67,0.05,0,0.0
S. Heinrichs,Sade Heinrichs,-200393,Marítimo,Marítimo,https://cdn5.wyscout.com/photos/team/public/g-9284_120x120.png,1a Divisão Women,"LCB, LDMF, LCB3",LCB,29,LDMF,28,LCB3,15,24.0,2002-04-25,0,,18,1795,3,4.07,1,0.44,13.34,50.75,Germany,['Germany'],,175,0,False,9.08,6.12,58.2,1.3,42.31,0.0,0.0,0.65,5.52,7.04,0.75,1,0.05,0,0.0,1.2,0.15,0,0.0,0.2,0,0.0,21,1.05,52.38,14.286,0.05,0.1,100.0,0.0,0.0,0.1,100.0,0.0,1.05,52.38,4.21,44.05,0.4,0.85,0.0,16.3,0.1,0.2,30.89,69.97,16.25,60.49,2.21,88.64,24.87,77.42,5.92,38.14,21.26,37.8,0.02,0.35000000000000003,0.0,0.1,0.15,0.0,0.15,7.87,52.23,1.35,37.04,0.9,27.78,0.45,0.1,8.67,64.16,88.69,8.42,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.3,0.05,0.05,100.0,0.0,4,75.0
L. Lewis,Leah Nicole Lewis,-396568,Sporting Braga,Sporting Braga,https://cdn5.wyscout.com/photos/team/public/g37416_120x120.png,1a Divisão Women,RCB,RCB,94,,0,,0,27.0,1998-07-23,0,,18,1790,0,0.9400000000000001,1,0.0,8.55,58.24,United States,['United States'],unknown,0,0,False,4.53,2.56,72.55,4.02,58.75,0.05,0.08,0.30000000000000004,2.61,4.19,0.35000000000000003,0,0.0,0,0.0,0.4,0.0,0,0.0,0.05,0,0.0,7,0.35000000000000003,57.14,0.0,0.05,0.05,100.0,0.0,0.0,0.05,100.0,0.0,0.30000000000000004,50.0,0.91,22.22,0.65,1.26,0.05,34.24,0.35000000000000003,0.05,48.52,87.46,21.97,79.63,1.6600000000000001,96.97,43.84,91.86,4.63,45.65,20.62,38.74,0.0,0.0,0.0,0.05,0.0,0.0,0.0,4.83,59.38,0.6000000000000001,25.0,0.4,12.5,0.15,0.05,7.89,68.79,96.25,21.47,0,,0,,0,0.0,0.0,0.0,,,1.26,,4.02,0.0,0.0,0.0,0.0,0,0.0
Vanessa Marques,Vanessa Marques Malho,236543,Vitória Guimarães,Vitória Guimarães,https://cdn5.wyscout.com/photos/team/public/g-24640_120x120.png,1a Divisão Women,"AMF, LDMF, RCMF",AMF,37,LDMF,16,RCMF,15,30.0,1996-04-12,0,,19,1773,3,5.46,0,0.5700000000000001,21.37,47.03,Portugal,"['Portugal', 'France']",,175,0,False,7.82,4.62,68.13,5.69,56.25,0.05,0.07,0.41000000000000003,4.62,6.23,0.56,0,0.0,0,0.0,1.42,0.15,2,0.1,0.28,1,0.05,35,1.78,40.0,8.571,0.0,0.15,0.0,0.05,0.0,0.1,0.0,0.0,1.12,50.0,8.83,34.48,1.73,0.1,0.05,16.8,1.32,1.98,29.34,76.12,8.43,63.25,6.45,86.61,27.46,78.0,1.73,52.94,15.42,27.45,0.03,0.46,0.0,0.0,0.25,60.0,0.05,3.5,60.87,0.66,53.85,0.25,60.0,0.30000000000000004,0.05,4.26,51.19,77.35,9.19,0,,0,,0,0.0,0.0,0.0,,,0.2,,5.69,0.0,0.0,0.0,0.0,1,100.0
E. Parkinson,Erica Parkinson,-407828,Valadares Gaia,Valadares Gaia,https://cdn5.wyscout.com/photos/team/public/g25012_120x120.png,1a Divisão Women,"AMF, RCMF3, RCMF",AMF,23,RCMF3,20,RCMF,17,18.0,2008-04-18,0,,19,1772,5,5.27,1,1.45,28.44,50.71,England,['England'],unknown,0,0,False,10.87,9.65,60.53,1.12,22.73,1.02,1.51,0.1,4.01,5.95,2.18,2,0.1,0,0.0,3.71,0.25,2,0.1,0.27,0,0.0,38,1.9300000000000002,39.47,13.158,0.05,1.73,17.65,0.41000000000000003,0.0,1.32,23.08,0.25,4.42,58.62,14.27,47.69,2.54,2.18,0.30000000000000004,17.73,1.17,2.49,28.9,76.63,9.95,70.41,4.52,91.01,24.89,84.08,2.29,40.0,16.59,31.5,0.07,0.86,0.05,0.0,0.1,50.0,0.36,4.42,63.22,2.29,40.0,0.51,30.0,0.97,0.46,4.98,73.47,76.4,8.18,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.12,0.36,0.05,100.0,0.81,3,100.0
Madalena Marau,Madalena Silva Ferreira,-182437,Racing Seixal,Racing Seixal,https://cdn5.wyscout.com/photos/team/public/g-19508_120x120.png,1a Divisão Women,"LB, LCB3, LB5",LB,50,LCB3,23,LB5,15,29.0,1996-12-28,0,,18,1765,1,0.9,1,0.64,11.58,55.95,Portugal,['Portugal'],,170,57,False,7.34,6.12,65.83,1.6800000000000002,36.36,0.05,0.07,0.05,3.26,4.54,0.46,2,0.1,0,0.0,1.12,0.05,1,0.05,0.05,0,0.0,9,0.46,33.33,11.111,0.05,2.09,26.83,2.09,26.83,0.0,0.0,0.15,0.76,46.67,2.5,48.98,0.66,1.07,0.15,20.14,1.48,0.97,30.24,65.43,15.2,58.72,3.21,92.06,23.3,73.52,5.0,42.86,20.17,32.99,0.03,0.41000000000000003,0.05,0.1,0.05,100.0,0.2,4.59,54.44,2.75,27.78,0.46,33.33,0.31,0.61,8.11,57.23,68.75,7.34,0,,0,,0,0.0,0.0,0.0,,,0.87,,1.6800000000000002,0.15,0.1,50.0,0.0,0,0.0
Bárbara Lopes,Bárbara Alexandra Santos Lopes,478675,SCU Torreense,SCU Torreense,https://cdn5.wyscout.com/photos/team/public/g-12894_120x120.png,1a Divisão Women,"LCB3, LB, LCB",LCB3,63,LB,23,LCB,12,24.0,2002-01-15,0,,18,1719,0,0.25,1,0.6000000000000001,13.14,55.38,Portugal,['Portugal'],,0,0,False,7.54,6.13,66.67,1.88,41.67,0.1,0.17,0.21,3.35,5.39,0.89,2,0.1,0,0.0,1.15,0.0,0,0.0,0.01,0,0.0,6,0.31,33.33,0.0,0.05,0.42,62.5,0.37,57.14,0.05,100.0,0.0,0.89,88.24,3.87,47.3,0.05,1.15,0.1,35.45,0.52,0.58,50.21,84.46,21.15,72.77,4.14,93.67,44.87,89.03,4.92,44.68,17.75,36.27,0.03,0.26,0.0,0.0,0.0,0.0,0.16,6.07,68.97,1.05,35.0,0.52,30.0,0.16,0.26,9.32,66.85,94.5,17.12,0,,0,,0,0.0,0.0,0.0,,,1.62,,1.88,0.05,0.0,0.0,0.31,0,0.0
Madalena Fernandes,Madalena Abreu Contente Fernandes,-182483,Rio Ave,Rio Ave,https://cdn5.wyscout.com/photos/team/public/g-24641_120x120.png,1a Divisão Women,"RB, RWB, LCB3",RB,49,RWB,12,LCB3,10,27.0,1999-04-16,0,,18,1719,0,0.59,1,1.16,12.51,55.65,Portugal,['Portugal'],,0,0,False,10.16,7.23,59.42,1.99,47.37,0.0,0.0,0.37,5.86,7.62,0.58,2,0.1,0,0.0,1.3599999999999999,0.0,0,0.0,0.03,0,0.0,5,0.26,60.0,0.0,0.05,2.04,28.21,0.52,40.0,1.47,25.0,0.42,0.99,63.16,2.04,56.41,0.63,0.63,0.21,11.83,0.42,0.68,24.55,55.44,12.36,48.73,2.5700000000000003,89.8,18.43,63.07,4.29,34.15,18.54,34.3,0.06,0.52,0.0,0.0,0.1,0.0,0.37,4.14,44.3,2.36,26.67,0.42,37.5,0.26,0.68,6.23,53.78,51.96,5.34,0,,0,,0,0.0,0.0,0.0,,,0.21,,1.99,0.05,0.0,0.0,0.05,0,0.0
