Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Shumei Hou,Shumei Hou,-545342,Liaoning Shenbei Hefeng,Liaoning Shenbei Hefeng,https://cdn5.wyscout.com/photos/team/public/g-21014_120x120.png,Super League Women,GK,GK,100,,0,,0,17.0,2007-12-30,0,,22,2168,0,0.0,0,0.0,1.49,86.11,China PR,['China PR'],unknown,0,0,False,1.9100000000000001,0.17,75.0,0.9500000000000001,86.96,0.0,0.0,0.0,1.79,2.7199999999999998,0.08,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,9.51,0.04,0.62,17.52,75.12,10.38,65.2,0.0,0.0,9.46,95.61,7.93,51.83,33.17,45.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.12,0.0,0.0,0.0,0.0,0.0,5.48,54.55,90.57,6.6,17,0.71,91,3.7800000000000002,10,81.32,22.89,0.9500000000000001,5.89,0.245,0.0,1.79,0.9500000000000001,,,,0.0,0,0
S. Han,Su Han,-686516,Chongqing Yongchuan,Chongqing Yongchuan,https://cdn5.wyscout.com/photos/team/public/g-17626_120x120.png,Super League Women,"LCMF, RCMF, DMF",LCMF,44,RCMF,41,DMF,11,23.0,2002-08-23,0,,22,2158,3,0.76,3,2.07,14.47,46.97,China PR,['China PR'],unknown,0,0,False,8.67,5.67,64.71,1.04,36.0,0.13,0.17,0.13,4.88,6.7,1.04,1,0.04,0,0.0,1.46,0.13,3,0.13,0.03,0,0.0,25,1.04,48.0,12.0,0.13,0.71,41.18,0.29,28.57,0.33,62.5,0.0,1.21,55.17,5.3,33.86,0.33,0.08,0.0,28.82,0.5,0.71,42.08,80.28,14.22,64.81,6.17,90.54,36.87,84.95,4.5,48.15,17.38,33.93,0.09,0.8300000000000001,0.0,0.04,0.04,0.0,0.08,5.25,60.32,1.33,37.5,1.0,33.33,0.38,0.33,7.05,62.72,89.78,15.51,0,,0,,0,0.0,0.0,0.0,,,0.08,,1.04,0.88,0.04,0.0,1.42,0,0
Wang Furong,Wang Furong,-411924,Chongqing Yongchuan,Chongqing Yongchuan,https://cdn5.wyscout.com/photos/team/public/g-17626_120x120.png,Super League Women,GK,GK,100,,0,,0,25.0,2000-04-01,0,,22,2158,0,0.0,0,0.0,0.75,77.78,China PR,['China PR'],unknown,174,65,False,1.75,0.08,0.0,0.54,92.31,0.0,0.0,0.0,1.75,2.4,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,0.0,0.0,0.0,4.17,0.0,0.04,12.09,76.55,7.34,64.2,0.0,0.0,7.01,96.43,5.09,49.18,31.45,43.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,53.33,0.04,0.0,0.04,0.0,0.0,0.0,3.8,56.04,95.19,4.34,34,1.42,94,3.92,4,63.83,28.51,1.19,-5.49,-0.229,0.0,1.71,0.54,,,,0.0,0,0
F. Yiqiao,Fan Yiqiao,-537036,Liaoning Shenbei Hefeng,Liaoning Shenbei Hefeng,https://cdn5.wyscout.com/photos/team/public/g-21014_120x120.png,Super League Women,"RCMF, LB, DMF",RCMF,42,LB,13,DMF,12,18.0,2007-01-30,0,,22,2157,2,2.05,4,1.25,14.65,47.58,China PR,['China PR'],unknown,0,0,False,8.3,6.47,70.97,1.29,25.81,0.0,0.0,0.08,3.71,5.63,0.63,1,0.04,0,0.0,1.92,0.08,2,0.08,0.09,0,0.0,28,1.17,39.29,7.143,0.17,1.13,48.15,0.38,44.44,0.75,50.0,0.13,1.63,48.72,5.17,29.03,0.67,0.71,0.17,17.27,0.54,0.38,25.91,72.62,11.18,59.7,3.13,92.0,21.82,78.01,2.96,42.25,17.96,29.7,0.05,0.75,0.04,0.04,0.25,50.0,0.5,5.13,58.54,1.88,51.11,0.63,33.33,0.5,0.5,5.59,72.39,83.14,7.18,0,,0,,0,0.0,0.0,0.0,,,0.33,,1.29,0.0,0.0,0.0,0.0,0,0
Yang Xiaoxia,Yang Xiaoxia,520615,Shaanxi Changan,Shaanxi Changan,https://cdn5.wyscout.com/photos/team/public/g-16070_120x120.png,Super League Women,"CB, LCB, RCB3",CB,39,LCB,34,RCB3,12,25.0,2000-10-08,0,,22,2145,1,0.79,1,0.26,10.11,63.9,China PR,['China PR'],,0,0,False,10.36,3.23,62.34,3.7800000000000002,77.78,0.17,0.2,0.67,8.18,9.9,0.34,2,0.08,0,0.0,0.55,0.04,1,0.04,0.03,1,0.04,9,0.38,33.33,11.111,0.04,0.55,53.85,0.17,50.0,0.38,55.56,0.13,0.38,33.33,2.01,37.5,0.29,0.25,0.0,12.04,0.08,0.63,29.24,66.57,16.95,55.2,2.14,90.2,19.43,79.7,9.27,39.82,24.66,38.27,0.01,0.29,0.04,0.04,0.0,0.0,0.04,6.76,49.69,1.51,36.11,0.63,13.33,0.21,0.38,9.1,54.84,85.16,7.64,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.7800000000000002,2.43,0.04,0.0,0.0,0,0
Wang Xinxin,Xinxin Wang,-412148,Changchun Dazhong,Changchun Dazhong,https://cdn5.wyscout.com/photos/team/public/g19391_120x120.png,Super League Women,"RCB3, RCB, RB",RCB3,40,RCB,27,RB,14,33.0,1992-12-05,0,,22,2116,0,1.12,0,0.16,14.12,60.24,China PR,['China PR'],unknown,168,56,False,8.89,6.59,67.74,2.13,62.0,0.38,0.62,0.55,4.04,6.49,0.85,0,0.0,0,0.0,0.77,0.0,0,0.0,0.05,0,0.0,14,0.6000000000000001,7.14,0.0,0.0,0.89,38.1,0.09,50.0,0.81,36.84,0.04,0.47000000000000003,81.82,3.4,48.75,0.6000000000000001,0.64,0.09,31.43,0.21,1.02,46.23,78.56,23.48,70.29,3.74,90.91,36.96,87.11,8.42,45.45,20.67,34.73,0.01,0.17,0.0,0.0,0.0,0.0,0.04,7.4,55.17,1.19,46.43,0.30000000000000004,28.57,0.26,0.30000000000000004,11.06,67.69,88.44,14.72,0,,0,,0,0.0,0.0,0.0,,,1.23,,2.13,0.0,0.0,0.0,0.0,0,0
Guo Nan,Nan Guo,-412183,Changchun Dazhong,Changchun Dazhong,https://cdn5.wyscout.com/photos/team/public/g19391_120x120.png,Super League Women,"LB, LCB3, LWB",LB,42,LCB3,24,LWB,22,21.0,2004-11-05,0,,22,2088,1,0.66,2,2.2800000000000002,13.97,58.95,China PR,['China PR'],unknown,172,63,False,12.03,6.38,71.62,2.03,59.57,0.30000000000000004,0.48,0.39,7.16,11.47,0.43,1,0.04,0,0.0,1.9,0.04,1,0.04,0.03,0,0.0,12,0.52,16.67,8.333,0.09,2.5,34.48,2.46,33.33,0.04,100.0,0.39,1.16,74.07,3.9699999999999998,42.39,0.73,1.42,0.13,29.35,1.34,0.65,44.48,73.26,17.5,62.56,6.64,88.96,35.3,81.32,6.72,44.87,19.21,33.16,0.1,0.6900000000000001,0.0,0.0,0.09,100.0,0.34,6.59,56.21,3.62,39.29,0.8200000000000001,31.58,0.6900000000000001,0.9500000000000001,10.78,62.4,76.58,13.62,0,,0,,0,0.0,0.0,0.0,,,0.56,,2.03,0.04,0.04,0.0,0.0,0,0
Zhao Xinyue,Zhao  Xinyue,-412111,Shaanxi Changan,Shaanxi Changan,https://cdn5.wyscout.com/photos/team/public/g-16070_120x120.png,Super League Women,"RB5, RB",RB5,49,RB,45,,0,21.0,2004-02-13,0,,22,2081,0,0.49,0,1.11,14.32,50.45,China PR,['China PR'],unknown,0,0,False,8.26,6.23,66.67,2.59,35.0,0.04,0.05,0.22,4.07,4.95,0.52,0,0.0,0,0.0,1.47,0.0,0,0.0,0.02,0,0.0,7,0.30000000000000004,0.0,0.0,0.0,2.08,37.5,0.0,0.0,2.03,38.3,0.30000000000000004,0.9500000000000001,72.73,4.02,34.41,0.48,1.04,0.04,12.76,0.39,0.78,24.65,61.23,11.89,50.91,4.11,89.47,17.99,68.99,4.63,41.12,19.1,31.72,0.05,0.26,0.04,0.0,0.04,0.0,0.13,4.89,41.59,2.29,43.4,0.35000000000000003,12.5,0.39,0.86,7.31,60.36,59.83,5.06,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,2.59,0.0,0.0,0.0,0.0,0,0
Tan Shan,Tan Shan,-411892,Chongqing Yongchuan,Chongqing Yongchuan,https://cdn5.wyscout.com/photos/team/public/g-17626_120x120.png,Super League Women,CB,CB,99,,0,,0,29.0,1996-07-01,0,,21,2062,0,0.37,0,0.15,10.52,56.43,China PR,['China PR'],unknown,165,58,False,9.38,5.37,65.85,2.44,51.79,0.35000000000000003,0.48,0.74,5.5,7.49,0.7000000000000001,2,0.09,0,0.0,0.48,0.0,0,0.0,0.02,0,0.0,4,0.17,25.0,0.0,0.0,0.44,50.0,0.17,0.0,0.22,80.0,0.0,0.48,45.45,1.53,45.71,0.09,0.17,0.04,27.67,0.09,0.44,43.25,84.46,17.5,73.82,1.57,88.89,36.66,89.64,6.2,55.63,20.03,33.81,0.01,0.04,0.04,0.0,0.0,0.0,0.04,2.71,66.13,0.7000000000000001,56.25,0.26,50.0,0.17,0.22,8.07,52.43,94.11,20.73,0,,0,,0,0.0,0.0,0.0,,,0.87,,2.44,0.26,0.0,0.0,0.0,0,0
Huang Wang,Huang Wang,-412197,Chongqing Yongchuan,Chongqing Yongchuan,https://cdn5.wyscout.com/photos/team/public/g-17626_120x120.png,Super League Women,LCB3,LCB3,95,,0,,0,30.0,1995-06-19,0,,21,2057,1,0.72,1,0.6000000000000001,10.5,61.25,China PR,['China PR'],unknown,169,59,False,9.63,4.42,75.25,2.63,58.33,0.13,0.18,0.66,6.17,8.43,0.44,1,0.04,0,0.0,0.8300000000000001,0.04,1,0.04,0.03,0,0.0,5,0.22,40.0,20.0,0.04,0.88,60.0,0.7000000000000001,68.75,0.18,25.0,0.0,0.39,55.56,2.19,44.0,0.35000000000000003,0.44,0.0,27.83,0.13,0.66,44.5,77.38,19.08,63.99,2.14,85.71,34.65,87.88,9.06,39.13,23.02,40.92,0.03,0.35000000000000003,0.0,0.0,0.0,0.0,0.18,6.39,41.1,1.79,31.71,1.01,13.04,0.13,0.44,9.19,55.71,90.23,19.25,0,,0,,0,0.0,0.0,0.0,,,0.79,,2.63,0.18,0.0,0.0,0.0,0,0
