Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Aparicio,Manuel Aparicio,294284,Atlético Ottawa,Atlético Ottawa,https://cdn5.wyscout.com/photos/team/public/g-12442_120x120.png,Canadian Premier League,"RCMF, LCMF, RDMF",RCMF,59,LCMF,14,RDMF,11,30.0,1995-09-17,250000,2027-12-31,20,2043,1,1.11,2,1.45,13.0,52.88,Argentina,"['Argentina', 'Canada']",right,170,66,False,7.71,6.74,58.82,1.37,48.39,0.22,0.36,0.26,3.52,5.77,1.19,5,0.22,0,0.0,1.01,0.04,1,0.04,0.05,1,0.04,21,0.93,9.52,4.7620000000000005,0.09,0.84,36.84,0.26,33.33,0.5700000000000001,38.46,0.22,0.93,61.9,4.14,47.87,0.84,0.84,0.22,39.96,0.4,0.79,49.87,83.13,14.67,69.37,9.91,96.44,45.37,86.7,3.74,50.59,17.05,43.31,0.06,0.62,0.0,0.13,0.09,50.0,0.53,7.89,71.51,2.56,43.1,0.18,50.0,0.84,0.22,6.87,73.08,86.61,16.78,0,,0,,0,0.0,0.0,0.0,,,0.31,,1.37,0.09,0.09,0.0,0.0,0,0.0
M. Campagna,Matteo Campagna,-282973,Vancouver FC,Vancouver FC,https://cdn5.wyscout.com/photos/team/public/g-17439_120x120.png,Canadian Premier League,RCB,RCB,93,,0,,0,22.0,2004-06-27,0,2026-12-31,20,2008,1,0.84,0,0.18,7.71,68.02,Canada,"['Canada', 'Italy']",right,190,73,False,7.57,4.35,69.07,2.02,66.67,0.04,0.05,0.36,4.53,5.11,0.67,3,0.13,0,0.0,0.18,0.04,1,0.04,0.04,1,0.04,6,0.27,50.0,16.667,0.0,0.18,25.0,0.09,0.0,0.09,50.0,0.0,0.09,0.0,0.49,54.55,0.72,0.45,0.04,36.93,0.63,0.36,49.8,88.21,22.46,80.04,1.6600000000000001,94.59,43.21,93.98,6.41,51.05,23.05,47.89,0.01,0.13,0.04,0.0,0.0,0.0,0.09,6.32,73.76,0.67,26.67,0.18,25.0,0.27,0.04,9.5,75.0,96.75,22.1,0,,0,,0,0.0,0.0,0.0,,,0.99,,2.02,0.0,0.0,0.0,0.0,0,0.0
M. Doner,Morey Doner,-124099,Vancouver FC,Vancouver FC,https://cdn5.wyscout.com/photos/team/public/g-17439_120x120.png,Canadian Premier League,RB,RB,93,,0,,0,32.0,1994-03-25,200000,2027-12-31,20,1970,0,0.15,2,4.57,14.53,58.49,Canada,['Canada'],right,173,71,False,6.72,5.3,49.14,0.87,47.37,0.05,0.05,0.09,4.07,4.54,0.37,0,0.0,0,0.0,3.65,0.0,0,0.0,0.01,0,0.0,2,0.09,0.0,0.0,0.09,4.29,36.17,0.0,0.0,4.29,36.17,1.01,2.6,80.7,7.36,66.46,0.96,2.65,0.5,27.78,2.2800000000000002,2.88,37.69,81.09,9.5,70.67,8.68,95.79,31.2,88.87,2.51,56.36,18.16,39.07,0.21,1.19,0.05,0.0,0.0,0.0,0.91,2.7,72.88,3.34,50.68,0.0,0.0,0.5,1.6,6.35,68.35,78.6,11.1,0,,0,,0,0.0,0.0,0.0,,,0.64,,0.87,0.0,0.0,0.0,0.09,0,0.0
D. Bertaud,Dimitry Bertaud,393157,Forge,Forge,https://cdn5.wyscout.com/photos/team/public/g-10178_120x120.png,Canadian Premier League,GK,GK,100,,0,,0,28.0,1998-06-06,0,,19,1917,0,0.0,0,0.0,0.47000000000000003,90.0,France,"['France', 'Congo DR']",right,180,85,False,0.38,0.05,100.0,0.33,85.71,0.0,0.0,0.0,0.33,0.42,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,9.95,0.0,0.09,16.06,86.26,6.76,72.22,0.09,100.0,11.46,97.54,4.55,58.76,29.43,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,36.36,0.14,33.33,0.0,0.0,0.05,0.0,2.86,60.66,97.04,7.93,14,0.66,48,2.25,9,70.83,15.98,0.75,1.98,0.093,0.05,1.78,0.33,,,,0.0,0,0.0
M. Carducci,Marco Carducci,289020,HFX Wanderers FC,HFX Wanderers FC,https://cdn5.wyscout.com/photos/team/public/g-10181_120x120.png,Canadian Premier League,GK,GK,100,,0,,0,29.0,1996-09-24,175000,2027-12-31,19,1904,0,0.0,0,0.0,0.5700000000000001,91.67,Canada,['Canada'],right,185,87,False,0.38,0.09,100.0,0.24,100.0,0.0,0.0,0.0,0.28,0.34,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,75.0,0.0,0.0,0.0,12.95,0.14,0.19,20.09,88.0,8.41,74.16,0.09,50.0,15.13,99.06,4.92,53.85,26.69,50.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,51.61,0.05,100.0,0.05,100.0,0.05,0.0,3.59,65.79,97.96,9.26,30,1.42,86,4.07,4,65.12,30.65,1.45,0.65,0.031,0.0,1.56,0.24,,,,0.0,0,0.0
L. Callegari,Lorenzo Callegari,376905,HFX Wanderers FC,HFX Wanderers FC,https://cdn5.wyscout.com/photos/team/public/g-10181_120x120.png,Canadian Premier League,"RCMF3, RCMF, DMF",RCMF3,50,RCMF,16,DMF,16,28.0,1998-02-27,200000,2026-12-31,19,1904,3,0.77,1,2.52,11.63,50.81,France,"['France', 'Italy']",right,174,71,False,7.23,6.62,57.86,0.99,47.62,0.28,0.34,0.09,3.12,3.79,1.56,5,0.24,0,0.0,0.8,0.14,3,0.14,0.04,0,0.0,17,0.8,23.53,17.647,0.05,0.76,18.75,0.33,14.29,0.43,22.22,0.09,0.85,50.0,3.26,40.58,0.38,1.04,0.19,48.31,0.47000000000000003,0.43,63.91,87.72,18.91,78.0,12.01,94.88,58.09,90.81,5.15,62.39,20.13,45.72,0.12,0.9,0.05,0.0,0.09,50.0,0.38,11.11,75.32,2.41,39.22,0.28,16.67,0.76,0.14,11.2,83.12,91.18,23.59,0,,0,,0,0.0,0.0,0.0,,,1.04,,0.99,1.28,0.33,14.29,1.51,0,0.0
B. Tabla,Ballou Jean-Yves Tabla,393460,Atlético Ottawa,Atlético Ottawa,https://cdn5.wyscout.com/photos/team/public/g-12442_120x120.png,Canadian Premier League,"LWF, AMF, CF",LWF,45,AMF,35,CF,12,27.0,1999-03-31,300000,2026-12-31,20,1876,9,6.14,1,1.11,10.46,47.71,Côte d'Ivoire,"[""Côte d'Ivoire"", 'Canada']",right,173,82,False,2.01,1.92,42.5,0.58,50.0,0.0,0.0,0.05,1.2,1.96,0.86,2,0.1,0,0.0,2.16,0.43,7,0.34,0.29,0,0.0,36,1.73,47.22,25.0,0.05,0.96,20.0,0.67,21.43,0.29,16.67,0.24,1.87,58.97,7.05,48.98,3.74,1.78,0.19,24.37,1.1,1.63,25.91,85.56,5.33,79.28,7.53,95.54,24.51,88.26,0.58,75.0,14.72,21.25,0.05,0.67,0.0,0.0,0.1,50.0,0.38,1.97,75.61,1.78,54.05,0.14,33.33,1.3900000000000001,0.1,1.87,79.49,85.06,7.39,0,,0,,0,0.0,0.0,0.0,,,0.1,,0.58,0.0,0.0,0.0,0.05,2,100.0
A. Batisse,Antoine Batisse,353927,Forge,Forge,https://cdn5.wyscout.com/photos/team/public/g-10178_120x120.png,Canadian Premier League,"LCB, RCB",LCB,56,RCB,10,,0,31.0,1995-01-13,0,,19,1867,3,2.49,1,0.03,10.07,52.15,France,['France'],right,186,87,False,5.83,4.29,53.93,2.75,49.12,0.29,0.37,0.39,3.23,4.11,1.16,4,0.19,0,0.0,0.63,0.14,3,0.14,0.12,2,0.1,14,0.67,50.0,21.429,0.05,0.14,66.67,0.0,0.0,0.14,66.67,0.05,0.39,50.0,1.83,50.0,1.35,1.25,0.05,28.68,0.29,0.8200000000000001,40.16,88.12,15.86,78.42,2.12,100.0,36.59,91.7,3.42,50.7,20.4,39.04,0.0,0.05,0.1,0.0,0.0,0.0,0.05,5.78,69.17,0.53,36.36,0.0,0.0,0.24,0.1,5.93,73.98,96.23,17.88,0,,0,,0,0.0,0.0,0.0,,,0.96,,2.75,0.0,0.0,0.0,0.0,0,0.0
B. Paton,Benjamin Alan  Paton,-677102,Forge,Forge,https://cdn5.wyscout.com/photos/team/public/g-10178_120x120.png,Canadian Premier League,"LDMF, LB, LCMF3",LDMF,34,LB,21,LCMF3,20,26.0,2000-05-05,0,,19,1865,2,2.86,1,1.44,11.0,53.51,Canada,['Canada'],left,176,0,False,5.12,3.96,62.2,1.11,56.52,0.1,0.12,0.39,2.56,3.26,0.77,1,0.05,0,0.0,1.79,0.1,2,0.1,0.14,1,0.05,35,1.69,22.86,5.714,0.05,0.8200000000000001,29.41,0.72,26.67,0.1,50.0,0.29,1.54,68.75,4.68,49.48,1.5,1.54,0.19,24.32,0.87,1.01,31.99,85.52,9.7,74.63,5.5,98.25,28.28,90.1,2.9,56.67,18.62,39.81,0.07,0.63,0.1,0.0,0.19,50.0,0.43,4.58,76.84,1.9300000000000002,47.5,0.24,40.0,0.8200000000000001,0.29,4.68,78.35,86.92,11.44,0,,0,,0,0.0,0.0,0.0,,,0.24,,1.11,0.0,0.0,0.0,0.0,0,0.0
I. Johnston,Isaiah Johnston,-193334,HFX Wanderers FC,HFX Wanderers FC,https://cdn5.wyscout.com/photos/team/public/g-10181_120x120.png,Canadian Premier League,"RWF, AMF, LWF",RWF,32,AMF,16,LWF,15,24.0,2001-12-16,0,2026-12-31,20,1836,7,8.26,2,2.38,12.84,37.02,Canada,['Canada'],both,182,0,False,3.48,3.73,42.11,1.13,21.74,0.15,0.18,0.1,1.76,2.12,1.08,4,0.2,0,0.0,3.04,0.34,4,0.2,0.4,0,0.0,40,1.96,57.5,17.5,0.1,2.16,36.36,0.74,40.0,1.42,34.48,0.34,2.25,47.83,7.01,35.66,2.75,1.08,0.25,20.0,1.37,0.29,24.36,76.66,6.42,63.36,5.83,93.28,20.0,83.33,2.3,57.45,18.21,34.23,0.12,0.78,0.05,0.05,0.15,33.33,0.6900000000000001,3.33,63.24,2.94,41.67,0.34,14.29,0.78,0.59,3.8200000000000003,76.92,76.58,7.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.13,0.05,0.05,0.0,0.0,3,100.0
