Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. McNeil,Andrew McNeil,-219244,Stirling Albion,Stirling Albion,https://cdn5.wyscout.com/photos/team/public/2654_120x120.png,League Two,GK,GK,100,,0,,0,25.0,2001-03-29,0,,5,475,0,0.0,0,0.0,0.76,100.0,Scotland,['Scotland'],,0,0,False,1.8900000000000001,0.38,100.0,0.19,100.0,0.0,0.0,0.0,1.52,2.31,0.0,0,0.0,0,0.0,0.19,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.19,100.0,0.0,0.0,0.0,11.56,0.0,0.0,20.08,78.3,13.45,69.01,0.0,0.0,9.09,95.83,10.99,63.79,38.1,50.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,52.17,0.19,0.0,0.19,0.0,0.0,0.0,8.15,81.4,97.06,6.44,12,2.27,31,5.87,1,61.29,9.59,1.82,-2.41,-0.457,0.0,2.46,0.19,,,,0.0,0,0
E. Dunne,Evan Dunne,-722026,Stranraer,Stranraer,https://cdn5.wyscout.com/photos/team/public/g1930_120x120.png,League Two,RB,RB,95,,0,,0,23.0,2002-12-11,0,,5,470,1,0.6000000000000001,0,0.08,19.91,62.5,Scotland,['Scotland'],,0,0,False,11.68,6.7,68.57,7.47,64.1,0.19,0.30000000000000004,0.77,6.89,10.8,1.34,1,0.19,0,0.0,2.11,0.19,1,0.19,0.12,0,0.0,6,1.15,33.33,16.667,0.0,2.49,38.46,0.0,0.0,2.49,38.46,0.38,0.96,80.0,2.3,75.0,1.9100000000000001,1.53,0.0,19.15,1.34,0.5700000000000001,32.36,56.21,20.87,52.29,1.72,88.89,20.11,67.62,9.77,37.25,24.73,41.37,0.02,0.38,0.0,0.19,0.0,0.0,0.19,10.15,54.72,3.26,29.41,0.96,0.0,0.19,1.15,12.06,68.25,54.55,6.32,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,7.47,0.0,0.0,0.0,0.0,0,0
L. Gillie,Lewis Gillie,-689824,Stranraer,Stranraer,https://cdn5.wyscout.com/photos/team/public/g1930_120x120.png,League Two,LCB,LCB,100,,0,,0,17.0,2008-09-06,0,,5,470,0,0.0,0,0.26,16.28,58.82,Scotland,['Scotland'],unknown,0,0,True,9.57,6.7,68.57,6.7,62.86,0.19,0.30000000000000004,0.77,4.79,7.5,0.77,2,0.38,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.77,0.0,13.79,0.19,0.38,29.49,70.78,17.23,58.89,2.11,81.82,19.91,81.73,9.57,48.0,25.12,38.33,0.05,0.19,0.0,0.0,0.0,0.0,0.0,6.32,36.36,0.5700000000000001,0.0,1.15,0.0,0.0,0.0,8.23,62.79,90.7,8.23,0,,0,,0,0.0,0.0,0.0,,,1.53,,6.7,0.77,0.0,0.0,0.0,0,0
A. Quigg,Aaron  Quigg,-598631,Stranraer,Stranraer,https://cdn5.wyscout.com/photos/team/public/g1930_120x120.png,League Two,"DMF, RDMF, LDMF",DMF,39,RDMF,20,LDMF,19,20.0,2005-11-21,0,,5,470,0,0.47000000000000003,0,0.0,29.3,52.94,Scotland,['Scotland'],unknown,0,0,False,16.28,8.43,77.27,13.98,47.95,0.5700000000000001,0.9,0.5700000000000001,9.19,14.4,1.34,1,0.19,0,0.0,0.77,0.0,0,0.0,0.09,0,0.0,3,0.5700000000000001,0.0,0.0,0.0,0.5700000000000001,33.33,0.0,0.0,0.5700000000000001,33.33,0.0,0.96,60.0,4.98,42.31,1.53,0.5700000000000001,0.0,12.06,0.77,1.53,29.87,66.67,14.94,56.41,3.26,88.24,25.28,74.24,4.21,27.27,18.35,29.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89,58.33,1.34,14.29,0.5700000000000001,0.0,0.38,0.0,7.47,69.23,77.5,7.66,0,,0,,0,0.0,0.0,0.0,,,0.19,,13.98,0.0,0.0,0.0,0.0,0,0
M. Currie,Max Currie,334340,Stranraer,Stranraer,https://cdn5.wyscout.com/photos/team/public/g1930_120x120.png,League Two,GK,GK,100,,0,,0,29.0,1997-03-03,0,2027-05-31,5,470,0,0.0,0,0.0,0.38,100.0,Scotland,['Scotland'],,186,0,False,0.96,0.0,0.0,0.19,100.0,0.0,0.0,0.0,0.96,1.5,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,8.04,0.19,0.38,12.64,74.24,10.15,69.81,0.0,0.0,4.21,95.45,8.43,63.64,40.48,48.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,53.33,0.19,0.0,0.19,0.0,0.0,0.0,6.51,76.47,91.67,2.3,6,1.15,24,4.6,2,75.0,7.58,1.45,1.58,0.303,0.0,2.3,0.19,,,,0.0,0,0
J. Brydon,Jack Brydon,-248839,Kelty Hearts,Kelty Hearts,https://cdn5.wyscout.com/photos/team/public/g34252_120x120.png,League Two,LCB,LCB,89,,0,,0,22.0,2003-09-16,0,2027-05-31,5,470,0,0.0,0,0.91,19.15,62.0,Scotland,['Scotland'],right,184,0,False,9.96,5.55,72.41,7.66,67.5,0.0,0.0,0.0,5.94,8.69,0.77,1,0.19,0,0.0,0.38,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.38,50.0,0.38,50.0,0.0,0.0,0.0,0.5700000000000001,33.33,2.11,27.27,0.96,0.38,0.0,14.94,0.19,0.5700000000000001,36.0,69.15,19.91,57.69,2.11,100.0,27.19,79.58,8.43,36.36,23.39,43.5,0.17,0.5700000000000001,0.0,0.0,0.0,0.0,0.38,5.55,44.83,1.53,25.0,0.5700000000000001,0.0,0.5700000000000001,0.19,8.43,47.73,90.74,10.34,0,,0,,0,0.0,0.0,0.0,,,1.34,,7.66,0.0,0.0,0.0,0.0,0,0
Jamie Smith,Jamie Smith,-101584,Kelty Hearts,Kelty Hearts,https://cdn5.wyscout.com/photos/team/public/g34252_120x120.png,League Two,GK,GK,100,,0,,0,24.0,2002-05-08,0,,5,470,0,0.0,0,0.0,0.5700000000000001,66.67,Scotland,['Scotland'],right,194,0,False,1.15,0.0,0.0,0.38,100.0,0.0,0.0,0.0,1.15,1.6800000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,11.11,0.19,0.0,19.72,74.76,15.13,67.09,0.0,0.0,7.28,100.0,12.45,60.0,42.08,52.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,61.54,0.38,0.0,0.19,0.0,0.0,0.0,9.19,81.25,100.0,4.21,10,1.9100000000000001,27,5.17,0,62.96,10.47,2.0,0.47000000000000003,0.09,0.0,1.53,0.38,,,,0.0,0,0
K. Girvan,Kyle  Girvan,-353288,Elgin City,Elgin City,https://cdn5.wyscout.com/photos/team/public/g1938_120x120.png,League Two,"RCB3, RCB",RCB3,83,RCB,11,,0,24.0,2001-09-12,0,,5,468,3,0.6000000000000001,0,0.28,15.19,63.29,Scotland,['Scotland'],right,191,0,False,9.62,6.54,67.65,5.19,59.26,0.19,0.23,0.58,5.0,5.86,0.58,2,0.38,0,0.0,0.77,0.58,3,0.58,0.12,2,0.38,3,0.58,100.0,100.0,0.0,0.96,0.0,0.0,0.0,0.96,0.0,0.0,0.19,100.0,1.73,55.56,0.58,0.38,0.0,17.69,0.77,1.35,28.85,75.33,14.04,65.75,3.85,90.0,22.5,85.47,5.38,46.43,24.31,48.83,0.05,0.19,0.19,0.0,0.0,0.0,0.19,5.96,58.06,1.92,10.0,0.58,33.33,0.19,0.0,6.15,78.13,84.09,8.46,0,,0,,0,0.0,0.0,0.0,,,2.88,,5.19,0.0,0.0,0.0,0.0,0,0
M. Neill,Morgyn Neill,275851,Elgin City,Elgin City,https://cdn5.wyscout.com/photos/team/public/g1938_120x120.png,League Two,"CB, LCB",CB,83,LCB,11,,0,30.0,1996-03-10,0,,5,468,0,0.0,1,0.21,11.15,62.07,Scotland,['Scotland'],right,188,79,False,7.5,2.31,75.0,6.54,61.76,0.58,0.68,0.38,5.19,6.09,0.19,0,0.0,0,0.0,0.19,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.19,0.19,100.0,0.19,100.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,11.73,0.0,0.19,26.54,71.74,11.73,49.18,2.88,93.33,20.77,81.48,5.58,34.48,24.78,39.83,0.04,0.19,0.0,0.0,0.0,0.0,0.19,4.42,43.48,1.35,42.86,0.58,33.33,0.38,0.19,5.19,59.26,90.74,10.38,0,,0,,0,0.0,0.0,0.0,,,1.73,,6.54,0.0,0.0,0.0,0.0,0,0
J. Murray,Jack Murray,498103,Elgin City,Elgin City,https://cdn5.wyscout.com/photos/team/public/g1938_120x120.png,League Two,"LCB3, LB",LCB3,83,LB,11,,0,26.0,2000-08-05,0,2027-05-31,5,468,1,0.58,1,0.74,12.69,59.09,Scotland,['Scotland'],left,0,0,False,7.5,4.62,58.33,5.19,62.96,0.19,0.23,0.0,4.62,5.41,0.77,2,0.38,0,0.0,0.58,0.19,1,0.19,0.11,1,0.19,3,0.58,66.67,33.333,0.19,0.19,100.0,0.19,100.0,0.0,0.0,0.0,0.0,0.0,1.35,42.86,0.77,0.38,0.0,24.42,0.19,0.77,38.46,80.5,22.12,70.43,3.46,94.44,29.81,89.03,8.46,50.0,23.28,39.91,0.14,0.19,0.0,0.0,0.0,0.0,0.19,7.12,62.16,0.77,75.0,1.15,50.0,0.38,0.19,11.15,70.69,96.0,9.62,0,,0,,0,0.0,0.0,0.0,,,2.12,,5.19,0.19,0.0,0.0,0.0,0,0
