Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Bilyi,Artem Bilyi,-46898,Alga,Alga,https://cdn5.wyscout.com/photos/team/public/g14995_120x120.png,Shoro Premier League,"LDMF, LCMF",LDMF,69,LCMF,13,,0,26.0,1999-10-03,100000,2026-12-31,13,1329,1,0.45,2,1.8,8.8,60.0,Ukraine,['Ukraine'],left,182,70,False,5.96,2.71,70.0,3.05,55.56,0.07,0.09,0.34,4.0,5.27,0.41000000000000003,2,0.14,0,0.0,1.02,0.07,1,0.07,0.03,0,0.0,13,0.88,23.08,7.692,0.14,1.83,37.04,1.56,34.78,0.27,50.0,0.07,0.2,66.67,1.15,58.82,0.61,0.68,0.07,35.35,0.34,0.74,47.74,80.99,19.98,69.83,5.69,97.62,38.06,90.21,7.92,46.15,21.85,38.34,0.12,1.02,0.07,0.07,0.0,0.0,0.54,9.41,65.47,2.98,45.45,0.88,38.46,0.81,0.68,10.56,82.05,86.67,17.27,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,3.05,0.0,0.0,0.0,0.27,0,0.0
V. Kobylyanskyi,Vladyslav  Kobylyanskyi,-275179,Dordoi Bishkek,Dordoi Bishkek,https://cdn5.wyscout.com/photos/team/public/g13094_120x120.png,Shoro Premier League,"LCMF3, CF, LCMF",LCMF3,34,CF,21,LCMF,15,24.0,2002-01-02,0,,13,1316,0,1.79,3,1.8399999999999999,17.58,45.91,Ukraine,['Ukraine'],left,170,72,False,5.54,4.86,61.97,2.33,32.35,0.21,0.28,0.0,2.33,3.18,0.48,1,0.07,0,0.0,1.9100000000000001,0.0,0,0.0,0.12,0,0.0,17,1.16,11.76,0.0,0.21,1.5,40.91,1.23,38.89,0.21,66.67,0.21,2.05,56.67,8.48,39.52,2.05,1.37,0.14,19.63,0.68,1.78,31.8,80.86,9.57,70.71,6.5,93.68,27.97,85.33,2.39,54.29,17.94,30.06,0.13,1.3,0.0,0.07,0.14,0.0,0.62,4.65,72.06,2.5300000000000002,40.54,0.34,20.0,1.23,0.48,5.88,79.07,85.09,11.01,0,,0,,0,0.0,0.0,0.0,,,0.21,,2.33,1.16,0.07,0.0,0.55,0,0.0
Kelly Garrett,Kelly Garrett Christopher,505467,Alay,Alay,https://cdn5.wyscout.com/photos/team/public/g14993_120x120.png,Shoro Premier League,"LCB, RB, RCB",LCB,47,RB,18,RCB,15,30.0,1996-04-13,0,,13,1305,4,2.71,0,0.30000000000000004,13.45,52.82,England,"['England', 'Sri Lanka']",right,186,0,False,5.86,2.69,69.23,7.59,50.0,0.0,0.0,0.48,4.0,5.8,0.6900000000000001,1,0.07,0,0.0,0.76,0.28,2,0.14,0.19,1,0.07,12,0.8300000000000001,58.33,33.333,0.0,0.9,23.08,0.14,0.0,0.76,27.27,0.14,0.07,100.0,1.24,61.11,1.45,0.28,0.07,19.03,0.41000000000000003,0.76,31.59,84.72,14.21,80.1,3.03,90.91,25.72,90.08,4.97,68.06,21.71,40.09,0.02,0.55,0.14,0.0,0.0,0.0,0.14,5.1,75.68,0.76,36.36,0.34,40.0,0.55,0.21,8.21,81.51,91.19,10.97,0,,0,,0,0.0,0.0,0.0,,,1.17,,7.59,0.0,0.0,0.0,0.0,2,100.0
M. Gadzhimagomedov,Murad Gadzhimagomedov,-372284,Asiagoal,Asiagoal,https://cdn5.wyscout.com/photos/team/public/g-23432_120x120.png,Shoro Premier League,RCB,RCB,98,,0,,0,24.0,2002-05-06,0,,12,1216,0,0.46,0,0.0,13.1,64.41,Russia,['Russia'],right,180,73,False,9.62,6.07,69.51,5.7,58.44,0.30000000000000004,0.42,1.4100000000000001,5.11,7.26,0.59,0,0.0,0,0.0,0.15,0.0,0,0.0,0.03,0,0.0,3,0.22,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.44,50.0,0.37,0.22,0.0,38.56,0.44,0.07,52.92,84.62,22.72,69.71,2.81,100.0,43.37,93.0,9.55,46.51,23.8,42.87,0.0,0.0,0.0,0.07,0.0,0.0,0.0,4.88,48.48,0.37,0.0,0.15,0.0,0.0,0.0,10.73,64.83,96.67,24.42,0,,0,,0,0.0,0.0,0.0,,,2.52,,5.7,0.0,0.0,0.0,0.0,0,0.0
D. Semeniv,Dmytro Semeniv,417556,Dordoi Bishkek,Dordoi Bishkek,https://cdn5.wyscout.com/photos/team/public/g13094_120x120.png,Shoro Premier League,LB,LB,85,,0,,0,28.0,1998-06-24,300000,2026-12-31,13,1212,0,0.38,1,0.37,19.01,57.81,Ukraine,['Ukraine'],right,182,72,False,10.25,8.47,68.42,3.49,61.7,0.07,0.1,0.22,4.38,6.1,0.89,1,0.07,0,0.0,1.8599999999999999,0.0,0,0.0,0.03,0,0.0,9,0.67,22.22,0.0,0.07,1.26,35.29,0.8200000000000001,45.45,0.45,16.67,0.15,2.3,54.84,5.94,41.25,0.15,1.78,0.52,21.16,1.11,0.89,32.3,83.68,12.92,73.56,4.6,95.16,27.1,86.85,4.01,75.93,20.7,43.16,0.03,0.37,0.0,0.07,0.0,0.0,0.30000000000000004,5.64,82.89,1.4100000000000001,52.63,0.30000000000000004,50.0,0.59,0.45,8.54,75.65,91.28,11.06,0,,0,,0,0.0,0.0,0.0,,,0.45,,3.49,0.0,0.0,0.0,0.0,0,0.0
O. Zinkevych,Oleksiy Zinkevych,319819,Alga,Alga,https://cdn5.wyscout.com/photos/team/public/g14995_120x120.png,Shoro Premier League,CF,CF,86,,0,,0,29.0,1997-05-12,0,2026-12-31,13,1208,6,11.15,2,1.08,19.52,35.5,Ukraine,['Ukraine'],right,195,75,False,1.94,1.79,66.67,4.32,20.69,0.15,0.19,0.07,0.6000000000000001,0.78,0.67,0,0.0,0,0.0,4.47,0.45,5,0.37,0.8300000000000001,0,0.0,57,4.25,40.35,10.526,0.15,1.34,16.67,0.75,20.0,0.52,14.29,0.07,4.99,50.75,11.25,35.76,4.62,2.01,0.07,12.52,2.91,1.19,15.35,71.36,4.62,66.13,3.8,92.16,13.26,77.53,0.8200000000000001,54.55,16.56,20.37,0.08,0.6000000000000001,0.0,0.07,0.07,0.0,0.45,1.49,80.0,1.94,57.69,0.15,50.0,0.75,0.22,1.79,91.67,62.79,3.2,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.32,0.22,0.22,33.33,0.0,2,50.0
A. Beksulov,Arlen  Beksulov,-326800,Talant,Talant,https://cdn5.wyscout.com/photos/team/public/g-15350_120x120.png,Shoro Premier League,"RB, LWF, RAMF",RB,27,LWF,19,RAMF,19,23.0,2002-08-17,0,2026-12-31,12,1208,2,2.4,1,1.6400000000000001,16.24,55.05,Kyrgyzstan,['Kyrgyzstan'],unknown,0,0,False,7.52,6.18,56.63,2.76,54.05,0.97,1.52,0.22,3.05,4.8,1.42,1,0.07,0,0.0,2.91,0.15,2,0.15,0.18,0,0.0,21,1.56,47.62,9.524000000000001,0.07,2.16,31.03,0.89,41.67,1.19,25.0,0.30000000000000004,2.01,74.07,4.99,62.69,2.61,1.04,0.07,17.36,1.34,1.27,26.82,65.83,10.8,53.79,4.4,89.83,20.12,75.93,4.62,38.71,20.87,32.73,0.12,1.19,0.0,0.0,0.0,0.0,0.22,4.54,45.9,2.16,48.28,0.6000000000000001,25.0,0.75,0.6000000000000001,5.59,66.67,73.96,7.15,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,2.76,0.0,0.0,0.0,0.07,0,0.0
Kimi Merk,Kimi Björn Merk,-202328,Alga,Alga,https://cdn5.wyscout.com/photos/team/public/g14995_120x120.png,Shoro Premier League,"LAMF, AMF, CF",LAMF,41,AMF,19,CF,19,21.0,2004-07-06,200000,2026-12-31,13,1205,3,5.0,3,2.98,19.72,39.39,Germany,"['Germany', 'Kyrgyzstan']",right,176,70,False,6.05,5.45,52.05,1.34,27.78,0.30000000000000004,0.39,0.15,2.91,3.81,0.75,2,0.15,0,0.0,2.54,0.22,3,0.22,0.37,0,0.0,28,2.09,39.29,10.714,0.22,1.12,46.67,0.75,30.0,0.37,80.0,0.07,3.06,36.59,10.61,33.8,3.66,1.6400000000000001,0.22,19.49,2.61,2.32,24.27,77.23,7.17,59.38,6.2,93.98,21.36,81.47,1.87,48.0,17.5,31.24,0.22,1.6400000000000001,0.30000000000000004,0.0,0.15,50.0,0.37,2.76,62.16,2.24,53.33,0.22,33.33,1.2,0.52,3.29,72.73,83.7,6.87,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.34,1.05,0.07,100.0,2.69,0,0.0
J. Kobulov,Jamshid Kobulov,407821,Alay,Alay,https://cdn5.wyscout.com/photos/team/public/g14993_120x120.png,Shoro Premier League,RCB,RCB,91,,0,,0,29.0,1997-03-23,75000,,12,1205,0,0.74,0,0.21,15.16,65.52,Uzbekistan,['Uzbekistan'],right,0,0,False,8.66,5.9,69.62,4.85,66.15,0.67,0.98,0.45,3.88,5.67,1.2,5,0.37,0,0.0,0.37,0.0,0,0.0,0.06,0,0.0,9,0.67,22.22,0.0,0.0,0.15,50.0,0.0,0.0,0.15,50.0,0.07,0.45,33.33,2.46,51.52,0.97,0.52,0.0,15.54,0.22,1.05,29.35,79.13,16.66,71.75,1.57,95.24,20.61,87.32,8.59,60.0,25.85,40.94,0.02,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,6.65,71.91,0.30000000000000004,0.0,0.15,0.0,0.15,0.07,10.53,73.05,90.48,9.41,0,,0,,0,0.0,0.0,0.0,,,1.2,,4.85,0.37,0.07,0.0,0.0,0,0.0
A. Pryadkin,Artem Pryadkin,-80853,Bishkek City,Bishkek City,https://cdn5.wyscout.com/photos/team/public/g-23434_120x120.png,Shoro Premier League,GK,GK,100,,0,,0,24.0,2001-09-18,150000,2026-12-31,12,1204,0,0.0,0,0.16,0.52,57.14,Kyrgyzstan,['Kyrgyzstan'],right,187,82,False,2.17,0.07,0.0,0.22,100.0,0.0,0.0,0.0,2.17,2.84,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,9.12,0.0,0.22,18.31,86.12,9.34,76.0,0.0,0.0,12.78,97.08,5.46,61.64,31.54,50.19,0.01,0.07,0.0,0.0,0.0,0.0,0.07,1.57,52.38,0.07,0.0,0.0,0.0,0.0,0.0,4.34,75.86,98.06,7.7,14,1.05,63,4.71,5,77.78,17.53,1.31,3.5300000000000002,0.264,0.0,2.02,0.22,,,,0.0,0,0.0
