Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. González,Giancarlo González Castro,65079,Sporting FC,Sporting FC,https://cdn5.wyscout.com/photos/team/public/g37126_120x120.png,Primera División,RCB,RCB,92,,0,,0,38.0,1988-02-08,100000,2026-12-31,6,606,0,0.59,0,0.0,6.09,51.22,Costa Rica,['Costa Rica'],right,186,77,False,5.5,2.52,41.18,2.9699999999999998,60.0,0.0,0.0,0.30000000000000004,4.46,5.14,0.59,3,0.45,0,0.0,0.15,0.0,0,0.0,0.09,0,0.0,4,0.59,25.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,100.0,0.45,0.15,0.30000000000000004,24.21,0.45,0.15,33.71,85.46,14.11,73.68,1.63,100.0,27.92,90.96,5.64,60.53,24.56,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,69.44,0.30000000000000004,0.0,0.0,0.0,0.15,0.0,7.28,71.43,94.9,14.55,0,,0,,0,0.0,0.0,0.0,,,1.34,,2.9699999999999998,0.0,0.0,0.0,0.0,0,0
L. Moreira,Leonel Moreira Ledezma,104803,Sporting FC,Sporting FC,https://cdn5.wyscout.com/photos/team/public/g37126_120x120.png,Primera División,GK,GK,100,,0,,0,36.0,1990-04-02,200000,2026-12-31,6,606,0,0.0,0,0.0,0.0,0.0,Costa Rica,['Costa Rica'],right,179,74,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61,0.30000000000000004,0.0,17.82,83.33,11.14,74.67,0.0,0.0,10.99,100.0,6.83,56.52,36.42,55.95,0.0,0.0,0.15,0.15,0.0,0.0,0.0,1.63,27.27,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,5.2,80.0,97.62,6.24,4,0.59,21,3.12,3,80.95,4.93,0.73,0.93,0.138,0.0,1.34,0.0,,,,0.0,0,0
K. Briceño,Kevin Andres Briceño Toruño,167593,Cartaginés,Cartaginés,https://cdn5.wyscout.com/photos/team/public/675_120x120.png,Primera División,GK,GK,100,,0,,0,34.0,1991-10-21,225000,,6,599,0,0.0,1,0.18,0.15,100.0,Costa Rica,['Costa Rica'],right,186,81,False,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.65,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.15,0.0,6.91,0.15,0.15,13.07,83.91,6.91,69.57,0.0,0.0,8.56,100.0,4.36,55.17,36.18,54.95,0.03,0.15,0.0,0.0,0.0,0.0,0.15,1.5,20.0,0.6000000000000001,25.0,0.15,100.0,0.15,0.0,3.01,90.0,100.0,5.86,7,1.05,18,2.7,1,61.11,4.72,0.71,-2.2800000000000002,-0.343,0.0,1.35,0.0,,,,0.0,0,0
W. Fernández,William Alban Fernández González,162295,Pérez Zeledón,Pérez Zeledón,https://cdn5.wyscout.com/photos/team/public/673_120x120.png,Primera División,"RCB, LCB",RCB,56,LCB,35,,0,32.0,1994-05-15,200000,2026-12-31,6,597,0,0.51,0,0.29,7.24,60.42,Costa Rica,['Costa Rica'],right,183,75,False,9.95,2.71,55.56,3.02,55.0,0.15,0.2,0.9,8.29,11.22,1.06,2,0.30000000000000004,0,0.0,0.15,0.0,0,0.0,0.08,0,0.0,4,0.6000000000000001,25.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.45,66.67,0.75,0.15,0.0,23.67,0.75,0.75,36.93,83.27,15.68,68.27,1.06,100.0,28.19,94.12,8.59,49.12,27.45,47.53,0.04,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,5.88,46.15,0.9,33.33,0.0,0.0,0.6000000000000001,0.15,6.78,77.78,94.21,18.24,0,,0,,0,0.0,0.0,0.0,,,1.06,,3.02,0.15,0.15,0.0,0.0,0,0
J. Pérez,Juan Luis Pérez Rodríguez,-106474,Inter San Carlos,Inter San Carlos,https://cdn5.wyscout.com/photos/team/public/g-21831_120x120.png,Primera División,LCB3,LCB3,97,,0,,0,27.0,1999-06-29,225000,2027-12-31,6,595,0,0.63,0,0.0,10.44,63.77,Nicaragua,"['Nicaragua', 'Costa Rica']",left,0,0,False,8.02,4.08,59.26,5.45,72.22,0.0,0.0,0.76,5.6,7.3,0.91,3,0.45,0,0.0,0.15,0.0,0,0.0,0.1,0,0.0,4,0.61,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.30000000000000004,0.0,0.30000000000000004,0.30000000000000004,0.0,26.77,0.45,0.15,37.51,86.29,17.09,75.22,2.42,93.75,33.28,91.82,4.24,42.86,20.09,41.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,58.82,0.45,0.0,0.0,0.0,0.0,0.0,6.2,53.66,95.51,13.46,0,,0,,0,0.0,0.0,0.0,,,0.76,,5.45,0.15,0.15,100.0,0.0,0,0
W. Ortega,Washington Jesús Ortega Olivera,361561,Alajuelense,Alajuelense,https://cdn5.wyscout.com/photos/team/public/665_120x120.png,Primera División,GK,GK,100,,0,,0,31.0,1994-11-13,700000,2028-06-30,6,595,0,0.0,0,0.0,0.15,100.0,Uruguay,['Uruguay'],left,187,78,False,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,0.30000000000000004,0.15,13.46,83.15,8.92,74.58,0.0,0.0,9.08,100.0,4.39,48.28,34.42,59.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,33.33,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,2.42,87.5,100.0,4.24,5,0.76,18,2.7199999999999998,1,72.22,4.73,0.72,-0.27,-0.041,0.0,1.97,0.15,,,,0.0,0,0
Elías Aguilar,Elías Fernando Aguilar Vargas,319705,Herediano,Herediano,https://cdn5.wyscout.com/photos/team/public/666_120x120.png,Primera División,"AMF, RCMF",AMF,34,RCMF,32,,0,34.0,1991-11-07,375000,2027-06-30,6,588,0,0.6900000000000001,0,1.01,14.54,52.63,Costa Rica,['Costa Rica'],left,177,65,False,4.59,3.83,68.0,1.07,57.14,0.15,0.24,0.0,1.8399999999999999,2.83,0.46,0,0.0,0,0.0,1.53,0.0,0,0.0,0.11,0,0.0,13,1.99,38.46,0.0,0.0,1.22,25.0,0.31,0.0,0.92,33.33,0.0,0.61,75.0,9.18,45.0,0.92,2.76,0.31,45.0,0.46,2.14,55.87,81.1,16.53,76.85,9.95,92.31,46.53,86.18,8.42,60.0,19.67,42.75,0.15,1.8399999999999999,0.0,0.0,0.0,0.0,0.61,10.41,76.47,3.21,38.1,0.0,0.0,0.92,0.31,9.64,84.13,78.52,20.66,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.07,1.6800000000000002,0.15,100.0,3.52,0,0
R. Vega,Randy Vega Gutiérrez,-359159,Inter San Carlos,Inter San Carlos,https://cdn5.wyscout.com/photos/team/public/g-21831_120x120.png,Primera División,RWB,RWB,95,,0,,0,24.0,2001-12-31,0,2026-12-31,6,587,1,0.32,0,0.79,17.79,50.86,Costa Rica,['Costa Rica'],,167,0,False,10.58,7.82,49.02,1.69,63.64,0.61,0.79,0.0,6.13,7.95,1.99,3,0.46,0,0.0,2.61,0.15,1,0.15,0.05,0,0.0,4,0.61,25.0,25.0,0.0,3.07,25.0,0.0,0.0,3.07,25.0,0.77,2.76,61.11,7.97,50.0,0.61,2.45,0.31,15.49,1.69,2.45,22.54,73.47,5.21,55.88,5.83,92.11,17.33,84.96,2.45,50.0,20.22,35.89,0.12,0.61,0.0,0.0,0.0,0.0,0.46,1.99,61.54,2.61,29.41,0.0,0.0,0.15,0.77,3.99,57.69,62.22,6.9,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.69,0.0,0.0,0.0,0.0,0,0
U. Micael Villan,Ulises Yamir Micael Villan,-672528,Inter San Carlos,Inter San Carlos,https://cdn5.wyscout.com/photos/team/public/g-21831_120x120.png,Primera División,"LCMF, RCMF",LCMF,86,RCMF,13,,0,22.0,2004-07-19,0,,6,564,0,0.51,0,0.45,11.97,52.0,Argentina,['Argentina'],,0,0,False,6.7,4.47,67.86,0.96,33.33,0.16,0.21,0.16,3.51,4.52,0.48,1,0.16,0,0.0,2.23,0.0,0,0.0,0.08,0,0.0,14,2.23,28.57,0.0,0.0,1.12,42.86,0.96,33.33,0.16,100.0,0.0,1.6,70.0,5.43,41.18,0.48,1.28,0.0,30.64,0.0,0.8,42.13,78.03,11.01,62.32,5.74,91.67,35.11,83.64,5.9,51.35,21.97,48.71,0.07,0.64,0.0,0.0,0.0,0.0,0.32,7.02,56.82,3.19,45.0,0.0,0.0,0.96,0.48,7.34,58.7,85.22,18.35,0,,0,,0,0.0,0.0,0.0,,,0.32,,0.96,0.64,0.16,0.0,2.07,0,0
Alejandro Porras,José Alejandro Porras Montero,-671190,Pérez Zeledón,Pérez Zeledón,https://cdn5.wyscout.com/photos/team/public/673_120x120.png,Primera División,"RCMF, RCMF3, LCMF",RCMF,35,RCMF3,27,LCMF,17,30.0,1995-11-26,0,,6,560,0,0.29,0,0.29,12.05,56.0,Costa Rica,['Costa Rica'],unknown,0,0,False,8.84,6.11,52.63,1.29,37.5,0.32,0.44,0.0,5.3,7.23,0.48,0,0.0,0,0.0,1.45,0.0,0,0.0,0.05,0,0.0,4,0.64,50.0,0.0,0.0,0.48,66.67,0.16,100.0,0.32,50.0,0.16,0.96,83.33,3.38,61.9,0.48,1.13,0.32,22.66,0.64,1.45,34.55,81.86,10.13,58.73,6.75,92.86,31.82,84.85,2.25,42.86,15.87,36.67,0.05,0.48,0.0,0.0,0.0,0.0,0.16,3.54,63.64,1.29,50.0,0.0,0.0,0.32,0.32,5.3,60.61,94.59,11.89,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.29,0.32,0.0,0.0,0.16,0,0
C. Pineda,Carlos Enrique Pineda López,472016,Sporting FC,Sporting FC,https://cdn5.wyscout.com/photos/team/public/g37126_120x120.png,Primera División,"RDMF, LDMF, RCMF",RDMF,56,LDMF,18,RCMF,10,28.0,1997-09-23,250000,2027-06-30,6,557,0,0.06,1,0.35000000000000003,9.05,42.86,Honduras,['Honduras'],right,171,67,False,6.14,5.01,38.71,1.45,66.67,0.0,0.0,0.32,4.2,4.97,2.1,2,0.32,0,0.0,0.16,0.0,0,0.0,0.01,0,0.0,4,0.65,25.0,0.0,0.16,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.16,0.0,1.78,36.36,0.16,0.65,0.32,25.53,0.32,0.81,32.64,84.16,11.63,72.22,4.04,92.0,28.92,85.47,3.55,77.27,19.3,38.9,0.06,0.32,0.0,0.0,0.0,0.0,0.65,6.14,81.58,1.29,62.5,0.0,0.0,0.81,0.0,5.17,84.38,89.74,12.6,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.45,0.16,0.0,0.0,0.0,0,0
Y. Salinas,Yostin Jafet Salinas Phillips,413464,Sporting FC,Sporting FC,https://cdn5.wyscout.com/photos/team/public/g37126_120x120.png,Primera División,RB,RB,91,,0,,0,27.0,1998-09-14,125000,2027-06-30,6,553,0,0.13,0,0.24,10.74,51.52,Costa Rica,['Costa Rica'],right,184,67,False,7.8100000000000005,6.02,48.65,1.63,70.0,0.33,0.37,0.49,4.5600000000000005,5.15,1.79,3,0.49,0,0.0,0.98,0.0,0,0.0,0.02,0,0.0,3,0.49,33.33,0.0,0.0,1.9500000000000002,16.67,0.0,0.0,1.9500000000000002,16.67,0.16,0.49,100.0,1.63,60.0,0.65,0.49,0.0,20.67,1.3,0.49,25.55,77.71,8.46,63.46,4.23,100.0,20.02,88.62,3.74,47.83,18.29,36.56,0.04,0.33,0.0,0.0,0.0,0.0,0.16,3.74,69.57,3.25,35.0,0.0,0.0,0.81,0.49,5.7,82.86,72.0,8.14,0,,0,,0,0.0,0.0,0.0,,,0.81,,1.63,0.0,0.0,0.0,0.0,0,0
J. Chacón,Jonathan Germán Chacón,-118815,Inter San Carlos,Inter San Carlos,https://cdn5.wyscout.com/photos/team/public/g-21831_120x120.png,Primera División,RCB3,RCB3,90,,0,,0,28.0,1998-02-27,0,2026-12-31,6,532,0,0.0,0,0.0,10.15,68.33,Argentina,['Argentina'],right,190,78,False,10.15,4.06,79.17,3.7199999999999998,59.09,0.0,0.0,0.34,6.94,8.79,0.68,2,0.34,0,0.0,0.17,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.34,50.0,0.34,50.0,0.0,0.0,0.0,0.0,0.0,0.85,40.0,0.85,0.17,0.0,16.41,0.34,0.17,28.59,81.07,12.35,67.12,2.37,92.86,24.19,88.81,4.06,37.5,22.03,48.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,50.0,0.85,40.0,0.0,0.0,0.51,0.17,5.58,57.58,95.59,11.5,0,,0,,0,0.0,0.0,0.0,,,1.18,,3.7199999999999998,0.0,0.0,0.0,0.0,0,0
Y. Molina,Yeison Molina Ruiz,-131491,Alajuelense,Alajuelense,https://cdn5.wyscout.com/photos/team/public/665_120x120.png,Primera División,RCB,RCB,100,,0,,0,30.0,1996-01-25,150000,2027-06-30,6,530,0,0.34,1,0.03,9.51,60.71,Costa Rica,['Costa Rica'],right,180,82,False,6.96,3.5700000000000003,71.43,4.58,59.26,0.0,0.0,0.51,4.42,6.67,1.02,1,0.17,0,0.0,0.0,0.0,0,0.0,0.06,0,0.0,2,0.34,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,25.0,0.68,0.34,0.17,30.91,0.68,0.51,47.72,88.61,15.79,77.42,1.19,85.71,43.81,91.86,3.91,52.17,21.52,39.95,0.0,0.17,0.0,0.0,0.0,0.0,0.17,5.94,80.0,0.0,0.0,0.0,0.0,0.17,0.0,6.45,63.16,95.36,25.64,0,,0,,0,0.0,0.0,0.0,,,0.85,,4.58,0.0,0.0,0.0,0.0,0,0
J. González,José de Jesús González Muñoz,-94557,Cartaginés,Cartaginés,https://cdn5.wyscout.com/photos/team/public/675_120x120.png,Primera División,CF,CF,99,,0,,0,27.0,1998-11-19,500000,2026-12-31,6,525,1,0.98,1,0.33,14.06,36.59,Mexico,['Mexico'],left,186,72,False,2.74,2.23,53.85,6.17,27.78,0.0,0.0,0.0,1.54,2.33,1.8900000000000001,2,0.34,0,0.0,0.51,0.17,1,0.17,0.17,0,0.0,7,1.2,28.57,14.286,0.17,0.34,50.0,0.17,100.0,0.17,0.0,0.0,0.34,0.0,4.11,50.0,3.26,0.6900000000000001,0.0,14.23,2.5700000000000003,1.37,18.17,79.25,1.54,55.56,6.34,91.89,17.14,81.0,0.6900000000000001,50.0,14.34,20.07,0.06,0.51,0.0,0.0,0.0,0.0,0.34,0.6900000000000001,50.0,1.03,50.0,0.0,0.0,0.51,0.17,0.86,60.0,70.83,4.11,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.17,0.0,0.0,0.0,0.0,0,0
E. Torres,Erick Estéfano Torres Padilla,164806,Inter San Carlos,Inter San Carlos,https://cdn5.wyscout.com/photos/team/public/g-21831_120x120.png,Primera División,CF,CF,100,,0,,0,33.0,1993-01-19,0,2027-06-30,6,524,1,1.02,0,0.12,12.54,47.95,Mexico,['Mexico'],right,183,78,False,1.55,0.6900000000000001,25.0,6.53,47.37,0.0,0.0,0.0,1.37,1.8,0.52,0,0.0,0,0.0,0.6900000000000001,0.17,1,0.17,0.18,1,0.17,7,1.2,57.14,14.286,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.17,0.0,3.09,44.44,2.4,0.0,0.0,8.24,1.37,1.03,11.85,63.77,2.58,40.0,4.12,79.17,11.34,66.67,0.34,0.0,13.97,6.62,0.02,0.34,0.17,0.0,0.0,0.0,0.34,1.2,42.86,0.86,0.0,0.0,0.0,0.17,0.0,1.03,33.33,71.43,2.4,0,,0,,0,0.0,0.0,0.0,,,0.17,,6.53,0.0,0.0,0.0,0.0,0,0
Manuel Moran,Manuel  Moran Velásquez,487069,Cartaginés,Cartaginés,https://cdn5.wyscout.com/photos/team/public/675_120x120.png,Primera División,"RW, RAMF, RWF",RW,46,RAMF,37,RWF,14,29.0,1996-11-20,75000,,6,521,0,0.72,4,1.5899999999999999,20.73,52.5,Panama,['Panama'],right,187,0,False,5.87,2.94,58.82,4.32,60.0,0.0,0.0,0.17,4.15,6.26,0.86,3,0.52,0,0.0,5.36,0.0,0,0.0,0.12,0,0.0,8,1.38,50.0,0.0,0.6900000000000001,6.22,36.11,0.35000000000000003,0.0,5.87,38.24,0.17,3.8,63.64,11.75,51.47,4.84,3.11,0.17,23.15,2.42,2.07,30.06,66.67,7.95,63.04,5.53,90.63,22.8,76.52,1.73,20.0,17.56,55.32,0.28,1.55,0.0,0.0,0.0,0.0,1.55,2.59,80.0,5.36,41.94,0.0,0.0,0.6900000000000001,2.59,5.7,78.79,53.13,11.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.32,0.0,0.0,0.0,0.0,0,0
L. Flores,Luis Alejandro Flores Cordero,281623,Cartaginés,Cartaginés,https://cdn5.wyscout.com/photos/team/public/675_120x120.png,Primera División,"RCMF, RCB, LCMF",RCMF,26,RCB,18,LCMF,15,32.0,1994-01-23,200000,2026-12-31,6,519,0,0.12,0,0.15,10.23,54.24,Costa Rica,['Costa Rica'],right,0,0,False,8.32,4.86,71.43,1.73,50.0,0.35000000000000003,0.52,0.17,4.51,6.72,0.35000000000000003,0,0.0,0,0.0,0.52,0.0,0,0.0,0.02,0,0.0,4,0.6900000000000001,0.0,0.0,0.0,0.52,100.0,0.52,100.0,0.0,0.0,0.0,1.21,0.0,2.43,21.43,0.17,0.17,0.52,33.82,0.6900000000000001,0.52,54.8,85.44,19.6,78.76,4.16,91.67,47.34,89.74,6.94,55.0,21.01,33.11,0.03,0.35000000000000003,0.0,0.0,0.0,0.0,0.17,8.5,67.35,1.56,66.67,0.0,0.0,0.6900000000000001,0.52,9.88,73.68,92.52,25.49,0,,0,,0,0.0,0.0,0.0,,,0.87,,1.73,0.35000000000000003,0.17,0.0,0.0,0,0
Darril Araya,Darril Yorel Araya Samuels,-88335,Herediano,Herediano,https://cdn5.wyscout.com/photos/team/public/666_120x120.png,Primera División,"LB, LWB",LB,77,LWB,11,,0,25.0,2000-11-08,175000,,6,516,0,0.49,1,0.44,14.3,47.56,Costa Rica,['Costa Rica'],left,174,0,False,7.33,5.23,60.0,0.87,60.0,0.17,0.28,0.35000000000000003,4.01,6.33,0.17,0,0.0,0,0.0,2.44,0.0,0,0.0,0.08,0,0.0,5,0.87,20.0,0.0,0.17,3.14,33.33,3.14,33.33,0.0,0.0,0.35000000000000003,1.4,87.5,6.1,42.86,1.57,1.92,0.0,35.93,2.79,0.52,49.01,78.29,21.1,76.86,6.98,85.0,41.86,84.58,4.53,50.0,18.19,37.74,0.08,0.87,0.0,0.0,0.0,0.0,0.52,8.02,73.91,2.79,50.0,0.0,0.0,0.7000000000000001,1.22,12.91,75.68,80.88,11.86,0,,0,,0,0.0,0.0,0.0,,,0.87,,0.87,0.0,0.0,0.0,0.0,0,0
R. Cole,Raheem Giussepe Cole Mártinez,-98472,Puntarenas,Puntarenas,https://cdn5.wyscout.com/photos/team/public/668_120x120.png,Primera División,"RAMF, RWB",RAMF,57,RWB,30,,0,27.0,1999-05-12,0,,5,506,0,0.32,2,1.05,14.41,43.21,Costa Rica,['Costa Rica'],right,178,74,False,5.87,4.8,62.96,2.49,35.71,0.0,0.0,0.0,2.85,4.03,0.71,3,0.53,0,0.0,1.07,0.0,0,0.0,0.06,0,0.0,5,0.89,20.0,0.0,0.36,2.13,33.33,0.18,0.0,1.96,36.36,0.36,0.71,25.0,5.87,30.3,2.49,1.78,0.71,18.14,2.85,1.07,25.43,74.13,5.69,62.5,6.58,91.89,22.41,80.16,1.07,33.33,14.98,21.28,0.19,1.25,0.0,0.0,0.0,0.0,0.71,1.25,57.14,2.67,40.0,0.0,0.0,0.71,0.53,4.45,52.0,68.57,6.23,0,,0,,0,0.0,0.0,0.0,,,0.18,,2.49,0.0,0.0,0.0,0.36,0,0
W. Decas,Wesly Roberto Decas,425350,Puntarenas,Puntarenas,https://cdn5.wyscout.com/photos/team/public/668_120x120.png,Primera División,"LCB, CB, LCB3",LCB,60,CB,15,LCB3,14,27.0,1999-08-11,300000,2028-12-31,5,506,0,0.14,1,0.39,9.43,62.26,Honduras,['Honduras'],left,186,72,False,9.96,3.56,60.0,4.45,52.0,0.0,0.0,0.71,7.83,11.09,0.89,1,0.18,0,0.0,0.89,0.0,0,0.0,0.03,0,0.0,2,0.36,50.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,100.0,1.07,100.0,0.36,0.53,0.0,21.52,0.53,0.0,34.86,86.73,15.12,76.47,1.6,100.0,29.53,92.77,5.34,53.33,24.84,43.92,0.07,0.18,0.0,0.0,0.18,100.0,0.18,5.51,70.97,0.53,33.33,0.18,100.0,0.18,0.0,7.11,80.0,95.56,16.01,0,,0,,0,0.0,0.0,0.0,,,1.42,,4.45,0.0,0.0,0.0,0.0,0,0
A. Soto,Ariel Roman Soto Gonzalez,102903,Sporting FC,Sporting FC,https://cdn5.wyscout.com/photos/team/public/g37126_120x120.png,Primera División,LCB,LCB,100,,0,,0,34.0,1992-05-14,175000,,5,502,0,0.0,0,0.0,9.68,64.81,Costa Rica,['Costa Rica'],left,183,76,False,12.19,6.27,65.71,1.97,72.73,0.18,0.2,0.54,7.89,8.98,0.72,2,0.36,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.0,0.18,0.0,0.0,0.54,66.67,0.54,0.54,0.36,33.71,0.54,0.18,47.51,89.06,21.16,80.51,1.79,90.0,39.98,94.62,7.17,62.5,21.94,42.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,75.0,0.18,0.0,0.0,0.0,0.0,0.0,10.58,88.14,96.33,19.54,0,,0,,0,0.0,0.0,0.0,,,0.9,,1.97,0.0,0.0,0.0,0.0,0,0
