Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Šepić,Niko Šepić,-209719,Istra 1961,Istra 1961,https://cdn5.wyscout.com/photos/team/public/1950_120x120.png,Superleague,LB,LB,96,,0,,0,20,2006-02-06,0,,5,488,0,0.2,0,0.38,8.85,54.17,Croatia,['Croatia'],,0,0,False,6.45,3.14,64.71,0.74,75.0,0.0,0.0,0.0,4.43,5.22,0.55,0,0.0,0,0.0,0.37,0.0,0,0.0,0.04,0,0.0,4,0.74,0.0,0.0,0.0,1.8399999999999999,10.0,1.8399999999999999,10.0,0.0,0.0,0.0,0.18,100.0,4.06,40.91,2.21,0.92,0.18,25.82,1.11,1.11,34.49,81.82,14.39,78.21,7.01,97.37,30.8,89.22,1.8399999999999999,30.0,16.9,24.91,0.07,0.55,0.0,0.0,0.0,0.0,0.55,4.06,63.64,1.48,12.5,0.0,0.0,0.92,0.18,4.8,76.92,75.0,8.11,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.74,0.0,0.0,0.0,0.0,0,0
F. Kolić,Franko Kolić,-134685,Istra 1961,Istra 1961,https://cdn5.wyscout.com/photos/team/public/1950_120x120.png,Superleague,GK,GK,100,,0,,0,23,2003-02-07,450000,2027-06-30,5,488,0,0.0,0,0.0,0.37,100.0,Croatia,['Croatia'],right,190,0,False,0.55,0.37,100.0,0.0,0.0,0.0,0.0,0.0,0.18,0.22,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59,0.18,0.0,19.36,87.62,10.7,81.03,0.0,0.0,13.83,97.33,5.53,63.33,26.63,42.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,100.0,0.18,100.0,0.0,0.0,0.0,0.0,3.87,61.9,95.24,7.75,10,1.8399999999999999,28,5.16,1,64.29,9.86,1.82,-0.14,-0.026000000000000002,0.0,1.29,0.0,,,,0.0,0,0
M.  Nasraoui,Mohamed Nasraoui,-297864,Istra 1961,Istra 1961,https://cdn5.wyscout.com/photos/team/public/1950_120x120.png,Superleague,RCB,RCB,96,,0,,0,24,2002-08-18,0,2029-06-30,5,487,0,0.01,0,0.0,12.01,61.54,Tunisia,['Tunisia'],right,186,0,False,7.76,4.07,63.64,4.44,62.5,0.18,0.22,0.92,4.99,5.91,0.92,0,0.0,0,0.0,0.55,0.0,0,0.0,0.0,0,0.0,1,0.18,0.0,0.0,0.0,0.18,100.0,0.18,100.0,0.0,0.0,0.0,0.37,100.0,1.48,62.5,0.18,0.0,0.18,27.35,0.37,0.37,41.03,86.94,17.56,74.74,2.22,100.0,36.59,92.42,4.44,41.67,21.07,38.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,75.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,62.5,97.98,18.3,0,,0,,0,0.0,0.0,0.0,,,1.85,,4.44,0.0,0.0,0.0,0.0,0,0
E. Frederiksen,Emil Frederiksen,-91085,Istra 1961,Istra 1961,https://cdn5.wyscout.com/photos/team/public/1950_120x120.png,Superleague,RAMF,RAMF,96,,0,,0,25,2000-09-05,800000,2028-06-30,5,487,4,1.9100000000000001,2,1.6400000000000001,9.61,48.08,Denmark,['Denmark'],left,175,71,False,3.51,2.59,57.14,0.92,20.0,0.18,0.22,0.18,1.85,2.19,0.18,0,0.0,0,0.0,4.25,0.74,4,0.74,0.35000000000000003,1,0.18,15,2.77,46.67,26.667,0.37,2.4,38.46,0.55,66.67,1.85,30.0,0.0,2.03,72.73,5.54,46.67,3.88,1.6600000000000001,0.18,27.17,2.59,1.29,33.45,70.17,11.09,61.67,5.36,89.66,25.87,75.0,5.36,58.62,17.78,37.88,0.30000000000000004,2.03,0.18,0.0,0.55,100.0,1.48,5.17,64.29,4.07,54.55,0.55,100.0,2.03,1.11,8.32,66.67,67.86,10.35,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.92,1.48,0.37,50.0,4.25,0,0
T. Silić,Toni Silić,-215012,Hajduk Split,Hajduk Split,https://cdn5.wyscout.com/photos/team/public/232_120x120.png,Superleague,GK,GK,100,,0,,0,22,2004-05-07,200000,2029-06-30,5,487,0,0.0,0,0.0,0.18,100.0,Croatia,['Croatia'],left,194,79,False,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1.25,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,17.74,0.37,0.18,26.8,80.69,17.0,71.74,0.0,0.0,14.6,97.47,12.01,61.54,32.37,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,33.33,0.0,0.0,0.0,0.0,0.18,0.0,7.39,62.5,97.62,7.76,5,0.92,13,2.4,2,61.54,2.77,0.51,-2.23,-0.41200000000000003,0.0,1.11,0.0,,,,0.0,0,0
T. Triantafyllou,Athanasios Triantafyllou,-333788,Lokomotiva Zagreb,Lokomotiva Zagreb,https://cdn5.wyscout.com/photos/team/public/1949_120x120.png,Superleague,"LCB, RCB, LCB3",LCB,66,RCB,20,LCB3,13,23,2003-07-22,0,,5,487,1,0.65,0,0.0,10.35,57.14,Greece,['Greece'],right,185,76,False,13.86,5.17,50.0,3.51,68.42,0.18,0.22,1.85,11.09,13.33,1.11,1,0.18,0,0.0,0.18,0.18,1,0.18,0.12,0,0.0,4,0.74,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,57.14,1.11,0.55,0.18,26.43,0.18,0.74,35.11,85.79,11.83,73.44,2.03,90.91,30.12,91.41,4.99,51.85,25.25,52.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,56.52,0.37,0.0,0.0,0.0,0.18,0.0,4.62,72.0,93.07,18.67,0,,0,,0,0.0,0.0,0.0,,,1.29,,3.51,0.0,0.0,0.0,0.0,0,0
J. Posavec,Josip Posavec,290656,Lokomotiva Zagreb,Lokomotiva Zagreb,https://cdn5.wyscout.com/photos/team/public/1949_120x120.png,Superleague,GK,GK,100,,0,,0,30,1996-03-10,500000,2027-06-30,5,487,0,0.0,0,0.0,0.18,100.0,Croatia,['Croatia'],right,190,85,False,0.37,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.37,0.44,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.86,0.55,0.18,25.87,83.57,11.09,65.0,0.0,0.0,18.85,98.04,7.02,44.74,31.01,52.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,9.09,0.18,0.0,0.0,0.0,0.0,0.0,5.17,60.71,97.18,13.12,10,1.85,35,6.47,0,71.43,11.43,2.11,1.43,0.264,0.0,1.48,0.18,,,,0.0,0,0
I. Canjuga,Ivan Canjuga,-330023,Varaždin,Varaždin,https://cdn5.wyscout.com/photos/team/public/241_120x120.png,Superleague,RDMF,RDMF,89,,0,,0,20,2005-11-30,0,2028-12-31,5,482,3,0.51,2,0.77,13.07,60.0,Croatia,['Croatia'],left,0,0,False,3.55,3.92,38.1,2.05,72.73,0.0,0.0,0.0,2.05,2.39,0.56,0,0.0,0,0.0,2.24,0.56,3,0.56,0.1,0,0.0,7,1.31,57.14,42.857,0.37,1.12,50.0,0.37,50.0,0.75,50.0,0.19,1.12,83.33,6.16,66.67,0.75,2.24,0.37,25.39,0.37,2.24,34.36,85.87,11.95,73.44,5.79,100.0,30.25,88.89,3.17,64.71,18.1,43.09,0.14,1.12,0.19,0.0,0.0,0.0,0.37,4.11,90.91,1.12,50.0,0.19,0.0,0.0,0.56,7.47,67.5,92.31,12.14,0,,0,,0,0.0,0.0,0.0,,,0.56,,2.05,0.75,0.0,0.0,3.36,0,0
J. Silić,Josip Silić,514188,Varaždin,Varaždin,https://cdn5.wyscout.com/photos/team/public/241_120x120.png,Superleague,GK,GK,100,,0,,0,26,1999-12-16,150000,2028-05-31,5,482,0,0.0,0,0.0,0.0,0.0,Croatia,['Croatia'],right,190,79,False,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.65,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.87,0.93,0.0,26.89,79.17,12.32,60.61,0.0,0.0,16.8,95.56,10.08,51.85,35.47,53.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,26.67,0.37,0.0,0.0,0.0,0.0,0.0,7.47,57.5,94.74,14.19,5,0.93,28,5.23,2,82.14,7.36,1.37,2.36,0.441,0.0,1.87,0.0,,,,0.0,0,0
H. Jaganjac,Hamza Jaganjac,-275384,Istra 1961,Istra 1961,https://cdn5.wyscout.com/photos/team/public/1950_120x120.png,Superleague,CF,CF,100,,0,,0,22,2004-02-27,50000,2028-06-30,5,481,4,1.97,1,0.77,21.7,37.93,Bosnia and Herzegovina,['Bosnia and Herzegovina'],right,192,78,False,5.43,5.8,48.39,5.05,25.93,0.0,0.0,0.0,2.62,3.04,2.06,2,0.37,0,0.0,2.43,0.75,4,0.75,0.37,0,0.0,11,2.06,63.64,36.364,0.19,0.19,0.0,0.0,0.0,0.19,0.0,0.19,1.6800000000000002,66.67,7.48,40.0,4.3,1.12,0.0,12.91,1.87,1.12,17.96,70.83,5.43,55.17,2.99,93.75,17.4,72.04,0.37,50.0,14.68,16.75,0.14,1.31,0.0,0.0,0.19,0.0,0.9400000000000001,1.12,50.0,1.87,60.0,0.19,0.0,1.5,0.19,2.25,41.67,68.97,5.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.05,0.0,0.0,0.0,0.0,0,0
