Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Fock,Lovisa Fock,-189967,Enskede,Enskede,https://cdn5.wyscout.com/photos/team/public/g6107_120x120.png,Elitettan,GK,GK,100,,0,,0,24.0,2002-02-04,0,,10,979,0,0.0,0,0.0,1.2,92.31,Sweden,['Sweden'],,0,0,False,2.3,0.09,100.0,0.64,100.0,0.0,0.0,0.0,2.21,2.37,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,75.0,0.0,0.0,0.0,6.53,0.0,0.46,13.88,79.47,8.18,69.66,0.0,0.0,6.89,97.33,6.99,61.84,32.42,41.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,50.0,0.0,0.0,0.09,100.0,0.0,0.0,4.78,61.54,93.1,5.33,15,1.38,48,4.41,2,68.75,12.56,1.15,-2.44,-0.224,0.0,1.75,0.64,,,,0.0,0,0
S. Lundström,Sabina Lundström,310756,Enskede,Enskede,https://cdn5.wyscout.com/photos/team/public/g6107_120x120.png,Elitettan,"CB, RCB",CB,68,RCB,18,,0,28.0,1997-08-19,0,,10,979,3,2.5,0,0.0,8.0,60.92,Sweden,['Sweden'],,0,0,False,9.38,3.49,71.05,3.03,54.55,0.37,0.39,1.38,6.53,7.01,0.55,0,0.0,0,0.0,0.28,0.28,1,0.09,0.23,1,0.09,7,0.64,42.86,42.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,50.0,0.74,0.0,0.0,12.41,0.18,0.09,27.3,74.07,14.34,62.82,1.01,100.0,20.32,83.71,6.99,46.05,21.57,34.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,43.9,0.74,12.5,0.46,20.0,0.09,0.0,7.35,45.0,90.48,9.65,0,,0,,0,0.0,0.0,0.0,,,0.74,,3.03,0.09,0.09,0.0,0.0,2,100
V. Heikfolk,Victoria Heikfolk,512998,Enskede,Enskede,https://cdn5.wyscout.com/photos/team/public/g6107_120x120.png,Elitettan,"LCB3, LCB",LCB3,68,LCB,27,,0,27.0,1999-01-10,0,,10,979,1,0.03,1,1.1400000000000001,6.89,45.33,Sweden,['Sweden'],,0,0,False,6.16,3.68,60.0,0.46,20.0,0.0,0.0,0.37,3.95,4.24,0.18,0,0.0,0,0.0,0.18,0.09,1,0.09,0.0,0,0.0,2,0.18,50.0,50.0,0.09,0.46,20.0,0.28,33.33,0.18,0.0,0.28,0.0,0.0,1.01,18.18,0.09,0.37,0.18,15.72,0.09,0.09,31.53,66.76,18.57,56.44,2.39,96.15,21.05,79.91,10.02,41.28,23.27,34.16,0.11,0.46,0.0,0.0,0.0,0.0,0.09,5.7,43.55,1.2,53.85,0.46,60.0,0.64,0.09,9.47,55.34,82.95,8.09,0,,0,,0,0.0,0.0,0.0,,,1.75,,0.46,0.37,0.0,0.0,1.1,0,0
T. Torstensson,Tilda Torstensson,-429857,Elfsborg,Elfsborg,https://cdn5.wyscout.com/photos/team/public/g-23301_120x120.png,Elitettan,GK,GK,100,,0,,0,21.0,2005-02-15,0,,10,973,0,0.0,0,0.0,0.55,83.33,Sweden,['Sweden'],,0,0,False,1.57,0.0,0.0,0.28,100.0,0.0,0.0,0.0,1.57,2.18,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,50.0,0.0,0.0,0.0,12.3,0.0,0.28,20.16,84.4,6.1,51.52,0.09,0.0,15.26,98.18,4.9,41.51,27.0,42.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,38.46,0.0,0.0,0.0,0.0,0.0,0.0,3.42,54.05,99.32,13.6,2,0.18,24,2.22,8,91.67,5.52,0.51,3.52,0.326,0.0,0.65,0.28,,,,0.0,0,0
T. Lorén,Tove Lorén,-188848,Elfsborg,Elfsborg,https://cdn5.wyscout.com/photos/team/public/g-23301_120x120.png,Elitettan,LCB,LCB,93,,0,,0,27.0,1998-11-26,0,,10,973,1,1.4,0,0.1,11.38,64.23,Sweden,['Sweden'],left,0,0,False,9.16,4.25,80.43,3.79,65.85,0.65,0.9,0.46,5.09,7.05,0.55,1,0.09,0,0.0,0.28,0.09,1,0.09,0.13,0,0.0,5,0.46,20.0,20.0,0.0,0.46,40.0,0.46,40.0,0.0,0.0,0.09,0.09,0.0,1.57,35.29,0.92,2.13,0.0,32.19,0.0,0.65,49.76,78.44,25.99,67.97,2.77,96.67,39.68,88.81,9.62,37.5,22.48,32.54,0.01,0.18,0.09,0.0,0.0,0.0,0.09,8.05,59.77,0.8300000000000001,33.33,0.37,25.0,0.09,0.18,11.93,63.57,92.82,18.04,0,,0,,0,0.0,0.0,0.0,,,2.03,,3.79,0.0,0.0,0.0,0.0,0,0
S. Parkner,Sofia Parkner,-188863,KIF Örebro,KIF Örebro,https://cdn5.wyscout.com/photos/team/public/g4431_120x120.png,Elitettan,"LCB, LCB3",LCB,89,LCB3,10,,0,25.0,2001-04-22,0,,10,963,4,1.24,1,0.28,16.82,68.33,Sweden,['Sweden'],unknown,0,0,False,10.09,6.73,69.44,5.7,78.69,0.09,0.14,0.37,5.33,7.77,1.12,1,0.09,0,0.0,1.12,0.37,4,0.37,0.12,3,0.28,7,0.65,71.43,57.143,0.09,0.28,0.0,0.19,0.0,0.09,0.0,0.0,0.65,85.71,2.34,44.0,1.78,1.6800000000000002,0.0,39.16,0.28,0.09,57.1,83.31,27.38,73.72,4.58,93.88,48.13,89.32,8.69,52.69,19.99,32.65,0.03,0.19,0.19,0.0,0.09,100.0,0.19,9.53,71.57,1.21,38.46,0.28,66.67,0.56,0.0,13.36,75.52,94.29,19.63,0,,0,,0,0.0,0.0,0.0,,,3.55,,5.7,0.0,0.0,0.0,0.0,0,0
J. Langörgen,Julia Langörgen,484582,KIF Örebro,KIF Örebro,https://cdn5.wyscout.com/photos/team/public/g4431_120x120.png,Elitettan,GK,GK,100,,0,,0,25.0,2001-01-29,0,,10,963,0,0.0,1,0.45,1.03,81.82,Sweden,['Sweden'],right,0,0,False,2.8,0.28,66.67,0.56,83.33,0.19,0.27,0.0,2.43,3.55,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.53,0.19,0.09,43.64,82.23,23.83,69.8,0.0,0.0,29.81,97.18,13.74,50.34,26.74,43.8,0.04,0.19,0.0,0.0,0.0,0.0,0.19,3.74,40.0,0.19,50.0,0.84,44.44,0.09,0.0,10.65,64.04,97.45,18.32,13,1.21,51,4.77,4,74.51,15.59,1.46,2.59,0.242,0.0,1.4,0.56,,,,0.0,0,0
E. Borg,Emilie Borg,-572556,Jitex,Jitex,https://cdn5.wyscout.com/photos/team/public/g5216_120x120.png,Elitettan,GK,GK,100,,0,,0,21.0,2004-11-08,0,,10,962,0,0.0,0,0.0,0.65,85.71,Sweden,['Sweden'],unknown,0,0,False,2.62,0.0,0.0,0.47000000000000003,80.0,0.0,0.0,0.0,2.62,3.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,11.23,0.0,0.09,20.96,73.21,14.5,63.87,0.0,0.0,10.57,91.15,10.38,54.95,29.36,38.53,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.28,33.33,0.0,0.0,0.09,0.0,0.0,0.0,8.79,51.06,94.74,5.33,15,1.4,49,4.58,2,69.39,15.18,1.42,0.18,0.017,0.0,2.25,0.47000000000000003,,,,0.0,0,0
T. Ivarsson-Lidström,Tindra Ivarsson-Lidström,-188954,Jitex,Jitex,https://cdn5.wyscout.com/photos/team/public/g5216_120x120.png,Elitettan,"AMF, RCMF, LCMF3",AMF,59,RCMF,17,LCMF3,11,23.0,2002-08-09,0,,10,962,2,2.41,1,1.18,30.41,39.08,Sweden,['Sweden'],,0,0,False,8.23,6.74,62.5,7.58,40.74,0.65,0.77,0.09,3.37,3.99,0.9400000000000001,1,0.09,0,0.0,1.5899999999999999,0.19,2,0.19,0.23,1,0.09,22,2.06,36.36,9.091,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,53.33,12.35,25.76,2.81,0.47000000000000003,0.0,23.11,2.15,0.84,37.33,72.43,13.75,55.1,8.05,84.88,34.15,75.62,3.18,38.24,15.09,35.39,0.11,1.31,0.0,0.0,0.19,50.0,0.56,5.8,50.0,1.96,57.14,1.12,8.33,1.78,0.0,5.89,68.25,86.75,7.77,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.58,0.0,0.0,0.0,0.09,0,0
F. De Feo,Felicia De Feo,480929,Jitex,Jitex,https://cdn5.wyscout.com/photos/team/public/g5216_120x120.png,Elitettan,"LCB, CB",LCB,64,CB,35,,0,25.0,2001-02-01,0,,10,962,0,0.27,0,0.0,11.04,51.69,Sweden,['Sweden'],,0,0,False,9.64,4.86,63.46,2.5300000000000002,40.74,0.47000000000000003,0.55,0.56,6.08,7.2,0.19,1,0.09,0,0.0,0.37,0.0,0,0.0,0.03,0,0.0,2,0.19,50.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.37,75.0,1.96,38.1,0.56,0.37,0.09,15.25,0.09,0.37,32.74,81.71,13.19,68.79,3.65,100.0,28.81,85.71,3.84,53.66,19.67,37.07,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.15,56.52,0.19,50.0,0.28,0.0,0.19,0.0,5.61,46.67,90.91,12.35,0,,0,,0,0.0,0.0,0.0,,,3.18,,2.5300000000000002,0.0,0.0,0.0,0.0,0,0
