Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Hiim,Anders Hiim,-325236,Sarpsborg 08,Sarpsborg 08,https://cdn5.wyscout.com/photos/team/public/1617_120x120.png,Eliteserien,LB,LB,97,,0,,0,23,2002-09-13,0,2027-12-31,17,1701,1,0.43,0,1.96,15.82,56.52,Norway,['Norway'],left,176,75,False,10.58,7.41,67.14,1.85,40.0,0.05,0.06,0.48,5.5600000000000005,6.23,0.74,2,0.11,0,0.0,2.2800000000000002,0.05,1,0.05,0.02,0,0.0,10,0.53,30.0,10.0,0.0,2.75,44.23,2.59,42.86,0.11,50.0,0.26,1.27,70.83,4.76,48.89,0.9500000000000001,3.6,0.63,29.26,2.12,0.74,41.16,76.35,16.3,67.21,7.09,96.27,33.7,83.2,4.97,45.74,18.86,38.21,0.1,0.63,0.0,0.05,0.0,0.0,0.37,5.4,66.67,3.2800000000000002,53.23,0.42,62.5,0.6900000000000001,1.11,9.63,62.09,78.0,10.58,0,,0,,0,0.0,0.0,0.0,,,0.9,,1.85,0.0,0.0,0.0,0.05,0,0.0
O. Hedvall,Oscar Hedvall,379805,Vålerenga,Vålerenga,https://cdn5.wyscout.com/photos/team/public/734_120x120.png,Eliteserien,GK,GK,100,,0,,0,28,1998-08-09,200000,2028-12-31,17,1700,0,0.0,0,0.02,0.6900000000000001,69.23,Denmark,['Denmark'],left,195,86,False,0.9500000000000001,0.11,0.0,0.32,100.0,0.05,0.07,0.0,0.9,1.13,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,33.33,0.05,0.0,0.0,17.26,0.05,0.21,26.47,77.0,15.62,63.39,0.0,0.0,13.61,97.67,12.81,54.96,37.35,50.96,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.02,40.79,0.48,22.22,0.21,0.0,0.0,0.0,8.84,68.86,97.41,10.22,34,1.8,97,5.14,2,64.95,33.32,1.76,-0.68,-0.036000000000000004,0.0,1.48,0.32,,,,0.0,0,0.0
E. Breivik,Emil Varhaugvik Breivik,509694,Molde,Molde,https://cdn5.wyscout.com/photos/team/public/735_120x120.png,Eliteserien,"CF, RDMF, AMF",CF,30,RDMF,29,AMF,26,26,2000-06-11,3500000,2029-12-31,17,1697,7,4.47,4,3.23,14.43,42.65,Norway,['Norway'],right,180,82,False,5.2,5.14,57.73,1.75,24.24,0.16,0.24,0.16,2.07,3.1,0.6900000000000001,2,0.11,0,0.0,2.23,0.37,7,0.37,0.24,0,0.0,32,1.7000000000000002,53.13,21.875,0.21,1.38,30.77,0.48,22.22,0.85,37.5,0.16,1.7000000000000002,50.0,5.83,33.64,3.55,0.9,0.16,31.29,1.11,0.9500000000000001,39.09,76.12,10.77,63.55,6.79,92.97,34.9,80.24,2.81,47.17,15.17,33.8,0.17,1.17,0.11,0.05,0.21,25.0,0.9,3.92,64.86,2.7,50.98,0.53,50.0,1.27,0.48,4.99,59.57,78.33,10.77,0,,0,,0,0.0,0.0,0.0,,,0.11,,1.75,0.11,0.11,50.0,0.16,0,0.0
M. Børsheim,Martin Børsheim,-304301,Fredrikstad,Fredrikstad,https://cdn5.wyscout.com/photos/team/public/729_120x120.png,Eliteserien,GK,GK,100,,0,,0,21,2005-02-18,0,2031-12-31,17,1694,0,0.0,0,0.0,0.64,91.67,Norway,['Norway'],right,194,82,False,1.22,0.11,100.0,0.16,100.0,0.0,0.0,0.0,1.12,1.3,0.0,3,0.16,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.21,100.0,0.0,0.0,0.0,16.68,0.37,0.16,24.6,75.16,15.46,65.98,0.0,0.0,12.33,96.98,12.17,53.71,35.95,49.4,0.0,0.0,0.0,0.11,0.0,0.0,0.0,3.83,44.44,0.21,25.0,0.27,20.0,0.05,0.0,9.19,64.16,91.77,8.39,27,1.43,84,4.46,3,67.86,29.37,1.56,2.37,0.126,0.0,1.33,0.16,,,,0.0,0,0.0
P. Dahlberg,Pontus Jacob Ragne Dahlberg,400803,Lillestrøm,Lillestrøm,https://cdn5.wyscout.com/photos/team/public/737_120x120.png,Eliteserien,GK,GK,100,,0,,0,27,1999-01-21,750000,2028-12-31,17,1688,0,0.0,0,0.18,0.85,87.5,Sweden,['Sweden'],right,194,86,False,0.85,0.0,0.0,0.53,90.0,0.0,0.0,0.0,0.85,1.11,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,80.0,0.0,0.0,0.0,17.65,0.32,0.21,27.73,79.42,14.66,64.0,0.0,0.0,17.97,97.03,9.65,47.51,28.96,46.06,0.01,0.05,0.0,0.0,0.0,0.0,0.05,2.4,28.89,0.27,0.0,0.11,0.0,0.0,0.0,6.4,60.0,97.35,12.05,21,1.12,90,4.8,5,76.67,27.71,1.48,6.71,0.358,0.0,2.03,0.53,,,,0.0,0,0.0
E. Hadaya,Elias Hadaya,298542,Sandefjord,Sandefjord,https://cdn5.wyscout.com/photos/team/public/1570_120x120.png,Eliteserien,GK,GK,100,,0,,0,27,1998-08-31,350000,2027-12-31,17,1687,0,0.0,0,0.0,0.48,100.0,Sweden,"['Sweden', 'Syria']",right,194,80,False,1.12,0.05,100.0,0.21,100.0,0.0,0.0,0.0,1.07,1.3900000000000001,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,20.38,0.27,0.27,32.12,88.87,13.87,76.15,0.0,0.0,23.63,97.74,8.48,64.15,27.11,46.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,46.15,0.16,33.33,0.16,0.0,0.11,0.0,5.98,72.32,98.74,16.91,23,1.23,87,4.64,4,73.56,29.12,1.55,6.12,0.326,0.0,1.28,0.21,,,,0.0,0,0.0
L. Wahlstedt,Leopold Wahlstedt,-80409,Rosenborg,Rosenborg,https://cdn5.wyscout.com/photos/team/public/476_120x120.png,Eliteserien,GK,GK,100,,0,,0,27,1999-07-04,1800000,2029-12-31,17,1684,0,0.0,0,0.0,0.43,62.5,Sweden,['Sweden'],right,190,80,False,0.96,0.05,0.0,0.27,100.0,0.0,0.0,0.0,0.96,1.3,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,9.25,0.21,0.0,18.01,78.64,8.82,61.82,0.0,0.0,10.69,99.0,7.27,49.26,35.08,52.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,19.05,0.53,0.0,0.11,0.0,0.0,0.0,4.06,72.37,95.0,8.55,22,1.18,76,4.06,6,71.05,21.15,1.13,-0.85,-0.045,0.0,1.28,0.27,,,,0.0,0,0.0
X. Lambrix,Xander Lambrix,-145517,Sandefjord,Sandefjord,https://cdn5.wyscout.com/photos/team/public/1570_120x120.png,Eliteserien,"LCB, LCB3, RCB",LCB,58,LCB3,19,RCB,15,26,2000-03-25,325000,2029-12-31,17,1683,0,0.33,0,0.07,11.39,54.46,Belgium,['Belgium'],left,181,71,False,7.86,4.17,57.69,4.65,57.47,0.16,0.21,0.75,5.29,6.88,1.18,2,0.11,0,0.0,0.16,0.0,0,0.0,0.02,0,0.0,3,0.16,33.33,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.16,66.67,1.07,40.0,0.27,1.28,0.05,45.29,0.37,0.43,60.21,89.17,22.99,76.98,4.12,97.4,54.33,93.31,5.83,51.38,18.38,36.97,0.0,0.11,0.0,0.0,0.0,0.0,0.0,6.74,75.4,0.48,33.33,0.21,0.0,0.16,0.0,8.61,60.25,98.32,22.25,0,,0,,0,0.0,0.0,0.0,,,3.1,,4.65,0.0,0.0,0.0,0.0,0,0.0
M. Sandberg,Marcus Sandberg,72672,HamKam,HamKam,https://cdn5.wyscout.com/photos/team/public/664_120x120.png,Eliteserien,GK,GK,100,,0,,0,35,1990-11-07,250000,2027-12-31,17,1677,0,0.0,0,0.0,0.48,77.78,Sweden,['Sweden'],right,191,80,False,1.02,0.11,50.0,0.32,83.33,0.0,0.0,0.0,0.97,1.11,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.05,100.0,0.0,0.0,0.0,17.71,0.16,0.0,28.23,81.56,16.64,70.65,0.05,100.0,16.21,98.34,11.97,59.19,35.46,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.05,4.13,46.75,0.27,0.0,0.0,0.0,0.0,0.0,8.96,74.85,97.52,10.84,30,1.6099999999999999,92,4.94,4,67.39,26.56,1.43,-3.44,-0.185,0.0,1.6099999999999999,0.32,,,,0.0,0,0.0
T. Strannegard,Tom Strannegard,-152748,Start,Start,https://cdn5.wyscout.com/photos/team/public/1571_120x120.png,Eliteserien,"LB5, LWB",LB5,70,LWB,22,,0,24,2002-04-29,325000,2026-12-31,17,1667,2,0.98,3,3.19,14.47,51.87,Sweden,['Sweden'],left,177,63,False,7.4,5.51,54.9,1.51,57.14,0.11,0.12,0.11,4.27,4.82,0.76,0,0.0,0,0.0,3.94,0.11,2,0.11,0.05,0,0.0,14,0.76,35.71,14.286,0.16,3.83,54.93,2.59,52.08,1.19,59.09,0.65,2.11,74.36,5.88,51.38,1.62,1.46,0.11,18.3,1.62,1.03,28.13,76.2,9.34,61.85,6.64,95.12,21.49,84.92,3.08,43.86,18.43,38.34,0.17,1.35,0.05,0.0,0.0,0.0,0.97,3.56,51.52,4.37,58.02,0.38,28.57,0.97,1.8900000000000001,6.1,76.99,73.72,7.4,0,,0,,0,0.0,0.0,0.0,,,0.22,,1.51,1.46,0.0,0.0,1.46,0,0.0
