Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Vogler,Felix Vogler,-723672,Verl,Verl,https://cdn5.wyscout.com/photos/team/public/2680_120x120.png,3. Liga,RCB,RCB,100,,0,,0,23.0,2003-04-12,0,2028-06-30,3,297,1,0.13,1,0.05,14.55,50.0,Germany,['Germany'],unknown,190,0,False,7.88,6.06,45.0,2.73,44.44,0.30000000000000004,0.58,0.0,4.85,9.23,0.61,0,0.0,0,0.0,1.52,0.30000000000000004,1,0.30000000000000004,0.04,0,0.0,2,0.61,50.0,50.0,0.30000000000000004,0.61,0.0,0.0,0.0,0.61,0.0,0.0,1.21,100.0,3.64,75.0,0.61,1.52,0.30000000000000004,56.06,0.30000000000000004,1.52,73.33,89.26,30.0,81.82,4.55,100.0,69.39,91.27,3.33,63.64,18.54,53.15,0.01,0.30000000000000004,0.0,0.0,0.0,0.0,0.30000000000000004,7.58,76.0,0.91,0.0,0.0,0.0,0.0,0.0,12.12,67.5,96.51,26.06,0,,0,,0,0.0,0.0,0.0,,,4.24,,2.73,0.0,0.0,0.0,0.0,0,0
T. Schlieck,Timo  Schlieck,-276657,Verl,Verl,https://cdn5.wyscout.com/photos/team/public/2680_120x120.png,3. Liga,GK,GK,100,,0,,0,20.0,2006-03-02,500000,2029-06-30,3,297,0,0.0,0,0.0,0.0,0.0,Germany,['Germany'],right,193,82,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,27.88,0.30000000000000004,0.0,46.67,90.26,22.12,82.19,0.0,0.0,36.67,96.69,10.0,66.67,25.39,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,60.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,9.09,60.0,97.26,22.12,10,3.03,18,5.45,0,44.44,7.05,2.14,-2.95,-0.894,0.0,2.12,0.0,,,,0.0,0,0
N. Kijewski,Niko Kijewski,284427,Verl,Verl,https://cdn5.wyscout.com/photos/team/public/2680_120x120.png,3. Liga,LB,LB,100,,0,,0,30.0,1996-03-28,275000,2027-06-30,3,297,0,0.0,0,0.26,10.3,52.94,Germany,['Germany'],left,176,74,False,6.06,3.94,46.15,2.73,55.56,0.30000000000000004,0.58,0.30000000000000004,3.94,7.5,1.21,0,0.0,0,0.0,1.52,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.42,37.5,2.42,37.5,0.0,0.0,0.0,0.91,66.67,3.33,63.64,0.0,0.61,0.0,40.91,1.52,0.61,49.39,83.44,16.67,74.55,8.18,96.3,43.03,88.03,4.55,53.33,19.68,43.11,0.08,0.91,0.0,0.0,0.0,0.0,0.61,6.06,70.0,3.03,40.0,0.0,0.0,0.61,1.21,9.7,68.75,85.45,16.67,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,2.73,0.30000000000000004,0.0,0.0,0.0,0,0
L. Winkler,Lennart Winkler,-126395,Fortuna Köln,Fortuna Köln,https://cdn5.wyscout.com/photos/team/public/1206_120x120.png,3. Liga,GK,GK,100,,0,,0,22.0,2003-10-05,10000,2027-06-30,3,296,0,0.0,0,0.0,0.61,100.0,Germany,['Germany'],right,187,0,False,0.91,0.30000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,0.61,0.73,0.0,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.30000000000000004,100.0,0.0,0.0,0.0,14.29,0.0,0.0,25.54,84.52,11.25,64.86,0.0,0.0,17.94,98.31,7.6,52.0,32.71,51.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,18.18,0.91,0.0,0.0,0.0,0.0,0.0,4.86,75.0,100.0,13.38,3,0.91,16,4.86,0,81.25,4.94,1.5,1.94,0.59,0.0,1.82,0.0,,,,0.0,0,0
David Al-Azzawe,David Haider Kamm Al-Azzawe,191922,Fortuna Köln,Fortuna Köln,https://cdn5.wyscout.com/photos/team/public/1206_120x120.png,3. Liga,RCB,RCB,100,,0,,0,34.0,1992-06-05,100000,2027-06-30,3,296,0,0.0,0,0.0,8.21,74.07,Iraq,"['Iraq', 'Germany']",right,188,0,False,8.21,2.74,66.67,3.34,72.73,0.61,0.73,0.61,5.78,6.95,0.61,1,0.30000000000000004,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,75.0,0.30000000000000004,0.30000000000000004,0.0,24.02,0.91,2.13,35.27,82.76,11.55,65.79,1.22,75.0,30.41,89.0,4.86,43.75,22.96,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,56.25,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,5.47,66.67,96.49,17.33,0,,0,,0,0.0,0.0,0.0,,,0.91,,3.34,0.0,0.0,0.0,0.0,0,0
R. Afamefuna,Robin Afamefuna,359513,Fortuna Köln,Fortuna Köln,https://cdn5.wyscout.com/photos/team/public/1206_120x120.png,3. Liga,LB,LB,100,,0,,0,29.0,1997-03-02,75000,2027-06-30,3,296,0,0.0,0,0.45,7.91,61.54,Germany,['Germany'],both,181,0,False,6.69,1.82,83.33,3.65,50.0,0.0,0.0,0.30000000000000004,5.17,6.22,0.0,0,0.0,0,0.0,0.61,0.0,0,0.0,0.0,0,0.0,1,0.30000000000000004,0.0,0.0,0.0,1.52,20.0,1.52,20.0,0.0,0.0,0.0,0.30000000000000004,100.0,1.82,50.0,0.91,1.52,0.0,19.16,2.43,0.61,26.45,79.31,10.34,67.65,7.91,96.15,22.2,89.04,3.04,30.0,24.06,47.8,0.14,0.61,0.0,0.0,0.0,0.0,0.30000000000000004,4.86,56.25,1.22,50.0,0.0,0.0,0.30000000000000004,0.30000000000000004,5.78,73.68,83.33,5.47,0,,0,,0,0.0,0.0,0.0,,,0.61,,3.65,0.91,0.30000000000000004,0.0,0.91,0,0
A. Stanilewicz,Adrian Stanilewicz,476880,Fortuna Köln,Fortuna Köln,https://cdn5.wyscout.com/photos/team/public/1206_120x120.png,3. Liga,"LCMF3, LCMF",LCMF3,77,LCMF,19,,0,26.0,2000-02-22,175000,2027-06-30,3,296,0,0.09,0,0.97,7.91,53.85,Germany,"['Germany', 'Poland']",right,181,70,False,6.99,5.17,64.71,2.13,42.86,0.0,0.0,0.0,3.65,4.39,1.22,0,0.0,0,0.0,1.52,0.0,0,0.0,0.03,0,0.0,3,0.91,0.0,0.0,0.0,2.43,62.5,1.52,80.0,0.91,33.33,0.0,0.0,0.0,0.61,0.0,1.52,0.91,0.0,16.11,0.91,0.0,23.11,65.79,11.55,55.26,3.04,100.0,16.11,71.7,4.5600000000000005,46.67,23.77,38.04,0.30000000000000004,1.82,0.0,0.0,0.0,0.0,0.91,5.47,66.67,2.43,75.0,0.30000000000000004,100.0,0.91,1.52,7.3,66.67,71.43,6.39,0,,0,,0,0.0,0.0,0.0,,,0.61,,2.13,2.13,0.61,0.0,1.82,0,0
J. Okeke,Jid Okeke,-518753,Waldhof Mannheim,Waldhof Mannheim,https://cdn5.wyscout.com/photos/team/public/g2364_120x120.png,3. Liga,"RB, RWB",RB,66,RWB,33,,0,21.0,2004-11-11,0,,3,295,0,0.08,2,0.65,7.02,56.52,Germany,"['Germany', 'Nigeria']",,0,0,False,3.9699999999999998,1.83,33.33,1.22,50.0,0.0,0.0,0.31,3.36,4.29,0.0,0,0.0,0,0.0,3.36,0.0,0,0.0,0.02,0,0.0,2,0.61,0.0,0.0,0.61,3.9699999999999998,61.54,0.0,0.0,3.9699999999999998,61.54,0.31,1.22,75.0,3.66,66.67,0.61,2.75,0.0,28.98,3.05,1.53,33.25,78.9,13.73,75.56,4.88,93.75,25.93,84.71,3.66,58.33,20.48,43.98,0.2,2.14,0.0,0.31,0.0,0.0,0.92,2.75,66.67,4.88,62.5,0.0,0.0,0.92,2.44,8.54,67.86,75.68,11.29,0,,0,,0,0.0,0.0,0.0,,,1.53,,1.22,0.31,0.0,0.0,0.61,0,0
L. Klünter,Lukas Klünter,307951,Waldhof Mannheim,Waldhof Mannheim,https://cdn5.wyscout.com/photos/team/public/g2364_120x120.png,3. Liga,"RCB, RCB3",RCB,66,RCB3,33,,0,30.0,1996-05-26,350000,2027-06-30,3,295,0,0.17,0,0.12,11.29,59.46,Germany,['Germany'],right,184,76,False,6.71,4.58,40.0,4.27,71.43,0.0,0.0,0.31,4.88,6.23,2.14,1,0.31,0,0.0,0.61,0.0,0,0.0,0.05,0,0.0,1,0.31,0.0,0.0,0.0,0.61,100.0,0.0,0.0,0.61,100.0,0.0,0.0,0.0,1.22,50.0,0.31,0.31,0.0,21.66,0.92,2.44,33.86,85.59,14.34,74.47,3.36,90.91,30.81,91.09,2.44,12.5,20.11,52.44,0.04,0.31,0.0,0.0,0.0,0.0,0.31,3.05,50.0,0.92,66.67,0.0,0.0,0.0,0.61,4.58,53.33,93.02,13.12,0,,0,,0,0.0,0.0,0.0,,,1.83,,4.27,0.31,0.0,0.0,0.0,0,0
J. Rieckmann,Julian Rieckmann,480150,Waldhof Mannheim,Waldhof Mannheim,https://cdn5.wyscout.com/photos/team/public/g2364_120x120.png,3. Liga,"LCMF3, LCMF, RCMF3",LCMF3,50,LCMF,26,RCMF3,12,26.0,2000-08-01,225000,2028-06-30,3,295,1,0.22,0,0.0,9.46,61.29,Germany,['Germany'],right,186,79,False,3.05,2.44,75.0,3.36,63.64,0.0,0.0,0.0,1.22,1.56,0.61,1,0.31,0,0.0,0.31,0.31,1,0.31,0.07,0,0.0,2,0.61,50.0,50.0,0.0,1.22,0.0,0.92,0.0,0.31,0.0,0.31,0.31,0.0,2.44,50.0,0.31,0.92,0.31,18.0,0.61,1.22,24.71,69.14,9.46,54.84,3.36,100.0,21.05,75.36,2.75,44.44,18.63,39.59,0.0,0.0,0.0,0.31,0.0,0.0,0.0,3.9699999999999998,61.54,1.53,40.0,0.0,0.0,0.0,0.31,3.66,50.0,70.83,7.32,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.36,0.0,0.0,0.0,0.0,0,0
