Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Stoldt,Svea Stoldt,-326581,Hamburger SV,Hamburger SV,https://cdn5.wyscout.com/photos/team/public/g4422_120x120.png,Frauen Bundesliga,"RCB, CB, DMF",RCB,41,CB,28,DMF,12,20.0,2005-12-03,0,,26,2558,3,1.85,1,1.6400000000000001,9.36,59.02,Germany,['Germany'],unknown,0,0,False,9.39,4.68,69.17,1.79,49.02,0.04,0.04,0.53,6.12,6.92,0.21,1,0.04,0,0.0,0.49,0.11,3,0.11,0.07,0,0.0,14,0.49,35.71,21.429,0.04,0.28,25.0,0.11,33.33,0.18,20.0,0.11,0.35000000000000003,70.0,1.83,44.23,0.32,0.07,0.0,12.53,0.14,0.46,29.24,74.25,15.34,60.78,2.11,96.67,22.34,83.15,6.61,46.28,19.61,29.87,0.06,0.53,0.0,0.0,0.0,0.0,0.11,2.96,58.33,0.42,50.0,0.0,0.0,0.11,0.07,7.25,44.17,90.61,8.62,0,,0,,0,0.0,0.0,0.0,,,1.09,,1.79,1.09,0.07,50.0,1.09,0,0.0
L. Karl,Lisa Karl,265566,Freiburg,Freiburg,https://cdn5.wyscout.com/photos/team/public/g4424_120x120.png,Frauen Bundesliga,LB,LB,95,,0,,0,29.0,1997-01-15,0,,26,2537,2,2.75,2,1.97,18.41,56.07,Germany,['Germany'],right,0,0,False,11.32,7.8,75.45,2.48,38.57,0.0,0.0,0.25,5.43,6.99,0.5,3,0.11,0,0.0,1.63,0.07,2,0.07,0.1,0,0.0,20,0.71,20.0,10.0,0.07,1.35,18.42,1.35,18.42,0.0,0.0,0.11,2.02,61.4,6.63,40.11,1.49,1.35,0.14,23.73,1.7000000000000002,0.39,38.49,77.14,14.44,67.08,7.63,91.16,34.66,80.55,2.55,59.72,16.4,26.25,0.07,0.5700000000000001,0.04,0.07,0.07,0.0,0.25,3.37,62.11,1.31,45.95,0.07,0.0,0.53,0.25,7.2,55.17,83.99,9.97,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,2.48,0.0,0.0,0.0,0.0,0,0.0
V. Diehm,Vanessa Diehm,-304892,Hoffenheim,Hoffenheim,https://cdn5.wyscout.com/photos/team/public/g11292_120x120.png,Frauen Bundesliga,"CB, RCB, DMF",CB,32,RCB,27,DMF,20,22.0,2004-03-22,0,,26,2489,0,0.43,0,0.5,13.23,63.39,Germany,['Germany'],unknown,0,0,False,11.39,7.16,73.74,2.06,45.61,0.25,0.34,0.9400000000000001,5.86,7.76,0.54,1,0.04,0,0.0,0.47000000000000003,0.0,0,0.0,0.02,0,0.0,8,0.29,25.0,0.0,0.0,0.33,55.56,0.0,0.0,0.33,55.56,0.0,0.29,75.0,2.02,42.86,0.22,0.54,0.0,51.49,0.22,0.54,69.35,91.66,24.55,83.65,5.53,97.39,64.76,94.25,4.27,55.08,18.96,36.26,0.02,0.14,0.04,0.0,0.0,0.0,0.07,5.89,69.94,0.87,25.0,0.25,28.57,0.14,0.14,7.67,77.36,97.73,33.48,0,,0,,0,0.0,0.0,0.0,,,1.74,,2.06,0.04,0.0,0.0,0.04,0,0.0
M. El Sherif,Mariella El Sherif,-307038,Werder Bremen,Werder Bremen,https://cdn5.wyscout.com/photos/team/public/g11286_120x120.png,Frauen Bundesliga,GK,GK,100,,0,,0,21.0,2004-09-02,0,,25,2455,0,0.0,0,0.0,1.17,81.25,Austria,['Austria'],unknown,0,0,False,1.47,0.15,50.0,0.73,90.0,0.04,0.05,0.0,1.3599999999999999,1.9,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,60.0,0.0,0.0,0.0,25.92,0.26,0.37,38.31,86.03,23.13,78.45,0.04,100.0,25.0,98.39,13.27,62.98,28.21,44.24,0.0,0.0,0.04,0.0,0.0,0.0,0.0,3.48,55.79,0.22,0.0,0.22,16.67,0.0,0.0,9.16,65.2,97.88,13.82,35,1.28,124,4.55,7,71.77,40.42,1.48,5.42,0.199,0.0,1.76,0.73,,,,0.0,0,0.0
S. Steuerwald,Samantha Steuerwald,401632,Union Berlin,Union Berlin,https://cdn5.wyscout.com/photos/team/public/g8565_120x120.png,Frauen Bundesliga,"LCB, CB",LCB,81,CB,17,,0,27.0,1998-10-11,0,,25,2448,2,3.0,0,0.17,13.13,63.59,Germany,['Germany'],right,0,0,False,10.96,6.1,74.7,3.6,60.2,0.11,0.14,0.96,6.29,8.16,0.59,4,0.15,0,0.0,0.63,0.07,2,0.07,0.11,1,0.04,17,0.63,17.65,11.765,0.0,0.18,40.0,0.04,100.0,0.11,33.33,0.04,0.48,84.62,2.1,42.11,0.63,0.63,0.04,28.01,0.33,0.4,42.65,83.1,17.68,71.31,2.5700000000000003,92.86,36.65,88.67,5.85,49.69,20.08,37.42,0.01,0.11,0.0,0.04,0.04,100.0,0.0,4.3,63.25,0.37,50.0,0.11,33.33,0.18,0.07,8.01,51.38,94.58,17.65,0,,0,,0,0.0,0.0,0.0,,,1.58,,3.6,0.0,0.0,0.0,0.0,0,0.0
E. Herzog,Elvira Herzog,426099,RB Leipzig,RB Leipzig,https://cdn5.wyscout.com/photos/team/public/g39588_120x120.png,Frauen Bundesliga,GK,GK,100,,0,,0,26.0,2000-03-05,0,,25,2441,0,0.04,0,0.0,0.96,88.46,Switzerland,['Switzerland'],right,179,0,False,1.92,0.07,100.0,0.66,94.44,0.04,0.05,0.0,1.81,2.35,0.04,4,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.04,0.0,0.0,9.99,0.11,0.29,23.04,92.48,11.17,88.45,0.04,100.0,19.73,97.38,3.32,63.33,22.33,36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,66.67,0.0,0.0,0.04,100.0,0.0,0.0,3.13,56.47,97.28,10.84,48,1.77,134,4.94,3,64.18,43.21,1.5899999999999999,-4.79,-0.177,0.04,1.6600000000000001,0.66,,,,0.0,0,0.0
L. Dick,Laura Johanna Dick,-172044,Hoffenheim,Hoffenheim,https://cdn5.wyscout.com/photos/team/public/g11292_120x120.png,Frauen Bundesliga,GK,GK,100,,0,,0,22.0,2003-06-13,0,,25,2424,0,0.02,0,0.0,0.8200000000000001,86.36,Germany,['Germany'],,0,0,False,2.23,0.22,50.0,0.45,100.0,0.0,0.0,0.0,2.12,2.79,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,18.68,0.19,0.15,32.49,81.03,17.75,68.83,0.0,0.0,21.98,97.8,10.47,46.1,28.96,46.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,30.36,0.19,0.0,0.07,50.0,0.0,0.0,7.65,49.51,97.25,13.48,30,1.11,131,4.86,8,77.1,36.09,1.34,6.09,0.226,0.0,2.12,0.45,,,,0.0,0,0.0
A. Schasching,Annabel Schasching,510247,RB Leipzig,RB Leipzig,https://cdn5.wyscout.com/photos/team/public/g39588_120x120.png,Frauen Bundesliga,"LCMF, LCMF3, RCMF",LCMF,33,LCMF3,13,RCMF,13,23.0,2002-07-26,0,,25,2422,3,3.24,1,2.52,17.28,47.53,Austria,['Austria'],right,163,0,False,8.81,7.43,65.0,1.82,34.69,0.19,0.24,0.15,3.79,4.94,1.04,5,0.19,0,0.0,1.37,0.11,2,0.07,0.12,0,0.0,24,0.89,41.67,12.5,0.04,1.0,22.22,0.63,17.65,0.33,33.33,0.11,1.37,54.05,5.91,32.7,1.52,0.93,0.15,29.73,0.71,0.59,46.64,75.46,14.79,61.06,10.0,94.05,42.1,79.79,3.5300000000000002,38.95,16.88,29.09,0.09,0.74,0.0,0.04,0.22,16.67,0.30000000000000004,7.02,62.96,1.6400000000000001,45.45,0.37,40.0,0.52,0.30000000000000004,8.36,56.89,78.53,14.19,0,,0,,0,0.0,0.0,0.0,,,0.26,,1.82,0.30000000000000004,0.0,0.0,0.89,1,100.0
N. Lein,Nastassja Lein,-304873,Nürnberg,Nürnberg,https://cdn5.wyscout.com/photos/team/public/g14197_120x120.png,Frauen Bundesliga,"LW, CF",LW,58,CF,26,,0,25.0,2001-02-13,0,,25,2416,11,9.92,4,2.52,18.37,46.86,Germany,['Germany'],unknown,0,0,False,6.71,5.89,61.39,2.16,43.1,0.11,0.12,0.04,2.98,3.2,1.19,6,0.22,0,0.0,3.05,0.41000000000000003,11,0.41000000000000003,0.37,0,0.0,60,2.24,48.33,18.333,0.15,1.6,20.93,1.27,17.65,0.30000000000000004,25.0,0.07,3.95,41.51,8.42,37.17,4.02,2.46,0.75,9.57,2.27,1.45,14.08,56.08,4.69,46.03,2.46,77.27,11.36,62.62,1.12,40.0,17.78,21.2,0.09,0.63,0.04,0.04,0.0,0.0,0.34,1.6,32.56,0.63,58.82,0.04,0.0,0.56,0.34,2.5,46.27,71.05,2.83,0,,0,,0,0.0,0.0,0.0,,,0.04,,2.16,0.07,0.0,0.0,0.41000000000000003,0,0.0
T. Ihlenburg,Toma Ihlenburg,-197801,Carl Zeiss Jena,Carl Zeiss Jena,https://cdn5.wyscout.com/photos/team/public/g-14360_120x120.png,Frauen Bundesliga,"CB, LCB",CB,66,LCB,28,,0,23.0,2002-12-04,0,,25,2400,0,0.52,0,0.16,9.45,64.29,Germany,['Germany'],,0,0,False,11.48,4.39,74.36,2.85,56.58,0.08,0.09,1.24,8.14,9.29,0.26,0,0.0,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,7,0.26,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.86,34.78,0.45,0.08,0.0,15.64,0.23,0.30000000000000004,31.54,72.77,14.89,58.44,3.15,95.24,24.79,81.09,6.71,42.46,19.77,32.89,0.01,0.08,0.04,0.0,0.0,0.0,0.0,3.71,48.48,0.49,7.69,0.41000000000000003,18.18,0.11,0.0,7.8,40.38,85.0,10.5,0,,0,,0,0.0,0.0,0.0,,,2.59,,2.85,0.15,0.0,0.0,0.0,0,0.0
