Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Gaudiešius,Vykintas Gaudiešius,-365888,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,GK,GK,100,,0,,0,19.0,2006-07-19,0,,13,1244,0,0.0,0,0.0,0.51,85.71,Lithuania,['Lithuania'],right,188,77,False,1.16,0.0,0.0,0.29,75.0,0.0,0.0,0.0,1.16,1.73,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,13.17,0.22,0.36,21.99,86.18,8.1,66.07,0.0,0.0,15.84,97.72,6.15,56.47,28.61,39.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,28.57,0.07,0.0,0.0,0.0,0.0,0.0,3.62,54.0,97.8,13.17,9,0.65,39,2.8200000000000003,5,76.92,11.36,0.8200000000000001,2.36,0.171,0.0,1.01,0.29,,,,0.0,0,0
B. Diawara,Bekaye Diawara,-567894,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,RB,RB,91,,0,,0,23.0,2002-07-25,0,2026-12-31,13,1194,0,0.04,2,2.06,12.74,52.66,Mali,['Mali'],unknown,0,0,False,8.74,5.95,55.7,2.71,72.22,0.23,0.34,0.08,5.2,7.75,1.3599999999999999,2,0.15,0,0.0,2.94,0.0,0,0.0,0.0,0,0.0,5,0.38,0.0,0.0,0.15,3.99,56.6,0.0,0.0,3.99,56.6,0.53,1.06,64.29,2.64,37.14,0.38,2.19,0.53,30.3,1.88,0.53,46.06,76.6,19.9,66.67,5.13,92.65,36.41,82.82,5.73,50.0,19.55,35.34,0.16,1.21,0.0,0.15,0.0,0.0,0.6000000000000001,7.69,66.67,5.05,59.7,0.75,40.0,0.9,2.19,13.64,81.22,84.62,14.7,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,2.71,0.0,0.0,0.0,0.0,0,0
L. Zingertas,Linas Zingertas,517716,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,LB,LB,91,,0,,0,24.0,2002-01-26,0,,13,1161,0,0.71,2,1.06,10.62,59.85,Lithuania,['Lithuania'],left,177,67,False,7.6,4.96,67.19,1.47,68.42,0.0,0.0,0.08,4.26,6.4,0.62,2,0.16,0,0.0,1.8599999999999999,0.0,0,0.0,0.05,0,0.0,25,1.94,16.0,0.0,0.16,3.1,30.0,2.71,34.29,0.39,0.0,0.62,1.01,61.54,2.87,51.35,0.93,0.93,0.31,23.95,1.47,0.93,35.89,65.87,15.19,59.18,5.89,89.47,26.98,73.85,5.97,48.05,20.46,35.56,0.08,1.4,0.08,0.0,0.0,0.0,0.39,6.98,62.22,3.64,36.17,1.09,35.71,0.62,1.09,10.23,68.18,64.75,9.46,0,,0,,0,0.0,0.0,0.0,,,0.08,,1.47,1.16,0.39,20.0,4.88,0,0
M. Sidibe,Mohamed Aly Sidibe,-363267,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,"RCMF, RDMF, DMF",RCMF,35,RDMF,30,DMF,24,25.0,2001-06-01,0,2026-12-31,12,1147,0,0.23,0,0.49,20.09,55.86,Mali,['Mali'],right,0,0,False,12.48,9.49,62.81,3.06,56.41,0.9400000000000001,1.43,0.39,5.57,8.49,2.35,4,0.31,0,0.0,1.18,0.0,0,0.0,0.02,0,0.0,9,0.71,22.22,0.0,0.0,0.71,33.33,0.16,100.0,0.55,14.29,0.08,1.1,71.43,5.8100000000000005,48.65,0.24,1.1,0.08,26.44,0.16,0.71,50.61,82.64,18.6,67.09,6.59,96.43,43.23,88.2,6.67,51.76,20.89,37.25,0.04,0.24,0.0,0.08,0.0,0.0,0.16,10.2,70.0,1.73,50.0,0.47000000000000003,33.33,0.47000000000000003,0.16,9.26,75.42,90.8,19.62,0,,0,,0,0.0,0.0,0.0,,,0.86,,3.06,0.0,0.0,0.0,0.0,0,0
E. Mockus,Ernestas Mockus,513687,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,RCB,RCB,91,,0,,0,25.0,2000-08-05,0,,12,1146,0,0.30000000000000004,0,0.0,6.2,68.35,Lithuania,['Lithuania'],right,189,0,False,5.89,3.5300000000000002,80.0,1.73,50.0,0.0,0.0,0.39,3.06,4.55,0.47000000000000003,2,0.16,0,0.0,0.16,0.0,0,0.0,0.02,0,0.0,4,0.31,25.0,0.0,0.0,0.16,50.0,0.08,100.0,0.08,0.0,0.0,0.0,0.0,0.39,60.0,0.71,0.71,0.0,29.61,0.0,0.24,42.96,83.91,18.46,71.06,2.2800000000000002,96.55,35.89,91.9,6.91,43.18,23.02,40.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38,57.45,0.86,36.36,0.63,50.0,0.16,0.08,8.09,67.96,93.98,19.55,0,,0,,0,0.0,0.0,0.0,,,1.96,,1.73,0.0,0.0,0.0,0.0,0,0
J. Kasparavičius,Julius Kasparavičius,381449,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,"LW, LAMF",LW,32,LAMF,32,,0,31.0,1995-04-03,25000,2026-12-31,12,1080,6,4.41,2,1.99,15.67,45.21,Lithuania,['Lithuania'],right,184,78,False,5.42,4.17,62.0,2.33,46.43,0.33,0.5,0.17,2.5,3.7800000000000002,1.25,3,0.25,0,0.0,2.92,0.5,5,0.42,0.37,1,0.08,34,2.83,41.18,17.647,0.17,1.92,21.74,1.58,21.05,0.33,25.0,0.5,2.58,48.39,6.92,39.76,4.08,2.75,1.25,15.75,1.17,0.8300000000000001,23.75,67.02,6.25,56.0,5.33,85.94,19.83,73.95,2.0,41.67,17.48,26.5,0.17,1.17,0.08,0.0,0.25,33.33,0.33,2.83,55.88,2.33,42.86,0.25,33.33,0.8300000000000001,0.5,3.08,75.68,69.88,6.92,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.33,0.0,0.0,0.0,0.0,1,100
S. Amirzian,Sergejus Amirzian,487914,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,"RAMF, RW",RAMF,39,RW,35,,0,26.0,1999-12-26,0,,13,1000,5,2.69,1,1.97,16.65,49.19,Lithuania,"['Lithuania', 'Armenia']",right,175,60,False,6.48,5.4,63.33,1.8900000000000001,28.57,0.0,0.0,0.09,3.06,4.68,1.53,1,0.09,0,0.0,4.59,0.45,5,0.45,0.24,1,0.09,16,1.44,56.25,31.25,0.09,5.22,27.59,0.36,50.0,4.77,26.42,1.44,3.96,59.09,7.47,51.81,3.87,3.06,0.18,16.92,2.43,0.54,24.39,59.41,7.11,53.16,3.96,72.73,17.91,69.85,1.35,40.0,18.66,20.93,0.18,1.17,0.18,0.09,0.0,0.0,0.9,2.16,70.83,4.05,48.89,0.09,0.0,1.35,1.53,5.85,69.23,60.67,8.01,0,,0,,0,0.0,0.0,0.0,,,0.27,,1.8900000000000001,0.36,0.09,0.0,0.36,0,0
N. Komissarov,Nikita Komissarov,466648,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,"LCMF, LDMF, AMF",LCMF,37,LDMF,28,AMF,22,26.0,2000-04-25,200000,,12,926,1,1.51,2,1.54,17.01,55.43,Estonia,['Estonia'],right,0,0,False,8.26,7.68,62.03,1.75,66.67,0.29,0.43,0.29,3.21,4.71,1.56,2,0.19,0,0.0,1.56,0.1,1,0.1,0.15,0,0.0,21,2.04,23.81,4.7620000000000005,0.19,1.26,30.77,0.49,20.0,0.78,37.5,0.39,1.46,40.0,5.44,44.64,1.07,0.68,0.0,23.42,0.78,1.3599999999999999,38.97,78.3,16.23,71.26,5.35,92.73,31.98,82.98,5.73,62.71,19.15,36.87,0.15,1.3599999999999999,0.1,0.0,0.29,33.33,0.39,5.83,68.33,3.3,44.12,1.17,25.0,1.3599999999999999,0.29,8.94,79.35,83.49,10.59,0,,0,,0,0.0,0.0,0.0,,,0.29,,1.75,1.3599999999999999,0.0,0.0,3.79,0,0
E. Kirjanov,Erik Kirjanov,-445784,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,LCB,LCB,91,,0,,0,20.0,2005-10-28,0,2026-12-31,9,860,0,0.0,0,0.01,9.84,54.26,Lithuania,['Lithuania'],left,0,0,False,5.44,3.87,64.86,4.29,53.66,0.1,0.15,0.21,2.83,4.18,1.26,2,0.21,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.63,50.0,0.63,50.0,0.0,0.0,0.0,0.1,0.0,0.84,25.0,0.31,2.62,0.21,29.09,0.42,0.21,41.55,80.35,18.84,65.56,4.6,100.0,33.49,90.0,7.43,39.44,23.52,41.16,0.0,0.1,0.1,0.1,0.0,0.0,0.0,8.06,53.25,1.88,38.89,0.9400000000000001,11.11,0.52,0.42,9.63,70.65,93.24,15.49,0,,0,,0,0.0,0.0,0.0,,,2.83,,4.29,0.0,0.0,0.0,0.0,0,0
K. Ojo Aderounmu,Kazeem Ojo Aderounmu,-705622,Minija,Minija,https://cdn5.wyscout.com/photos/team/public/g13471_120x120.png,1 Lyga,CF,CF,97,,0,,0,26.0,2000-01-10,0,,13,698,4,5.14,1,1.58,28.5,32.58,Lithuania,['Lithuania'],unknown,0,0,False,4.64,6.32,48.98,3.87,36.67,0.0,0.0,0.0,1.55,2.42,3.74,4,0.52,0,0.0,2.06,0.52,3,0.39,0.66,0,0.0,16,2.06,50.0,25.0,0.13,2.32,16.67,0.64,40.0,1.6800000000000002,7.69,0.13,2.45,26.32,13.15,25.49,7.09,1.42,0.39,11.86,2.84,1.03,21.53,59.88,5.16,47.5,5.03,79.49,18.18,66.67,1.29,30.0,16.91,12.45,0.2,1.55,0.26,0.0,0.0,0.0,0.39,2.45,26.32,1.55,33.33,0.13,0.0,1.9300000000000002,0.39,1.29,80.0,51.35,4.77,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.87,0.0,0.0,0.0,0.0,1,100
