Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Van der Lans,Mylo Van der Lans,-384931,Ajax II,Ajax II,https://cdn5.wyscout.com/photos/team/public/g4781_120x120.png,Eerste Divisie,RCB,RCB,96,,0,,0,19.0,2007-04-11,0,2030-06-30,5,476,0,0.51,0,0.02,7.94,52.38,Netherlands,['Netherlands'],unknown,0,0,False,10.02,3.7800000000000002,60.0,2.46,53.85,0.76,1.03,0.5700000000000001,7.0,9.49,1.32,0,0.0,0,0.0,0.19,0.0,0,0.0,0.1,0,0.0,2,0.38,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,25.0,0.38,1.13,0.0,43.3,0.5700000000000001,0.5700000000000001,60.32,93.42,13.05,73.91,3.03,100.0,56.72,95.67,3.59,57.89,21.58,52.0,0.0,0.19,0.0,0.0,0.19,0.0,0.0,4.73,68.0,0.76,0.0,0.19,0.0,0.0,0.0,5.29,67.86,99.0,38.0,0,,0,,0,0.0,0.0,0.0,,,2.46,,2.46,0.0,0.0,0.0,0.0,0,0
J. Heerkens,Joeri Jesse Heerkens,-279565,Ajax,Ajax II,https://cdn5.wyscout.com/photos/team/public/139_120x120.png,Eerste Divisie,GK,GK,100,,0,,0,20.0,2006-05-08,0,2030-06-30,5,476,0,0.0,0,0.0,0.0,0.0,Czech Republic,"['Czech Republic', 'Netherlands']",right,193,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.77,0.5700000000000001,0.0,36.87,84.1,23.63,79.2,0.0,0.0,22.69,96.67,14.18,64.0,32.33,49.05,0.0,0.0,0.19,0.0,0.0,0.0,0.0,2.84,60.0,0.38,0.0,0.0,0.0,0.0,0.0,12.67,68.66,93.44,11.53,14,2.65,38,7.18,0,63.16,10.13,1.9100000000000001,-3.87,-0.732,0.0,1.51,0.0,,,,0.0,0,0
J. Schuldes,Jamie Schuldes,-395916,Utrecht,Utrecht II,https://cdn5.wyscout.com/photos/team/public/150_120x120.png,Eerste Divisie,"RCB, LCB, CB",RCB,41,LCB,31,CB,22,19.0,2007-01-26,0,2030-06-30,5,476,0,0.65,0,0.11,13.05,65.22,Germany,['Germany'],right,0,0,False,11.53,4.92,73.08,4.92,57.69,0.19,0.21,0.76,7.75,8.6,0.9500000000000001,1,0.19,0,0.0,0.19,0.0,0,0.0,0.12,0,0.0,5,0.9500000000000001,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,1.8900000000000001,50.0,1.32,0.5700000000000001,0.0,27.79,0.5700000000000001,0.76,44.43,80.0,19.66,68.27,2.84,80.0,37.63,84.42,6.8100000000000005,55.56,22.43,40.19,0.02,0.19,0.0,0.0,0.0,0.0,0.19,7.5600000000000005,65.0,0.5700000000000001,33.33,0.0,0.0,0.38,0.0,9.64,60.78,94.74,17.96,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,4.92,0.0,0.0,0.0,0.0,0,0
V. Plantinga,Viggo Plantinga,-322520,Utrecht II,Utrecht II,https://cdn5.wyscout.com/photos/team/public/g22879_120x120.png,Eerste Divisie,"LB, LWB, LCB3",LB,69,LWB,16,LCB3,10,19.0,2007-05-18,0,2027-06-30,5,476,0,0.24,0,0.72,11.91,63.49,Netherlands,['Netherlands'],unknown,0,0,False,10.78,5.29,64.29,2.46,84.62,0.0,0.0,0.38,7.37,8.18,0.38,2,0.38,0,0.0,1.51,0.0,0,0.0,0.05,0,0.0,3,0.5700000000000001,0.0,0.0,0.0,2.65,42.86,2.46,46.15,0.19,0.0,0.19,0.5700000000000001,66.67,3.21,47.06,0.5700000000000001,1.51,0.19,22.88,1.13,1.13,34.41,73.63,11.72,50.0,6.8100000000000005,97.22,28.36,82.0,3.4,27.78,19.59,36.6,0.14,1.13,0.0,0.0,0.0,0.0,0.9500000000000001,2.84,53.33,3.03,37.5,0.0,0.0,0.19,1.13,5.86,54.84,83.61,11.53,0,,0,,0,0.0,0.0,0.0,,,1.13,,2.46,0.0,0.0,0.0,0.0,0,0
J. Zwart,Jesper Zwart,-322213,AZ II,AZ II,https://cdn5.wyscout.com/photos/team/public/g7253_120x120.png,Eerste Divisie,RB,RB,94,,0,,0,19.0,2006-11-08,0,2029-06-30,5,472,0,0.18,0,0.48,12.2,64.06,Netherlands,['Netherlands'],unknown,0,0,False,11.25,7.06,70.27,1.1400000000000001,50.0,0.0,0.0,0.38,6.29,8.05,0.9500000000000001,0,0.0,0,0.0,1.33,0.0,0,0.0,0.03,0,0.0,3,0.5700000000000001,66.67,0.0,0.0,1.33,28.57,0.0,0.0,1.33,28.57,0.19,0.5700000000000001,100.0,2.67,64.29,2.48,1.53,0.19,34.13,2.29,0.9500000000000001,47.48,79.52,14.3,65.33,9.72,92.16,42.14,84.62,4.0,42.86,18.33,42.05,0.09,0.76,0.19,0.0,0.0,0.0,0.9500000000000001,4.39,52.17,2.1,36.36,0.0,0.0,0.9500000000000001,0.38,7.25,65.79,85.71,13.35,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,1.1400000000000001,0.0,0.0,0.0,0.0,0,0
J. Oerip,Julian Oerip,-308039,AZ II,AZ II,https://cdn5.wyscout.com/photos/team/public/g7253_120x120.png,Eerste Divisie,"LDMF, AMF, LW",LDMF,59,AMF,20,LW,10,19.0,2006-10-26,0,2029-06-30,5,472,2,1.45,1,0.88,12.97,39.71,Netherlands,['Netherlands'],right,0,0,False,4.39,4.58,45.83,0.9500000000000001,40.0,0.0,0.0,0.0,2.29,2.93,1.53,2,0.38,0,0.0,4.0,0.38,2,0.38,0.28,0,0.0,19,3.62,68.42,10.526,0.19,0.9500000000000001,40.0,0.5700000000000001,33.33,0.38,50.0,0.19,1.53,62.5,6.48,32.35,1.9100000000000001,1.33,0.38,38.33,0.5700000000000001,0.5700000000000001,50.34,82.95,16.78,65.91,8.2,83.72,44.05,87.45,5.34,53.57,19.44,41.82,0.17,1.1400000000000001,0.0,0.0,0.19,100.0,0.9500000000000001,9.92,73.08,2.48,53.85,0.19,100.0,1.53,0.38,8.01,71.43,92.93,18.88,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,0.9500000000000001,0.38,0.0,0.0,3.24,0,0
M. Ghaddari,Massien Ghaddari,-547208,Utrecht II,Utrecht II,https://cdn5.wyscout.com/photos/team/public/g22879_120x120.png,Eerste Divisie,"RDMF, RCMF, RCMF3",RDMF,40,RCMF,19,RCMF3,15,21.0,2005-05-27,0,2027-06-30,5,470,0,0.5,1,0.28,9.38,55.1,Netherlands,"['Netherlands', 'Morocco']",right,0,0,False,6.51,3.45,77.78,0.5700000000000001,33.33,0.19,0.21,0.19,3.64,4.01,0.77,0,0.0,0,0.0,0.96,0.0,0,0.0,0.1,0,0.0,7,1.34,28.57,0.0,0.19,0.77,25.0,0.19,0.0,0.5700000000000001,33.33,0.19,0.77,25.0,4.79,40.0,0.96,0.96,0.0,20.3,0.96,1.53,27.77,73.1,12.26,67.19,3.26,70.59,21.83,78.95,5.17,55.56,20.86,37.35,0.05,0.96,0.0,0.0,0.19,100.0,0.77,7.47,66.67,1.9100000000000001,40.0,0.19,100.0,0.77,0.19,7.47,71.79,77.27,8.43,0,,0,,0,0.0,0.0,0.0,,,0.96,,0.5700000000000001,0.77,0.38,0.0,1.72,0,0
B. Menzo,Bjorn Menzo,-322945,Utrecht II,Utrecht II,https://cdn5.wyscout.com/photos/team/public/g22879_120x120.png,Eerste Divisie,"RAMF, RB, RW",RAMF,29,RB,27,RW,17,19.0,2007-04-22,0,2029-06-30,5,467,2,0.97,1,0.86,16.38,44.71,Netherlands,['Netherlands'],unknown,0,0,False,4.82,3.08,56.25,2.51,30.77,0.0,0.0,0.0,3.08,3.4,0.58,0,0.0,0,0.0,6.36,0.39,2,0.39,0.19,0,0.0,8,1.54,62.5,25.0,0.19,6.36,33.33,0.19,0.0,6.17,34.38,2.12,4.43,73.91,9.25,47.92,2.89,2.31,0.19,22.74,3.47,0.77,28.33,68.71,6.94,63.89,4.05,90.48,20.04,82.69,2.51,53.85,21.35,40.47,0.17,0.96,0.0,0.19,0.0,0.0,1.16,3.85,70.0,4.82,24.0,0.0,0.0,0.39,1.9300000000000002,5.59,75.86,67.61,13.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.51,0.19,0.0,0.0,0.19,0,0
P. Nash,Pharell Nash,-388792,Ajax II,Ajax II,https://cdn5.wyscout.com/photos/team/public/g4781_120x120.png,Eerste Divisie,"LAMF, LWF",LAMF,78,LWF,21,,0,18.0,2008-02-07,0,2027-06-30,5,452,2,1.5,1,2.54,12.15,47.54,Netherlands,['Netherlands'],unknown,0,0,False,2.99,1.3900000000000001,85.71,0.6000000000000001,33.33,0.0,0.0,0.0,1.79,2.43,0.6000000000000001,1,0.2,0,0.0,3.58,0.4,2,0.4,0.30000000000000004,0,0.0,14,2.79,50.0,14.286,0.2,2.39,33.33,2.39,33.33,0.0,0.0,0.0,2.19,54.55,8.56,46.51,3.38,2.79,0.6000000000000001,19.91,3.19,1.79,23.3,62.39,5.77,55.17,4.58,82.61,18.52,68.82,3.19,37.5,21.29,45.4,0.5,2.99,0.2,0.0,0.2,100.0,2.19,3.98,55.0,3.58,38.89,0.2,100.0,1.5899999999999999,1.19,6.57,57.58,60.0,9.96,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.6000000000000001,1.19,0.2,100.0,1.5899999999999999,0,0
M. Muzungu,Marvin Muzungu,-676879,Ajax II,Ajax II,https://cdn5.wyscout.com/photos/team/public/g4781_120x120.png,Eerste Divisie,LCB,LCB,96,,0,,0,18.0,2007-11-28,0,2028-06-30,5,428,0,0.21,0,0.6900000000000001,10.72,54.9,France,['France'],unknown,0,0,False,10.93,4.84,39.13,2.73,76.92,0.21,0.29,0.42,8.83,12.23,1.8900000000000001,2,0.42,0,0.0,0.21,0.0,0,0.0,0.05,0,0.0,1,0.21,0.0,0.0,0.0,0.21,100.0,0.21,100.0,0.0,0.0,0.0,0.0,0.0,1.47,57.14,0.42,0.42,0.0,49.21,0.0,0.42,63.93,85.2,22.5,71.96,2.94,92.86,57.62,90.15,6.31,40.0,22.69,47.85,0.14,0.42,0.0,0.0,0.0,0.0,0.42,6.94,54.55,1.26,50.0,0.21,0.0,0.63,0.0,10.93,57.69,93.79,33.86,0,,0,,0,0.0,0.0,0.0,,,2.73,,2.73,0.0,0.0,0.0,0.0,0,0
