Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Bah,Mamadou Bah,-678110,East Fife,East Fife,https://cdn5.wyscout.com/photos/team/public/g1928_120x120.png,League One,RCB3,RCB3,90,,0,,0,22.0,2003-12-05,0,,5,481,0,0.16,0,0.27,13.85,59.46,Gambia,['Gambia'],,0,0,False,11.23,5.8,58.06,5.05,70.37,0.56,0.68,0.37,7.3,8.8,0.75,1,0.19,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,2,0.37,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,1.5,50.0,0.56,0.19,0.19,4.86,0.0,1.12,16.09,53.49,11.04,45.76,1.12,100.0,10.29,67.27,5.24,32.14,25.48,39.78,0.05,0.56,0.0,0.0,0.0,0.0,0.37,4.86,34.62,1.87,10.0,0.0,0.0,0.37,0.0,4.68,60.0,42.86,2.62,0,,0,,0,0.0,0.0,0.0,,,0.56,,5.05,0.56,0.0,0.0,0.0,0,0
D. Gaston,Derek Gaston,86715,East Fife,East Fife,https://cdn5.wyscout.com/photos/team/public/g1928_120x120.png,League One,GK,GK,100,,0,,0,39.0,1987-04-18,25000,2027-05-31,5,481,0,0.0,0,0.0,0.75,100.0,Scotland,['Scotland'],right,191,91,False,0.19,0.0,0.0,0.37,100.0,0.0,0.0,0.0,0.19,0.23,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,3.74,0.0,0.75,14.03,45.33,12.91,42.03,0.19,100.0,1.5,87.5,12.54,40.3,57.38,61.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86,40.48,1.31,0.0,0.0,0.0,0.0,0.0,5.24,92.86,66.67,0.56,2,0.37,19,3.56,4,89.47,5.27,0.99,3.27,0.612,0.0,2.62,0.37,,,,0.0,0,0
K. Millar,Kieran Millar,190480,East Fife,East Fife,https://cdn5.wyscout.com/photos/team/public/g1928_120x120.png,League One,"RCMF3, DMF, RCMF",RCMF3,58,DMF,19,RCMF,17,32.0,1993-10-14,0,2027-05-31,5,481,0,0.22,0,0.24,10.1,59.26,Scotland,['Scotland'],right,178,0,False,8.98,5.43,58.62,2.62,64.29,0.37,0.45,0.0,5.43,6.54,1.31,1,0.19,0,0.0,0.75,0.0,0,0.0,0.04,0,0.0,3,0.56,0.0,0.0,0.0,0.75,50.0,0.37,50.0,0.37,50.0,0.19,0.56,66.67,1.31,57.14,0.56,0.0,0.0,7.86,0.0,0.37,21.89,59.83,10.48,53.57,2.81,86.67,18.71,63.0,2.43,38.46,17.45,41.34,0.04,0.37,0.0,0.19,0.0,0.0,0.19,6.36,52.94,2.25,50.0,0.0,0.0,1.12,0.37,4.86,76.92,55.56,5.05,0,,0,,0,0.0,0.0,0.0,,,0.19,,2.62,0.0,0.0,0.0,0.0,0,0
A. Munro,Andrew Munro,334754,East Fife,East Fife,https://cdn5.wyscout.com/photos/team/public/g1928_120x120.png,League One,CB,CB,93,,0,,0,33.0,1992-11-15,0,2027-05-31,5,481,0,0.32,0,0.0,8.23,52.27,Scotland,['Scotland'],right,188,0,False,8.61,2.81,53.33,4.3,52.17,0.0,0.0,0.56,7.11,8.57,1.12,2,0.37,0,0.0,0.37,0.0,0,0.0,0.06,0,0.0,4,0.75,0.0,0.0,0.0,0.37,50.0,0.37,50.0,0.0,0.0,0.0,0.19,100.0,0.56,33.33,1.6800000000000002,0.0,0.0,3.37,0.0,0.0,15.34,58.54,9.92,50.94,1.12,100.0,10.1,66.67,4.86,42.31,25.6,43.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,47.83,0.9400000000000001,40.0,0.0,0.0,0.37,0.19,5.8,61.29,64.29,2.62,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,4.3,0.0,0.0,0.0,0.0,0,0
D. Forrest,Dylan Forrest,-57279,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,"RCMF, RDMF, LCMF",RCMF,35,RDMF,24,LCMF,15,24.0,2002-01-14,0,2027-05-31,5,481,0,0.28,0,0.59,18.15,56.7,Scotland,['Scotland'],,0,0,False,8.61,5.8,51.61,3.37,50.0,0.19,0.24,0.75,5.43,7.02,1.5,0,0.0,0,0.0,1.6800000000000002,0.0,0,0.0,0.05,0,0.0,5,0.9400000000000001,40.0,0.0,0.0,0.56,66.67,0.0,0.0,0.56,66.67,0.0,1.6800000000000002,55.56,7.67,65.85,1.31,0.56,0.0,25.63,0.37,2.81,44.16,72.46,20.77,54.05,4.68,92.0,39.29,77.14,4.3,30.43,18.07,38.49,0.11,1.12,0.0,0.0,0.19,0.0,0.56,9.36,52.0,1.87,40.0,0.19,0.0,0.9400000000000001,0.37,7.67,73.17,90.91,12.35,0,,0,,0,0.0,0.0,0.0,,,0.37,,3.37,1.31,0.0,0.0,0.0,0,0
Jason Brown,Jason Brown,305855,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,RCB,RCB,96,,0,,0,30.0,1996-06-07,0,2029-05-31,5,481,0,0.08,1,0.19,14.41,66.23,Scotland,['Scotland'],right,183,75,False,10.1,5.8,64.52,6.55,65.71,0.19,0.24,0.75,6.17,7.98,0.75,1,0.19,0,0.0,0.75,0.0,0,0.0,0.02,0,0.0,2,0.37,100.0,0.0,0.19,0.37,50.0,0.19,0.0,0.19,100.0,0.19,0.19,100.0,1.12,66.67,1.6800000000000002,0.0,0.0,16.28,0.56,0.75,34.24,73.22,17.96,63.54,2.81,80.0,26.38,83.69,7.48,37.5,25.21,49.71,0.04,0.19,0.0,0.0,0.0,0.0,0.19,6.92,45.95,0.56,33.33,0.19,100.0,0.19,0.19,7.3,58.97,86.44,11.04,0,,0,,0,0.0,0.0,0.0,,,1.87,,6.55,0.19,0.0,0.0,0.0,0,0
J. Kerr,Josh Kerr,423869,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,LCB,LCB,96,,0,,0,28.0,1998-02-24,0,,5,481,0,0.02,0,0.01,15.53,61.45,Scotland,['Scotland'],right,183,79,False,10.29,5.43,55.17,6.55,71.43,0.19,0.24,0.37,7.11,9.19,1.12,2,0.37,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,3,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,50.0,0.75,0.37,0.0,23.2,0.19,0.56,38.36,73.17,20.58,60.91,2.81,80.0,31.81,80.0,6.55,40.0,21.75,44.54,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.92,62.16,0.56,33.33,0.0,0.0,0.19,0.0,10.29,47.27,94.74,10.67,0,,0,,0,0.0,0.0,0.0,,,1.31,,6.55,0.19,0.19,0.0,0.0,0,0
J. Newman,Jack Newman,475129,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,GK,GK,100,,0,,0,24.0,2002-02-12,150000,,5,481,0,0.0,0,0.0,0.0,0.0,England,"['England', 'Scotland']",right,192,80,False,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48,0.0,0.0,13.85,72.97,7.86,59.52,0.0,0.0,7.3,97.44,6.55,45.71,34.33,49.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,57.69,87.5,4.49,6,1.12,15,2.81,1,60.0,5.05,0.9500000000000001,-0.9500000000000001,-0.178,0.0,0.9400000000000001,0.0,,,,0.0,0,0
F. Duffy,Flynn Duffy,-221911,Montrose,Montrose,https://cdn5.wyscout.com/photos/team/public/g1935_120x120.png,League One,"LB, RB",LB,56,RB,33,,0,23.0,2003-08-13,100000,,5,474,0,0.0,0,0.0,16.9,56.18,Scotland,['Scotland'],left,174,0,False,13.48,10.63,55.36,2.2800000000000002,83.33,0.19,0.2,0.0,7.41,7.7,1.71,1,0.19,0,0.0,0.19,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,33.33,3.42,33.33,0.0,0.76,0.5700000000000001,15.76,0.9500000000000001,1.33,28.86,67.11,13.29,41.43,5.51,89.66,23.35,73.17,5.51,41.38,19.85,46.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005,37.5,0.5700000000000001,33.33,0.0,0.0,0.19,0.0,7.22,44.74,85.71,5.32,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,2.2800000000000002,0.0,0.0,0.0,0.38,0,0
S. McGinty,Sean McGinty,134037,Montrose,Montrose,https://cdn5.wyscout.com/photos/team/public/g1935_120x120.png,League One,LCB,LCB,90,,0,,0,33.0,1993-08-11,225000,,5,474,0,1.0,0,0.0,9.3,57.14,England,"['England', 'Republic of Ireland']",left,196,80,False,9.49,3.61,63.16,3.8,55.0,0.0,0.0,0.38,7.22,7.5,0.76,1,0.19,0,0.0,0.19,0.0,0,0.0,0.19,0,0.0,4,0.76,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.19,100.0,0.9500000000000001,60.0,1.71,0.0,0.0,21.46,0.9500000000000001,0.38,33.23,74.86,17.47,60.87,2.66,100.0,24.49,85.27,8.54,46.67,24.24,40.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,50.0,0.76,50.0,0.0,0.0,0.76,0.0,7.59,60.0,88.46,9.87,0,,0,,0,0.0,0.0,0.0,,,1.9,,3.8,0.0,0.0,0.0,0.0,0,0
