Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Sultan Alessa,Sultan Abdulaziz Alessa,-560708,Al Riyadh,Al Riyadh,https://cdn5.wyscout.com/photos/team/public/3008_120x120.png,Pro League,RB,RB,98,,0,,0,21.0,2005-06-30,0,,4,409,0,0.0,0,0.25,10.78,48.98,Saudi Arabia,['Saudi Arabia'],unknown,0,0,False,7.7,5.06,52.17,1.76,37.5,0.22,0.25,0.44,4.84,5.55,1.1,1,0.22,0,0.0,1.76,0.0,0,0.0,0.0,0,0.0,1,0.22,0.0,0.0,0.0,2.64,41.67,0.0,0.0,2.64,41.67,0.66,0.88,50.0,3.52,43.75,0.44,0.88,0.44,16.5,1.76,0.66,25.75,70.09,7.48,52.94,6.6,96.67,20.46,78.49,3.08,35.71,19.82,48.59,0.05,0.66,0.0,0.0,0.22,100.0,0.22,3.3,46.67,3.3,33.33,0.22,100.0,0.0,1.1,4.4,65.0,57.58,7.26,0,,0,,0,0.0,0.0,0.0,,,0.44,,1.76,0.0,0.0,0.0,0.22,0,0
Mohammed Al Khaibari,Mohammed Al Khaibari,-193645,Al Riyadh,Al Riyadh,https://cdn5.wyscout.com/photos/team/public/3008_120x120.png,Pro League,"RCB, LCB",RCB,52,LCB,47,,0,24.0,2002-04-18,0,,4,409,0,0.0,0,0.0,4.18,47.37,Saudi Arabia,['Saudi Arabia'],right,184,0,False,5.5,1.54,42.86,0.66,100.0,0.0,0.0,1.54,4.84,5.55,0.66,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.76,37.5,0.22,0.0,0.0,18.26,0.22,0.66,25.31,86.09,10.56,75.0,3.08,100.0,22.0,93.0,3.3,40.0,23.09,48.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,50.0,0.44,0.0,0.0,0.0,0.0,0.0,4.84,59.09,90.48,9.24,0,,0,,0,0.0,0.0,0.0,,,1.98,,0.66,0.0,0.0,0.0,0.0,0,0
M. Borjan,Milan Borjan,90655,Al Riyadh,Al Riyadh,https://cdn5.wyscout.com/photos/team/public/3008_120x120.png,Pro League,GK,GK,100,,0,,0,38.0,1987-10-23,400000,,4,409,0,0.0,0,0.0,0.44,100.0,Serbia,"['Serbia', 'Canada']",right,196,85,False,0.44,0.0,0.0,0.22,100.0,0.0,0.0,0.0,0.44,0.5,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,11.88,0.22,0.44,25.31,61.74,17.82,51.85,0.0,0.0,10.12,91.3,15.18,42.03,42.89,52.65,0.0,0.0,0.22,0.0,0.0,0.0,0.0,5.28,29.17,0.66,0.0,0.0,0.0,0.0,0.0,9.24,54.76,85.29,7.48,11,2.42,30,6.6,1,63.33,9.63,2.12,-1.37,-0.301,0.0,3.3,0.22,,,,0.0,0,0
B. Mensah,Bernard Mensah,309249,Al Riyadh,Al Riyadh,https://cdn5.wyscout.com/photos/team/public/3008_120x120.png,Pro League,"LCMF, LW, RCMF",LCMF,62,LW,24,RCMF,11,31.0,1994-10-17,2800000,2027-06-30,4,409,1,0.33,1,0.28,14.3,50.77,Ghana,['Ghana'],right,180,65,False,5.5,6.16,50.0,0.88,50.0,0.0,0.0,0.44,2.42,2.77,2.2,1,0.22,0,0.0,1.76,0.22,1,0.22,0.07,0,0.0,5,1.1,40.0,20.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,62.5,6.82,54.84,0.22,1.1,0.0,21.34,0.88,1.54,27.95,88.19,9.02,78.05,4.84,86.36,26.19,90.76,1.76,50.0,17.25,42.11,0.06,0.44,0.0,0.0,0.44,50.0,0.22,4.84,72.73,0.66,0.0,0.44,50.0,0.22,0.0,3.3,73.33,95.0,8.8,0,,0,,0,0.0,0.0,0.0,,,0.44,,0.88,0.22,0.22,100.0,0.22,0,0
Turki Baljoush,Turki Hafiz Ba Al Jawsh,-403191,Al Ettifaq,Al Ettifaq,https://cdn5.wyscout.com/photos/team/public/2991_120x120.png,Pro League,GK,GK,100,,0,,0,22.0,2003-11-24,0,,4,408,0,0.0,0,0.0,0.44,100.0,Saudi Arabia,['Saudi Arabia'],,0,0,False,0.22,0.0,0.0,0.22,100.0,0.0,0.0,0.0,0.22,0.38,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,8.38,0.0,0.44,14.12,87.5,9.26,80.95,0.0,0.0,11.25,98.04,2.87,46.15,26.72,41.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,66.67,100.0,3.9699999999999998,8,1.76,26,5.74,1,69.23,8.75,1.9300000000000002,0.75,0.165,0.0,0.44,0.22,,,,0.0,0,0
O. Duda,Ondrej Duda,250672,Al Ettifaq,Al Ettifaq,https://cdn5.wyscout.com/photos/team/public/2991_120x120.png,Pro League,"DMF, RDMF, LDMF",DMF,48,RDMF,37,LDMF,13,31.0,1994-12-05,4000000,2027-06-30,4,408,1,0.19,0,0.01,7.72,48.57,Slovakia,['Slovakia'],right,181,75,False,3.9699999999999998,4.63,28.57,0.44,50.0,0.22,0.38,0.0,2.43,4.23,1.32,1,0.22,0,0.0,0.66,0.22,1,0.22,0.04,0,0.0,6,1.32,16.67,16.667,0.0,0.44,50.0,0.22,100.0,0.22,0.0,0.0,0.22,100.0,2.21,90.0,0.22,0.22,0.22,53.82,0.22,1.32,66.18,91.67,19.63,84.27,8.6,94.87,60.44,94.16,5.29,66.67,18.97,40.71,0.0,0.22,0.0,0.0,0.22,0.0,0.0,11.91,83.33,1.54,71.43,0.44,50.0,0.66,0.22,10.15,76.09,95.2,27.57,0,,0,,0,0.0,0.0,0.0,,,1.1,,0.44,0.0,0.0,0.0,0.44,0,0
J. Hendry,Jack Hendry,405025,Al Ettifaq,Al Ettifaq,https://cdn5.wyscout.com/photos/team/public/2991_120x120.png,Pro League,RCB,RCB,98,,0,,0,31.0,1995-05-07,3000000,2028-06-30,4,408,1,0.24,0,0.39,4.85,68.18,Scotland,['Scotland'],right,192,86,False,3.9699999999999998,1.32,83.33,1.99,66.67,0.0,0.0,0.22,2.87,5.0,0.66,0,0.0,0,0.0,0.22,0.22,1,0.22,0.05,1,0.22,1,0.22,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,60.0,0.88,1.99,0.44,31.76,0.66,0.22,43.9,93.47,20.96,88.42,2.43,100.0,41.91,95.79,1.99,44.44,19.68,28.0,0.09,0.88,0.0,0.0,0.0,0.0,0.44,9.26,83.33,0.88,50.0,0.0,0.0,0.88,0.0,5.96,96.3,97.1,15.22,0,,0,,0,0.0,0.0,0.0,,,1.76,,1.99,0.0,0.0,0.0,0.0,0,0
Álvaro Medrán,Álvaro Medrán Just,279746,Al Ettifaq,Al Ettifaq,https://cdn5.wyscout.com/photos/team/public/2991_120x120.png,Pro League,"RCMF, AMF, LDMF",RCMF,43,AMF,23,LDMF,13,32.0,1994-03-15,5000000,2027-06-30,4,406,1,0.4,2,0.79,7.76,40.0,Spain,['Spain'],right,177,73,False,2.66,2.22,30.0,0.89,0.0,0.0,0.0,0.22,2.0,3.46,0.44,0,0.0,0,0.0,1.55,0.22,1,0.22,0.09,0,0.0,10,2.22,30.0,10.0,0.44,2.22,20.0,0.89,25.0,1.33,16.67,0.22,0.22,100.0,3.99,55.56,1.55,2.0,0.0,50.54,0.44,0.44,58.74,86.04,21.28,80.21,7.32,93.94,51.21,88.74,5.54,84.0,17.5,38.41,0.18,2.0,0.0,0.0,0.67,33.33,0.89,12.64,85.96,4.88,45.45,0.67,33.33,1.11,0.22,10.86,93.88,87.34,17.51,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.89,1.11,0.44,50.0,4.66,0,0
B. Mugisha,Bonheur Mugisha,-298490,Al Hazem,Al Hazem,https://cdn5.wyscout.com/photos/team/public/2801_120x120.png,Pro League,"DMF, LDMF",DMF,65,LDMF,20,,0,26.0,2000-01-01,0,2028-06-30,4,406,0,0.0,0,0.0,8.42,39.47,Rwanda,['Rwanda'],right,190,0,False,5.54,5.1,39.13,1.55,57.14,0.0,0.0,0.22,3.55,4.62,2.0,0,0.0,0,0.0,0.22,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.0,0.67,33.33,1.55,14.29,0.44,0.0,0.0,30.37,0.0,0.22,41.23,89.25,12.41,76.79,3.33,93.33,37.91,91.23,3.1,71.43,19.71,48.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,82.61,1.11,40.0,0.22,0.0,0.22,0.0,4.43,80.0,96.43,18.62,0,,0,,0,0.0,0.0,0.0,,,0.22,,1.55,0.0,0.0,0.0,0.0,0,0
Abdulrahman Al Dakheel,Abdulrahman  Al Dakheel,-120580,Al Hazem,Al Hazem,https://cdn5.wyscout.com/photos/team/public/2801_120x120.png,Pro League,LCB,LCB,92,,0,,0,30.0,1996-05-26,0,,4,406,0,0.08,0,0.0,7.32,57.58,Saudi Arabia,['Saudi Arabia'],right,184,72,False,6.65,3.1,57.14,2.66,66.67,0.67,0.87,0.67,4.21,5.48,0.89,2,0.44,0,0.0,0.44,0.0,0,0.0,0.02,0,0.0,1,0.22,100.0,0.0,0.0,0.22,100.0,0.0,0.0,0.22,100.0,0.22,0.22,0.0,1.11,60.0,0.67,0.22,0.0,19.06,0.44,0.67,29.26,87.88,11.53,78.85,1.33,100.0,25.94,93.16,3.1,42.86,20.63,44.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,62.5,1.33,33.33,0.0,0.0,0.44,0.22,3.99,66.67,96.36,12.19,0,,0,,0,0.0,0.0,0.0,,,1.11,,2.66,0.22,0.22,100.0,0.0,0,0
