Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Thaqi,Armend Thaqi,191474,Gjilani,Gjilani,https://cdn5.wyscout.com/photos/team/public/g34529_120x120.png,Superliga,"RB5, RWB",RB5,64,RWB,35,,0,33.0,1992-10-10,0,,3,289,0,0.29,1,0.29,12.46,60.0,Kosovo,['Kosovo'],right,179,0,False,9.65,6.23,70.0,1.56,60.0,0.0,0.0,0.0,5.29,7.5,0.31,1,0.31,0,0.0,2.49,0.0,0,0.0,0.09,0,0.0,4,1.25,0.0,0.0,0.31,4.05,53.85,0.31,100.0,3.74,50.0,0.0,0.62,50.0,3.11,40.0,0.93,0.0,0.0,24.6,0.93,0.62,33.63,68.52,18.06,60.34,4.98,100.0,20.55,80.3,9.34,46.67,23.2,35.46,0.09,0.62,0.0,0.0,0.0,0.0,0.62,6.54,61.9,3.43,63.64,0.62,0.0,0.62,2.18,11.52,64.86,65.22,7.16,0,,0,,0,0.0,0.0,0.0,,,1.56,,1.56,2.49,0.62,0.0,2.18,0,0
B. Krivanjeva,Besart Krivanjeva,270598,Gjilani,Gjilani,https://cdn5.wyscout.com/photos/team/public/g34529_120x120.png,Superliga,LCB3,LCB3,100,,0,,0,30.0,1996-02-28,350000,2027-06-30,3,289,0,0.0,0,0.29,14.64,61.7,North Macedonia,['North Macedonia'],left,182,73,False,9.97,7.79,72.0,0.93,66.67,0.31,0.44,0.0,4.05,5.74,1.25,2,0.62,0,0.0,0.93,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.62,100.0,0.31,100.0,0.31,100.0,0.31,0.62,50.0,4.36,42.86,0.62,1.87,0.0,26.78,0.0,0.93,38.3,85.37,20.87,80.6,1.87,100.0,31.14,89.0,6.85,68.18,21.35,38.09,0.09,0.31,0.31,0.0,0.0,0.0,0.31,4.98,81.25,1.25,25.0,0.62,50.0,0.0,0.31,9.03,82.76,92.5,12.46,0,,0,,0,0.0,0.0,0.0,,,0.93,,0.93,0.0,0.0,0.0,0.0,0,0
M. Ćorić,Marijan Ćorić,289147,Gjilani,Gjilani,https://cdn5.wyscout.com/photos/team/public/g34529_120x120.png,Superliga,GK,GK,100,,0,,0,31.0,1995-02-06,100000,2028-06-30,3,289,0,0.0,0,0.0,0.93,66.67,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Croatia']",right,204,85,False,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,4.85,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.0,0.0,0.0,9.65,0.0,0.62,16.51,77.36,9.97,62.5,0.0,0.0,9.97,93.75,6.54,52.38,36.83,53.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,44.44,0.31,0.0,0.62,0.0,0.0,0.0,3.74,75.0,100.0,6.23,3,0.93,14,4.36,1,78.57,4.86,1.51,1.8599999999999999,0.579,0.0,1.56,0.0,,,,0.0,0,0
A. Limani,Ardian Limani,329404,Gjilani,Gjilani,https://cdn5.wyscout.com/photos/team/public/g34529_120x120.png,Superliga,CB,CB,100,,0,,0,32.0,1993-11-18,325000,2028-06-30,3,289,0,0.0,0,0.0,10.9,74.29,Kosovo,['Kosovo'],right,0,0,False,10.28,4.98,81.25,2.18,71.43,0.31,0.44,0.93,5.92,8.38,0.31,0,0.0,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,1.56,80.0,0.31,0.62,0.0,24.6,0.31,0.31,37.68,83.47,15.57,68.0,2.49,75.0,32.08,89.32,5.61,50.0,19.7,33.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,62.5,0.0,0.0,0.0,0.0,0.31,0.0,6.85,63.64,98.08,16.19,0,,0,,0,0.0,0.0,0.0,,,1.56,,2.18,0.0,0.0,0.0,0.0,0,0
G. Jashari,Granit Jashari,454769,Gjilani,Gjilani,https://cdn5.wyscout.com/photos/team/public/g34529_120x120.png,Superliga,RCB3,RCB3,100,,0,,0,28.0,1998-08-20,0,,3,289,1,0.38,0,0.0,9.65,51.61,Kosovo,['Kosovo'],right,186,72,False,8.72,5.29,52.94,1.56,0.0,1.25,1.76,0.31,4.67,6.62,0.31,1,0.31,0,0.0,0.31,0.31,1,0.31,0.12,0,0.0,2,0.62,50.0,50.0,0.0,0.31,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.62,50.0,0.93,0.93,0.0,22.11,0.0,0.62,37.06,78.99,17.75,68.42,2.8,88.89,30.21,87.63,6.54,42.86,20.19,38.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,52.63,1.25,0.0,1.25,0.0,0.0,0.0,8.1,65.38,89.47,11.83,0,,0,,0,0.0,0.0,0.0,,,1.25,,1.56,0.0,0.0,0.0,0.0,0,0
A. Potoku,Arbër Potoku,455714,Gjilani,Gjilani,https://cdn5.wyscout.com/photos/team/public/g34529_120x120.png,Superliga,"LB5, LWB",LB5,64,LWB,35,,0,32.0,1994-04-19,175000,2028-06-30,3,289,1,0.31,1,0.23,14.95,52.08,Kosovo,['Kosovo'],left,174,67,False,10.28,8.72,67.86,0.93,33.33,0.31,0.44,0.31,4.05,5.74,1.25,1,0.31,0,0.0,0.93,0.31,1,0.31,0.1,0,0.0,2,0.62,50.0,50.0,0.31,0.93,66.67,0.93,66.67,0.0,0.0,0.0,0.0,0.0,3.74,25.0,0.93,0.31,0.0,26.16,0.93,0.62,36.12,82.76,13.08,61.9,8.72,100.0,31.45,88.12,3.74,41.67,18.22,34.53,0.07,1.25,0.0,0.0,0.0,0.0,0.93,5.61,38.89,0.93,66.67,0.31,0.0,0.31,0.62,6.54,76.19,92.86,8.72,0,,0,,0,0.0,0.0,0.0,,,0.31,,0.93,0.0,0.0,0.0,0.0,0,0
K. Haxhihamza,Kenan Haxhihamza,-237840,Dukagjini,Dukagjini,https://cdn5.wyscout.com/photos/team/public/g-7231_120x120.png,Superliga,GK,GK,100,,0,,0,29.0,1996-12-28,0,2027-06-30,3,285,0,0.0,0,0.0,0.9500000000000001,100.0,Kosovo,['Kosovo'],left,0,0,False,1.26,0.0,0.0,0.9500000000000001,100.0,0.0,0.0,0.0,1.26,1.6400000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,0.0,0.32,8.53,85.19,6.95,81.82,0.0,0.0,4.74,93.33,3.79,75.0,40.06,56.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,83.33,100.0,1.26,2,0.63,9,2.84,2,77.78,1.98,0.63,-0.02,-0.006,0.0,1.8900000000000001,0.9500000000000001,,,,0.0,0,0
E. Basri,Elton Basri,154731,Dukagjini,Dukagjini,https://cdn5.wyscout.com/photos/team/public/g-7231_120x120.png,Superliga,RCB,RCB,83,,0,,0,39.0,1987-08-03,50000,,3,285,0,0.01,1,0.0,14.21,64.44,Albania,['Albania'],,0,0,False,11.68,6.63,76.19,4.42,71.43,0.32,0.41000000000000003,0.63,6.32,8.22,1.26,2,0.63,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.32,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,25.0,0.0,0.32,0.0,14.21,0.63,0.63,24.63,79.49,13.26,73.81,1.58,100.0,18.0,85.96,6.63,61.9,24.68,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,56.25,0.0,0.0,0.32,0.0,0.0,0.0,7.58,79.17,86.67,9.47,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,4.42,0.0,0.0,0.0,0.0,0,0
V. Hugo,Vitor Hugo Leite Perusses,433269,Dukagjini,Dukagjini,https://cdn5.wyscout.com/photos/team/public/g-7231_120x120.png,Superliga,"DMF, LCMF, RDMF",DMF,34,LCMF,30,RDMF,21,30.0,1996-05-02,175000,,3,285,0,0.17,0,0.15,13.58,60.47,Brazil,['Brazil'],right,172,69,False,9.16,7.26,73.91,1.8900000000000001,50.0,0.0,0.0,0.0,3.79,4.93,0.9500000000000001,1,0.32,0,0.0,1.26,0.0,0,0.0,0.05,0,0.0,3,0.9500000000000001,0.0,0.0,0.0,1.8900000000000001,33.33,0.32,0.0,1.58,40.0,0.32,0.63,100.0,2.21,57.14,0.9500000000000001,1.26,0.0,15.16,0.63,0.0,24.32,63.64,11.37,50.0,3.47,90.91,19.26,72.13,3.16,30.0,19.0,28.49,0.05,0.32,0.0,0.0,0.0,0.0,0.32,5.37,58.82,1.8900000000000001,33.33,0.63,0.0,0.0,0.63,6.32,75.0,75.0,6.32,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.8900000000000001,0.32,0.0,0.0,0.0,0,0
A. Hasani,Arianit Hasani,-335355,Llapi,Llapi,https://cdn5.wyscout.com/photos/team/public/g34528_120x120.png,Superliga,"DMF, RCMF, RCMF3",DMF,39,RCMF,26,RCMF3,16,22.0,2004-02-24,0,,3,284,0,1.51,0,0.17,24.4,37.66,Kosovo,['Kosovo'],right,170,62,False,4.12,3.17,70.0,1.58,40.0,0.0,0.0,0.0,1.9,2.25,0.9500000000000001,1,0.32,0,0.0,3.8,0.0,0,0.0,0.48,0,0.0,8,2.54,37.5,0.0,0.0,2.22,14.29,1.27,25.0,0.9500000000000001,0.0,0.63,4.44,57.14,16.8,32.08,4.12,2.22,0.9500000000000001,15.53,1.9,0.9500000000000001,22.5,73.24,7.29,65.22,3.49,90.91,19.33,81.97,1.27,25.0,17.98,31.07,0.06,1.27,0.32,0.0,0.32,0.0,0.32,3.8,75.0,2.22,42.86,0.32,0.0,0.9500000000000001,0.63,3.8,91.67,78.26,7.29,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.58,0.32,0.32,0.0,0.0,0,0
F. Ademi,Fiton Ademi,-148974,Llapi,Llapi,https://cdn5.wyscout.com/photos/team/public/g34528_120x120.png,Superliga,CF,CF,100,,0,,0,24.0,2002-08-26,175000,2028-06-30,3,284,1,1.55,0,0.17,14.89,19.15,North Macedonia,['North Macedonia'],right,177,0,False,0.9500000000000001,1.58,20.0,2.85,11.11,0.0,0.0,0.32,0.63,0.75,0.9500000000000001,1,0.32,0,0.0,1.9,0.32,1,0.32,0.49,0,0.0,9,2.85,44.44,11.111,0.0,0.32,0.0,0.0,0.0,0.32,0.0,0.0,1.58,40.0,8.56,18.52,4.12,0.32,0.0,10.14,2.54,1.27,12.68,75.0,2.22,57.14,4.44,85.71,11.41,75.0,0.9500000000000001,100.0,12.67,21.5,0.05,0.63,0.0,0.0,0.0,0.0,0.32,0.9500000000000001,33.33,0.63,50.0,0.0,0.0,0.9500000000000001,0.0,0.9500000000000001,33.33,70.0,3.17,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.85,0.32,0.32,0.0,0.0,0,0
A. Aliu,Arbnor Aliu,-92730,Llapi,Llapi,https://cdn5.wyscout.com/photos/team/public/g34528_120x120.png,Superliga,"CB, RCB, LCB",CB,48,RCB,29,LCB,22,23.0,2003-02-17,25000,2029-06-30,3,284,0,0.07,0,0.0,21.23,61.19,Germany,"['Germany', 'Kosovo']",right,186,0,False,11.73,9.82,67.74,2.85,33.33,0.63,0.75,1.27,4.44,5.25,1.9,2,0.63,0,0.0,0.63,0.0,0,0.0,0.02,0,0.0,1,0.32,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.63,0.0,0.0,1.27,50.0,3.8,58.33,0.32,0.63,0.0,17.11,0.9500000000000001,0.9500000000000001,32.01,79.21,16.16,74.51,0.9500000000000001,100.0,25.35,86.25,6.02,57.89,22.18,38.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,30.77,0.9500000000000001,33.33,0.32,0.0,0.63,0.0,5.07,87.5,85.29,10.77,0,,0,,0,0.0,0.0,0.0,,,0.63,,2.85,0.0,0.0,0.0,0.0,0,0
