Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Paukštė,Marius Paukštė,476655,Džiugas Telšiai,Džiugas Telšiai,https://cdn5.wyscout.com/photos/team/public/g30669_120x120.png,A Lyga,GK,GK,100,,0,,0,31.0,1994-12-15,200000,2026-12-31,28,2742,0,0.0,0,0.0,0.66,85.0,Lithuania,['Lithuania'],left,192,80,False,0.89,0.1,66.67,0.36,81.82,0.0,0.0,0.0,0.8200000000000001,1.17,0.03,0,0.0,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.13,100.0,0.0,0.0,0.0,12.93,0.2,0.30000000000000004,21.56,79.6,14.02,72.37,0.03,100.0,12.14,96.49,9.42,57.84,34.4,48.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,48.86,0.13,25.0,0.07,0.0,0.03,0.0,7.29,73.42,93.21,7.25,33,1.08,95,3.12,11,65.26,36.47,1.2,3.47,0.114,0.0,1.67,0.36,,,,0.0,0,0.0
V. Krynskyi,Volodymyr Krynskyi,389549,Banga,Banga,https://cdn5.wyscout.com/photos/team/public/2003_120x120.png,A Lyga,GK,GK,100,,0,,0,29.0,1997-01-14,225000,2026-12-31,27,2633,0,0.15,0,0.66,0.55,68.75,Ukraine,['Ukraine'],right,196,87,False,1.6400000000000001,0.07,50.0,0.38,63.64,0.0,0.0,0.0,1.6099999999999999,2.04,0.0,3,0.1,0,0.0,0.03,0.0,0,0.0,0.01,0,0.0,1,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.03,0.0,0.0,9.16,0.14,0.21,17.64,82.17,10.77,72.38,0.03,100.0,10.87,96.86,6.73,58.88,32.1,48.81,0.02,0.07,0.0,0.0,0.0,0.0,0.07,2.29,43.28,0.21,16.67,0.31,33.33,0.03,0.0,4.99,75.34,97.78,6.15,22,0.75,91,3.11,10,75.82,23.47,0.8,1.47,0.05,0.0,1.44,0.38,,,,0.0,0,0.0
M. Ramanauskas,Matas Ramanauskas,461907,Panevėžys,Panevėžys,https://cdn5.wyscout.com/photos/team/public/g33092_120x120.png,A Lyga,"LCMF, RCMF, LDMF",LCMF,40,RCMF,35,LDMF,12,26.0,2000-06-28,350000,2026-12-31,26,2536,0,0.53,0,1.6400000000000001,12.53,52.69,Lithuania,['Lithuania'],right,175,69,False,7.52,5.86,60.0,1.67,51.06,0.5,0.62,0.28,3.51,4.37,1.53,6,0.21,0,0.0,0.64,0.0,0,0.0,0.02,0,0.0,22,0.78,18.18,0.0,0.0,0.5,14.29,0.35000000000000003,20.0,0.11,0.0,0.07,0.5700000000000001,75.0,3.09,47.13,0.07,0.64,0.04,25.41,0.04,0.99,37.94,85.41,13.31,75.73,4.01,92.04,33.18,89.41,4.26,62.5,19.21,38.45,0.06,0.78,0.04,0.07,0.0,0.0,0.07,6.35,77.09,1.06,43.33,0.14,25.0,0.35000000000000003,0.11,6.78,75.39,91.55,15.54,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.67,1.21,0.04,0.0,1.9500000000000002,0,0.0
I. Plūkas,Ignas Plūkas,181929,Sūduva,Sūduva,https://cdn5.wyscout.com/photos/team/public/2000_120x120.png,A Lyga,GK,GK,100,,0,,0,32.0,1993-12-08,350000,2026-11-30,26,2510,0,0.0,0,0.12,0.68,84.21,Lithuania,['Lithuania'],right,194,84,False,1.25,0.11,100.0,0.43,83.33,0.0,0.0,0.0,1.15,1.4100000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.04,0.0,16.06,0.39,0.14,25.49,82.7,16.24,74.61,0.0,0.0,16.03,97.76,9.47,57.2,31.67,48.72,0.0,0.04,0.0,0.0,0.0,0.0,0.04,2.73,44.74,0.25,0.0,0.25,28.57,0.0,0.0,6.88,67.19,97.15,8.82,18,0.65,95,3.41,12,81.05,20.81,0.75,2.81,0.101,0.0,1.76,0.43,,,,0.0,0,0.0
Ž. Baltrūnas,Žygimantas Baltrūnas,517701,Sūduva,Sūduva,https://cdn5.wyscout.com/photos/team/public/2000_120x120.png,A Lyga,"LB, LCB",LB,54,LCB,42,,0,24.0,2002-03-11,0,2026-11-30,26,2505,1,0.79,1,1.23,10.06,49.64,Lithuania,['Lithuania'],left,179,70,False,7.37,4.85,64.44,1.37,44.74,0.14,0.18,0.47000000000000003,4.1,5.03,1.11,3,0.11,0,0.0,0.61,0.04,1,0.04,0.03,0,0.0,13,0.47000000000000003,30.77,7.692,0.04,1.4,25.64,1.33,27.03,0.07,0.0,0.14,0.18,60.0,2.01,30.36,1.15,1.94,0.4,28.35,0.79,0.4,38.98,83.5,14.41,74.56,6.97,97.94,33.95,89.74,3.74,47.12,20.44,36.16,0.04,0.5,0.0,0.04,0.0,0.0,0.36,4.67,71.54,1.4,41.03,0.14,50.0,0.54,0.36,6.86,62.83,90.17,12.43,0,,0,,0,0.0,0.0,0.0,,,1.9,,1.37,0.18,0.11,0.0,0.79,0,0.0
S. Lawson,Steve Lawson,286899,Sūduva,Sūduva,https://cdn5.wyscout.com/photos/team/public/2000_120x120.png,A Lyga,"LCMF, RCMF",LCMF,40,RCMF,36,,0,32.0,1994-08-08,300000,2026-12-31,26,2500,6,3.09,2,1.29,11.2,51.45,France,"['France', 'Togo']",right,179,71,False,5.94,3.02,67.86,1.94,44.44,0.22,0.27,0.29,3.67,4.51,0.68,1,0.04,0,0.0,1.22,0.22,4,0.14,0.11,1,0.04,25,0.9,36.0,24.0,0.07,0.18,20.0,0.07,0.0,0.11,33.33,0.04,1.15,62.5,4.79,47.37,0.43,2.41,0.18,35.53,0.14,1.12,49.03,91.34,13.07,80.99,8.21,99.12,46.51,93.89,2.34,46.15,18.44,32.8,0.05,0.47000000000000003,0.07,0.04,0.18,80.0,0.32,7.49,80.29,1.37,50.0,0.61,41.18,0.68,0.04,5.62,81.41,95.12,21.38,0,,0,,0,0.0,0.0,0.0,,,1.58,,1.94,0.04,0.0,0.0,0.0,2,100.0
J. Wawszczyk,Jakub Wawszczyk,491229,Džiugas Telšiai,Džiugas Telšiai,https://cdn5.wyscout.com/photos/team/public/g30669_120x120.png,A Lyga,"LB, LWB",LB,65,LWB,21,,0,28.0,1998-01-11,150000,2026-12-31,27,2486,0,0.63,4,1.8599999999999999,14.3,55.19,Poland,['Poland'],left,180,69,False,9.81,6.34,63.43,3.73,52.43,0.51,0.71,0.51,5.29,7.36,1.05,4,0.14,0,0.0,1.85,0.0,0,0.0,0.02,0,0.0,14,0.51,50.0,0.0,0.14,2.5700000000000003,42.25,2.5,42.03,0.07,50.0,0.22,0.72,70.0,2.9699999999999998,47.56,0.76,0.72,0.14,17.09,1.77,1.19,26.9,68.24,11.77,56.31,4.85,94.78,20.64,75.26,3.95,48.62,20.87,37.34,0.07,0.72,0.04,0.07,0.0,0.0,0.29,4.13,56.14,2.75,48.68,0.18,20.0,0.65,0.91,7.46,66.02,72.96,7.1,0,,0,,0,0.0,0.0,0.0,,,0.58,,3.73,0.8,0.04,0.0,0.91,0,0.0
R. Filipavičius,Rokas Filipavičius,469811,Banga,Banga,https://cdn5.wyscout.com/photos/team/public/2003_120x120.png,A Lyga,"RCMF, RDMF",RCMF,44,RDMF,30,,0,26.0,1999-12-22,250000,2026-12-31,27,2482,4,3.7,1,1.51,14.07,48.97,Lithuania,['Lithuania'],right,181,66,False,6.24,6.31,56.32,1.7000000000000002,31.91,0.11,0.14,0.25,2.5700000000000003,3.2800000000000002,1.49,3,0.11,0,0.0,1.12,0.15,4,0.15,0.13,0,0.0,34,1.23,26.47,11.765,0.04,0.8,18.18,0.04,0.0,0.76,19.05,0.11,0.6900000000000001,89.47,4.21,45.69,1.63,0.91,0.25,25.75,0.54,1.27,36.44,81.49,13.38,71.54,5.15,95.07,33.18,85.14,2.5,53.62,17.4,35.71,0.05,0.54,0.04,0.04,0.15,25.0,0.47000000000000003,5.84,75.78,1.8900000000000001,34.62,0.36,50.0,1.16,0.15,6.42,72.32,86.96,11.68,0,,0,,0,0.0,0.0,0.0,,,0.07,,1.7000000000000002,0.04,0.0,0.0,0.0,0,0.0
M. Musolitin,Mykola Musolitin,427949,Transinvest Vilnius,Transinvest Vilnius,https://cdn5.wyscout.com/photos/team/public/g-16187_120x120.png,1 Lyga,"RWB, RB, RB5",RWB,64,RB,13,RB5,10,27.0,1999-01-21,175000,2026-12-31,26,2464,1,1.8399999999999999,6,5.11,13.81,55.03,Ukraine,['Ukraine'],right,177,67,False,7.89,5.04,63.77,1.9,53.85,0.26,0.34,0.15,4.42,5.91,0.73,4,0.15,0,0.0,3.98,0.04,1,0.04,0.07,0,0.0,35,1.28,34.29,2.857,0.22,3.32,42.86,0.47000000000000003,46.15,2.81,42.86,0.37,2.96,70.37,5.77,53.8,1.75,2.05,0.4,21.88,2.45,0.6900000000000001,31.41,75.58,10.63,64.6,6.43,94.89,24.62,84.27,3.62,45.45,20.74,40.7,0.19,1.6800000000000002,0.07,0.04,0.11,33.33,0.88,4.6,60.32,3.51,54.17,0.18,20.0,0.88,1.3900000000000001,7.78,72.77,77.15,9.75,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.9,0.29,0.04,100.0,1.42,0,0.0
D. Romanovskij,Daniel Romanovskij,275174,Šiauliai,Šiauliai,https://cdn5.wyscout.com/photos/team/public/g-14115_120x120.png,A Lyga,"AMF, CF, RCMF",AMF,38,CF,15,RCMF,13,30.0,1996-06-19,400000,,27,2435,4,5.42,2,3.29,16.37,45.6,Lithuania,['Lithuania'],right,178,68,False,5.03,4.32,60.68,2.18,40.68,0.33,0.44,0.18,2.07,2.73,0.92,5,0.18,0,0.0,2.66,0.15,4,0.15,0.2,0,0.0,48,1.77,33.33,8.333,0.07,2.92,25.32,0.63,23.53,2.18,23.73,0.48,2.14,56.9,7.5,43.84,2.07,2.14,0.11,30.75,1.5899999999999999,1.63,40.07,69.1,15.78,55.5,5.66,94.12,30.75,77.4,6.51,49.43,19.41,38.18,0.12,1.11,0.11,0.0,0.18,60.0,0.74,8.61,60.09,5.66,36.6,1.18,37.5,1.81,0.78,8.17,77.83,74.25,12.34,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,2.18,0.15,0.07,0.0,1.11,0,0.0
