Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Leš,Mateo Leš,-109147,Al Ta'ee,Al Ta'ee,https://cdn5.wyscout.com/photos/team/public/g3517_120x120.png,Division 1,"LCB, LCMF, RCMF",LCB,34,LCMF,33,RCMF,31,26.0,2000-03-25,300000,2027-06-30,3,315,0,0.0,0,0.0,12.0,52.38,Croatia,['Croatia'],left,182,75,False,8.29,5.43,63.16,3.43,41.67,0.29,0.39,0.86,4.57,6.23,0.86,1,0.29,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.57,0.5700000000000001,0.5700000000000001,0.0,19.71,0.0,0.29,27.14,89.47,8.0,78.57,2.0,100.0,25.71,92.22,1.43,40.0,20.19,26.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,54.55,92.98,16.29,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.43,0.0,0.0,0.0,0.0,0,0
H. Fraij,Hussein Fraij,-648913,Al Ta'ee,Al Ta'ee,https://cdn5.wyscout.com/photos/team/public/g3517_120x120.png,Division 1,"LCB3, LB",LCB3,65,LB,34,,0,24.0,2002-07-31,0,,3,315,0,0.07,0,0.0,9.71,73.53,Saudi Arabia,['Saudi Arabia'],,173,0,False,9.14,6.57,78.26,1.71,66.67,0.0,0.0,0.29,4.0,5.45,0.29,0,0.0,0,0.0,0.29,0.0,0,0.0,0.02,0,0.0,1,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.5700000000000001,100.0,0.29,0.0,0.0,20.57,0.0,0.5700000000000001,26.57,82.8,9.71,67.65,2.0,85.71,22.86,91.25,3.71,30.77,18.73,30.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,61.54,94.87,11.14,0,,0,,0,0.0,0.0,0.0,,,0.29,,1.71,0.0,0.0,0.0,0.0,0,0
Nawaf Al Quamiri,Nawaf  Al Quamiri,-368687,Al Ta'ee,Al Ta'ee,https://cdn5.wyscout.com/photos/team/public/g3517_120x120.png,Division 1,"RCB3, RB",RCB3,65,RB,34,,0,25.0,2001-06-10,0,,3,315,0,0.0,1,0.29,12.29,67.44,Saudi Arabia,['Saudi Arabia'],right,167,66,False,8.57,8.29,72.41,0.5700000000000001,100.0,0.0,0.0,0.5700000000000001,2.5700000000000003,3.51,0.86,1,0.29,0,0.0,0.29,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.29,0.0,0.0,0.5700000000000001,50.0,3.14,45.45,0.29,0.29,0.0,12.57,0.0,0.86,19.71,82.61,8.29,65.52,4.57,100.0,16.29,89.47,3.14,54.55,18.66,26.9,0.08,0.29,0.0,0.0,0.0,0.0,0.0,1.71,33.33,0.29,0.0,0.0,0.0,0.0,0.0,3.14,63.64,94.74,5.43,0,,0,,0,0.0,0.0,0.0,,,0.29,,0.5700000000000001,0.29,0.0,0.0,1.1400000000000001,0,0
Mohammed Al Dhulayfi,Mohammed Al Dhulayfi,-192099,Al Ta'ee,Al Ta'ee,https://cdn5.wyscout.com/photos/team/public/g3517_120x120.png,Division 1,GK,GK,100,,0,,0,26.0,2000-05-12,75000,,3,315,0,0.0,0,0.0,0.0,0.0,Saudi Arabia,['Saudi Arabia'],,184,72,False,1.1400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400000000000001,1.56,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,0.0,0.0,13.71,83.33,5.71,65.0,0.0,0.0,10.29,100.0,3.43,33.33,29.78,47.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,66.67,0.29,100.0,0.29,100.0,0.29,0.0,2.5700000000000003,33.33,96.3,7.71,6,1.71,21,6.0,0,71.43,4.49,1.28,-1.51,-0.431,0.0,0.29,0.0,,,,0.0,0,0
Abduallah Al-Dosari,Abduallah Mohammed Al Dawsari,-82202,Al Ta'ee,Al Ta'ee,https://cdn5.wyscout.com/photos/team/public/g3517_120x120.png,Division 1,"AMF, RAMF",AMF,88,RAMF,11,,0,33.0,1993-08-27,200000,,3,315,1,0.64,1,0.25,10.57,40.54,Saudi Arabia,['Saudi Arabia'],right,186,0,False,2.86,1.71,83.33,1.71,50.0,0.0,0.0,0.0,1.43,1.9500000000000002,0.0,0,0.0,0,0.0,1.71,0.29,1,0.29,0.18,0,0.0,4,1.1400000000000001,25.0,25.0,0.29,1.43,0.0,0.5700000000000001,0.0,0.86,0.0,0.0,2.5700000000000003,55.56,5.71,30.0,2.0,1.71,0.29,18.29,1.71,0.29,21.71,71.05,6.29,59.09,4.86,100.0,18.29,79.69,2.0,42.86,18.07,35.26,0.07,0.86,0.0,0.0,0.29,0.0,0.0,4.86,58.82,2.5700000000000003,33.33,1.43,40.0,0.5700000000000001,0.0,2.5700000000000003,66.67,68.0,7.14,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.71,1.1400000000000001,0.0,0.0,2.86,0,0
Mansour Al Shammari,Mansour Hamdan Al Shammari,-289172,Al Jandal,Al Jandal,https://cdn5.wyscout.com/photos/team/public/g-19214_120x120.png,Division 1,LB,LB,100,,0,,0,26.0,2000-08-21,0,,3,312,0,0.05,0,0.0,13.85,45.83,Saudi Arabia,['Saudi Arabia'],left,173,0,False,12.4,7.79,59.26,0.87,66.67,1.15,1.54,0.0,6.63,8.85,0.87,0,0.0,0,0.0,0.58,0.0,0,0.0,0.01,0,0.0,2,0.58,0.0,0.0,0.0,1.44,20.0,1.44,20.0,0.0,0.0,0.0,0.87,33.33,3.46,16.67,1.15,0.29,0.0,30.0,0.29,0.29,41.25,82.52,21.92,82.89,4.04,85.71,35.77,89.52,4.04,42.86,18.37,40.17,0.0,0.29,0.0,0.0,0.0,0.0,0.0,9.52,66.67,2.31,37.5,0.58,50.0,0.58,0.29,9.81,91.18,84.85,9.52,0,,0,,0,0.0,0.0,0.0,,,0.29,,0.87,0.0,0.0,0.0,0.0,0,0
T. Peyre,Thibaut Peyre,249731,Al Jandal,Al Jandal,https://cdn5.wyscout.com/photos/team/public/g-19214_120x120.png,Division 1,RCB,RCB,100,,0,,0,33.0,1992-10-03,325000,,3,312,0,0.08,0,0.1,8.37,62.07,France,['France'],right,184,75,False,9.23,4.04,78.57,3.17,45.45,0.58,0.77,1.44,5.48,7.31,0.0,0,0.0,0,0.0,0.29,0.0,0,0.0,0.02,0,0.0,1,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.29,2.02,0.29,21.92,0.0,0.0,32.6,89.38,17.31,86.67,0.87,100.0,28.85,96.0,3.75,38.46,20.28,39.26,0.03,0.29,0.29,0.0,0.29,100.0,0.29,8.65,76.67,0.58,50.0,0.87,33.33,0.29,0.0,7.5,88.46,91.67,10.38,0,,0,,0,0.0,0.0,0.0,,,0.58,,3.17,0.0,0.0,0.0,0.0,0,0
Jamaan Al-Dossari,Jamaan Al-Dossari,419727,Al Jandal,Al Jandal,https://cdn5.wyscout.com/photos/team/public/g-19214_120x120.png,Division 1,LCB,LCB,100,,0,,0,32.0,1993-09-06,0,,3,312,0,0.11,0,0.0,11.83,60.98,Saudi Arabia,['Saudi Arabia'],right,178,76,False,10.38,6.35,72.73,2.88,30.0,2.31,3.08,0.0,3.46,4.62,1.15,1,0.29,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,1,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,50.0,0.29,0.58,0.0,21.06,0.58,0.29,35.19,87.7,16.44,80.7,2.31,100.0,33.46,89.66,1.73,50.0,20.65,41.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,55.56,0.29,0.0,0.29,100.0,0.0,0.0,4.62,56.25,93.18,12.69,0,,0,,0,0.0,0.0,0.0,,,1.73,,2.88,0.0,0.0,0.0,0.0,0,0
Mohammed Mazyad Al Shammari,Mohammed Mazyad Al Shammari,476079,,Al Jandal,,,GK,GK,100,,0,,0,34.0,1991-12-10,0,,3,312,0,0.0,0,0.0,0.29,0.0,Saudi Arabia,['Saudi Arabia'],,0,0,False,1.15,0.0,0.0,0.29,0.0,0.0,0.0,0.0,1.15,1.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,0.0,0.0,12.98,80.0,9.52,75.76,0.0,0.0,6.06,100.0,6.92,62.5,36.57,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,85.71,0.0,0.0,0.0,0.0,0.0,0.0,4.9,76.47,91.67,3.46,5,1.44,12,3.46,0,58.33,5.02,1.45,0.02,0.006,0.0,0.87,0.29,,,,0.0,0,0
C. Loufilou,Clench Loufilou,521946,Al Jandal,Al Jandal,https://cdn5.wyscout.com/photos/team/public/g-19214_120x120.png,Division 1,"LDMF, DMF",LDMF,50,DMF,32,,0,27.0,1999-04-12,325000,,3,312,0,0.0,0,0.04,16.15,57.14,Gabon,['Gabon'],,0,0,False,10.96,8.37,68.97,0.87,66.67,0.87,1.15,0.0,4.33,5.77,0.58,1,0.29,0,0.0,0.29,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,50.0,4.9,35.29,0.0,0.0,0.0,30.87,0.29,0.58,44.13,91.5,13.56,85.11,4.9,100.0,39.81,94.2,4.33,66.67,20.06,44.33,0.01,0.29,0.0,0.0,0.0,0.0,0.29,8.08,82.14,0.87,33.33,0.29,0.0,0.29,0.0,6.92,83.33,94.29,20.19,0,,0,,0,0.0,0.0,0.0,,,0.29,,0.87,0.0,0.0,0.0,0.0,0,0
