Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Bevan,Owen Bevan,-268111,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,LCB,LCB,90,,0,,0,22,2003-10-26,0,2028-05-31,5,475,1,0.98,0,0.14,12.51,65.15,England,"['England', 'Wales']",right,186,77,False,12.32,2.84,53.33,7.58,65.0,0.38,0.39,1.33,10.42,10.71,1.1400000000000001,1,0.19,0,0.0,0.5700000000000001,0.19,1,0.19,0.19,0,0.0,2,0.38,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.9500000000000001,80.0,1.1400000000000001,0.5700000000000001,0.0,25.96,0.38,0.38,40.36,80.75,13.83,64.38,1.71,88.89,35.24,86.02,5.12,44.44,22.7,43.92,0.03,0.19,0.0,0.0,0.0,0.0,0.19,2.65,35.71,0.19,0.0,0.0,0.0,0.38,0.0,6.63,37.14,93.52,20.46,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,7.58,0.0,0.0,0.0,0.0,0,0
O. Goodman,Owen Goodman,-201715,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,GK,GK,100,,0,,0,22,2003-11-27,500000,2027-06-30,5,475,0,0.0,0,0.42,0.19,100.0,England,"['England', 'Canada']",left,193,76,True,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0,0.0,0,0.0,0.19,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.19,100.0,0.0,0.0,0.0,12.88,0.38,0.0,23.87,76.98,14.4,64.47,0.0,0.0,13.26,97.14,10.61,51.79,35.61,54.59,0.08,0.19,0.0,0.0,0.0,0.0,0.19,2.84,40.0,0.19,100.0,0.0,0.0,0.19,0.0,7.77,65.85,95.83,9.09,4,0.76,20,3.79,2,80.0,5.13,0.97,1.13,0.214,0.0,2.46,0.0,,,,0.0,0,0
I. Odutayo,Idris Odutayo,-117209,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,LB,LB,90,,0,,0,23,2002-10-26,0,2028-05-31,5,475,0,0.0,0,0.01,8.72,52.17,England,"['England', 'Nigeria']",left,185,78,False,8.34,1.8900000000000001,50.0,3.41,44.44,0.0,0.0,0.5700000000000001,7.39,7.6,0.76,0,0.0,0,0.0,0.19,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.76,25.0,0.76,25.0,0.0,0.0,0.19,0.0,0.0,2.46,69.23,0.0,0.0,0.19,24.06,0.5700000000000001,0.9500000000000001,34.86,76.63,16.11,61.18,5.31,96.43,28.61,84.11,5.68,43.33,20.48,43.57,0.0,0.19,0.0,0.0,0.0,0.0,0.0,3.79,45.0,1.33,14.29,0.0,0.0,0.0,0.19,7.58,57.5,85.11,8.91,0,,0,,0,0.0,0.0,0.0,,,0.76,,3.41,0.0,0.0,0.0,0.0,0,0
Ethan Hamilton,Ethan Hamilton,420192,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,"LCMF, LDMF",LCMF,45,LDMF,41,,0,27,1998-10-18,450000,2028-05-31,5,475,0,0.63,0,0.21,12.69,47.76,Scotland,['Scotland'],left,187,75,False,5.31,4.74,44.0,3.03,56.25,0.0,0.0,0.5700000000000001,3.22,3.31,1.33,1,0.19,0,0.0,0.9500000000000001,0.0,0,0.0,0.12,0,0.0,8,1.52,12.5,0.0,0.0,0.38,100.0,0.38,100.0,0.0,0.0,0.0,0.76,50.0,3.98,52.38,0.5700000000000001,1.8900000000000001,0.19,23.31,0.0,1.1400000000000001,36.0,82.63,9.47,50.0,8.72,97.83,33.54,87.01,2.08,9.09,16.8,32.18,0.04,0.38,0.0,0.0,0.0,0.0,0.38,3.98,33.33,1.1400000000000001,66.67,0.0,0.0,0.38,0.38,2.84,66.67,98.28,10.99,0,,0,,0,0.0,0.0,0.0,,,0.76,,3.03,0.5700000000000001,0.19,0.0,0.0,0,0
Ryan Astley,Ryan Astley,482939,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,RCB,RCB,90,,0,,0,24,2001-10-04,600000,,5,475,0,0.14,0,0.31,14.59,67.53,Wales,['Wales'],right,184,74,False,11.56,4.36,65.22,8.34,68.18,0.0,0.0,1.71,8.72,8.96,0.38,0,0.0,0,0.0,0.19,0.0,0,0.0,0.03,0,0.0,1,0.19,0.0,0.0,0.0,0.5700000000000001,33.33,0.0,0.0,0.5700000000000001,33.33,0.19,0.0,0.0,1.1400000000000001,83.33,1.1400000000000001,0.19,0.0,23.12,0.76,0.9500000000000001,36.38,77.08,19.52,66.02,2.65,100.0,28.99,84.97,6.82,47.22,23.46,47.26,0.06,0.19,0.0,0.0,0.0,0.0,0.19,6.06,56.25,1.71,22.22,0.19,0.0,0.19,0.0,7.77,60.98,89.23,12.32,0,,0,,0,0.0,0.0,0.0,,,1.52,,8.34,0.0,0.0,0.0,0.0,0,0
M. Forbes,Michael Forbes,-152285,Dundee United,Dundee United,https://cdn5.wyscout.com/photos/team/public/301_120x120.png,Premiership,LCB,LCB,100,,0,,0,22,2004-04-29,600000,2028-05-31,5,474,0,0.5,0,0.30000000000000004,14.05,70.27,Northern Ireland,['Northern Ireland'],left,188,78,False,8.73,2.85,73.33,8.73,73.91,0.19,0.25,1.1400000000000001,6.46,8.64,0.5700000000000001,0,0.0,0,0.0,0.19,0.0,0,0.0,0.09,0,0.0,2,0.38,0.0,0.0,0.0,0.76,25.0,0.76,25.0,0.0,0.0,0.0,0.0,0.0,0.38,50.0,1.1400000000000001,0.19,0.0,32.85,0.0,0.9500000000000001,44.05,87.07,15.0,72.15,3.04,87.5,37.97,94.5,5.32,42.86,22.67,49.62,0.06,0.19,0.0,0.0,0.0,0.0,0.19,4.5600000000000005,50.0,0.76,0.0,0.0,0.0,0.19,0.19,5.89,67.74,96.36,20.89,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,8.73,0.0,0.0,0.0,0.0,0,0
J. Walton,Jack Walton,401510,Dundee United,Dundee United,https://cdn5.wyscout.com/photos/team/public/301_120x120.png,Premiership,GK,GK,100,,0,,0,28,1998-04-23,400000,2029-06-30,5,474,0,0.0,0,0.0,0.0,0.0,England,['England'],right,184,77,False,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,0.5700000000000001,0.0,17.47,81.52,9.87,73.08,0.19,100.0,10.06,98.11,7.22,60.53,34.18,51.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,55.56,0.0,0.0,0.0,0.0,0.0,0.0,6.46,64.71,94.74,7.22,10,1.9,31,5.89,1,67.74,8.88,1.69,-1.12,-0.213,0.0,0.5700000000000001,0.0,,,,0.0,0,0
Joe Westley,Joe Westley,-284637,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,"CF, AMF",CF,71,AMF,17,,0,21,2004-10-18,0,2028-05-31,5,460,2,2.27,0,0.07,16.24,25.3,England,['England'],unknown,0,0,False,3.13,2.15,45.45,9.78,20.0,0.0,0.0,0.39,2.15,2.21,0.98,1,0.2,0,0.0,0.78,0.39,2,0.39,0.44,1,0.2,10,1.96,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.93,20.0,3.7199999999999998,0.2,0.0,9.39,2.15,0.78,12.13,77.42,3.13,56.25,4.11,100.0,11.54,79.66,0.59,33.33,13.53,20.14,0.01,0.2,0.0,0.0,0.0,0.0,0.2,1.37,42.86,0.59,66.67,0.0,0.0,0.39,0.0,0.39,100.0,90.0,1.96,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.78,0.2,0.2,0.0,0.0,0,0
R. Finnigan,Ryan Finnigan,-198126,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,"RCMF, RDMF, DMF",RCMF,48,RDMF,40,DMF,10,22,2003-09-23,125000,2027-06-30,5,446,0,0.19,0,0.46,13.72,57.35,England,['England'],right,178,69,False,9.48,7.06,60.0,2.22,36.36,0.4,0.41000000000000003,0.0,4.84,4.93,1.21,1,0.2,0,0.0,0.4,0.0,0,0.0,0.04,0,0.0,3,0.61,0.0,0.0,0.0,0.4,100.0,0.0,0.0,0.4,100.0,0.0,0.0,0.0,3.63,66.67,0.2,0.4,0.0,19.78,0.0,2.02,30.87,88.24,10.29,80.39,5.04,100.0,29.46,89.73,1.01,40.0,13.57,11.41,0.09,0.81,0.0,0.0,0.0,0.0,0.81,2.62,76.92,1.01,80.0,0.0,0.0,0.4,0.4,3.23,68.75,92.68,8.27,0,,0,,0,0.0,0.0,0.0,,,0.61,,2.22,0.0,0.0,0.0,0.2,0,0
B. Esselink,Bert Esselink,-236843,Dundee United,Dundee United,https://cdn5.wyscout.com/photos/team/public/301_120x120.png,Premiership,RCB,RCB,100,,0,,0,27,1999-08-16,500000,2027-06-30,5,445,0,0.59,0,0.0,11.12,61.82,Netherlands,['Netherlands'],right,191,78,False,8.29,2.63,46.15,7.08,62.86,0.0,0.0,1.82,7.08,9.46,0.81,1,0.2,0,0.0,0.4,0.0,0,0.0,0.12,0,0.0,4,0.81,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.4,100.0,1.21,83.33,1.62,0.2,0.0,34.38,0.2,0.81,50.36,90.76,23.26,85.22,1.42,85.71,44.49,95.0,5.66,60.71,22.69,40.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,86.36,0.61,66.67,0.0,0.0,0.4,0.0,6.67,81.82,97.12,21.03,0,,0,,0,0.0,0.0,0.0,,,0.61,,7.08,0.0,0.0,0.0,0.0,0,0
