Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Klabis,Karolina Klabis,-156997,UJ Kraków,UJ Kraków,https://cdn5.wyscout.com/photos/team/public/g13844_120x120.png,Ekstraliga Women,GK,GK,100,,0,,0,34.0,1991-07-19,0,,18,1757,0,0.0,0,0.0,1.33,76.92,Poland,['Poland'],,0,0,False,2.56,0.36,57.14,0.8200000000000001,81.25,0.05,0.06,0.05,2.31,2.85,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,13.68,0.0,0.31,24.74,80.75,11.63,63.0,0.05,0.0,16.39,96.88,8.3,49.38,31.35,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2.05,37.5,0.1,0.0,0.15,0.0,0.0,0.0,5.48,63.55,97.57,12.65,35,1.79,94,4.82,5,62.77,29.77,1.53,-5.23,-0.268,0.0,2.15,0.8200000000000001,,,,0.0,0,0.0
W. Smaza,Weronika Smaza,-439320,UJ Kraków,UJ Kraków,https://cdn5.wyscout.com/photos/team/public/g13844_120x120.png,Ekstraliga Women,DMF,DMF,67,,0,,0,25.0,2000-12-27,0,,18,1748,1,3.49,0,0.87,19.2,55.23,Poland,['Poland'],unknown,0,0,False,12.46,8.14,70.25,2.68,44.23,0.41000000000000003,0.51,0.72,6.33,7.85,1.13,1,0.05,0,0.0,1.29,0.05,1,0.05,0.18,0,0.0,36,1.85,27.78,2.778,0.0,0.46,55.56,0.21,100.0,0.26,20.0,0.1,0.93,55.56,5.82,34.51,1.49,0.5700000000000001,0.0,16.94,0.21,0.51,34.7,71.66,13.85,56.88,3.5,88.24,28.94,78.65,5.3,34.95,20.01,42.93,0.04,0.62,0.05,0.05,0.0,0.0,0.15,6.08,44.92,1.49,34.48,0.21,25.0,0.46,0.26,6.69,57.69,84.96,11.64,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.68,0.15,0.15,33.33,0.0,1,0.0
A. Romuzga,Anita Romuzga,-481775,UJ Kraków,UJ Kraków,https://cdn5.wyscout.com/photos/team/public/g13844_120x120.png,Ekstraliga Women,LCMF,LCMF,56,,0,,0,20.0,2005-08-26,0,,18,1692,4,2.07,4,4.63,17.45,48.17,Poland,['Poland'],unknown,0,0,False,8.51,7.29,63.5,1.12,19.05,0.0,0.0,0.16,3.88,4.8,1.01,1,0.05,0,0.0,2.45,0.21,4,0.21,0.11,0,0.0,28,1.49,35.71,14.286,0.21,1.9100000000000001,27.78,0.74,21.43,1.17,31.82,0.53,2.55,52.08,7.82,38.78,2.34,2.02,0.48,15.32,1.12,0.9,25.05,71.55,8.56,63.98,3.7199999999999998,95.71,21.86,76.89,1.28,45.83,17.61,19.54,0.25,1.7000000000000002,0.05,0.0,0.05,100.0,0.53,2.93,54.55,2.29,46.51,0.21,75.0,0.9,0.59,4.52,68.24,74.5,7.93,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.12,1.9100000000000001,0.05,100.0,1.22,0,0.0
A. Legowski,Alexis Legowski,465128,Pogoń Szczecin,Pogoń Szczecin,https://cdn5.wyscout.com/photos/team/public/g19245_120x120.png,Ekstraliga Women,"RCB, RDMF, DMF",RCB,43,RDMF,29,DMF,17,24.0,2001-09-20,0,,17,1640,1,1.33,1,0.17,17.01,57.1,United States,['United States'],,175,0,False,8.89,5.71,75.0,2.63,56.25,0.05,0.1,0.49,4.55,8.47,1.15,5,0.27,0,0.0,0.88,0.05,1,0.05,0.07,1,0.05,16,0.88,37.5,6.25,0.05,0.22,75.0,0.11,100.0,0.11,50.0,0.0,0.66,58.33,5.76,44.76,0.77,1.87,0.22,31.45,0.33,1.43,47.41,85.53,16.46,73.0,5.05,97.83,42.42,90.43,4.77,42.53,19.86,35.96,0.01,0.27,0.05,0.05,0.0,0.0,0.05,8.23,66.0,0.8200000000000001,26.67,0.11,50.0,0.16,0.16,7.52,72.26,93.04,21.29,0,,0,,0,0.0,0.0,0.0,,,2.2,,2.63,0.05,0.0,0.0,0.0,0,0.0
K. Fabová,Klaudia Fabová,305075,Akademia Piłkarska OG,Akademia Piłkarska OG,https://cdn5.wyscout.com/photos/team/public/g39794_120x120.png,Ekstraliga Women,"CF, RCMF3, RW",CF,51,RCMF3,17,RW,11,27.0,1998-09-12,0,,17,1629,7,5.87,1,3.05,17.18,42.44,Slovakia,['Slovakia'],,0,0,False,6.35,5.58,61.39,1.33,16.67,0.39,0.54,0.0,2.54,3.54,0.9400000000000001,2,0.11,0,0.0,2.8200000000000003,0.39,7,0.39,0.32,0,0.0,47,2.6,42.55,14.894,0.06,2.21,35.0,0.77,14.29,1.33,45.83,0.39,1.71,54.84,7.29,36.36,3.2,0.33,0.0,15.69,2.38,0.88,24.14,64.76,7.46,48.15,4.7,85.88,19.67,70.79,2.27,41.46,18.33,33.74,0.17,0.99,0.06,0.0,0.11,0.0,0.44,3.2,51.72,2.6,42.55,0.28,0.0,0.72,0.9400000000000001,3.7,71.64,70.23,7.24,0,,0,,0,0.0,0.0,0.0,,,0.06,,1.33,0.39,0.0,0.0,0.9400000000000001,1,0.0
A. Dyguś,Alicja Dyguś,-222988,Pogoń Szczecin,Pogoń Szczecin,https://cdn5.wyscout.com/photos/team/public/g19245_120x120.png,Ekstraliga Women,RB,RB,94,,0,,0,32.0,1994-03-06,0,,18,1622,1,0.6900000000000001,5,2.62,11.82,51.64,Poland,['Poland'],,0,0,False,7.93,6.49,60.68,1.55,39.29,0.06,0.1,0.39,3.94,7.34,0.72,2,0.11,0,0.0,2.5,0.06,1,0.06,0.04,0,0.0,9,0.5,11.11,11.111,0.28,3.7199999999999998,43.28,0.06,100.0,3.66,42.42,1.0,1.28,65.22,3.11,41.07,1.22,1.3900000000000001,0.17,32.07,1.8900000000000001,0.39,45.89,77.27,18.31,66.06,6.94,89.6,37.56,84.64,4.61,44.58,18.93,26.74,0.15,0.89,0.0,0.0,0.0,0.0,0.33,6.99,66.67,4.33,50.0,0.17,33.33,0.72,1.55,10.21,77.17,85.66,14.7,0,,0,,0,0.0,0.0,0.0,,,1.17,,1.55,0.0,0.0,0.0,0.0,0,0.0
D. Sokolowska,Daria Sokolowska,-364057,Śląsk Wrocław,Śląsk Wrocław,https://cdn5.wyscout.com/photos/team/public/g-18243_120x120.png,Ekstraliga Women,"LCB3, RCB, LCB",LCB3,38,RCB,25,LCB,20,23.0,2003-04-20,0,,17,1608,2,0.93,0,0.78,11.19,54.0,Poland,['Poland'],unknown,0,0,False,10.07,5.76,68.93,2.07,45.95,0.0,0.0,1.4,6.1,8.05,0.73,2,0.11,1,0.06,0.62,0.11,2,0.11,0.05,0,0.0,9,0.5,22.22,22.222,0.0,0.45,37.5,0.28,20.0,0.17,66.67,0.0,0.62,54.55,2.35,28.57,0.62,1.12,0.11,34.87,0.22,0.39,51.38,82.35,21.21,68.6,3.25,93.1,45.34,88.02,5.6,40.0,20.39,34.14,0.04,0.28,0.0,0.0,0.0,0.0,0.22,4.7,55.95,1.12,35.0,0.56,30.0,0.22,0.17,9.74,58.05,94.92,22.05,0,,0,,0,0.0,0.0,0.0,,,2.07,,2.07,0.0,0.0,0.0,0.0,0,0.0
M. Zawadzka,Marcjanna Zawadzka,385373,Katowice,Katowice,https://cdn5.wyscout.com/photos/team/public/g39796_120x120.png,Ekstraliga Women,CB,CB,100,,0,,0,27.0,1999-01-26,0,,16,1584,2,2.85,0,0.09,7.44,64.12,Poland,['Poland'],,0,0,False,6.48,3.13,70.91,3.35,64.41,0.06,0.08,0.8,4.2,5.66,0.4,1,0.06,0,0.0,0.23,0.11,2,0.11,0.16,0,0.0,13,0.74,30.77,15.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,40.0,1.02,0.34,0.0,32.9,0.11,0.06,49.89,90.21,14.77,74.23,1.02,77.78,46.08,94.2,3.81,41.79,20.18,32.44,0.01,0.11,0.06,0.0,0.0,0.0,0.06,2.9,54.9,0.23,50.0,0.17,0.0,0.06,0.0,5.68,65.0,98.29,29.94,0,,0,,0,0.0,0.0,0.0,,,0.45,,3.35,0.0,0.0,0.0,0.0,0,0.0
S. Yosue,Suzuka Yosue,-203093,Pogoń Szczecin,Pogoń Szczecin,https://cdn5.wyscout.com/photos/team/public/g19245_120x120.png,Ekstraliga Women,"LDMF, RCMF",LDMF,51,RCMF,17,,0,,,0,,17,1569,5,3.95,3,2.15,24.84,53.58,Japan,['Japan'],,163,0,False,7.4,5.51,64.58,1.38,54.17,0.23,0.43,0.06,3.61,6.75,1.43,2,0.11,0,0.0,4.07,0.29,5,0.29,0.23,0,0.0,48,2.75,29.17,10.417,0.17,1.6099999999999999,39.29,0.6900000000000001,25.0,0.86,46.67,0.46,4.02,64.29,14.8,50.0,3.27,1.55,0.06,33.21,1.15,2.93,49.22,79.02,15.89,63.9,7.23,92.86,42.16,83.54,5.62,56.12,18.91,34.53,0.12,1.55,0.23,0.17,0.11,50.0,0.52,8.15,69.72,4.13,47.22,0.8,42.86,1.8900000000000001,0.46,9.12,80.5,86.88,18.36,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.38,0.06,0.0,0.0,1.15,1,0.0
P. Hmírová,Patrícia Hmírová,209549,Katowice,Katowice,https://cdn5.wyscout.com/photos/team/public/g39796_120x120.png,Ekstraliga Women,"LCMF, RCMF, LWF",LCMF,23,RCMF,22,LWF,22,32.0,1993-11-30,0,,16,1564,3,3.96,3,4.43,13.18,48.47,Slovakia,['Slovakia'],,0,0,False,6.04,4.09,60.56,0.52,22.22,0.12,0.16,0.06,3.45,4.65,0.63,1,0.06,0,0.0,2.65,0.17,1,0.06,0.23,0,0.0,24,1.38,45.83,12.5,0.17,2.47,34.88,1.04,27.78,1.38,37.5,0.46,2.13,51.35,6.85,42.86,1.78,0.6900000000000001,0.23,20.14,1.15,1.67,31.53,70.62,9.03,52.23,6.91,91.67,25.72,79.19,3.34,31.03,18.33,31.6,0.26,2.13,0.12,0.12,0.23,25.0,0.46,4.55,49.37,2.8200000000000003,36.73,0.52,11.11,0.35000000000000003,0.86,4.2,64.38,73.51,10.65,0,,0,,0,0.0,0.0,0.0,,,0.17,,0.52,2.8200000000000003,0.46,50.0,5.01,3,66.667
