Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Stoinov,Nikita Stoinov,-320530,Dinamo Bucureşti,Dinamo Bucureşti,https://cdn5.wyscout.com/photos/team/public/479_120x120.png,Superliga,LCB,LCB,100,,0,,0,21,2005-08-24,0,,7,703,0,0.0,0,0.0,6.53,56.86,Israel,['Israel'],unknown,0,0,False,6.27,2.56,40.0,2.05,75.0,0.13,0.2,0.64,5.12,7.84,0.26,0,0.0,0,0.0,0.26,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,50.0,1.54,50.0,0.38,0.0,0.0,43.4,0.26,0.51,59.91,94.02,21.38,84.43,2.43,100.0,55.31,96.99,4.61,58.33,20.58,39.79,0.0,0.0,0.0,0.13,0.0,0.0,0.0,4.22,75.76,0.26,0.0,0.0,0.0,0.0,0.0,7.17,75.0,99.6,31.75,0,,0,,0,0.0,0.0,0.0,,,2.3,,2.05,0.0,0.0,0.0,0.0,0,0
A. Bellaarouch,Alaa Bellaarouch,-98165,Dinamo Bucureşti,Dinamo Bucureşti,https://cdn5.wyscout.com/photos/team/public/479_120x120.png,Superliga,GK,GK,100,,0,,0,24,2002-02-01,0,2030-06-30,7,703,0,0.0,0,0.0,0.26,100.0,Morocco,['Morocco'],right,189,75,True,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.18,0.0,2,0.26,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,100.0,0.0,0.0,0.0,20.36,0.13,0.26,34.69,86.35,17.16,79.1,0.0,0.0,26.37,98.54,8.32,47.69,30.02,50.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27,53.06,93.98,17.03,5,0.64,27,3.46,2,81.48,6.91,0.88,1.9100000000000001,0.245,0.0,2.69,0.0,,,,0.0,0,0
M. Diarra,Mamadou Diarra,-460194,Botoşani,Botoşani,https://cdn5.wyscout.com/photos/team/public/3941_120x120.png,Superliga,LCB,LCB,98,,0,,0,28,1998-08-25,0,,7,688,0,0.92,0,0.5700000000000001,10.2,48.72,France,['France'],left,192,0,False,7.98,3.4,46.15,2.75,57.14,0.13,0.21,1.05,6.28,9.93,0.78,3,0.39,0,0.0,0.52,0.0,0,0.0,0.12,0,0.0,3,0.39,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,75.0,1.96,46.67,0.92,1.18,0.26,30.87,0.13,0.65,44.35,87.32,21.06,80.12,1.44,90.91,38.33,93.17,6.02,50.0,22.13,44.98,0.07,0.26,0.0,0.0,0.0,0.0,0.39,7.19,65.45,0.92,57.14,0.13,100.0,0.78,0.0,7.98,73.77,93.53,18.18,0,,0,,0,0.0,0.0,0.0,,,1.18,,2.75,0.0,0.0,0.0,0.0,0,0
N. Ilaș,Narcis Ilaș,-338079,Botoşani,Botoşani,https://cdn5.wyscout.com/photos/team/public/3941_120x120.png,Superliga,"LB, RB",LB,78,RB,19,,0,19,2007-03-27,0,2029-06-30,7,688,0,0.0,0,0.49,14.78,52.21,Romania,['Romania'],right,0,0,False,7.98,7.06,46.3,1.96,86.67,0.39,0.62,0.39,4.32,6.83,1.57,2,0.26,0,0.0,1.44,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.22,35.29,1.96,33.33,0.26,50.0,0.13,1.05,62.5,4.32,48.48,0.52,1.96,0.26,22.37,0.78,1.44,31.13,78.99,11.77,67.78,4.71,91.67,24.99,85.86,4.19,56.25,20.58,45.22,0.06,0.39,0.0,0.0,0.0,0.0,0.26,4.19,71.88,2.49,36.84,0.0,0.0,0.52,0.92,6.67,58.82,83.13,10.86,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.96,0.13,0.0,0.0,0.0,0,0
G. Anestis,Giannis Anestis,222486,Botoşani,Botoşani,https://cdn5.wyscout.com/photos/team/public/3941_120x120.png,Superliga,GK,GK,100,,0,,0,35,1991-03-09,300000,,7,688,0,0.0,0,0.0,0.78,100.0,Greece,['Greece'],right,198,90,False,0.52,0.13,100.0,0.26,100.0,0.13,0.21,0.13,0.26,0.41000000000000003,0.0,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,100.0,0.0,0.13,0.0,8.76,0.0,0.65,18.84,80.56,10.33,70.89,0.0,0.0,13.34,97.06,5.36,41.46,30.23,45.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,66.67,0.0,0.0,0.0,0.0,0.0,0.0,6.02,45.65,96.55,7.59,8,1.05,38,4.97,3,78.95,9.58,1.25,1.58,0.20700000000000002,0.0,1.18,0.26,,,,0.0,0,0
P. Iacob,Paul Iacob,325328,Oţelul,Oţelul,https://cdn5.wyscout.com/photos/team/public/596_120x120.png,Superliga,LCB,LCB,100,,0,,0,30,1996-06-21,1500000,2027-06-30,7,687,0,0.88,0,0.0,9.69,60.81,Romania,['Romania'],left,185,80,False,9.83,4.85,64.86,3.14,54.17,0.13,0.21,0.79,6.55,10.27,0.79,0,0.0,0,0.0,0.26,0.0,0,0.0,0.12,0,0.0,5,0.66,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.79,100.0,0.92,0.0,0.0,31.57,0.26,0.52,48.21,86.41,22.01,76.79,4.85,97.3,41.66,90.88,6.55,58.0,20.92,45.92,0.0,0.0,0.26,0.13,0.0,0.0,0.0,5.63,67.44,0.66,20.0,0.0,0.0,0.26,0.0,7.47,63.16,94.81,17.69,0,,0,,0,0.0,0.0,0.0,,,2.23,,3.14,0.13,0.13,0.0,0.0,0,0
C. Dur-Bozoancă,Cosmin Dur-Bozoancă,379169,Oţelul,Oţelul,https://cdn5.wyscout.com/photos/team/public/596_120x120.png,Superliga,GK,GK,100,,0,,0,28,1998-02-15,450000,2027-06-30,7,687,0,0.0,0,0.0,0.0,0.0,Romania,['Romania'],left,182,84,False,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.21,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.92,0.39,0.0,19.78,76.16,11.79,62.22,0.0,0.0,11.14,100.0,8.65,45.45,33.66,51.17,0.0,0.0,0.0,0.13,0.0,0.0,0.0,2.88,27.27,0.0,0.0,0.0,0.0,0.0,0.0,5.37,56.1,96.08,6.68,8,1.05,32,4.19,1,75.0,7.9,1.03,-0.1,-0.013000000000000001,0.0,1.31,0.0,,,,0.0,0,0
João Lameira,João Pedro Santos Lameira,421583,Oţelul,Oţelul,https://cdn5.wyscout.com/photos/team/public/596_120x120.png,Superliga,"LDMF, DMF",LDMF,58,DMF,30,,0,27,1999-04-19,400000,2027-06-30,7,687,2,0.84,0,0.19,12.18,62.37,Portugal,['Portugal'],right,175,74,False,7.34,6.03,65.22,2.62,50.0,0.39,0.62,0.39,3.01,4.73,1.31,2,0.26,0,0.0,0.92,0.26,2,0.26,0.11,2,0.26,8,1.05,37.5,25.0,0.0,1.18,22.22,0.66,20.0,0.52,25.0,0.13,0.26,100.0,2.62,70.0,1.7000000000000002,0.39,0.66,34.59,0.13,1.31,45.98,83.76,17.16,74.81,5.63,95.35,40.35,89.29,4.45,50.0,17.56,42.39,0.02,0.13,0.26,0.0,0.0,0.0,0.39,5.9,66.67,1.57,50.0,0.0,0.0,0.79,0.26,6.94,66.04,89.74,15.33,0,,0,,0,0.0,0.0,0.0,,,0.52,,2.62,0.0,0.0,0.0,0.0,0,0
L. Zima,Lukáš Zima,155449,Petrolul 52,Petrolul 52,https://cdn5.wyscout.com/photos/team/public/g40043_120x120.png,Superliga,GK,GK,100,,0,,0,32,1994-01-09,850000,2027-06-30,7,683,0,0.0,0,0.0,0.13,0.0,Czech Republic,['Czech Republic'],right,196,80,False,0.53,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.63,0.0,2,0.26,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,0.0,0.0,17.0,84.5,9.09,79.71,0.4,100.0,10.54,95.0,6.46,67.35,30.93,45.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,88.89,0.0,0.0,0.0,0.0,0.0,0.0,5.67,62.79,88.46,6.85,10,1.32,38,5.01,2,73.68,12.03,1.5899999999999999,2.03,0.267,0.0,1.45,0.0,,,,0.0,0,0
A. Dumitrescu,Andres Mihai Dumitrescu,517733,Petrolul 52,Petrolul 52,https://cdn5.wyscout.com/photos/team/public/g40043_120x120.png,Superliga,"LB, LWB",LB,62,LWB,22,,0,25,2001-03-11,1000000,2027-06-30,7,683,0,0.01,0,0.39,10.54,56.25,Romania,['Romania'],left,181,72,False,7.64,4.08,41.94,1.71,61.54,0.13,0.16,0.13,5.8,6.95,0.4,1,0.13,0,0.0,1.19,0.0,0,0.0,0.0,0,0.0,1,0.13,0.0,0.0,0.0,1.98,46.67,1.98,46.67,0.0,0.0,0.53,0.4,66.67,3.03,65.22,0.26,0.79,0.13,21.48,1.45,1.8399999999999999,31.23,73.84,12.65,61.46,4.61,94.29,25.56,81.44,4.08,38.71,20.28,36.47,0.05,0.92,0.0,0.0,0.0,0.0,0.66,4.48,58.82,2.37,33.33,0.0,0.0,0.53,1.05,7.38,53.57,72.97,9.75,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.71,0.0,0.0,0.0,0.0,0,0
