Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Ugarriza,Adrián Martín Ugarriza Tello,290726,Ironi Kiryat Shmona,Ironi Kiryat Shmona,https://cdn5.wyscout.com/photos/team/public/1607_120x120.png,Ligat ha'Al,CF,CF,100,,0,,0,29,1997-01-01,275000,2027-06-30,2,199,1,0.73,0,0.17,10.4,56.52,Peru,['Peru'],right,184,82,False,2.71,1.3599999999999999,66.67,3.62,50.0,0.0,0.0,0.0,1.81,3.0,0.0,0,0.0,0,0.0,1.3599999999999999,0.45,1,0.45,0.33,1,0.45,3,1.3599999999999999,33.33,33.333,0.0,0.45,100.0,0.45,100.0,0.0,0.0,0.0,0.45,100.0,4.52,70.0,3.17,0.45,0.45,13.12,0.9,0.9,19.9,72.73,3.62,50.0,6.33,92.86,17.19,78.95,2.26,20.0,14.1,38.94,0.08,0.45,0.0,0.0,0.0,0.0,0.45,1.81,25.0,0.9,100.0,0.45,100.0,0.9,0.45,1.3599999999999999,33.33,71.43,3.17,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.62,0.0,0.0,0.0,0.0,0,0
S. Ben David,Shay Ben David,320046,Ironi Kiryat Shmona,Ironi Kiryat Shmona,https://cdn5.wyscout.com/photos/team/public/1607_120x120.png,Ligat ha'Al,LCB,LCB,100,,0,,0,29,1997-07-19,175000,,2,199,0,0.08,0,0.0,4.52,50.0,Israel,['Israel'],left,183,80,False,5.43,1.3599999999999999,33.33,1.81,50.0,0.0,0.0,0.9,4.97,8.25,0.45,0,0.0,0,0.0,0.45,0.0,0,0.0,0.04,0,0.0,2,0.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,50.0,0.0,0.45,0.0,56.98,0.0,0.45,69.65,89.61,22.16,73.47,6.33,92.86,62.86,96.4,6.78,26.67,20.46,46.48,0.0,0.45,0.0,0.45,0.0,0.0,0.0,9.5,61.9,1.3599999999999999,66.67,0.0,0.0,0.9,0.0,4.52,80.0,97.4,34.82,0,,0,,0,0.0,0.0,0.0,,,3.62,,1.81,0.45,0.45,100.0,0.0,0,0
Daniel,Daniel Miller Tenenbaum,370107,Ironi Kiryat Shmona,Ironi Kiryat Shmona,https://cdn5.wyscout.com/photos/team/public/1607_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,31,1995-04-19,150000,2027-06-30,2,199,0,0.0,0,0.0,0.0,0.0,Brazil,"['Brazil', 'Israel']",right,191,80,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.28,0.0,0.0,21.71,77.08,9.95,50.0,0.0,0.0,15.83,100.0,5.88,15.38,29.82,63.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,12.5,0.9,50.0,0.0,0.0,0.45,0.0,1.81,50.0,100.0,9.95,2,0.9,6,2.71,1,66.67,1.77,0.8,-0.23,-0.10400000000000001,0.0,1.3599999999999999,0.0,,,,0.0,0,0
N. Ljubisavljević,Nemanja Ljubisavljević,477128,Ironi Kiryat Shmona,Ironi Kiryat Shmona,https://cdn5.wyscout.com/photos/team/public/1607_120x120.png,Ligat ha'Al,RCB,RCB,100,,0,,0,29,1996-11-26,500000,2027-06-30,2,199,0,0.0,0,0.0,5.43,50.0,Serbia,['Serbia'],right,190,80,False,5.88,3.62,37.5,0.9,50.0,0.0,0.0,1.81,4.52,7.5,1.81,1,0.45,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,100.0,0.0,0.45,0.0,59.25,0.0,0.0,79.6,93.75,23.97,86.79,0.9,100.0,72.81,95.65,6.78,73.33,20.91,42.13,0.0,0.0,0.45,0.0,0.0,0.0,0.0,8.14,88.89,0.0,0.0,0.0,0.0,0.45,0.0,9.05,90.0,96.23,47.94,0,,0,,0,0.0,0.0,0.0,,,0.9,,0.9,0.0,0.0,0.0,0.0,0,0
A. Mussolo Sola,Alexandre Mussolo Sola,-545095,Ironi Kiryat Shmona,Ironi Kiryat Shmona,https://cdn5.wyscout.com/photos/team/public/1607_120x120.png,Ligat ha'Al,"RDMF, LDMF",RDMF,70,LDMF,25,,0,22,2003-12-14,0,2028-06-30,2,199,0,0.01,0,0.09,10.85,45.83,Angola,['Angola'],,0,0,True,5.43,4.97,45.45,1.3599999999999999,66.67,0.0,0.0,0.45,3.17,5.25,1.3599999999999999,1,0.45,0,0.0,0.9,0.0,0,0.0,0.0,0,0.0,2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,100.0,4.52,40.0,0.0,0.9,0.45,47.49,0.0,1.3599999999999999,59.25,92.37,12.21,70.37,9.05,100.0,53.82,94.96,5.43,66.67,19.7,47.66,0.04,0.45,0.0,0.0,0.45,100.0,0.45,8.59,73.68,0.9,0.0,0.45,100.0,0.0,0.0,4.07,77.78,96.97,29.85,0,,0,,0,0.0,0.0,0.0,,,0.9,,1.3599999999999999,0.0,0.0,0.0,0.0,0,0
C. Kouakou,Chris Kouakou,-390247,Ironi Tiberias,Ironi Tiberias,https://cdn5.wyscout.com/photos/team/public/g20830_120x120.png,Ligat ha'Al,DMF,DMF,100,,0,,0,26,1999-12-15,0,2027-06-30,2,198,0,0.03,0,0.0,11.82,80.77,Côte d'Ivoire,"[""Côte d'Ivoire""]",right,175,68,False,9.09,6.82,80.0,0.0,0.0,0.0,0.0,0.45,3.64,3.5300000000000002,0.45,0,0.0,0,0.0,1.3599999999999999,0.0,0,0.0,0.01,0,0.0,5,2.27,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,100.0,4.55,90.0,0.0,1.82,0.0,19.55,0.0,2.27,31.36,78.26,9.55,47.62,2.27,100.0,25.0,87.27,6.36,42.86,24.75,43.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,57.14,0.45,0.0,0.0,0.0,0.0,0.0,4.55,70.0,96.88,14.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0,0
G. Sanker,Guy Sanker,-231625,Ironi Tiberias,Ironi Tiberias,https://cdn5.wyscout.com/photos/team/public/g20830_120x120.png,Ligat ha'Al,RWB,RWB,90,,0,,0,24,2002-06-04,0,2028-06-30,2,198,0,0.0,0,0.15,14.55,62.5,Israel,['Israel'],,0,0,False,6.82,8.18,55.56,0.91,100.0,0.0,0.0,0.0,2.27,2.21,0.91,0,0.0,0,0.0,2.73,0.0,0,0.0,0.0,0,0.0,1,0.45,0.0,0.0,0.0,4.09,55.56,0.0,0.0,4.09,55.56,0.91,0.45,100.0,5.45,66.67,0.0,0.45,0.0,30.0,3.64,2.27,39.55,75.86,10.91,70.83,9.09,90.0,32.73,80.56,4.55,70.0,17.86,51.63,0.07,0.45,0.0,0.0,0.0,0.0,0.0,5.91,61.54,3.18,14.29,0.0,0.0,0.0,0.45,7.27,68.75,68.18,10.0,0,,0,,0,0.0,0.0,0.0,,,0.45,,0.91,1.3599999999999999,0.45,0.0,1.3599999999999999,0,0
O. Bačo,Ondřej Bačo,442042,Ironi Tiberias,Ironi Tiberias,https://cdn5.wyscout.com/photos/team/public/g20830_120x120.png,Ligat ha'Al,CB,CB,90,,0,,0,30,1996-03-25,400000,,2,198,0,0.15,0,0.0,5.0,45.45,Czech Republic,['Czech Republic'],right,187,81,False,8.64,2.73,50.0,1.82,50.0,0.45,0.44,0.45,6.82,6.62,1.3599999999999999,1,0.45,0,0.0,0.0,0.0,0,0.0,0.07,0,0.0,1,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,20.0,0.0,0.0,31.82,82.86,8.64,63.16,2.27,80.0,29.55,86.15,2.27,40.0,21.3,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.36,95.12,18.64,0,,0,,0,0.0,0.0,0.0,,,0.91,,1.82,0.0,0.0,0.0,0.0,0,0
R. Unger,Ron Unger,-245764,Ironi Tiberias,Ironi Tiberias,https://cdn5.wyscout.com/photos/team/public/g20830_120x120.png,Ligat ha'Al,RCB3,RCB3,90,,0,,0,24,2001-09-05,125000,2027-06-30,2,198,0,0.0,0,0.0,8.18,83.33,Israel,['Israel'],,0,0,False,7.73,4.55,80.0,1.82,100.0,0.0,0.0,0.91,4.09,3.9699999999999998,0.0,0,0.0,0,0.0,0.45,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.3599999999999999,33.33,0.0,0.0,1.3599999999999999,33.33,0.45,0.0,0.0,1.82,75.0,0.0,0.45,0.0,29.09,0.91,1.3599999999999999,38.18,77.38,19.09,71.43,2.73,100.0,29.55,87.69,7.27,43.75,23.28,46.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82,80.0,1.82,75.0,0.0,0.0,0.45,0.45,10.45,69.57,85.19,12.27,0,,0,,0,0.0,0.0,0.0,,,1.82,,1.82,0.0,0.0,0.0,0.0,0,0
I. Sharon,Ido Sharon,-114498,Ironi Tiberias,Ironi Tiberias,https://cdn5.wyscout.com/photos/team/public/g20830_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,24,2002-06-06,0,2027-06-30,2,198,0,0.0,0,0.0,0.0,0.0,Israel,['Israel'],,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,28.64,82.54,13.64,63.33,0.0,0.0,19.55,100.0,9.09,45.0,31.29,50.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,70.0,100.0,15.0,2,0.91,9,4.09,1,77.78,1.58,0.72,-0.42,-0.191,0.0,1.3599999999999999,0.0,,,,0.0,0,0
