Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Carabantes,Kévin Edenilson Carabantes Rivera,430337,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,GK,GK,100,,0,,0,31.0,1995-03-20,175000,,43,4140,0,0.0,0,0.0,0.59,88.89,El Salvador,['El Salvador'],left,185,75,False,0.91,0.09,75.0,0.41000000000000003,94.74,0.04,0.07,0.0,0.8,1.34,0.02,10,0.22,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,50.0,0.09,75.0,0.0,0.0,0.02,5.96,0.15,0.07,12.0,83.33,6.3,71.38,0.0,0.0,8.07,96.77,3.89,56.42,31.91,48.3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.78,52.78,0.0,0.0,0.0,0.0,0.0,0.0,3.07,65.25,97.39,5.0,41,0.89,155,3.37,16,73.55,45.41,0.99,4.41,0.096,0.0,1.13,0.41000000000000003,,,,0.0,0,0.0
F. Amaya,Felipe Enrique Amaya,306752,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,GK,GK,100,,0,,0,37.0,1988-11-03,0,,41,3956,0,0.0,0,0.0,0.77,85.29,El Salvador,['El Salvador'],right,190,91,False,1.37,0.14,50.0,0.48,95.24,0.0,0.0,0.0,1.3,1.99,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,3.8,0.07,0.2,9.42,84.06,6.05,78.2,0.0,0.0,5.8,96.86,3.5700000000000003,64.33,32.53,47.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,49.02,0.07,0.0,0.07,33.33,0.02,0.0,2.87,77.78,96.95,2.98,39,0.89,118,2.68,13,66.95,31.22,0.71,-7.78,-0.177,0.0,1.37,0.48,,,,0.0,0,0.0
J. Portillo,José Isaac Portillo Molina,-208521,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"DMF, LDMF, RDMF",DMF,33,LDMF,22,RDMF,16,26.0,1999-11-14,150000,,44,3951,2,2.12,4,1.77,11.94,57.44,El Salvador,['El Salvador'],right,174,0,False,7.47,5.67,63.05,2.12,48.39,0.68,1.13,0.25,3.21,5.32,1.28,11,0.25,0,0.0,0.59,0.05,2,0.05,0.05,1,0.02,35,0.8,20.0,5.714,0.09,0.21,44.44,0.14,50.0,0.07,33.33,0.02,0.46,75.0,2.67,54.7,0.41000000000000003,0.5700000000000001,0.0,38.68,0.41000000000000003,1.18,51.5,87.35,19.11,78.43,5.79,93.31,44.94,91.08,6.36,62.37,19.37,35.77,0.04,0.5700000000000001,0.0,0.07,0.02,0.0,0.18,9.77,74.13,1.05,50.0,0.39,58.82,0.41000000000000003,0.09,9.95,79.63,93.27,20.32,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.12,0.30000000000000004,0.02,0.0,0.02,0,0.0
Yan,Yan Dos Santos Maciel,474832,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"AMF, CF, LCMF3",AMF,26,CF,18,LCMF3,16,29.0,1997-03-24,0,,45,3842,12,8.39,11,9.94,19.19,51.89,Brazil,['Brazil'],left,186,75,False,6.35,6.04,64.34,1.69,48.61,0.05,0.08,0.05,2.41,4.05,1.17,5,0.12,0,0.0,2.69,0.28,12,0.28,0.2,0,0.0,73,1.71,42.47,16.438,0.26,1.83,34.62,0.96,26.83,0.87,43.24,0.33,1.69,62.5,9.56,46.32,1.78,2.44,0.05,32.35,1.73,1.92,44.7,85.06,15.13,78.02,8.71,95.7,40.08,88.37,2.93,68.8,18.02,31.37,0.23,1.8,0.19,0.09,0.45,63.16,0.8,8.03,80.47,3.33,58.45,0.59,52.0,1.57,0.63,8.85,88.89,87.44,13.8,0,,0,,0,0.0,0.0,0.0,,,0.16,,1.69,0.9400000000000001,0.16,57.14,2.88,0,0.0
Nelson Diaz,Nelson Vladimir Diaz Tobar,-410258,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,"LW, LAMF",LW,40,LAMF,39,,0,19.0,2006-07-04,0,,40,3687,13,7.35,4,4.89,23.41,39.73,El Salvador,['El Salvador'],unknown,0,0,False,4.59,4.91,58.21,1.05,9.3,0.07,0.11,0.02,1.6600000000000001,2.54,1.2,6,0.15,0,0.0,4.34,0.32,13,0.32,0.18,1,0.02,73,1.78,45.21,17.808,0.1,1.5899999999999999,30.77,1.49,32.79,0.05,0.0,0.27,6.4,46.56,15.18,35.69,2.32,2.81,0.66,19.53,1.56,1.9500000000000002,25.66,77.16,7.88,72.45,4.49,92.93,22.63,81.66,1.49,57.38,16.12,24.04,0.12,1.24,0.02,0.0,0.15,50.0,0.56,3.22,75.76,2.66,60.55,0.34,42.86,1.56,0.51,4.61,79.89,76.16,7.37,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.05,0.0,0.0,0.0,0.05,0,0.0
M. Jacobo,Mario Alberto Jacobo Segovia,279422,Alianza,Alianza,https://cdn5.wyscout.com/photos/team/public/3042_120x120.png,Primera Division,"RCB, LCB",RCB,58,LCB,41,,0,29.0,1996-08-02,150000,2026-06-30,38,3637,3,2.34,0,0.04,10.49,55.66,El Salvador,['El Salvador'],,0,0,False,6.85,4.75,64.06,4.18,50.89,0.1,0.16,0.49,3.71,6.01,1.4100000000000001,9,0.22,0,0.0,0.12,0.07,3,0.07,0.06,1,0.02,8,0.2,50.0,37.5,0.0,0.05,50.0,0.02,100.0,0.02,0.0,0.0,0.02,0.0,0.37,20.0,0.30000000000000004,0.05,0.0,18.39,0.37,0.15,31.77,85.59,15.09,76.72,1.1400000000000001,89.13,26.5,90.66,5.22,60.19,21.81,36.86,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2.1,63.53,0.25,40.0,0.25,20.0,0.05,0.02,5.99,59.09,96.02,13.04,0,,0,,0,0.0,0.0,0.0,,,0.84,,4.18,0.0,0.0,0.0,0.0,0,0.0
E. Medrano,Edgar José Medrano Ayarza,-242419,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"CF, RAMF, LAMF",CF,18,RAMF,17,LAMF,14,31.0,1994-09-23,200000,,42,3585,16,12.3,9,8.65,26.86,42.99,Colombia,['Colombia'],,0,0,False,4.19,4.74,61.38,2.41,37.5,0.13,0.21,0.08,1.15,1.9300000000000002,1.53,13,0.33,0,0.0,5.0,0.4,11,0.28,0.31,0,0.0,89,2.23,43.82,17.978,0.23,1.9100000000000001,40.79,0.7000000000000001,46.43,1.18,36.17,0.30000000000000004,5.95,53.16,17.55,38.48,3.06,3.11,0.43,17.62,2.21,2.26,25.71,82.71,4.9,71.79,7.53,95.0,22.27,87.71,1.63,60.0,16.77,27.03,0.22,1.43,0.03,0.03,0.18,42.86,0.63,2.18,72.41,2.38,58.95,0.30000000000000004,33.33,1.33,0.7000000000000001,2.86,87.72,79.75,7.93,0,,0,,0,0.0,0.0,0.0,,,0.08,,2.41,0.0,0.0,0.0,0.03,5,100.0
L. Claros,Lizandro Enmanuel Claros Saravia,-169588,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,"RCB, LCB",RCB,52,LCB,32,,0,28.0,1998-01-25,150000,,40,3569,0,1.81,0,0.31,15.53,64.45,El Salvador,['El Salvador'],right,182,0,False,8.95,7.09,72.6,5.83,58.01,0.15,0.23,0.53,3.66,5.63,1.46,15,0.38,2,0.05,0.45,0.0,0,0.0,0.05,0,0.0,25,0.63,28.0,0.0,0.0,0.2,25.0,0.05,50.0,0.15,16.67,0.05,0.28,81.82,1.3599999999999999,57.41,0.45,1.01,0.0,21.51,0.48,0.5,36.19,80.91,19.97,73.86,1.3599999999999999,96.3,29.4,87.65,6.61,52.67,21.72,37.6,0.01,0.1,0.0,0.05,0.0,0.0,0.08,6.15,57.38,0.73,20.69,0.48,26.32,0.23,0.03,8.9,72.52,90.74,11.17,0,,0,,0,0.0,0.0,0.0,,,0.63,,5.83,0.25,0.23,33.33,0.0,0,0.0
R. Clavel,Rudy Geovanny Clavel Mendoza,413478,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,RCB,RCB,87,,0,,0,29.0,1996-10-10,225000,,39,3569,6,4.45,3,1.74,12.31,62.5,El Salvador,['El Salvador'],right,180,73,False,7.59,5.45,71.3,3.88,58.44,0.61,1.02,0.33,3.1,5.23,1.21,13,0.33,3,0.08,0.71,0.15,6,0.15,0.11,0,0.0,36,0.91,30.56,16.667,0.08,0.4,62.5,0.18,85.71,0.23,44.44,0.08,0.2,87.5,1.3599999999999999,51.85,1.03,1.56,0.28,29.6,0.8300000000000001,0.5,43.95,85.71,20.78,77.55,1.19,91.49,37.2,91.8,6.41,51.57,21.97,38.05,0.04,0.25,0.08,0.05,0.03,0.0,0.1,6.03,62.34,1.01,35.0,0.45,5.5600000000000005,0.33,0.23,8.83,71.71,94.57,18.11,0,,0,,0,0.0,0.0,0.0,,,0.61,,3.88,0.2,0.2,12.5,0.0,0,0.0
T. Benítez,Tereso Alexi Benítez,-473843,Águila,Águila,https://cdn5.wyscout.com/photos/team/public/3410_120x120.png,Primera Division,RB,RB,83,,0,,0,24.0,2002-03-15,0,,40,3493,4,1.18,2,1.09,15.59,54.88,El Salvador,['El Salvador'],,0,0,False,8.71,7.45,68.86,1.78,40.58,0.0,0.0,0.05,3.58,5.58,1.49,10,0.26,3,0.08,1.9100000000000001,0.1,4,0.1,0.03,0,0.0,36,0.93,22.22,11.111,0.05,2.27,27.27,0.05,0.0,2.22,27.91,0.33,1.75,60.29,4.95,42.71,0.88,1.37,0.28,23.32,1.16,1.06,34.81,76.02,15.64,72.65,4.15,84.47,28.14,83.88,4.48,50.0,19.01,32.6,0.03,0.39,0.05,0.0,0.03,100.0,0.15,6.39,70.16,2.45,38.95,0.21,37.5,0.39,0.72,8.61,75.75,78.14,9.43,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.78,0.03,0.0,0.0,0.05,0,0.0
