Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Bia Zaneratto,Beatriz Zaneratto João,151189,Palmeiras,Palmeiras,https://cdn5.wyscout.com/photos/team/public/g15075_120x120.png,Paulista Women,CF,CF,69,,0,,0,32.0,1993-12-17,0,,12,1142,5,6.64,4,3.16,23.96,46.38,Brazil,['Brazil'],left,174,0,False,4.33,3.23,53.66,3.39,55.81,0.16,0.29,0.16,2.44,4.47,1.18,1,0.08,0,0.0,4.1,0.39,3,0.24,0.52,1,0.08,40,3.15,30.0,12.5,0.32,1.58,50.0,1.26,50.0,0.32,50.0,0.24,3.39,69.77,14.89,44.44,5.44,2.13,0.32,16.31,1.34,1.73,24.19,79.15,6.86,71.26,4.26,96.3,21.28,83.33,1.34,47.06,14.94,22.44,0.25,1.58,0.08,0.0,0.32,0.0,1.34,2.6,75.76,3.31,59.52,0.63,0.0,1.81,0.79,3.7800000000000002,77.08,74.44,7.09,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.39,0.16,0.16,0.0,0.0,2,100.0
Yanne,Yanne Camille Lopes Fonseca,-177018,Bahia,Bahia,https://cdn5.wyscout.com/photos/team/public/g27054_120x120.png,Brasileiro Women,GK,GK,100,,0,,0,23.0,2003-01-07,0,,11,1132,0,0.17,0,0.0,1.35,100.0,Brazil,['Brazil'],,0,0,False,1.67,0.0,0.0,0.72,100.0,0.0,0.0,0.0,1.67,3.2800000000000002,0.0,2,0.16,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,100.0,0.08,0.0,0.0,11.37,0.16,0.8,20.67,87.31,8.59,78.7,0.0,0.0,16.7,94.29,3.9,59.18,24.27,37.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,33.33,0.0,0.0,0.16,50.0,0.0,0.0,2.62,42.42,94.24,11.05,13,1.03,55,4.37,2,76.36,14.22,1.13,1.22,0.097,0.0,1.75,0.72,,,,0.0,0,0.0
Cássia,Cássia Moura Soares,321238,Bahia,Bahia,https://cdn5.wyscout.com/photos/team/public/g27054_120x120.png,Brasileiro Women,"CF, AMF",CF,48,AMF,12,,0,32.0,1994-03-31,0,,11,1132,5,2.48,1,1.16,12.88,43.21,Brazil,['Brazil'],,0,0,False,4.61,2.7800000000000002,62.86,3.02,42.11,0.08,0.16,0.08,2.7800000000000002,5.47,0.56,0,0.0,0,0.0,1.5899999999999999,0.4,4,0.32,0.2,0,0.0,16,1.27,56.25,31.25,0.08,1.19,33.33,0.56,42.86,0.64,25.0,0.24,0.87,54.55,5.57,37.14,2.07,0.64,0.16,14.07,1.27,1.35,23.14,65.64,7.79,51.02,4.69,83.05,19.88,70.8,2.15,37.04,16.93,30.02,0.09,0.8,0.08,0.0,0.08,0.0,0.56,3.18,45.0,1.99,24.0,0.32,0.0,0.64,0.48,2.62,60.61,67.61,5.64,0,,0,,0,0.0,0.0,0.0,,,0.24,,3.02,0.0,0.0,0.0,0.0,1,100.0
Laís Giacomel,Laís Giacomel Sartori,-259469,América Mineiro,América Mineiro,https://cdn5.wyscout.com/photos/team/public/g34416_120x120.png,Brasileiro Women,"LB5, RW, LW",LB5,25,RW,20,LW,19,23.0,2003-05-22,0,,11,1125,0,0.23,1,1.63,12.16,38.82,Brazil,['Brazil'],,0,0,False,7.84,5.36,55.22,2.0,24.0,0.32,0.42,0.48,4.5600000000000005,5.96,0.4,0,0.0,0,0.0,1.8399999999999999,0.0,0,0.0,0.02,0,0.0,14,1.12,28.57,0.0,0.08,2.08,34.62,0.8,30.0,1.28,37.5,0.32,1.28,62.5,3.52,27.27,0.88,0.88,0.24,11.28,0.96,0.24,16.72,62.2,5.2,44.62,2.4,76.67,12.88,70.19,1.92,33.33,18.37,26.77,0.13,1.12,0.08,0.0,0.0,0.0,0.32,1.44,38.89,2.0,32.0,0.16,50.0,0.4,1.04,4.8,40.0,65.82,6.32,0,,0,,0,0.0,0.0,0.0,,,0.08,,2.0,0.8,0.08,0.0,2.56,0,0.0
Keké,Kathleen Luane da Silva,433038,Fluminense,Fluminense,https://cdn5.wyscout.com/photos/team/public/g-10751_120x120.png,Brasileiro Women,"RB, RB5",RB,50,RB5,42,,0,29.0,1996-06-26,0,,11,1122,2,1.8,0,0.46,12.59,50.96,Brazil,['Brazil'],,0,0,False,9.95,6.26,64.1,2.41,43.33,0.08,0.11,0.4,5.86,8.14,0.8,1,0.08,0,0.0,2.01,0.16,2,0.16,0.14,1,0.08,13,1.04,30.77,15.385,0.0,2.5700000000000003,31.25,0.0,0.0,2.49,32.26,0.24,1.28,62.5,2.65,42.42,1.6800000000000002,0.72,0.0,20.45,1.28,0.24,32.81,70.42,13.96,59.2,3.85,87.5,27.03,79.23,3.21,27.5,17.42,29.93,0.04,0.4,0.0,0.08,0.08,100.0,0.16,4.97,64.52,2.41,40.0,0.16,50.0,0.32,0.72,7.62,60.0,75.45,8.82,0,,0,,0,0.0,0.0,0.0,,,0.4,,2.41,0.0,0.0,0.0,0.0,0,0.0
Kemelli Trugilho,Kemelli Trugilho Firmiano Ferreira,463941,Fluminense,Fluminense,https://cdn5.wyscout.com/photos/team/public/g-10751_120x120.png,Brasileiro Women,GK,GK,100,,0,,0,27.0,1999-03-13,0,,11,1122,0,0.0,0,0.0,0.32,75.0,Brazil,['Brazil'],,170,0,False,0.96,0.0,0.0,0.08,100.0,0.0,0.0,0.0,0.96,1.34,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,4.97,0.16,0.08,12.99,85.8,6.42,75.0,0.0,0.0,9.14,99.12,3.85,54.17,28.43,41.32,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.24,66.67,0.0,0.0,0.0,0.0,0.0,0.0,3.37,54.76,97.18,5.7,11,0.88,42,3.37,5,73.81,9.2,0.74,-1.8,-0.14400000000000002,0.0,1.2,0.08,,,,0.0,0,0.0
Camila Silva,Camila Silva Soares,463943,Ferroviária,Ferroviária,https://cdn5.wyscout.com/photos/team/public/g15064_120x120.png,Paulista Women,"LCB, RCB3, RCB",LCB,48,RCB3,18,RCB,11,25.0,2000-12-05,0,,11,1118,0,0.4,0,0.36,7.0,59.77,Brazil,['Brazil'],right,170,60,False,4.51,2.17,74.07,2.42,56.67,0.0,0.0,0.4,2.9,4.98,0.16,1,0.08,0,0.0,0.81,0.0,0,0.0,0.03,0,0.0,9,0.72,22.22,0.0,0.0,0.64,50.0,0.32,50.0,0.32,50.0,0.08,0.32,100.0,0.89,72.73,0.72,1.6099999999999999,0.32,33.65,0.72,0.4,47.33,86.9,21.57,79.48,2.66,96.97,42.02,91.76,4.75,49.15,17.98,38.78,0.03,0.24,0.0,0.0,0.0,0.0,0.32,6.44,70.0,1.69,42.86,0.64,12.5,0.56,0.24,7.57,67.02,92.93,15.94,0,,0,,0,0.0,0.0,0.0,,,0.89,,2.42,0.08,0.0,0.0,0.0,0,0.0
Hingredy,Hingredy Talita da Silva Carvalhais,-569242,Atlético Mineiro,Atlético Mineiro,https://cdn5.wyscout.com/photos/team/public/g-12424_120x120.png,Brasileiro Women,"LCB, LCB3",LCB,86,LCB3,11,,0,27.0,1999-02-08,0,,11,1116,0,0.29,0,0.0,9.03,52.68,Brazil,['Brazil'],unknown,0,0,False,6.13,3.79,59.57,2.42,43.33,0.0,0.0,0.24,3.87,6.29,1.13,2,0.16,0,0.0,0.16,0.0,0,0.0,0.02,0,0.0,4,0.32,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,1.21,40.0,0.48,0.4,0.0,20.97,0.32,0.65,32.1,87.44,11.94,74.32,1.77,86.36,29.44,90.41,2.66,54.55,20.21,31.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,73.17,0.16,100.0,0.0,0.0,0.08,0.0,4.76,64.41,97.4,15.48,0,,0,,0,0.0,0.0,0.0,,,1.13,,2.42,0.0,0.0,0.0,0.0,0,0.0
M. Rodríguez Quintero,Mayerli Daniela Rodríguez Quintero,-394031,Grêmio,Grêmio,https://cdn5.wyscout.com/photos/team/public/g38462_120x120.png,Brasileiro Women,"RCB3, RCB",RCB3,67,RCB,28,,0,24.0,2001-12-26,0,,11,1114,2,1.43,0,0.0,6.79,64.29,Ecuador,['Ecuador'],unknown,0,0,False,5.25,2.42,76.67,1.29,62.5,0.16,0.22,0.65,3.23,4.48,0.24,0,0.0,0,0.0,0.81,0.16,2,0.16,0.12,0,0.0,7,0.5700000000000001,42.86,28.571,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.89,63.64,2.18,59.26,0.81,0.4,0.0,14.95,0.08,0.48,26.98,81.74,10.99,69.12,2.42,100.0,23.75,87.07,3.15,43.59,18.05,27.38,0.0,0.08,0.0,0.0,0.0,0.0,0.0,2.26,46.43,0.24,0.0,0.0,0.0,0.08,0.0,4.85,50.0,89.39,10.66,0,,0,,0,0.0,0.0,0.0,,,1.37,,1.29,0.0,0.0,0.0,0.0,0,0.0
Anny,Crisciane Souza Santos,380047,Fluminense,Fluminense,https://cdn5.wyscout.com/photos/team/public/g-10751_120x120.png,Brasileiro Women,"RCB3, RCB",RCB3,50,RCB,49,,0,28.0,1997-09-18,0,,11,1113,0,0.77,0,0.0,10.67,64.39,Brazil,['Brazil'],,0,0,False,7.68,4.61,68.42,2.99,70.27,0.0,0.0,0.49,4.53,6.27,0.65,1,0.08,0,0.0,0.81,0.0,0,0.0,0.06,0,0.0,7,0.5700000000000001,57.14,0.0,0.0,0.16,100.0,0.0,0.0,0.16,100.0,0.0,0.49,66.67,1.7000000000000002,57.14,0.49,0.4,0.0,19.16,0.16,0.49,34.93,82.18,13.26,67.07,2.18,96.3,27.65,89.47,7.12,53.41,22.82,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,57.81,0.89,36.36,0.24,0.0,0.24,0.16,6.71,69.88,93.84,17.06,0,,0,,0,0.0,0.0,0.0,,,1.37,,2.99,0.0,0.0,0.0,0.0,0,0.0
Gabi Barbieri,Gabriela Kasper Barbieri,-255424,Internacional RS,Internacional RS,https://cdn5.wyscout.com/photos/team/public/g-9840_120x120.png,Brasileiro Women,GK,GK,100,,0,,0,23.0,2003-03-07,0,,11,1112,0,0.0,0,0.0,0.89,90.91,Brazil,['Brazil'],,0,0,False,1.62,0.0,0.0,0.81,90.0,0.0,0.0,0.0,1.62,2.61,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,0.08,0.08,13.35,80.61,7.77,71.88,0.0,0.0,7.61,97.87,5.67,58.57,29.81,41.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,55.77,93.65,5.1,9,0.73,38,3.08,6,76.32,8.41,0.68,-0.59,-0.048,0.0,2.27,0.81,,,,0.0,0,0.0
Sorriso,Ingrid de Paula Silva,321700,Internacional RS,Internacional RS,https://cdn5.wyscout.com/photos/team/public/g-9840_120x120.png,Brasileiro Women,"LCB, LCB3",LCB,52,LCB3,35,,0,31.0,1994-11-10,0,,11,1112,1,0.8,0,0.0,12.63,58.33,Brazil,['Brazil'],,0,0,False,9.63,6.39,62.03,3.48,46.51,0.16,0.26,1.21,5.5,8.87,1.29,0,0.0,0,0.0,0.16,0.08,1,0.08,0.06,0,0.0,3,0.24,33.33,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,33.33,1.38,58.82,0.4,0.08,0.0,13.76,0.24,1.21,26.3,84.62,10.93,72.59,1.8599999999999999,82.61,23.63,88.36,2.67,51.52,19.44,26.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,57.58,0.24,0.0,0.0,0.0,0.08,0.0,4.13,54.9,96.38,11.17,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.48,0.0,0.0,0.0,0.0,0,0.0
L. Fretes,Limpia Concepción Fretes Cáceres,463911,Juventude,Juventude,https://cdn5.wyscout.com/photos/team/public/g-23485_120x120.png,Brasileiro Women,RB,RB,82,,0,,0,25.0,2000-06-24,0,,11,1111,0,0.37,2,1.04,11.83,54.79,Paraguay,['Paraguay'],,0,0,False,9.07,5.1,63.49,3.24,52.5,0.24,0.30000000000000004,0.65,5.59,6.92,0.73,0,0.0,0,0.0,0.97,0.0,0,0.0,0.03,0,0.0,5,0.41000000000000003,80.0,0.0,0.16,1.13,42.86,0.0,0.0,1.13,42.86,0.08,0.24,66.67,1.7000000000000002,42.86,0.89,0.5700000000000001,0.0,11.83,0.89,0.49,23.9,62.71,13.61,55.36,2.51,87.1,16.85,72.12,6.24,38.96,21.17,33.69,0.08,0.89,0.08,0.0,0.0,0.0,0.32,5.35,53.03,1.38,23.53,0.32,25.0,0.32,0.41000000000000003,7.05,57.47,62.3,4.94,0,,0,,0,0.0,0.0,0.0,,,0.32,,3.24,0.89,0.16,100.0,0.0,0,0.0
Gisseli,Gisseli Mariano Calixto,-106822,Cruzeiro,Cruzeiro,https://cdn5.wyscout.com/photos/team/public/g-10750_120x120.png,Brasileiro Women,"LWB, LB5",LWB,49,LB5,24,,0,24.0,2001-07-27,0,,12,1110,2,2.5,0,0.75,13.3,53.05,Brazil,['Brazil'],,152,0,False,6.8100000000000005,4.46,67.27,0.5700000000000001,28.57,0.0,0.0,0.32,3.81,6.95,0.41000000000000003,0,0.0,0,0.0,3.0,0.16,2,0.16,0.2,0,0.0,12,0.97,50.0,16.667,0.0,2.19,25.93,2.03,24.0,0.16,50.0,0.5700000000000001,3.24,55.0,6.8100000000000005,46.43,2.11,0.89,0.08,12.97,1.54,1.22,21.89,67.04,7.78,60.42,4.3,81.13,18.0,73.87,1.8599999999999999,47.83,18.9,31.42,0.06,0.89,0.0,0.08,0.32,50.0,0.32,2.51,67.74,2.03,56.0,0.32,25.0,1.22,0.5700000000000001,4.38,61.11,64.18,5.43,0,,0,,0,0.0,0.0,0.0,,,0.24,,0.5700000000000001,0.0,0.0,0.0,0.89,0,0.0
Bruna Cotrim,Bruna Cotrim Martins,432643,Fluminense,Fluminense,https://cdn5.wyscout.com/photos/team/public/g-10751_120x120.png,Brasileiro Women,"LCB, LCB3",LCB,48,LCB3,41,,0,29.0,1996-09-08,0,,11,1105,1,1.22,0,0.53,6.52,61.25,Brazil,['Brazil'],,171,59,False,6.11,2.12,69.23,2.2,66.67,0.0,0.0,0.65,4.64,6.38,0.65,0,0.0,0,0.0,0.41000000000000003,0.08,1,0.08,0.1,1,0.08,10,0.81,20.0,10.0,0.0,0.16,100.0,0.16,100.0,0.0,0.0,0.0,0.08,100.0,1.1400000000000001,64.29,0.98,0.33,0.0,22.64,0.41000000000000003,0.49,35.02,82.56,15.96,73.47,1.47,83.33,30.05,88.89,4.8100000000000005,42.37,20.75,36.74,0.04,0.24,0.0,0.08,0.0,0.0,0.0,5.62,68.12,0.81,60.0,0.41000000000000003,40.0,0.41000000000000003,0.16,6.84,64.29,92.66,14.42,0,,0,,0,0.0,0.0,0.0,,,0.73,,2.2,0.0,0.0,0.0,0.0,0,0.0
