Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Jørgensen,Simon Jørgensen,-140165,Skála,Skála,https://cdn5.wyscout.com/photos/team/public/g797_120x120.png,Meistaradeildin,"LW, LWF, CF",LW,48,LWF,20,CF,12,20.0,2005-08-10,0,,11,1079,5,3.69,1,2.19,25.77,41.75,Denmark,['Denmark'],,180,0,False,5.59,5.17,53.23,1.25,33.33,0.0,0.0,0.17,2.84,3.2,0.8300000000000001,1,0.08,0,0.0,4.84,0.42,3,0.25,0.31,0,0.0,27,2.25,22.22,18.519,0.08,1.75,33.33,1.17,42.86,0.5,16.67,0.25,7.59,46.15,17.85,39.25,2.59,2.5,0.58,13.51,1.17,2.75,19.68,69.49,6.59,55.7,3.09,78.38,15.93,74.35,2.09,64.0,21.41,31.08,0.18,1.58,0.08,0.0,0.67,37.5,0.5,3.34,65.0,3.0,52.78,0.92,27.27,1.42,0.58,4.5,64.81,75.95,6.59,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.25,1.17,0.17,0.0,3.34,2,100.0
J. Jacobsen,Jákup Jacobsen,184391,Skála,Skála,https://cdn5.wyscout.com/photos/team/public/g797_120x120.png,Meistaradeildin,"RCB3, RCB",RCB3,86,RCB,13,,0,33.0,1992-11-22,0,,11,1079,0,0.04,0,0.04,11.84,62.68,Faroe Islands,['Faroe Islands'],,0,0,False,9.18,4.67,71.43,2.84,52.94,0.42,0.47000000000000003,0.8300000000000001,5.42,6.11,0.5,3,0.25,0,0.0,0.42,0.0,0,0.0,0.0,0,0.0,1,0.08,100.0,0.0,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.58,57.14,2.5,43.33,0.17,1.5,0.0,29.78,0.5,1.08,48.13,82.15,23.1,72.56,4.0,97.92,39.12,90.62,8.84,46.23,23.45,38.62,0.0,0.17,0.0,0.0,0.0,0.0,0.0,11.59,65.47,1.08,46.15,0.33,25.0,0.33,0.0,11.43,73.72,91.55,17.77,0,,0,,0,0.0,0.0,0.0,,,3.0,,2.84,0.25,0.0,0.0,0.0,0,0.0
D. Obbekjaer,Daniel Obbekjaer,-59039,NSÍ,NSÍ,https://cdn5.wyscout.com/photos/team/public/g800_120x120.png,Meistaradeildin,RCB,RCB,98,,0,,0,23.0,2002-07-16,125000,2026-12-31,11,1068,3,2.8,0,0.0,9.1,66.67,Denmark,['Denmark'],right,194,87,False,6.07,2.7800000000000002,78.79,4.47,66.04,0.17,0.23,0.42,3.71,5.14,0.51,0,0.0,0,0.0,0.93,0.25,3,0.25,0.24,3,0.25,14,1.18,42.86,21.429,0.0,0.17,50.0,0.08,0.0,0.08,100.0,0.0,0.34,100.0,0.93,54.55,1.35,1.77,0.0,51.4,0.51,0.25,68.76,91.54,27.39,83.38,3.2,97.37,60.08,96.49,8.51,57.43,23.27,46.04,0.0,0.0,0.0,0.17,0.0,0.0,0.0,9.94,76.27,1.18,28.57,0.51,16.67,0.25,0.17,12.89,83.01,96.99,33.62,0,,0,,0,0.0,0.0,0.0,,,2.5300000000000002,,4.47,0.0,0.0,0.0,0.0,0,0.0
O. Arntsen,Ola Arntsen,-205524,07 Vestur,07 Vestur,https://cdn5.wyscout.com/photos/team/public/g10597_120x120.png,Meistaradeildin,"LB, CF, LAMF",LB,30,CF,22,LAMF,10,24.0,2002-04-01,0,,11,1066,1,0.74,0,0.44,19.0,43.11,Norway,['Norway'],,178,78,False,8.95,5.32,66.67,2.95,31.43,0.51,0.58,0.25,4.9,5.5600000000000005,1.01,2,0.17,0,0.0,3.8,0.08,1,0.08,0.06,0,0.0,25,2.11,20.0,4.0,0.0,4.22,32.0,2.36,28.57,1.8599999999999999,36.36,0.59,4.22,48.0,8.61,35.29,1.35,1.77,0.0,28.2,1.8599999999999999,0.76,40.19,72.48,13.76,61.35,7.01,95.18,29.8,81.87,6.67,55.7,23.66,43.98,0.04,0.51,0.0,0.0,0.08,0.0,0.08,6.67,58.23,3.46,36.59,0.76,33.33,0.42,1.27,8.02,69.47,73.77,15.45,0,,0,,0,0.0,0.0,0.0,,,0.17,,2.95,1.01,0.25,33.33,0.51,0,0.0
O. Klemensen,Oliver Klemensen Brendstrup Bødker,-192417,07 Vestur,07 Vestur,https://cdn5.wyscout.com/photos/team/public/g10597_120x120.png,Meistaradeildin,"LCB, RCB, CB",LCB,66,RCB,17,CB,15,20.0,2006-03-01,0,,11,1066,0,0.33,0,0.09,16.63,61.42,Denmark,['Denmark'],,0,0,False,11.06,7.35,62.07,3.12,64.86,0.08,0.1,0.93,6.42,7.28,0.93,2,0.17,0,0.0,0.42,0.0,0,0.0,0.03,0,0.0,3,0.25,33.33,0.0,0.0,0.17,100.0,0.08,100.0,0.08,100.0,0.0,0.34,50.0,3.9699999999999998,53.19,0.42,1.44,0.0,34.36,0.42,1.6,48.88,88.26,16.63,75.63,4.64,98.18,42.64,93.86,6.08,48.61,21.94,42.09,0.01,0.08,0.0,0.0,0.0,0.0,0.0,5.83,52.17,0.51,16.67,0.42,20.0,0.25,0.08,6.5,63.64,94.68,23.81,0,,0,,0,0.0,0.0,0.0,,,3.29,,3.12,0.0,0.0,0.0,0.0,0,0.0
P. Knudsen,Petur Knudsen,319279,NSÍ,NSÍ,https://cdn5.wyscout.com/photos/team/public/g800_120x120.png,Meistaradeildin,"LW, LAMF",LW,49,LAMF,46,,0,28.0,1998-04-21,175000,2026-12-31,11,1058,4,4.41,2,2.45,24.07,48.76,Faroe Islands,['Faroe Islands'],right,180,76,False,6.64,5.44,62.5,3.91,43.48,0.0,0.0,0.09,3.23,4.49,1.62,3,0.26,0,0.0,7.06,0.34,4,0.34,0.37,1,0.09,32,2.7199999999999998,46.88,12.5,0.17,5.36,34.92,5.02,32.2,0.26,66.67,1.3599999999999999,6.12,62.5,12.16,51.75,6.64,3.32,0.26,25.18,2.3,1.87,33.94,71.43,6.12,51.39,7.74,94.51,26.46,79.1,2.21,65.38,17.92,31.83,0.21,1.45,0.0,0.0,0.17,50.0,0.6000000000000001,2.89,47.06,4.25,46.0,0.34,50.0,1.19,1.7000000000000002,4.25,80.0,69.48,13.1,0,,0,,0,0.0,0.0,0.0,,,0.17,,3.91,0.43,0.17,100.0,0.43,0,0.0
M. Joensen,Mattias Weihe Joensen,-124370,B36,B36,https://cdn5.wyscout.com/photos/team/public/g796_120x120.png,Meistaradeildin,LCB,LCB,100,,0,,0,23.0,2003-02-15,0,,11,1058,0,0.98,0,0.09,11.14,63.36,Faroe Islands,['Faroe Islands'],left,0,0,False,6.64,3.66,74.42,4.0,59.57,0.0,0.0,0.26,3.91,5.7,0.77,3,0.26,0,0.0,0.09,0.0,0,0.0,0.08,0,0.0,3,0.26,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,1.11,30.77,0.43,1.3599999999999999,0.0,55.89,0.26,0.17,72.65,88.41,24.16,73.94,4.25,94.0,62.52,94.01,10.12,53.78,24.14,42.28,0.01,0.34,0.0,0.0,0.0,0.0,0.0,8.93,60.95,0.85,30.0,0.43,40.0,0.34,0.0,13.1,72.08,97.3,40.92,0,,0,,0,0.0,0.0,0.0,,,3.66,,4.0,0.0,0.0,0.0,0.0,0,0.0
S. Eyðsteinsson,Silas Eyðsteinsson,375145,B36,B36,https://cdn5.wyscout.com/photos/team/public/g796_120x120.png,Meistaradeildin,GK,GK,100,,0,,0,28.0,1998-02-13,25000,,11,1058,0,0.0,0,0.0,0.85,100.0,Faroe Islands,['Faroe Islands'],right,188,0,False,1.79,0.0,0.0,0.68,100.0,0.0,0.0,0.0,1.79,2.6,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.38,0.09,0.26,22.88,87.36,12.16,76.92,0.0,0.0,15.14,98.88,7.74,64.84,28.15,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,62.5,0.09,100.0,0.26,33.33,0.09,0.0,5.95,67.14,99.1,9.44,6,0.51,42,3.5700000000000003,6,85.71,9.97,0.85,3.9699999999999998,0.338,0.0,2.04,0.68,,,,0.0,0,0.0
E. Joensen,Emil Weihe Joensen,-124384,NSÍ,NSÍ,https://cdn5.wyscout.com/photos/team/public/g800_120x120.png,Meistaradeildin,"LCMF, RDMF, RCMF",LCMF,26,RDMF,23,RCMF,18,22.0,2003-11-19,0,,11,1055,2,2.52,0,0.56,20.22,51.05,Faroe Islands,['Faroe Islands'],right,185,76,False,10.41,8.02,59.57,2.39,46.43,0.09,0.12,0.34,5.55,7.68,0.77,2,0.17,0,0.0,1.19,0.17,2,0.17,0.22,1,0.09,18,1.54,27.78,11.111,0.0,0.34,25.0,0.0,0.0,0.34,25.0,0.0,1.19,50.0,6.4,46.67,1.11,1.45,0.17,37.71,0.34,1.71,55.96,89.63,14.93,78.29,8.53,96.0,53.66,91.89,2.05,37.5,17.51,30.39,0.05,0.51,0.0,0.09,0.09,100.0,0.17,8.1,78.95,0.9400000000000001,45.45,0.34,25.0,0.26,0.17,5.8,79.41,94.16,24.82,0,,0,,0,0.0,0.0,0.0,,,0.43,,2.39,0.0,0.0,0.0,0.0,0,0.0
V. Davidsen,Viljormur Davidsen,130087,NSÍ,NSÍ,https://cdn5.wyscout.com/photos/team/public/g800_120x120.png,Meistaradeildin,LCB,LCB,100,,0,,0,34.0,1991-07-19,200000,,11,1054,0,0.15,0,1.73,8.2,53.13,Faroe Islands,['Faroe Islands'],left,177,72,False,4.18,2.65,67.74,2.8200000000000003,54.55,0.09,0.12,0.51,2.31,3.19,0.34,2,0.17,0,0.0,0.17,0.0,0,0.0,0.01,0,0.0,2,0.17,0.0,0.0,0.0,0.6000000000000001,28.57,0.34,25.0,0.26,33.33,0.0,0.0,0.0,0.51,33.33,0.17,1.02,0.0,54.91,0.17,0.09,71.56,92.6,30.65,87.74,1.79,90.48,64.3,96.28,6.75,62.03,22.46,41.66,0.15,0.68,0.09,0.17,0.0,0.0,0.0,11.27,83.33,0.77,22.22,0.17,50.0,0.17,0.17,14.09,88.48,96.49,34.07,0,,0,,0,0.0,0.0,0.0,,,1.02,,2.8200000000000003,0.17,0.0,0.0,1.02,0,0.0
