Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Beltrán,Santiago Beltrán,-406689,River Plate,River Plate,https://cdn5.wyscout.com/photos/team/public/99_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,21.0,2004-10-04,0,2027-12-31,27,2630,0,0.0,0,0.0,0.34,100.0,Argentina,['Argentina'],,190,85,False,1.27,0.1,100.0,0.17,100.0,0.0,0.0,0.0,1.16,2.23,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,9.07,0.24,0.07,15.33,87.5,6.8100000000000005,74.87,0.0,0.0,11.94,98.85,3.35,47.96,28.1,45.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,28.57,0.1,0.0,0.07,50.0,0.0,0.0,2.6,61.84,98.21,7.67,24,0.8200000000000001,88,3.01,9,72.73,24.08,0.8200000000000001,0.08,0.003,0.0,0.89,0.17,,,,0.0,0,0.0
B. Cortés,Brayan Josué Cortés Fernández,255217,Argentinos Juniors,Argentinos Juniors,https://cdn5.wyscout.com/photos/team/public/115_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,31.0,1995-03-11,3000000,2027-12-31,26,2617,0,0.0,0,0.0,0.41000000000000003,83.33,Chile,['Chile'],right,186,90,True,0.8300000000000001,0.07,100.0,0.21,83.33,0.0,0.0,0.0,0.76,1.38,0.0,4,0.14,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.14,75.0,0.0,0.0,0.03,18.26,0.38,0.0,27.03,90.84,11.49,80.84,0.07,50.0,20.26,98.98,6.71,67.18,28.55,50.52,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.27,60.61,0.21,33.33,0.28,75.0,0.07,0.0,4.75,76.81,98.58,14.51,21,0.72,80,2.75,12,73.75,22.56,0.78,1.56,0.054,0.0,1.03,0.21,,,,0.0,0,0.0
T. Cardozo,Thiago Gastón Cardozo Brugman,289952,Belgrano,Belgrano,https://cdn5.wyscout.com/photos/team/public/1088_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,30.0,1996-07-31,800000,2028-12-31,26,2581,0,0.0,0,0.0,0.87,76.0,Uruguay,['Uruguay'],right,182,83,True,1.3599999999999999,0.14,50.0,0.42,91.67,0.03,0.05,0.0,1.26,1.78,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,83.33,0.0,0.0,0.0,10.25,0.21,0.31,18.13,80.96,11.05,69.4,0.03,100.0,9.24,95.85,8.89,65.49,36.68,51.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,60.23,0.24,14.29,0.21,33.33,0.03,0.0,6.45,76.76,99.47,6.59,19,0.66,99,3.45,14,80.81,28.52,0.99,9.52,0.332,0.0,1.53,0.42,,,,0.0,0,0.0
L. Martínez Quarta,Lucas Martínez Quarta,404648,River Plate,River Plate,https://cdn5.wyscout.com/photos/team/public/99_120x120.png,Liga Profesional de Fútbol,RCB,RCB,91,,0,,0,30.0,1996-05-10,0,2028-12-31,26,2570,2,3.83,1,0.43,12.85,62.67,Argentina,"['Argentina', 'Italy']",right,183,78,False,8.93,4.9,75.0,4.34,58.06,0.63,1.2,0.35000000000000003,4.62,8.82,0.88,7,0.25,0,0.0,0.67,0.07,2,0.07,0.13,2,0.07,25,0.88,36.0,8.0,0.04,0.07,50.0,0.0,0.0,0.07,50.0,0.0,0.63,50.0,1.58,53.33,1.09,2.45,0.11,39.71,1.44,0.74,56.0,86.87,24.16,77.83,2.59,94.59,49.66,91.18,6.27,53.07,21.49,41.01,0.02,0.07,0.04,0.04,0.04,0.0,0.04,6.65,74.21,0.39,18.18,0.28,25.0,0.07,0.04,10.26,65.87,94.95,23.57,0,,0,,0,0.0,0.0,0.0,,,1.4,,4.34,0.0,0.0,0.0,0.0,0,0.0
F. Cambeses,Facundo Nicolás Cambeses,434062,Racing Club,Racing Club,https://cdn5.wyscout.com/photos/team/public/132_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,29.0,1997-04-09,0,2027-12-31,25,2504,0,0.0,0,0.0,0.68,84.21,Argentina,"['Argentina', 'Italy']",right,186,85,False,1.22,0.07,50.0,0.36,90.0,0.0,0.0,0.0,1.19,2.01,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,13.84,0.11,0.22,20.95,81.82,11.03,67.75,0.0,0.0,13.44,97.33,7.4,54.85,33.99,51.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,49.45,0.22,33.33,0.14,75.0,0.11,0.0,5.39,74.67,98.04,9.17,28,1.01,104,3.74,8,73.08,28.24,1.02,0.24,0.009000000000000001,0.0,1.19,0.36,,,,0.0,0,0.0
F. Álvarez,Francisco Fabián Álvarez,486704,Argentinos Juniors,Argentinos Juniors,https://cdn5.wyscout.com/photos/team/public/115_120x120.png,Liga Profesional de Fútbol,RCB,RCB,87,,0,,0,26.0,2000-02-26,0,2029-12-31,25,2498,3,1.88,0,0.35000000000000003,15.64,65.9,Argentina,['Argentina'],right,180,72,False,8.9,5.44,76.16,6.59,60.66,0.4,0.72,0.58,4.36,7.93,0.68,8,0.29,0,0.0,0.65,0.11,3,0.11,0.07,3,0.11,23,0.8300000000000001,30.43,13.043,0.0,0.29,25.0,0.0,0.0,0.29,25.0,0.0,0.43,75.0,1.55,62.79,0.9,2.52,0.18,47.81,0.9,0.76,64.89,88.95,24.43,78.32,4.18,95.69,57.39,93.72,7.28,53.47,21.37,42.01,0.01,0.22,0.0,0.0,0.0,0.0,0.11,8.03,70.85,1.08,23.33,0.54,33.33,0.29,0.04,10.66,72.97,95.99,29.62,0,,0,,0,0.0,0.0,0.0,,,2.2,,6.59,0.0,0.0,0.0,0.0,0,0.0
M. Mansilla,Matías Lisandro Mansilla,-90927,Unión Santa Fe,Unión Santa Fe,https://cdn5.wyscout.com/photos/team/public/1086_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,30.0,1996-01-15,0,,25,2463,0,0.0,0,0.62,0.58,81.25,Argentina,['Argentina'],right,192,91,True,0.84,0.04,100.0,0.33,100.0,0.0,0.0,0.0,0.8,1.17,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.0,0.0,0.0,4.82,0.44,0.15,10.78,82.03,7.89,76.85,0.0,0.0,4.79,98.47,5.92,69.75,40.23,51.43,0.02,0.04,0.0,0.0,0.0,0.0,0.04,2.45,76.12,0.04,100.0,0.07,50.0,0.04,0.0,4.93,82.96,97.4,2.81,33,1.21,116,4.24,5,71.55,34.76,1.27,1.76,0.064,0.0,2.27,0.33,,,,0.0,0,0.0
H. Galíndez,Hernán Ismael Galíndez,56569,Huracán,Huracán,https://cdn5.wyscout.com/photos/team/public/112_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,39.0,1987-03-30,350000,2027-12-31,24,2427,0,0.0,0,0.0,0.59,75.0,Argentina,"['Argentina', 'Ecuador']",right,189,93,False,1.04,0.15,75.0,0.22,66.67,0.04,0.06,0.0,0.89,1.38,0.0,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.22,83.33,0.0,0.0,0.0,10.16,0.26,0.15,17.61,84.84,9.57,74.03,0.0,0.0,10.46,99.29,7.16,63.73,35.39,52.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7800000000000002,53.33,0.11,0.0,0.30000000000000004,50.0,0.07,0.0,5.01,77.78,97.63,7.82,21,0.78,83,3.08,10,74.7,26.42,0.98,5.42,0.201,0.0,1.08,0.22,,,,0.0,0,0.0
R. Rey,Rodrigo Francisco Jesús Rey,169059,Independiente,Independiente,https://cdn5.wyscout.com/photos/team/public/101_120x120.png,Liga Profesional de Fútbol,GK,GK,100,,0,,0,35.0,1991-03-08,1800000,2026-12-31,24,2378,0,0.0,0,0.0,0.64,94.12,Argentina,"['Argentina', 'Italy']",right,190,78,False,1.06,0.11,100.0,0.38,100.0,0.0,0.0,0.0,0.9500000000000001,1.49,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,75.0,0.0,0.0,0.0,11.39,0.23,0.26,18.13,82.88,10.29,72.79,0.0,0.0,9.8,97.3,8.33,65.91,33.52,47.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,67.35,0.0,0.0,0.0,0.0,0.0,0.0,6.28,74.1,96.2,6.96,29,1.1,84,3.18,7,65.48,28.37,1.07,-0.63,-0.024,0.0,1.3599999999999999,0.38,,,,0.0,0,0.0
C. Tarragona,Cristian Alberto Tarragona,232021,Unión Santa Fe,Unión Santa Fe,https://cdn5.wyscout.com/photos/team/public/1086_120x120.png,Liga Profesional de Fútbol,CF,CF,98,,0,,0,35.0,1991-04-09,500000,2026-12-31,25,2345,13,9.51,1,1.32,21.45,30.23,Argentina,['Argentina'],right,176,75,False,3.95,3.19,45.78,6.18,29.81,0.27,0.39,0.19,2.23,3.23,1.6099999999999999,4,0.15,0,0.0,2.03,0.5,11,0.42,0.37,3,0.12,61,2.34,50.82,21.311,0.04,0.61,25.0,0.08,0.0,0.54,28.57,0.12,1.19,51.61,8.06,24.76,3.3,0.38,0.0,16.96,2.3,1.3,22.41,77.05,3.91,66.67,6.03,88.54,20.57,79.85,1.38,61.11,14.32,26.84,0.05,0.77,0.08,0.04,0.15,50.0,0.31,2.0,69.23,1.15,56.67,0.19,40.0,1.0,0.04,1.8,74.47,77.14,6.72,0,,0,,0,0.0,0.0,0.0,,,0.04,,6.18,0.04,0.04,0.0,0.04,2,100.0
