Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Dyplin,Kevin Dyplin,-79785,Eskilstuna,Eskilstuna,https://cdn5.wyscout.com/photos/team/public/1630_120x120.png,Ettan,GK,GK,100,,0,,0,26.0,2000-01-23,0,,17,1691,1,0.47000000000000003,0,0.0,0.9,70.59,Sweden,['Sweden'],,0,0,False,1.7000000000000002,0.16,0.0,0.53,80.0,0.05,0.06,0.0,1.65,1.8900000000000001,0.05,1,0.05,0,0.0,0.05,0.05,1,0.05,0.03,0,0.0,1,0.05,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.05,0.0,0.0,13.25,0.27,0.21,22.89,83.26,11.5,70.37,0.05,100.0,15.59,96.93,7.29,54.01,30.13,48.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,47.83,0.16,66.67,0.27,40.0,0.11,0.0,4.84,68.13,96.74,9.79,25,1.33,87,4.63,5,71.26,25.6,1.3599999999999999,0.6000000000000001,0.032,0.0,1.97,0.53,,,,0.0,0,0.0
F. Ededal,Filiph Ededal,-198310,Enköping,Enköping,https://cdn5.wyscout.com/photos/team/public/1636_120x120.png,Ettan,RCB,RCB,99,,0,,0,25.0,2001-06-28,0,,17,1667,1,0.6000000000000001,1,0.37,9.02,60.48,Sweden,['Sweden'],,0,0,False,8.31,4.54,70.24,1.51,35.71,0.16,0.22,0.76,4.97,6.73,0.43,1,0.05,0,0.0,0.16,0.05,1,0.05,0.03,0,0.0,1,0.05,100.0,100.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,50.0,1.73,56.25,0.16,2.48,0.11,52.37,0.38,0.32,67.7,91.07,23.7,82.46,4.43,98.78,60.25,95.25,7.45,57.25,21.35,41.48,0.02,0.05,0.0,0.05,0.05,0.0,0.05,8.53,72.15,0.59,27.27,0.38,42.86,0.11,0.0,11.82,79.0,96.7,34.34,0,,0,,0,0.0,0.0,0.0,,,3.19,,1.51,0.0,0.0,0.0,0.0,0,0.0
M. Croon,Max Stewart Croon,-424513,Gefle,Gefle,https://cdn5.wyscout.com/photos/team/public/652_120x120.png,Ettan,GK,GK,100,,0,,0,20.0,2005-11-26,0,2026-12-31,17,1656,0,0.0,0,0.0,0.8200000000000001,86.67,Sweden,['Sweden'],right,190,78,True,1.6800000000000002,0.11,100.0,0.38,100.0,0.11,0.12,0.0,1.47,1.63,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.11,50.0,0.05,0.0,0.0,13.7,0.22,0.11,25.38,83.3,13.97,71.98,0.05,100.0,14.78,97.43,10.6,63.59,32.79,48.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7199999999999998,50.0,0.33,16.67,0.33,16.67,0.05,0.0,7.88,76.55,96.86,10.38,34,1.85,86,4.67,3,60.47,24.65,1.34,-9.35,-0.508,0.05,1.09,0.38,,,,0.0,0,0.0
A. Hagelberg,Alexander Hagelberg,-90258,FBK Karlstad,FBK Karlstad,https://cdn5.wyscout.com/photos/team/public/g33710_120x120.png,Ettan,LCB3,LCB3,85,,0,,0,25.0,2001-02-27,0,,17,1655,1,1.15,0,0.39,13.92,63.67,Sweden,['Sweden'],,0,0,False,8.86,5.17,65.26,4.13,67.11,0.05,0.06,0.6000000000000001,5.44,5.67,0.6000000000000001,2,0.11,0,0.0,1.3599999999999999,0.05,1,0.05,0.06,1,0.05,14,0.76,64.29,7.143,0.0,0.6000000000000001,45.45,0.54,50.0,0.05,0.0,0.0,0.65,91.67,2.12,64.1,1.3599999999999999,0.44,0.0,22.57,0.05,0.49,39.86,76.4,21.64,68.59,1.79,93.94,29.15,86.75,10.22,47.87,24.67,43.58,0.02,0.33,0.11,0.0,0.0,0.0,0.27,7.94,54.11,1.25,30.43,0.65,25.0,0.54,0.27,11.64,69.63,85.17,12.83,0,,0,,0,0.0,0.0,0.0,,,0.76,,4.13,0.0,0.0,0.0,0.0,0,0.0
B. Kavur,Bekir Kavur,-827746,Piteå,Piteå,https://cdn5.wyscout.com/photos/team/public/g2477_120x120.png,Ettan,"LB, LW",LB,76,LW,13,,0,22.0,2003-11-06,0,,17,1652,1,0.07,2,2.31,10.9,50.0,Sweden,['Sweden'],left,0,0,False,5.5600000000000005,5.01,52.17,1.25,56.52,0.11,0.13,0.27,2.83,3.26,0.65,3,0.16,0,0.0,1.47,0.05,1,0.05,0.0,0,0.0,3,0.16,33.33,33.333,0.11,2.83,34.62,2.56,31.91,0.27,60.0,0.44,0.71,53.85,3.6,46.97,1.04,1.85,0.11,34.87,1.58,1.47,42.66,81.23,14.33,71.48,9.92,95.05,35.9,88.01,4.03,51.35,18.96,37.43,0.13,1.2,0.0,0.0,0.11,50.0,0.49,5.83,65.42,3.38,46.77,0.54,70.0,0.65,0.93,9.1,77.25,82.73,11.99,0,,0,,0,0.0,0.0,0.0,,,1.09,,1.25,0.38,0.05,0.0,1.47,0,0.0
F. Eriksson,Filip Eriksson,406298,Piteå,Piteå,https://cdn5.wyscout.com/photos/team/public/g2477_120x120.png,Ettan,GK,GK,100,,0,,0,27.0,1998-08-25,0,,17,1652,0,0.0,0,0.0,0.71,76.92,Sweden,['Sweden'],right,184,80,False,2.94,0.16,33.33,0.27,80.0,0.0,0.0,0.0,2.89,3.32,0.05,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.05,0.05,0.0,22.23,0.05,0.27,36.5,85.52,19.07,75.71,0.05,100.0,24.46,97.33,11.99,61.82,30.82,50.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,48.0,0.38,14.29,0.22,50.0,0.11,0.0,8.99,73.33,97.25,15.85,35,1.9100000000000001,108,5.88,1,67.59,35.5,1.9300000000000002,0.5,0.027,0.05,1.25,0.27,,,,0.0,0,0.0
E. Torppa,Esaias Torppa,-696036,Vasalund,Vasalund,https://cdn5.wyscout.com/photos/team/public/1743_120x120.png,Ettan,"RDMF, RCMF, LCMF",RDMF,32,RCMF,23,LCMF,14,21.0,2005-04-10,0,,17,1645,0,0.61,0,0.31,24.46,59.73,Sweden,['Sweden'],,0,0,False,12.31,11.11,73.4,2.3,50.0,0.11,0.15,0.22,4.05,5.58,1.09,2,0.11,0,0.0,1.6400000000000001,0.0,0,0.0,0.03,0,0.0,8,0.44,62.5,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,2.08,65.79,8.86,50.62,0.6000000000000001,1.75,0.33,24.84,0.27,2.02,39.56,87.69,11.49,73.33,7.17,96.18,36.71,90.46,2.68,55.1,17.13,41.05,0.02,0.33,0.05,0.0,0.0,0.0,0.11,5.42,72.73,1.04,42.11,0.38,14.29,0.49,0.0,3.99,71.23,94.23,14.22,0,,0,,0,0.0,0.0,0.0,,,0.71,,2.3,0.0,0.0,0.0,0.0,0,0.0
R. Sundgren,Robin Sundgren,-93411,Karlberg,Karlberg,https://cdn5.wyscout.com/photos/team/public/g20845_120x120.png,Ettan,"LCB, RCB",LCB,60,RCB,29,,0,24.0,2002-04-14,0,2026-12-31,17,1644,1,0.93,0,0.51,11.0,62.69,Sweden,['Sweden'],,0,0,False,7.45,5.64,67.96,1.75,40.63,0.11,0.13,0.27,3.5,4.29,0.8200000000000001,2,0.11,0,0.0,0.44,0.05,1,0.05,0.05,0,0.0,12,0.66,8.33,8.333,0.0,0.16,0.0,0.05,0.0,0.11,0.0,0.05,0.55,70.0,2.52,65.22,0.49,1.6400000000000001,0.11,32.68,0.11,1.09,46.75,88.17,19.05,78.74,3.67,97.01,41.28,93.1,5.31,52.58,19.85,37.67,0.03,0.33,0.05,0.0,0.0,0.0,0.16,5.42,71.72,0.55,50.0,0.33,33.33,0.27,0.0,7.94,69.66,95.47,19.32,0,,0,,0,0.0,0.0,0.0,,,2.35,,1.75,0.0,0.0,0.0,0.0,0,0.0
A. Alexandersson,Andreas Alexandersson,-320313,Lund,Lund,https://cdn5.wyscout.com/photos/team/public/g4031_120x120.png,Ettan,GK,GK,100,,0,,0,27.0,1999-05-14,0,,17,1642,0,0.0,0,0.0,0.88,75.0,Sweden,['Sweden'],unknown,0,0,False,2.9,0.16,66.67,0.27,80.0,0.05,0.08,0.0,2.74,3.88,0.05,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.0,0.05,0.0,23.29,0.44,0.44,35.3,80.28,22.97,72.08,0.0,0.0,18.03,98.48,17.05,62.06,38.73,54.47,0.0,0.0,0.0,0.0,0.0,0.0,0.05,8.82,63.35,0.99,33.33,0.49,11.11,0.27,0.0,12.44,80.62,96.15,11.4,22,1.21,69,3.7800000000000002,6,68.12,20.25,1.11,-1.75,-0.096,0.0,1.21,0.27,,,,0.0,0,0.0
B. Veličković,Božidar Veličković,508590,Lund,Lund,https://cdn5.wyscout.com/photos/team/public/g4031_120x120.png,Ettan,LCB,LCB,96,,0,,0,31.0,1995-01-07,0,,17,1642,0,0.2,0,0.91,13.15,64.17,Serbia,['Serbia'],left,187,80,False,8.17,4.38,76.25,3.12,56.14,0.05,0.08,0.49,4.77,6.74,0.44,0,0.0,0,0.0,0.99,0.0,0,0.0,0.01,0,0.0,6,0.33,16.67,0.0,0.0,0.71,53.85,0.49,33.33,0.22,100.0,0.16,0.77,71.43,2.69,46.94,0.71,0.33,0.05,32.01,0.27,0.77,52.84,85.17,19.18,70.0,5.86,98.13,44.78,93.39,7.4,37.78,21.72,39.95,0.05,0.49,0.05,0.0,0.0,0.0,0.0,6.19,58.41,0.88,25.0,0.16,0.0,0.27,0.33,8.11,63.51,93.41,22.47,0,,0,,0,0.0,0.0,0.0,,,4.17,,3.12,0.0,0.0,0.0,0.05,0,0.0
