Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Sonnett,Emily Ann Sonnett,434885,Gotham,Gotham,https://cdn5.wyscout.com/photos/team/public/g8090_120x120.png,NWSL,"RCB, LCB",RCB,64,LCB,33,,0,32.0,1993-11-25,0,,29,2989,0,1.67,0,0.28,9.39,54.17,United States,['United States'],right,170,0,False,6.02,4.4,64.38,1.87,37.1,0.12,0.19,0.33,3.07,4.8,1.02,7,0.21,0,0.0,0.21,0.0,0,0.0,0.05,0,0.0,6,0.18,16.67,0.0,0.0,0.12,50.0,0.03,100.0,0.09,33.33,0.0,0.18,66.67,1.57,48.08,0.51,0.84,0.0,34.08,0.18,0.72,48.87,88.85,16.2,76.39,3.76,98.4,44.95,92.57,3.8200000000000003,46.46,18.53,29.55,0.01,0.12,0.03,0.0,0.0,0.0,0.06,4.43,65.99,0.54,33.33,0.27,22.22,0.15,0.03,5.72,60.0,95.64,24.15,0,,0,,0,0.0,0.0,0.0,,,2.8,,1.87,0.03,0.0,0.0,0.0,0,0.0
J. Howell,Jaelin Marie Howell,463770,Gotham,Gotham,https://cdn5.wyscout.com/photos/team/public/g8090_120x120.png,NWSL,"DMF, LCMF, RDMF",DMF,33,LCMF,20,RDMF,16,26.0,1999-11-21,0,,28,2875,4,2.59,1,0.5700000000000001,19.35,56.47,United States,['United States'],right,170,0,False,9.17,6.86,63.01,4.23,64.44,0.31,0.49,0.28,4.54,7.08,1.53,6,0.19,1,0.03,1.22,0.13,4,0.13,0.08,0,0.0,35,1.1,25.71,11.429,0.03,0.63,25.0,0.06,0.0,0.53,29.41,0.09,1.31,57.14,6.04,47.15,1.28,0.91,0.03,25.17,0.53,2.03,37.13,85.16,9.92,70.35,7.11,96.92,34.0,88.67,2.5700000000000003,52.44,17.48,32.05,0.02,0.16,0.0,0.0,0.09,33.33,0.09,4.19,61.19,0.75,54.17,0.28,11.11,0.41000000000000003,0.16,4.01,53.91,91.93,14.74,0,,0,,0,0.0,0.0,0.0,,,1.16,,4.23,0.0,0.0,0.0,0.0,0,0.0
A. Kingsbury,Aubrey Renee Kingsbury Bledsoe,359435,Washington Spirit,Washington Spirit,https://cdn5.wyscout.com/photos/team/public/g24154_120x120.png,NWSL,GK,GK,100,,0,,0,34.0,1991-11-20,0,,28,2868,0,0.0,0,0.0,0.6000000000000001,100.0,United States,['United States'],right,175,0,False,1.79,0.06,100.0,0.31,100.0,0.0,0.0,0.0,1.73,2.66,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,11.61,0.03,0.22,20.27,91.95,6.84,81.65,0.0,0.0,16.66,98.87,3.55,61.06,22.42,36.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,16.67,0.0,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,53.66,97.46,11.14,31,0.97,118,3.7,9,73.73,34.01,1.07,3.01,0.094,0.0,1.1,0.31,,,,0.0,0,0.0
K. Dali,Kenza Dali,109723,San Diego Wave,San Diego Wave,https://cdn5.wyscout.com/photos/team/public/g-15384_120x120.png,NWSL,"LDMF, RDMF, RCMF3",LDMF,39,RDMF,14,RCMF3,14,34.0,1991-07-31,0,,27,2748,5,3.5,2,6.38,11.2,42.11,France,['France'],right,165,62,False,4.59,3.47,55.66,0.62,57.89,0.07,0.1,0.03,2.59,4.09,0.75,2,0.07,0,0.0,2.65,0.16,5,0.16,0.11,0,0.0,54,1.77,37.04,9.259,0.07,2.16,53.03,0.46,42.86,1.67,54.9,0.62,1.4100000000000001,51.16,5.86,31.28,1.31,3.14,0.88,41.56,0.52,0.26,56.56,85.58,15.92,75.51,13.0,95.72,51.52,88.68,2.91,55.06,15.81,30.77,0.21,1.47,0.07,0.0,0.33,40.0,0.36,6.29,76.04,3.96,63.64,0.62,42.11,1.6400000000000001,1.11,7.11,75.12,88.4,17.23,0,,0,,0,0.0,0.0,0.0,,,1.44,,0.62,1.11,0.16,40.0,3.2800000000000002,0,0.0
S. Coffey,Samantha Grace Coffey,-179402,Portland Thorns,Portland Thorns,https://cdn5.wyscout.com/photos/team/public/g24152_120x120.png,NWSL,"RDMF, DMF, LDMF",RDMF,33,DMF,28,LDMF,19,26.0,1998-12-31,0,,27,2739,2,3.36,4,2.91,11.99,53.42,United States,['United States'],,168,0,False,8.38,5.52,64.88,0.89,40.74,0.07,0.08,0.30000000000000004,4.73,6.08,1.08,4,0.13,0,0.0,1.25,0.07,0,0.0,0.11,0,0.0,25,0.8200000000000001,20.0,8.0,0.13,0.56,41.18,0.26,25.0,0.23,57.14,0.07,1.31,62.5,4.27,43.85,0.72,1.28,0.07,24.64,0.07,0.6900000000000001,39.27,84.1,13.83,72.92,7.1,96.76,34.57,88.59,4.21,51.56,17.66,35.84,0.1,0.99,0.0,0.03,0.07,50.0,0.30000000000000004,5.98,74.73,2.0,57.38,0.53,37.5,1.05,0.23,6.83,72.6,86.65,11.57,0,,0,,0,0.0,0.0,0.0,,,0.79,,0.89,0.49,0.0,0.0,0.66,3,66.667
T. McKeown,Tara Mckeown,-56418,Washington Spirit,Washington Spirit,https://cdn5.wyscout.com/photos/team/public/g24154_120x120.png,NWSL,"RCB, LCB, CB",RCB,41,LCB,21,CB,13,26.0,1999-07-02,0,,28,2728,0,0.72,2,1.54,11.48,62.93,United States,['United States'],,174,0,False,9.34,4.95,72.0,2.11,54.69,0.26,0.4,0.66,5.51,8.45,0.56,3,0.1,0,0.0,0.66,0.0,0,0.0,0.02,0,0.0,9,0.30000000000000004,0.0,0.0,0.07,0.46,50.0,0.16,60.0,0.26,50.0,0.13,0.6900000000000001,61.9,2.9699999999999998,54.44,0.66,1.19,0.23,31.37,0.13,0.76,46.62,81.67,20.12,69.18,1.78,90.74,40.45,88.01,5.71,39.31,19.16,34.21,0.05,0.23,0.0,0.0,0.03,0.0,0.16,5.67,64.53,0.99,36.67,0.49,26.67,0.23,0.23,8.78,56.77,94.83,19.13,0,,0,,0,0.0,0.0,0.0,,,1.15,,2.11,0.03,0.0,0.0,0.0,0,0.0
A. Moorhouse,Anna Moorhouse,349733,Orlando Pride,Orlando Pride,https://cdn5.wyscout.com/photos/team/public/g35889_120x120.png,NWSL,GK,GK,100,,0,,0,30.0,1995-03-30,0,,27,2713,0,0.0,0,0.0,0.73,68.18,England,['England'],,185,0,False,1.8900000000000001,0.13,100.0,0.4,66.67,0.0,0.0,0.0,1.76,2.5300000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.1,66.67,0.0,0.0,0.0,8.63,0.2,0.13,14.0,85.31,6.9,73.08,0.0,0.0,9.55,95.83,4.45,62.69,26.93,37.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,62.96,0.0,0.0,0.0,0.0,0.0,0.0,3.35,65.35,97.33,6.2,27,0.9,106,3.52,8,74.53,30.33,1.01,3.33,0.11,0.0,1.46,0.4,,,,0.0,0,0.0
R. Reyes,Reyna Rene Reyes Stubblefield,463593,Portland Thorns,Portland Thorns,https://cdn5.wyscout.com/photos/team/public/g24152_120x120.png,NWSL,LB,LB,84,,0,,0,24.0,2001-02-16,0,,28,2700,3,1.83,1,0.99,16.2,54.53,Mexico,['Mexico'],,0,0,False,8.63,6.37,63.87,2.27,52.94,0.33,0.43,0.23,4.23,5.45,1.07,4,0.13,0,0.0,1.57,0.1,3,0.1,0.06,1,0.03,12,0.4,66.67,25.0,0.03,0.9,44.44,0.8300000000000001,44.0,0.03,100.0,0.23,1.37,65.85,5.77,47.98,1.37,1.57,0.2,22.1,1.97,1.33,32.6,77.51,15.07,66.15,6.67,96.5,28.43,84.06,3.27,29.59,16.76,30.07,0.03,0.37,0.03,0.03,0.0,0.0,0.2,3.8,57.02,1.17,48.57,0.17,0.0,0.27,0.47000000000000003,6.97,55.98,82.2,6.37,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,2.27,0.0,0.0,0.0,0.0,0,0.0
C. Dickey,Claudia Dickey,520498,Seattle Reign FC,Seattle Reign FC,https://cdn5.wyscout.com/photos/team/public/g24153_120x120.png,NWSL,GK,GK,100,,0,,0,25.0,2000-01-06,0,,27,2692,0,0.0,0,0.0,0.43,92.31,United States,['United States'],,177,0,False,0.9,0.03,100.0,0.30000000000000004,100.0,0.0,0.0,0.0,0.87,1.04,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.67,0.0,0.0,0.0,18.62,0.07,0.1,27.11,84.83,12.4,69.54,0.0,0.0,18.99,99.47,8.12,50.62,25.77,43.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,31.91,0.13,0.0,0.07,0.0,0.0,0.0,5.58,58.08,97.42,12.97,31,1.04,122,4.08,7,74.59,38.34,1.28,7.34,0.245,0.0,0.97,0.30000000000000004,,,,0.0,0,0.0
Emily Madril,Emily Madril Sams,-201063,Orlando Pride,Orlando Pride,https://cdn5.wyscout.com/photos/team/public/g35889_120x120.png,NWSL,"RCB, RB, RCB3",RCB,68,RB,17,RCB3,12,26.0,1999-07-01,0,,27,2692,0,0.09,0,0.34,9.63,65.97,United States,['United States'],,170,0,False,8.29,5.15,74.68,1.3,58.97,0.17,0.24,0.53,4.28,6.18,0.43,2,0.07,0,0.0,0.5,0.0,0,0.0,0.0,0,0.0,2,0.07,50.0,0.0,0.0,0.47000000000000003,42.86,0.0,0.0,0.47000000000000003,42.86,0.13,0.30000000000000004,88.89,2.17,55.38,0.2,1.54,0.03,35.17,0.74,1.04,51.22,88.05,21.03,78.86,3.95,95.76,45.64,92.01,5.12,56.86,20.16,35.82,0.01,0.17,0.03,0.07,0.0,0.0,0.03,6.82,74.51,0.8,33.33,0.23,14.29,0.1,0.27,8.93,71.16,96.02,22.67,0,,0,,0,0.0,0.0,0.0,,,1.77,,1.3,0.0,0.0,0.0,0.0,0,0.0
