Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Oleksyuk,Ksenia Oleksyuk,-195483,Chertanovo,Chertanovo,https://cdn5.wyscout.com/photos/team/public/g6098_120x120.png,Russian Super League,LCB,LCB,92,,0,,0,22.0,2003-03-22,0,,24,2265,1,2.16,1,0.32,12.28,56.96,Russia,['Russia'],right,165,57,False,9.14,4.33,70.64,3.54,56.18,0.12,0.17,0.91,5.96,8.57,0.36,3,0.12,0,0.0,0.48,0.04,1,0.04,0.09,1,0.04,19,0.75,15.79,5.263,0.04,0.36,11.11,0.28,14.29,0.04,0.0,0.08,0.48,66.67,2.34,50.85,0.56,0.6000000000000001,0.04,21.06,0.28,1.19,37.75,78.42,17.05,64.8,3.38,96.47,29.88,86.57,7.51,49.21,22.62,38.59,0.01,0.12,0.0,0.08,0.0,0.0,0.0,5.52,57.55,1.19,26.67,0.32,50.0,0.36,0.12,8.34,58.1,90.78,13.79,0,,0,,0,0.0,0.0,0.0,,,2.46,,3.54,1.15,0.16,0.0,0.12,0,0
T. Krasnova,Tatiana Krasnova,175485,Rostov,Rostov,https://cdn5.wyscout.com/photos/team/public/g-13842_120x120.png,Russian Super League,"RW, RAMF, LW",RW,30,RAMF,25,LW,13,30.0,1995-06-27,0,,24,2236,2,3.52,0,1.83,17.83,43.57,Belarus,['Belarus'],,0,0,False,8.17,4.91,73.77,1.97,12.24,0.68,0.85,0.04,3.86,4.82,0.28,0,0.0,0,0.0,3.58,0.08,2,0.08,0.14,0,0.0,36,1.45,44.44,5.556,0.0,2.94,31.51,0.48,33.33,2.42,31.67,0.4,3.94,51.02,8.86,39.09,1.69,2.01,0.72,11.71,1.9300000000000002,1.33,19.0,59.53,7.04,57.14,2.7,83.58,14.17,68.18,1.8900000000000001,38.3,18.25,23.77,0.07,0.64,0.0,0.0,0.04,0.0,0.24,2.01,66.0,2.17,44.44,0.08,50.0,0.32,1.05,4.75,56.78,58.97,4.71,0,,0,,0,0.0,0.0,0.0,,,0.12,,1.97,0.0,0.0,0.0,0.0,0,0
E. Ziyastinova,Elvira Ziyastinova,79066,Ryazan,Ryazan,https://cdn5.wyscout.com/photos/team/public/g6099_120x120.png,Russian Super League,LB,LB,100,,0,,0,34.0,1991-02-13,0,,24,2225,0,0.30000000000000004,3,1.6600000000000001,13.47,57.06,Russia,['Russia'],,158,53,False,9.95,8.17,65.35,1.62,42.5,0.0,0.0,0.08,4.61,6.12,0.36,0,0.0,0,0.0,0.93,0.0,0,0.0,0.01,0,0.0,7,0.28,28.57,0.0,0.12,1.13,42.86,1.13,42.86,0.0,0.0,0.12,0.49,75.0,2.14,45.28,0.36,0.89,0.04,10.96,0.36,0.53,23.34,58.75,16.34,55.69,1.62,85.0,15.41,66.67,6.8,43.45,21.7,31.05,0.07,0.53,0.0,0.0,0.04,0.0,0.28,5.58,55.8,2.02,42.0,0.5700000000000001,21.43,0.53,0.49,8.25,66.67,62.35,3.44,0,,0,,0,0.0,0.0,0.0,,,0.44,,1.62,0.08,0.0,0.0,0.16,0,0
Y. Sholgina,Yana Sholgina,-177923,Rubin,Rubin,https://cdn5.wyscout.com/photos/team/public/g-13843_120x120.png,Russian Super League,"RCB3, CB",RCB3,41,CB,36,,0,22.0,2003-04-10,0,,23,2203,0,1.76,0,0.04,11.52,58.87,Russia,['Russia'],,0,0,False,11.89,5.23,67.19,2.5700000000000003,61.9,0.08,0.13,1.18,8.29,13.21,0.49,3,0.12,0,0.0,0.65,0.0,0,0.0,0.07,0,0.0,8,0.33,50.0,0.0,0.0,0.33,12.5,0.0,0.0,0.33,12.5,0.04,0.78,57.89,2.21,50.0,0.53,1.06,0.0,34.85,0.16,0.29,56.34,80.35,26.35,69.77,2.5300000000000002,95.16,50.29,84.97,5.76,43.26,18.71,31.76,0.0,0.04,0.04,0.0,0.0,0.0,0.0,6.09,65.77,0.74,33.33,0.12,33.33,0.04,0.08,12.09,56.08,92.48,20.63,0,,0,,0,0.0,0.0,0.0,,,1.51,,2.5700000000000003,0.08,0.0,0.0,0.16,0,0
K. Shakhova,Ksenia Shakhova,402039,Zvezda 2005,Zvezda 2005,https://cdn5.wyscout.com/photos/team/public/g6592_120x120.png,Russian Super League,"DMF, LCB",DMF,49,LCB,21,,0,28.0,1997-07-16,0,,24,2138,1,0.43,0,0.18,16.25,56.48,Russia,['Russia'],,0,0,False,14.99,8.25,71.94,1.85,40.91,0.76,0.91,0.8,8.29,9.97,1.05,2,0.08,0,0.0,0.8,0.04,1,0.04,0.02,0,0.0,23,0.97,26.09,4.348,0.0,0.67,31.25,0.34,12.5,0.29,42.86,0.13,0.84,40.0,3.41,33.33,0.46,0.34,0.08,16.5,0.46,0.51,34.64,64.03,18.4,53.09,3.37,81.25,25.17,75.08,8.84,35.24,19.99,32.59,0.01,0.17,0.0,0.0,0.0,0.0,0.04,6.9,48.17,1.22,34.48,0.72,11.76,0.25,0.25,9.68,48.7,80.0,7.79,0,,0,,0,0.0,0.0,0.0,,,0.25,,1.85,0.59,0.04,100.0,0.29,0,0
K. Alpatova,Kseniya Alpatova,485029,Rubin,Rubin,https://cdn5.wyscout.com/photos/team/public/g-13843_120x120.png,Russian Super League,AMF,AMF,52,,0,,0,26.0,1999-08-19,0,,23,2124,2,3.24,1,2.19,16.27,40.36,Russia,['Russia'],,0,0,False,5.93,5.59,56.06,0.68,12.5,0.17,0.27,0.0,2.63,4.16,1.06,1,0.04,0,0.0,2.46,0.08,2,0.08,0.14,0,0.0,44,1.8599999999999999,31.82,4.545,0.04,1.65,33.33,0.64,26.67,0.97,39.13,0.30000000000000004,1.82,65.12,8.05,34.21,1.65,1.48,0.55,27.92,1.44,1.27,38.09,75.08,13.05,61.04,9.32,94.09,32.58,80.49,3.86,47.25,17.61,31.0,0.09,1.1,0.13,0.0,0.13,100.0,0.34,5.8100000000000005,56.93,2.8,51.52,0.25,66.67,1.1400000000000001,0.55,6.19,72.6,75.0,9.83,0,,0,,0,0.0,0.0,0.0,,,0.21,,0.68,0.38,0.0,0.0,0.04,0,0
A. Mager,Anastasia Mager,-292779,Zvezda 2005,Zvezda 2005,https://cdn5.wyscout.com/photos/team/public/g6592_120x120.png,Russian Super League,"RB, RCMF, RCMF3",RB,23,RCMF,13,RCMF3,12,19.0,2006-01-31,0,,23,2106,0,0.65,0,0.42,22.18,50.29,Belarus,['Belarus'],unknown,0,0,False,12.31,11.2,62.98,3.55,46.99,0.47000000000000003,0.5700000000000001,0.34,4.79,5.82,2.22,5,0.21,0,0.0,1.4100000000000001,0.0,0,0.0,0.03,0,0.0,23,0.98,30.43,0.0,0.0,1.28,40.0,0.17,75.0,1.07,36.0,0.26,1.37,43.75,4.4,27.18,0.51,0.9,0.30000000000000004,16.62,0.85,0.17,29.83,66.33,13.08,54.25,4.83,91.15,22.82,73.78,5.8100000000000005,42.65,18.86,25.9,0.02,0.26,0.0,0.04,0.04,0.0,0.09,4.49,50.48,1.32,45.16,0.17,25.0,0.21,0.43,7.78,50.0,69.89,7.95,0,,0,,0,0.0,0.0,0.0,,,0.51,,3.55,0.09,0.04,0.0,0.04,0,0
V. Isaykina,Violetta Isaykina,-255453,Chertanovo,Chertanovo,https://cdn5.wyscout.com/photos/team/public/g6098_120x120.png,Russian Super League,GK,GK,100,,0,,0,21.0,2004-04-23,0,,22,2102,0,0.0,0,0.0,0.6900000000000001,87.5,Russia,['Russia'],,0,0,False,1.4100000000000001,0.09,50.0,0.51,91.67,0.0,0.0,0.0,1.37,1.98,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,12.33,0.17,0.17,20.64,86.72,9.03,77.25,0.04,100.0,14.26,96.7,6.38,64.43,26.34,36.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,48.91,94.05,10.79,28,1.2,121,5.18,7,76.86,30.63,1.31,2.63,0.113,0.0,0.81,0.51,,,,0.0,0,0
K. Petukhova,Kira Petukhova,-328882,Chertanovo,Chertanovo,https://cdn5.wyscout.com/photos/team/public/g6098_120x120.png,Russian Super League,CF,CF,94,,0,,0,19.0,2006-05-24,0,,24,2095,11,9.2,1,1.04,18.21,42.92,Russia,['Russia'],unknown,0,0,False,2.79,2.36,69.09,3.35,52.56,0.09,0.12,0.13,1.07,1.52,0.64,1,0.04,0,0.0,2.41,0.47000000000000003,11,0.47000000000000003,0.4,3,0.13,36,1.55,50.0,30.556,0.04,0.64,33.33,0.09,50.0,0.47000000000000003,27.27,0.09,2.79,50.77,9.88,36.96,2.88,1.29,0.34,7.0,2.5300000000000002,1.8,12.03,76.07,1.6800000000000002,58.97,4.68,84.4,11.17,79.23,0.39,55.56,15.6,9.17,0.04,0.56,0.0,0.0,0.0,0.0,0.17,0.6900000000000001,62.5,0.47000000000000003,63.64,0.0,0.0,0.30000000000000004,0.09,1.03,45.83,70.15,2.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.35,0.0,0.0,0.0,0.0,0,0
T. Morina,Tatyana Morina,-195485,Ryazan,Ryazan,https://cdn5.wyscout.com/photos/team/public/g6099_120x120.png,Russian Super League,CF,CF,100,,0,,0,32.0,1993-07-09,0,,23,2094,14,11.51,3,2.05,25.44,38.01,Russia,['Russia'],,174,0,False,3.83,3.44,57.5,5.85,30.88,0.04,0.06,0.04,1.81,2.4,1.38,3,0.13,0,0.0,4.04,0.6000000000000001,14,0.6000000000000001,0.49,5,0.21,79,3.4,45.57,17.722,0.13,0.99,34.78,0.13,66.67,0.77,33.33,0.13,3.5700000000000003,59.04,13.28,36.25,4.73,1.33,0.17,9.15,2.75,1.63,14.74,65.6,3.61,50.0,3.48,86.42,12.98,68.87,0.86,50.0,15.14,18.93,0.09,0.73,0.0,0.04,0.09,50.0,0.26,2.23,53.85,1.46,41.18,0.13,33.33,0.6900000000000001,0.39,2.32,79.63,61.9,4.51,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.85,0.0,0.0,0.0,0.0,0,0
