Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Húdok,Alex Húdok,-383381,Šamorín,Šamorín,https://cdn5.wyscout.com/photos/team/public/g16253_120x120.png,2. liga,GK,GK,100,,0,,0,20.0,2006-05-06,0,2028-06-30,6,574,0,0.0,0,0.0,0.0,0.0,Slovakia,['Slovakia'],,193,85,True,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,0.68,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.52,0.31,0.0,24.93,82.39,11.6,67.57,0.0,0.0,16.78,100.0,8.15,46.15,30.9,49.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,50.0,0.31,0.0,0.0,0.0,0.0,0.0,6.11,48.72,96.15,12.23,6,0.9400000000000001,22,3.45,1,72.73,7.94,1.25,1.94,0.304,0.0,1.1,0.0,,,,0.0,0,0
A. Avetisyan,Abov Avetisyan,-188627,Šamorín,Šamorín,https://cdn5.wyscout.com/photos/team/public/g16253_120x120.png,2. liga,"DMF, RCB",DMF,56,RCB,37,,0,24.0,2001-10-03,100000,2027-06-30,6,574,2,0.6000000000000001,0,0.17,10.19,61.54,Ukraine,"['Ukraine', 'Armenia']",right,185,0,False,8.94,5.64,61.11,2.04,61.54,0.16,0.23,0.63,5.33,7.73,1.72,0,0.0,0,0.0,1.1,0.31,2,0.31,0.09,1,0.16,4,0.63,75.0,50.0,0.0,0.31,50.0,0.0,0.0,0.16,100.0,0.0,0.78,60.0,2.2,57.14,1.25,0.63,0.31,24.93,0.16,0.78,36.85,82.55,15.84,73.27,4.08,96.15,32.46,86.96,4.08,50.0,19.69,36.96,0.03,0.47000000000000003,0.0,0.0,0.0,0.0,0.31,4.23,70.37,0.9400000000000001,50.0,0.0,0.0,0.31,0.16,6.11,51.28,93.1,13.64,0,,0,,0,0.0,0.0,0.0,,,1.25,,2.04,0.0,0.0,0.0,0.0,0,0
A. Konan,Arnaud Konan,-125984,Šamorín,Šamorín,https://cdn5.wyscout.com/photos/team/public/g16253_120x120.png,2. liga,LCB,LCB,96,,0,,0,26.0,2000-05-15,0,,6,574,1,0.53,1,0.33,10.51,61.19,Mali,['Mali'],left,170,65,False,7.53,4.39,42.86,3.61,82.61,0.0,0.0,0.16,5.64,8.18,1.72,2,0.31,0,0.0,0.16,0.16,1,0.16,0.08,1,0.16,2,0.31,50.0,50.0,0.16,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.16,0.0,1.88,75.0,0.63,0.31,0.0,27.75,0.16,1.25,47.82,82.3,20.38,66.15,2.04,100.0,41.08,88.17,6.59,47.62,22.2,45.01,0.05,0.16,0.0,0.0,0.0,0.0,0.16,6.27,70.0,0.31,0.0,0.0,0.0,0.16,0.0,8.0,49.02,96.99,20.85,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,3.61,0.31,0.0,0.0,0.0,0,0
D. Balog,Dominik Balog,-462274,Slovan Bratislava II,Slovan Bratislava II,https://cdn5.wyscout.com/photos/team/public/g7891_120x120.png,2. liga,LCB,LCB,98,,0,,0,19.0,2007-04-04,0,,6,573,1,1.04,0,0.64,10.68,70.59,Slovakia,['Slovakia'],left,0,0,False,8.32,4.24,59.26,5.65,77.78,0.31,0.49,0.63,5.5,8.61,0.79,3,0.47000000000000003,0,0.0,0.47000000000000003,0.16,1,0.16,0.16,1,0.16,7,1.1,14.29,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.63,75.0,1.57,1.57,0.0,47.75,1.1,0.63,67.85,85.65,22.62,67.36,4.71,96.67,61.1,91.52,6.75,32.56,22.53,47.48,0.1,0.31,0.0,0.0,0.0,0.0,0.16,8.17,44.23,1.1,14.29,0.0,0.0,0.63,0.0,8.32,56.6,96.05,35.81,0,,0,,0,0.0,0.0,0.0,,,3.3,,5.65,0.0,0.0,0.0,0.0,0,0
R. Buhaj,Roland Buhaj,-420281,Zlaté Moravce,Zlaté Moravce,https://cdn5.wyscout.com/photos/team/public/1296_120x120.png,2. liga,"RCB, RCB3",RCB,67,RCB3,27,,0,21.0,2004-11-30,0,,6,573,0,1.52,0,0.0,14.92,56.84,Slovakia,['Slovakia'],unknown,0,0,False,7.85,3.93,60.0,4.87,54.84,0.16,0.28,0.63,5.34,9.36,0.9400000000000001,2,0.31,0,0.0,2.36,0.0,0,0.0,0.24,0,0.0,13,2.04,38.46,0.0,0.0,0.16,100.0,0.0,0.0,0.16,100.0,0.0,1.73,81.82,5.03,59.38,2.36,1.57,0.31,38.64,0.47000000000000003,1.73,55.92,85.11,23.72,74.83,4.71,96.67,50.58,90.06,5.18,36.36,18.82,35.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42,65.0,1.4100000000000001,66.67,0.16,0.0,0.63,0.16,9.42,73.33,92.31,20.42,0,,0,,0,0.0,0.0,0.0,,,1.26,,4.87,0.0,0.0,0.0,0.0,0,0
P. Vasil,Patrik Vasil,-152179,Zlaté Moravce,Zlaté Moravce,https://cdn5.wyscout.com/photos/team/public/1296_120x120.png,2. liga,GK,GK,100,,0,,0,21.0,2004-12-05,0,2028-06-30,6,573,0,0.0,0,0.0,0.47000000000000003,100.0,Slovakia,['Slovakia'],,190,0,True,0.9400000000000001,0.16,100.0,0.0,0.0,0.0,0.0,0.0,0.79,1.38,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.0,0.0,0.0,16.18,0.16,0.31,28.74,84.7,12.72,71.6,0.0,0.0,21.99,97.14,6.75,44.19,26.84,42.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,21.43,0.0,0.0,0.16,0.0,0.0,0.0,4.71,50.0,94.68,14.76,7,1.1,26,4.08,2,73.08,7.17,1.13,0.17,0.027,0.0,1.1,0.0,,,,0.0,0,0
M. Weber,Marian Weber,-420346,Šamorín,Šamorín,https://cdn5.wyscout.com/photos/team/public/g16253_120x120.png,2. liga,LB,LB,90,,0,,0,20.0,2005-09-25,0,,6,572,0,0.45,1,0.9,14.95,58.95,Slovakia,['Slovakia'],unknown,0,0,False,8.5,6.45,63.41,1.1,57.14,0.16,0.23,0.0,4.25,6.14,0.9400000000000001,1,0.16,0,0.0,3.15,0.0,0,0.0,0.07,0,0.0,6,0.9400000000000001,16.67,0.0,0.16,1.8900000000000001,58.33,1.73,63.64,0.16,0.0,0.0,2.83,66.67,6.14,56.41,1.1,2.05,0.16,20.93,1.73,1.57,32.41,73.3,14.32,68.13,5.51,88.57,25.96,79.39,4.5600000000000005,44.83,18.88,42.13,0.14,1.42,0.16,0.0,0.0,0.0,0.47000000000000003,4.5600000000000005,55.17,2.99,52.63,0.0,0.0,0.79,1.1,7.71,71.43,68.09,7.4,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.1,0.63,0.16,100.0,1.42,0,0
M. Mynář,Michal Mynář,-294251,Považská Bystrica,Považská Bystrica,https://cdn5.wyscout.com/photos/team/public/g19095_120x120.png,2. liga,"RCB3, LCB3, RCB",RCB3,45,LCB3,23,RCB,16,22.0,2004-02-06,0,2028-06-30,6,572,2,0.59,1,0.31,11.49,54.79,Slovakia,['Slovakia'],,185,78,True,7.71,4.72,66.67,3.3,33.33,0.16,0.19,1.42,4.41,5.28,1.1,2,0.31,0,0.0,0.63,0.31,2,0.31,0.09,2,0.31,4,0.63,50.0,50.0,0.16,0.63,25.0,0.63,25.0,0.0,0.0,0.0,0.16,100.0,1.73,63.64,0.47000000000000003,0.63,0.0,20.45,0.63,1.42,34.46,82.19,14.0,68.54,3.46,86.36,30.21,88.54,3.62,39.13,19.47,39.01,0.05,0.31,0.0,0.16,0.0,0.0,0.31,2.67,82.35,0.79,40.0,0.0,0.0,0.16,0.16,6.29,57.5,93.9,12.9,0,,0,,0,0.0,0.0,0.0,,,1.57,,3.3,0.0,0.0,0.0,0.0,0,0
M. Sipľak,Michal Sipľak,318999,Tatran Prešov,Tatran Prešov,https://cdn5.wyscout.com/photos/team/public/1294_120x120.png,2. liga,"LCB, LCB3, LB",LCB,49,LCB3,38,LB,11,30.0,1996-02-02,300000,2027-06-30,6,571,0,1.09,0,0.58,10.88,60.87,Slovakia,['Slovakia'],left,184,80,False,9.46,5.04,75.0,3.63,56.52,0.16,0.22,0.9500000000000001,5.52,7.55,1.42,1,0.16,0,0.0,0.79,0.0,0,0.0,0.17,0,0.0,5,0.79,0.0,0.0,0.0,1.58,50.0,1.42,44.44,0.16,100.0,0.16,0.0,0.0,0.79,20.0,0.32,1.42,0.16,48.7,0.63,0.32,61.31,85.86,28.06,75.84,4.73,96.67,53.59,91.76,6.3,45.0,20.5,39.92,0.09,0.47000000000000003,0.32,0.0,0.0,0.0,0.32,9.77,70.97,2.52,37.5,0.32,0.0,0.16,0.63,14.03,77.53,95.97,23.49,0,,0,,0,0.0,0.0,0.0,,,1.42,,3.63,0.63,0.16,0.0,1.8900000000000001,1,0
J. Menich,Jozef Menich,353677,Tatran Prešov,Tatran Prešov,https://cdn5.wyscout.com/photos/team/public/1294_120x120.png,2. liga,"RCB, CB, LCB",RCB,49,CB,38,LCB,11,31.0,1994-09-15,200000,2027-06-30,6,571,0,0.48,1,0.0,8.83,62.5,Slovakia,['Slovakia'],right,184,81,False,8.2,3.31,66.67,3.15,70.0,0.32,0.43,0.47000000000000003,5.67,7.77,0.32,0,0.0,0,0.0,0.0,0.0,0,0.0,0.08,0,0.0,2,0.32,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,0.0,0.79,40.0,0.63,0.16,0.16,35.62,0.16,0.63,51.54,91.74,17.65,83.04,3.7800000000000002,87.5,48.39,93.81,2.99,63.16,19.67,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,78.95,0.32,50.0,0.0,0.0,0.32,0.0,5.99,71.05,95.88,26.8,0,,0,,0,0.0,0.0,0.0,,,1.73,,3.15,0.0,0.0,0.0,0.16,0,0
