Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Locke,Brandon  Locke,-461394,Ramsgate,Western Washington Vikings,https://cdn5.wyscout.com/photos/team/public/g4898_120x120.png,Non League Premier,GK,GK,100,,0,,0,,,0,,12,1171,0,0.0,0,0.0,0.85,90.91,United States,['United States'],,190,0,False,2.84,0.0,0.0,0.46,100.0,0.0,0.0,0.0,2.84,3.29,0.0,1,0.08,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.15,100.0,0.0,0.0,0.08,7.92,0.08,0.15,18.91,74.39,10.91,58.45,0.08,100.0,10.61,92.75,8.3,50.93,37.66,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,43.64,0.46,0.0,0.23,33.33,0.0,0.0,5.61,75.34,95.56,6.92,12,0.92,31,2.38,4,61.29,11.78,0.91,-0.22,-0.017,0.0,2.23,0.46,,,,0.0,0,0
R. Mendez,Raymundo  Mendez,-461518,Michigan Wolverines,Seattle Pacific Falcon,https://cdn5.wyscout.com/photos/team/public/g-2825_120x120.png,NCAA D1 Big Ten,CF,CF,94,,0,,0,,,0,,11,1064,9,5.27,0,1.4,25.63,46.53,United States,['United States'],,175,77,False,2.79,2.2,61.54,2.03,37.5,0.17,0.28,0.08,1.27,2.08,0.76,1,0.08,0,0.0,4.82,0.76,7,0.59,0.45,2,0.17,23,1.9500000000000002,52.17,39.13,0.0,1.02,41.67,0.68,37.5,0.34,50.0,0.0,5.16,62.3,18.27,46.76,3.7199999999999998,1.69,0.51,18.44,1.6099999999999999,3.21,29.44,73.28,6.77,62.5,5.5,81.54,26.56,76.11,2.03,50.0,17.22,38.0,0.12,0.85,0.0,0.0,1.02,16.67,0.34,3.55,64.29,2.62,48.39,1.27,13.33,1.69,0.42,3.3,74.36,79.41,11.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.03,0.0,0.0,0.0,0.0,2,100
C. Yriondo,Cameron  Yriondo,-461548,Providence Friars,Seattle Pacific Falcon,https://cdn5.wyscout.com/photos/team/public/g-2950_120x120.png,NCAA D1 Big East,"DMF, LCMF3, LCMF",DMF,55,LCMF3,20,LCMF,10,,,0,,10,1026,1,1.6,0,0.55,23.77,55.72,United States,['United States'],unknown,188,81,False,10.88,8.95,64.71,2.37,66.67,0.35000000000000003,0.61,0.18,4.74,8.18,1.9300000000000002,2,0.18,0,0.0,2.02,0.09,1,0.09,0.14,1,0.09,14,1.23,28.57,7.143,0.0,0.44,60.0,0.44,60.0,0.0,0.0,0.09,2.02,69.57,9.12,48.08,1.23,1.8399999999999999,0.35000000000000003,32.46,0.88,2.63,50.79,85.32,16.58,77.25,9.12,92.31,46.23,88.8,4.12,48.94,18.56,39.37,0.05,0.35000000000000003,0.0,0.0,0.18,0.0,0.09,7.46,70.59,1.67,47.37,0.7000000000000001,0.0,0.96,0.18,8.33,67.37,90.82,18.16,0,,0,,0,0.0,0.0,0.0,,,0.61,,2.37,0.0,0.0,0.0,0.0,0,0
J. Goode,Jackson  Goode,-461507,Seattle Pacific Falcon,Seattle Pacific Falcon,https://cdn5.wyscout.com/photos/team/public/g-13614_120x120.png,NCAA D2 Great Northwest Athletic Conference,"LCB, DMF, RCB",LCB,54,DMF,30,RCB,15,,,0,,10,1014,1,1.44,0,0.02,17.93,59.41,United States,['United States'],unknown,185,68,False,8.34,6.66,68.0,5.41,57.38,0.18,0.31,0.44,3.64,6.44,0.89,1,0.09,0,0.0,0.62,0.09,1,0.09,0.13,0,0.0,6,0.53,33.33,16.667,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.09,0.53,83.33,3.11,51.43,0.62,1.07,0.0,39.05,0.44,0.8,57.51,85.49,22.54,74.02,4.88,85.45,53.25,88.67,4.08,47.83,18.42,36.94,0.0,0.09,0.09,0.0,0.0,0.0,0.0,6.39,59.72,0.98,27.27,0.44,0.0,0.44,0.09,7.54,64.71,94.19,22.9,0,,0,,0,0.0,0.0,0.0,,,1.6,,5.41,0.0,0.0,0.0,0.0,0,0
M. Hutter,Mitchell  Hutter,-461328,,Western Washington Vikings,,,"RCB3, RB",RCB3,59,RB,16,,0,,,0,,11,1008,1,0.65,0,0.23,15.63,54.29,United States,['United States'],,185,0,False,8.84,6.61,70.27,2.41,44.44,0.09,0.1,0.09,4.11,4.47,0.63,3,0.27,0,0.0,1.6099999999999999,0.09,1,0.09,0.06,0,0.0,19,1.7000000000000002,26.32,5.263,0.0,0.89,40.0,0.09,0.0,0.8,44.44,0.0,1.6099999999999999,50.0,4.29,41.67,0.98,2.32,0.36,24.82,0.98,0.89,36.88,75.3,19.2,63.72,2.77,100.0,26.79,86.67,9.29,46.15,24.76,42.69,0.02,0.09,0.0,0.0,0.09,0.0,0.0,11.34,59.84,2.32,19.23,1.25,14.29,0.27,0.36,9.46,85.85,84.21,11.88,0,,0,,0,0.0,0.0,0.0,,,0.54,,2.41,0.09,0.09,0.0,0.0,0,0
I. Ketcham,Isaac  Ketcham,-461514,Seattle Pacific Falcon,Seattle Pacific Falcon,https://cdn5.wyscout.com/photos/team/public/g-13614_120x120.png,NCAA D2 Great Northwest Athletic Conference,"LB, LCB",LB,66,LCB,33,,0,22.0,2003-06-26,0,,11,967,1,0.5,1,0.55,17.59,60.32,United States,['United States'],unknown,180,75,False,10.05,7.26,65.38,3.07,45.45,0.28,0.44,0.47000000000000003,5.03,7.9,1.02,1,0.09,0,0.0,1.49,0.09,1,0.09,0.05,1,0.09,3,0.28,33.33,33.333,0.09,2.14,30.43,2.14,30.43,0.0,0.0,0.37,1.12,66.67,4.19,60.0,0.47000000000000003,2.33,0.28,44.49,1.12,1.4,63.1,81.27,26.34,71.38,7.63,93.9,52.86,87.5,8.19,53.41,20.32,37.99,0.05,0.28,0.0,0.09,0.19,0.0,0.19,8.75,63.83,2.61,32.14,0.74,25.0,0.19,0.74,13.22,69.01,87.61,21.78,0,,0,,0,0.0,0.0,0.0,,,1.77,,3.07,0.0,0.0,0.0,0.0,0,0
D. Selgado,Diego Pena  Salgado,-461520,Seattle Pacific Falcon,Seattle Pacific Falcon,https://cdn5.wyscout.com/photos/team/public/g-13614_120x120.png,NCAA D2 Great Northwest Athletic Conference,"LCMF, LCMF3, DMF",LCMF,36,LCMF3,22,DMF,16,,,0,,11,930,0,0.28,1,0.97,17.9,51.35,United States,['United States'],unknown,173,73,False,6.68,6.77,71.43,1.35,42.86,0.29,0.45,0.1,1.55,2.38,1.16,0,0.0,0,0.0,1.65,0.0,0,0.0,0.03,0,0.0,5,0.48,20.0,0.0,0.1,0.97,70.0,0.68,57.14,0.29,100.0,0.0,0.97,60.0,6.48,44.78,1.45,0.77,0.0,32.23,0.48,0.68,45.58,86.2,12.29,75.59,8.23,92.94,40.74,87.89,3.87,72.5,18.3,34.77,0.09,0.48,0.0,0.0,0.77,37.5,0.48,5.9,65.57,2.32,58.33,1.26,53.85,1.16,0.87,7.84,70.37,91.98,18.1,0,,0,,0,0.0,0.0,0.0,,,0.77,,1.35,0.0,0.0,0.0,0.19,0,0
S. Silvetti,Sebastiano  Silvetti,-461331,Western Washington Vikings,Western Washington Vikings,https://cdn5.wyscout.com/photos/team/public/g-18349_120x120.png,NCAA D2 Great Northwest Athletic Conference,"CB, RCB, LCB",CB,64,RCB,20,LCB,11,,,0,,11,922,1,1.05,1,0.52,19.52,62.0,Italy,['Italy'],unknown,194,0,False,12.69,11.13,72.81,3.12,56.25,0.59,0.61,0.68,4.0,4.17,1.6600000000000001,5,0.49,0,0.0,0.49,0.1,1,0.1,0.1,0,0.0,6,0.59,16.67,16.667,0.1,0.1,100.0,0.1,100.0,0.0,0.0,0.0,0.68,42.86,2.83,41.38,0.78,0.29,0.0,29.97,0.2,0.2,48.12,82.96,18.64,64.92,1.76,88.89,39.14,90.77,8.88,48.35,25.25,40.45,0.05,0.29,0.0,0.0,0.0,0.0,0.2,6.25,43.75,0.39,50.0,0.59,0.0,0.1,0.1,8.49,62.07,97.28,25.09,0,,0,,0,0.0,0.0,0.0,,,0.98,,3.12,0.0,0.0,0.0,0.0,0,0
L. Hakamada,Lucas  Hakamada,-461421,,Western Washington Vikings,,,"DMF, LCMF, RWB",DMF,35,LCMF,17,RWB,13,,,0,,11,912,0,0.8300000000000001,0,0.2,18.85,45.55,United States,['United States'],,175,0,False,11.05,8.59,58.62,2.76,46.43,1.09,1.08,0.0,4.93,4.9,1.28,2,0.2,0,0.0,1.48,0.0,0,0.0,0.08,0,0.0,14,1.38,35.71,0.0,0.0,1.38,14.29,0.6900000000000001,0.0,0.6900000000000001,28.57,0.1,1.78,27.78,5.13,26.92,1.38,0.79,0.39,29.31,1.09,0.89,44.8,80.62,14.31,62.07,9.57,97.94,37.2,87.8,6.41,52.31,22.08,42.2,0.02,0.59,0.0,0.0,0.30000000000000004,100.0,0.0,8.29,66.67,2.37,33.33,0.89,33.33,0.49,0.2,7.2,80.82,88.89,15.99,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.76,0.30000000000000004,0.1,100.0,0.0,0,0
E. Fisher,Ethan Fisher,-334946,Old Dominion Monarchs,Western Oregon Wolves,https://cdn5.wyscout.com/photos/team/public/g27626_120x120.png,NCAA D1 Sun Belt,"RCB, RCB3",RCB,88,RCB3,11,,0,21.0,2005-06-02,0,,9,907,0,0.8,0,0.06,10.82,52.29,United States,['United States'],unknown,193,88,False,8.34,4.47,60.0,2.58,46.15,0.1,0.13,0.4,5.5600000000000005,7.43,1.09,3,0.30000000000000004,0,0.0,0.30000000000000004,0.0,0,0.0,0.08,0,0.0,4,0.4,25.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,1.69,35.29,0.6000000000000001,0.30000000000000004,0.0,34.13,0.4,0.2,49.22,81.85,22.13,66.82,5.06,98.04,40.39,88.45,8.73,52.27,22.32,36.17,0.01,0.1,0.1,0.0,0.1,0.0,0.0,6.65,58.21,0.4,75.0,0.6000000000000001,16.67,0.2,0.0,10.62,61.68,96.02,17.46,0,,0,,0,0.0,0.0,0.0,,,3.67,,2.58,0.2,0.0,0.0,0.0,0,0
