Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Agoumé,Lucien Jefferson Agoumé,-104344,Sevilla,Sevilla,https://cdn5.wyscout.com/photos/team/public/44_120x120.png,La Liga,"RDMF, LDMF",RDMF,72,LDMF,14,,0,24,2002-02-09,6000000,2028-06-30,3,310,0,0.09,0,0.08,11.61,57.5,Cameroon,"['Cameroon', 'France']",right,185,75,False,8.71,5.8100000000000005,60.0,1.16,50.0,0.29,0.38,0.29,4.94,6.46,2.32,1,0.29,0,0.0,0.58,0.0,0,0.0,0.03,0,0.0,2,0.58,0.0,0.0,0.0,0.87,66.67,0.58,100.0,0.29,0.0,0.0,0.0,0.0,2.9,60.0,0.0,0.58,0.0,20.32,0.58,1.45,30.77,79.25,12.48,65.12,5.23,100.0,26.42,83.52,3.48,50.0,19.83,40.65,0.02,0.29,0.0,0.0,0.0,0.0,0.29,5.52,57.89,1.16,75.0,0.0,0.0,0.29,0.58,4.35,66.67,83.33,8.71,0,,0,,0,0.0,0.0,0.0,,,0.29,,1.16,0.29,0.0,0.0,0.29,0,0
O. Vlachodimos,Odysseas Vlachodimos,159864,Sevilla,Sevilla,https://cdn5.wyscout.com/photos/team/public/44_120x120.png,La Liga,GK,GK,100,,0,,0,32,1994-04-26,7000000,2028-06-30,3,310,0,0.0,0,0.0,0.0,0.0,Germany,"['Germany', 'Greece']",right,191,77,False,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.38,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13,0.0,0.0,18.58,87.5,12.19,85.71,0.0,0.0,10.45,97.22,7.84,77.78,37.63,53.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,75.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,83.33,95.0,5.8100000000000005,5,1.45,16,4.65,0,68.75,5.52,1.6,0.52,0.151,0.0,1.16,0.0,,,,0.0,0,0
G. Suazo,Gabriel Alonso Suazo Urbina,334592,Sevilla,Sevilla,https://cdn5.wyscout.com/photos/team/public/44_120x120.png,La Liga,LB,LB,100,,0,,0,29,1997-08-09,3500000,2028-06-30,3,310,0,0.04,0,0.25,11.9,53.66,Chile,['Chile'],left,178,72,False,6.68,6.1,52.38,4.06,57.14,1.45,1.9,0.0,2.03,2.66,2.61,2,0.58,0,0.0,0.58,0.0,0,0.0,0.01,0,0.0,1,0.29,0.0,0.0,0.0,2.03,28.57,2.03,28.57,0.0,0.0,0.0,0.0,0.0,1.16,50.0,0.58,0.29,0.0,29.9,1.74,0.87,41.81,76.39,19.45,73.13,5.23,88.89,36.0,81.45,4.06,50.0,16.68,41.23,0.07,0.87,0.0,0.0,0.0,0.0,0.0,6.68,65.22,2.03,42.86,0.0,0.0,0.29,0.58,9.0,77.42,77.78,10.45,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.06,0.58,0.0,0.0,0.58,0,0
Juan Iglesias,Juan Antonio Iglesias Sánchez,416188,Sevilla,Sevilla,https://cdn5.wyscout.com/photos/team/public/44_120x120.png,La Liga,RB,RB,90,,0,,0,28,1998-07-03,2500000,2030-06-30,3,310,0,0.04,0,0.36,12.77,56.82,Spain,['Spain'],right,187,76,False,8.13,6.68,60.87,1.45,40.0,0.0,0.0,0.29,4.06,5.32,0.29,0,0.0,0,0.0,2.32,0.0,0,0.0,0.01,0,0.0,1,0.29,100.0,0.0,0.0,3.19,45.45,0.0,0.0,3.19,45.45,0.0,1.16,50.0,3.19,54.55,1.45,0.58,0.0,16.55,2.32,2.03,21.48,60.81,8.71,60.0,1.74,100.0,13.94,70.83,4.94,41.18,24.04,42.56,0.1,1.16,0.0,0.0,0.0,0.0,0.58,4.94,47.06,3.48,33.33,0.0,0.0,0.0,1.45,4.35,80.0,48.15,7.84,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.45,0.29,0.0,0.0,0.0,0,0
F. Lejeune,Florian Lejeune,112529,Rayo Vallecano,Rayo Vallecano,https://cdn5.wyscout.com/photos/team/public/1220_120x120.png,La Liga,RCB,RCB,100,,0,,0,35,1991-05-20,3000000,2028-06-30,3,310,0,0.18,0,0.0,11.9,78.05,France,['France'],right,190,81,False,10.45,5.23,77.78,5.52,84.21,0.0,0.0,0.29,6.39,8.35,0.87,0,0.0,0,0.0,0.87,0.0,0,0.0,0.05,0,0.0,4,1.16,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,100.0,0.87,66.67,0.58,0.58,0.0,25.84,0.29,0.58,36.87,85.04,17.71,73.77,3.48,91.67,30.48,92.38,6.39,50.0,23.24,51.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,55.56,1.16,75.0,0.0,0.0,0.87,0.0,5.52,57.89,97.73,12.77,0,,0,,0,0.0,0.0,0.0,,,2.32,,5.52,0.29,0.29,100.0,0.0,0,0
P. Ciss,Pathé Ismaël Ciss,495008,Rayo Vallecano,Rayo Vallecano,https://cdn5.wyscout.com/photos/team/public/1220_120x120.png,La Liga,"LCB, DMF",LCB,73,DMF,19,,0,32,1994-03-16,2500000,2027-06-30,3,310,0,0.0,0,0.0,9.58,63.64,Senegal,['Senegal'],right,186,74,False,8.71,2.9,70.0,4.06,64.29,0.0,0.0,0.29,6.68,8.73,0.29,1,0.29,0,0.0,0.29,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,50.0,2.61,55.56,0.0,0.87,0.29,21.77,0.0,1.16,32.81,89.38,8.42,82.76,4.65,93.75,31.06,92.52,1.74,33.33,19.63,46.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,62.5,0.0,0.0,0.0,0.0,0.0,0.0,3.19,63.64,88.68,15.39,0,,0,,0,0.0,0.0,0.0,,,2.32,,4.06,0.0,0.0,0.0,0.0,0,0
J. Oblak,Jan Oblak,85786,Atlético Madrid,Atlético Madrid,https://cdn5.wyscout.com/photos/team/public/47_120x120.png,La Liga,GK,GK,100,,0,,0,33,1993-01-07,28000000,2028-06-30,3,307,0,0.0,0,0.0,0.0,0.0,Slovenia,['Slovenia'],right,188,87,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.12,0.59,0.0,24.63,84.52,11.14,68.42,0.0,0.0,17.59,96.67,7.04,54.17,31.68,48.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,52.63,97.73,12.9,3,0.88,12,3.52,1,75.0,4.11,1.21,1.11,0.325,0.0,0.59,0.0,,,,0.0,0,0
D. Hancko,Dávid Hancko,391059,Atlético Madrid,Atlético Madrid,https://cdn5.wyscout.com/photos/team/public/47_120x120.png,La Liga,LCB,LCB,92,,0,,0,28,1997-12-13,0,2030-06-30,3,307,0,0.1,1,0.1,8.5,72.41,Slovakia,['Slovakia'],left,188,80,False,6.74,2.64,66.67,3.22,72.73,0.0,0.0,0.29,4.98,6.89,0.29,1,0.29,0,0.0,0.88,0.0,0,0.0,0.03,0,0.0,2,0.59,0.0,0.0,0.29,0.88,66.67,0.88,66.67,0.0,0.0,0.0,0.29,100.0,1.17,100.0,1.76,1.17,0.29,51.89,1.47,0.88,67.43,90.43,25.21,84.88,4.4,100.0,58.05,95.96,8.79,56.67,20.72,39.75,0.03,0.29,0.0,0.0,0.0,0.0,0.29,9.38,75.0,0.29,0.0,0.0,0.0,0.29,0.29,11.73,80.0,92.86,28.73,0,,0,,0,0.0,0.0,0.0,,,3.22,,3.22,0.0,0.0,0.0,0.0,0,0
Z. Romero,Zaid Abner Romero,-161939,Getafe,Getafe,https://cdn5.wyscout.com/photos/team/public/56_120x120.png,La Liga,"LCB3, LCB, LB",LCB3,48,LCB,33,LB,17,26,1999-12-15,6000000,2030-06-30,3,304,0,0.0,0,0.0,13.32,51.11,Argentina,"['Argentina', 'Syria']",left,192,92,False,8.59,2.96,60.0,4.74,50.0,0.0,0.0,0.30000000000000004,6.8100000000000005,9.86,0.59,0,0.0,0,0.0,0.59,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.18,25.0,1.18,25.0,0.0,0.0,0.30000000000000004,1.48,20.0,4.74,37.5,0.89,1.78,0.0,21.32,0.59,0.89,37.01,86.4,12.43,78.57,4.14,92.86,32.27,90.83,3.85,61.54,19.8,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,85.71,1.48,60.0,0.0,0.0,0.59,0.30000000000000004,5.33,66.67,90.74,15.99,0,,0,,0,0.0,0.0,0.0,,,1.18,,4.74,0.0,0.0,0.0,0.0,0,0
David Soria,David Soria Solís,313007,Getafe,Getafe,https://cdn5.wyscout.com/photos/team/public/56_120x120.png,La Liga,GK,GK,100,,0,,0,33,1993-04-04,5000000,2030-06-30,3,304,0,0.0,0,0.0,0.30000000000000004,100.0,Spain,['Spain'],right,192,85,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,11.84,0.30000000000000004,0.30000000000000004,20.43,73.91,15.39,69.23,0.0,0.0,7.11,91.67,13.32,64.44,42.93,49.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,66.67,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,11.84,70.0,88.24,5.03,4,1.18,14,4.14,1,71.43,6.03,1.79,2.03,0.601,0.0,0.59,0.0,,,,0.0,0,0
Antony,Antony Matheus dos Santos,-61091,Real Betis,Real Betis,https://cdn5.wyscout.com/photos/team/public/45_120x120.png,La Liga,RAMF,RAMF,100,,0,,0,26,2000-02-24,0,2030-06-30,3,302,0,0.81,0,0.13,14.3,60.42,Brazil,['Brazil'],left,174,63,False,5.36,4.77,56.25,0.6000000000000001,50.0,0.89,1.2,0.0,1.79,2.4,0.89,0,0.0,0,0.0,5.07,0.0,0,0.0,0.24,0,0.0,13,3.87,38.46,0.0,0.0,2.68,22.22,0.0,0.0,2.68,22.22,0.6000000000000001,3.87,76.92,7.15,70.83,5.36,4.47,0.0,41.72,3.2800000000000002,1.79,44.11,85.14,8.94,73.33,14.3,95.83,39.93,90.3,1.49,60.0,14.15,35.61,0.04,1.19,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,1.79,83.33,4.47,46.67,0.30000000000000004,100.0,1.79,0.89,6.26,76.19,80.95,12.52,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.6000000000000001,0.6000000000000001,0.0,0.0,0.30000000000000004,0,0
