Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Khalloufi,Adil Khalloufi,-739010,Yacoub El Mansour,Yacoub El Mansour,https://cdn5.wyscout.com/photos/team/public/g-24365_120x120.png,Botola Pro,"DMF, LDMF, RDMF",DMF,49,LDMF,16,RDMF,11,26.0,1999-11-22,0,,27,2732,0,0.48,0,1.08,13.84,55.95,Morocco,['Morocco'],unknown,0,0,False,7.84,5.5,69.46,2.44,50.0,0.13,0.22,0.13,3.89,6.34,1.12,1,0.03,1,0.03,0.86,0.0,0,0.0,0.02,0,0.0,28,0.92,10.71,0.0,0.0,0.79,50.0,0.33,50.0,0.46,50.0,0.23,0.59,44.44,3.69,44.64,0.30000000000000004,0.99,0.0,30.34,0.36,1.35,47.17,81.42,15.71,64.57,6.39,93.3,37.13,88.02,9.29,57.45,23.09,40.13,0.04,0.66,0.03,0.03,0.2,50.0,0.16,9.88,61.67,2.27,47.83,1.19,30.56,0.6900000000000001,0.43,8.66,71.1,90.2,19.5,0,,0,,0,0.0,0.0,0.0,,,1.88,,2.44,1.12,0.03,0.0,0.1,0,0.0
I. Kandouss,Ismaël Kandouss,489157,RSB Berkane,RSB Berkane,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,Botola Pro,RCB,RCB,92,,0,,0,28.0,1997-11-12,3000000,2027-06-30,27,2674,0,0.6000000000000001,0,0.0,11.98,64.89,France,"['France', 'Morocco']",right,192,83,False,5.62,3.6,78.5,6.06,66.67,0.07,0.1,0.4,2.73,4.15,0.5700000000000001,2,0.07,0,0.0,0.13,0.0,0,0.0,0.02,0,0.0,10,0.34,10.0,0.0,0.0,0.03,100.0,0.0,0.0,0.03,100.0,0.0,0.1,66.67,0.81,33.33,0.27,0.5700000000000001,0.0,32.38,0.30000000000000004,0.2,46.58,89.31,17.97,81.65,1.82,94.44,40.09,94.96,6.46,54.17,22.1,38.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,70.39,0.37,27.27,0.27,25.0,0.07,0.03,7.74,72.17,95.52,22.55,0,,0,,0,0.0,0.0,0.0,,,1.38,,6.06,0.03,0.0,0.0,0.0,0,0.0
B. Niasse,Babacar Niasse Mbaye,395579,Difaâ El Jadida,Difaâ El Jadida,https://cdn5.wyscout.com/photos/team/public/2309_120x120.png,Botola Pro,GK,GK,100,,0,,0,29.0,1996-12-20,300000,2026-06-30,27,2661,0,0.0,0,0.0,1.76,80.77,Mauritania,"['Mauritania', 'Senegal']",right,196,78,False,2.37,0.24,57.14,0.81,91.67,0.07,0.09,0.0,2.16,2.89,0.07,3,0.1,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,80.0,0.0,0.0,0.0,10.92,0.14,0.61,19.45,81.91,10.18,68.44,0.07,100.0,11.74,95.97,7.68,60.79,33.38,46.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,30.43,0.14,0.0,0.03,0.0,0.0,0.0,5.45,66.46,96.84,8.56,27,0.91,103,3.48,10,73.79,28.76,0.97,1.76,0.06,0.0,2.6,0.81,,,,0.0,0,0.0
S. Benjdida,Soufiane Benjdida,-270644,Maghreb Fès,Maghreb Fès,https://cdn5.wyscout.com/photos/team/public/2313_120x120.png,Botola Pro,CF,CF,100,,0,,0,24.0,2001-09-05,0,2028-06-30,27,2636,19,13.64,1,0.61,15.81,24.84,Morocco,['Morocco'],right,178,75,False,1.6,1.67,51.02,4.34,18.11,0.1,0.16,0.03,0.65,1.04,1.37,2,0.07,0,0.0,1.98,0.65,17,0.58,0.47000000000000003,3,0.1,100,3.41,44.0,19.0,0.03,0.1,33.33,0.03,0.0,0.07,50.0,0.0,1.23,36.11,7.31,21.96,3.35,0.38,0.03,12.63,2.25,0.8200000000000001,15.77,79.44,2.42,52.11,5.22,88.89,14.99,81.32,0.68,45.0,15.6,18.11,0.02,0.24,0.07,0.03,0.1,0.0,0.07,1.6,59.57,0.27,25.0,0.17,0.0,0.27,0.03,1.19,48.57,80.88,4.64,0,,0,,0,0.0,0.0,0.0,,,0.07,,4.34,0.34,0.34,30.0,0.0,2,100.0
A. El Ouaad,Amine El Ouaad,-230810,Ittihad Tanger,Ittihad Tanger,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png,Botola Pro,GK,GK,99,,0,,0,30.0,1995-12-08,325000,,26,2632,0,0.0,0,0.04,0.8200000000000001,91.67,Morocco,['Morocco'],right,188,81,False,1.27,0.14,75.0,0.41000000000000003,91.67,0.0,0.0,0.0,1.16,1.81,0.03,2,0.07,2,0.07,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.0,0.0,0.0,6.09,0.1,0.41000000000000003,12.99,78.95,8.1,69.62,0.0,0.0,8.31,95.06,4.68,50.36,34.42,52.72,0.0,0.03,0.0,0.0,0.0,0.0,0.03,1.6400000000000001,45.83,0.03,0.0,0.27,12.5,0.0,0.0,4.0,60.68,95.28,4.34,24,0.8200000000000001,93,3.18,6,74.19,24.28,0.8300000000000001,0.28,0.01,0.0,1.81,0.41000000000000003,,,,0.0,0,0.0
M. Saoud,Mohamed Saoud,319067,Ittihad Tanger,Ittihad Tanger,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png,Botola Pro,"CB, RCB, LCB",CB,47,RCB,27,LCB,22,30.0,1996-01-30,450000,2027-06-30,26,2622,2,2.33,0,0.2,9.75,63.73,Morocco,['Morocco'],,0,0,False,7.21,2.81,70.73,4.46,67.69,0.55,0.85,0.51,4.67,7.23,0.45,5,0.17,0,0.0,0.51,0.07,1,0.03,0.08,1,0.03,36,1.24,16.67,5.556,0.0,0.1,0.0,0.07,0.0,0.03,0.0,0.07,0.41000000000000003,75.0,1.24,50.0,0.45,0.72,0.0,21.56,0.27,0.62,35.18,85.07,15.51,75.0,1.72,92.0,29.04,90.43,6.04,60.8,23.52,42.72,0.01,0.1,0.0,0.03,0.0,0.0,0.03,5.59,69.94,0.6900000000000001,25.0,0.14,0.0,0.21,0.0,7.86,73.8,94.18,15.34,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,4.46,0.6900000000000001,0.6900000000000001,10.0,0.0,1,100.0
B. Abyir,Badreddine Abyir,-369350,Hassania Agadir,Hassania Agadir,https://cdn5.wyscout.com/photos/team/public/2303_120x120.png,Botola Pro,GK,GK,100,,0,,0,27.0,1998-08-27,0,2026-06-30,26,2620,0,0.0,0,0.0,0.86,72.0,Morocco,['Morocco'],unknown,0,0,False,1.75,0.07,0.0,0.34,90.0,0.0,0.0,0.0,1.75,2.46,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,77.78,0.0,0.0,0.0,10.44,0.07,0.31,18.76,76.01,12.3,65.92,0.0,0.0,9.03,96.96,9.69,56.74,39.28,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,44.72,0.38,9.09,0.52,6.67,0.03,0.0,6.5600000000000005,80.1,95.43,6.01,33,1.13,89,3.06,9,62.92,28.78,0.99,-4.22,-0.145,0.0,1.92,0.34,,,,0.0,0,0.0
A. Serrhat,Anas Serrhat,-66887,FUS Rabat,FUS Rabat,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png,Botola Pro,"LCMF, RCMF, RDMF",LCMF,25,RCMF,23,RDMF,19,29.0,1996-11-01,450000,,26,2617,1,2.15,2,3.18,14.44,54.05,Morocco,['Morocco'],,178,0,False,6.36,4.68,67.65,2.06,38.33,0.24,0.35000000000000003,0.17,2.96,4.35,0.86,6,0.21,0,0.0,1.62,0.03,1,0.03,0.07,0,0.0,28,0.96,35.71,3.571,0.07,0.89,30.77,0.45,30.77,0.41000000000000003,25.0,0.21,1.55,62.22,6.09,53.11,0.52,1.55,0.14,31.47,0.24,1.72,45.22,82.74,14.75,69.46,6.19,96.11,39.51,86.95,4.8100000000000005,57.86,19.61,38.5,0.11,0.86,0.1,0.0,0.21,16.67,0.24,8.74,74.41,2.7199999999999998,43.04,0.79,21.74,0.76,0.38,8.05,77.78,89.92,17.75,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.06,0.89,0.07,50.0,1.13,0,0.0
Y. Dahmani,Youness Dahmani,-672884,UTS Rabat,UTS Rabat,https://cdn5.wyscout.com/photos/team/public/g3475_120x120.png,Botola Pro,"LW, LAMF",LW,52,LAMF,28,,0,25.0,2000-12-18,0,2029-06-30,27,2605,12,8.92,2,1.3599999999999999,14.41,41.49,Morocco,['Morocco'],,0,0,False,3.8,3.94,50.0,1.38,27.5,0.07,0.1,0.0,1.76,2.58,0.9,6,0.21,0,0.0,3.18,0.41000000000000003,9,0.31,0.31,0,0.0,68,2.35,48.53,17.647,0.07,1.1400000000000001,30.3,0.9,30.77,0.21,33.33,0.28,3.45,47.0,7.84,40.97,2.21,1.62,0.24,12.2,2.25,1.38,17.76,68.09,5.29,52.29,4.7,88.24,14.72,73.94,1.9300000000000002,44.64,17.89,33.11,0.05,0.73,0.0,0.0,0.14,50.0,0.35000000000000003,2.21,48.44,1.87,44.44,0.35000000000000003,20.0,0.62,0.38,3.35,70.1,63.7,4.66,0,,0,,0,0.0,0.0,0.0,,,0.1,,1.38,0.8300000000000001,0.21,16.67,1.24,3,100.0
R. Lamkadem,Redouan Ait Lamkadem,-371066,UTS Rabat,UTS Rabat,https://cdn5.wyscout.com/photos/team/public/g3475_120x120.png,Botola Pro,"LB, RW, LB5",LB,48,RW,12,LB5,11,28.0,1997-10-06,0,,27,2602,0,0.52,2,2.47,14.22,48.18,Morocco,['Morocco'],both,175,0,False,6.16,5.53,56.25,2.25,30.77,0.17,0.26,0.17,2.87,4.25,1.07,3,0.1,0,0.0,1.73,0.0,0,0.0,0.02,0,0.0,8,0.28,50.0,0.0,0.07,1.63,48.94,1.11,53.13,0.52,40.0,0.17,1.31,60.53,5.15,44.97,0.45,1.52,0.45,15.63,1.07,1.1400000000000001,24.04,76.83,8.65,62.0,4.32,96.0,18.54,84.89,3.94,50.88,20.14,34.29,0.09,0.6900000000000001,0.03,0.0,0.1,0.0,0.28,3.7,58.88,1.76,54.9,0.31,44.44,0.45,0.73,4.8100000000000005,70.5,83.26,7.44,0,,0,,0,0.0,0.0,0.0,,,0.66,,2.25,0.55,0.0,0.0,0.55,0,0.0
