Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Beglaryan,Arsen Beglaryan,249483,Alashkert,Alashkert,https://cdn5.wyscout.com/photos/team/public/g21301_120x120.png,IDBank Premier League,GK,GK,100,,0,,0,33.0,1993-02-18,200000,,26,2630,0,0.0,0,0.24,0.44,76.92,Russia,"['Russia', 'Armenia']",right,186,78,False,1.47,0.03,0.0,0.31,88.89,0.03,0.05,0.0,1.44,2.14,0.03,3,0.1,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,16.19,0.44,0.03,25.36,83.81,13.72,72.57,0.0,0.0,15.98,98.72,9.27,58.67,33.43,51.63,0.01,0.07,0.0,0.0,0.0,0.0,0.07,4.28,58.4,0.41000000000000003,41.67,0.21,50.0,0.07,0.03,6.23,84.07,97.83,11.05,23,0.79,66,2.26,9,65.15,17.55,0.6000000000000001,-5.45,-0.187,0.0,1.13,0.31,,,,0.0,0,0.0
H. Avagyan,Henri Avagyan,269545,Pyunik,Pyunik,https://cdn5.wyscout.com/photos/team/public/1366_120x120.png,IDBank Premier League,GK,GK,100,,0,,0,30.0,1996-01-16,125000,2029-06-30,26,2579,0,0.0,0,0.0,0.56,87.5,Armenia,['Armenia'],right,189,75,False,1.4,0.1,66.67,0.42,91.67,0.0,0.0,0.0,1.33,1.83,0.03,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,15.91,0.42,0.03,25.27,83.7,13.58,71.98,0.0,0.0,17.1,96.94,8.06,56.28,31.98,49.11,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.62,41.33,0.31,0.0,0.21,16.67,0.0,0.0,5.65,64.2,98.08,10.89,15,0.52,73,2.55,14,79.45,20.49,0.72,5.49,0.192,0.0,1.15,0.42,,,,0.0,0,0.0
A. Vidić,Aleksa Vidić,365743,Shirak,Shirak,https://cdn5.wyscout.com/photos/team/public/3432_120x120.png,IDBank Premier League,"CB, LCB, RCB",CB,50,LCB,33,RCB,11,31.0,1994-09-29,150000,,26,2535,0,1.6600000000000001,0,0.0,10.83,67.54,Serbia,['Serbia'],right,184,77,False,10.97,5.15,71.03,3.2,60.0,0.99,1.08,1.24,6.32,6.87,0.5700000000000001,4,0.14,0,0.0,0.21,0.0,0,0.0,0.06,0,0.0,10,0.36,30.0,0.0,0.0,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.11,66.67,1.31,67.57,0.43,0.11,0.0,15.3,0.28,0.75,28.72,83.81,12.89,74.66,1.78,90.0,24.85,89.71,3.83,45.37,20.4,35.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,55.17,0.25,14.29,0.14,0.0,0.04,0.0,4.97,51.43,94.7,11.4,0,,0,,0,0.0,0.0,0.0,,,1.03,,3.2,0.0,0.0,0.0,0.0,0,0.0
Klaidher,Klaidher Vittorio  Bravin Macedo,-69370,Alashkert,Alashkert,https://cdn5.wyscout.com/photos/team/public/g21301_120x120.png,IDBank Premier League,LCB,LCB,92,,0,,0,27.0,1999-01-18,150000,,25,2527,0,0.38,1,0.67,11.18,71.02,Brazil,['Brazil'],left,189,85,False,6.87,4.35,76.23,4.24,73.95,0.07,0.11,0.46,3.49,5.16,0.71,7,0.25,0,0.0,0.14,0.0,0,0.0,0.01,0,0.0,6,0.21,16.67,0.0,0.04,0.07,50.0,0.04,100.0,0.0,0.0,0.0,0.14,50.0,1.0,53.57,0.64,0.71,0.0,37.08,0.61,0.68,52.03,85.49,22.76,73.87,2.88,96.3,43.63,92.08,8.33,51.28,24.17,43.13,0.02,0.11,0.0,0.0,0.0,0.0,0.07,7.51,60.66,0.71,25.0,0.75,28.57,0.25,0.04,10.33,76.55,95.89,22.54,0,,0,,0,0.0,0.0,0.0,,,2.03,,4.24,0.0,0.0,0.0,0.0,0,0.0
João Queirós,João Ricardo Pereira Queirós,468838,Ararat-Armenia,Ararat-Armenia,https://cdn5.wyscout.com/photos/team/public/g39594_120x120.png,IDBank Premier League,"LCB, LCB3",LCB,63,LCB3,34,,0,28.0,1998-04-22,175000,,26,2495,2,1.34,0,0.27,10.5,63.92,Portugal,['Portugal'],left,192,81,False,7.03,4.51,66.4,3.64,59.41,0.4,0.58,0.29,3.64,5.33,0.87,4,0.14,0,0.0,0.29,0.07,2,0.07,0.05,1,0.04,11,0.4,36.36,18.182,0.0,0.29,37.5,0.11,0.0,0.14,50.0,0.07,0.04,100.0,1.01,46.43,0.54,1.8,0.0,33.8,0.43,0.6900000000000001,46.82,87.44,22.69,81.08,3.03,94.05,41.34,92.76,5.19,47.92,20.14,37.82,0.01,0.18,0.0,0.0,0.0,0.0,0.04,7.68,70.89,0.9,36.0,0.65,50.0,0.29,0.11,9.81,80.15,95.05,16.02,0,,0,,0,0.0,0.0,0.0,,,1.37,,3.64,0.0,0.0,0.0,0.0,0,0.0
H. Mnatsakanyan,Hamlet Mnatsakanyan,-109351,Shirak,Shirak,https://cdn5.wyscout.com/photos/team/public/3432_120x120.png,IDBank Premier League,"RCB3, RCB, LCB",RCB3,46,RCB,41,LCB,12,23.0,2002-08-21,150000,,26,2464,0,0.63,0,0.08,10.81,56.08,Armenia,['Armenia'],right,0,0,False,9.64,5.22,63.64,2.48,52.94,0.47000000000000003,0.52,1.13,5.84,6.36,0.9500000000000001,4,0.15,0,0.0,0.33,0.0,0,0.0,0.02,0,0.0,15,0.55,20.0,0.0,0.0,0.4,27.27,0.07,0.0,0.33,33.33,0.0,0.26,42.86,1.83,52.0,0.44,0.29,0.0,20.02,0.51,0.8,33.31,72.7,18.81,61.75,2.05,91.07,24.07,82.55,8.88,48.15,24.12,39.94,0.0,0.04,0.0,0.0,0.04,0.0,0.0,4.97,50.74,0.47000000000000003,23.08,0.55,13.33,0.07,0.04,9.17,54.18,88.56,9.9,0,,0,,0,0.0,0.0,0.0,,,1.46,,2.48,0.07,0.07,0.0,0.0,0,0.0
Javi Moreno,Javier Moreno Sánchez,431291,Pyunik,Pyunik,https://cdn5.wyscout.com/photos/team/public/1366_120x120.png,IDBank Premier League,"RAMF, RW",RAMF,43,RW,42,,0,28.0,1997-06-20,100000,2027-06-30,27,2443,5,4.29,1,2.06,15.4,44.02,Spain,['Spain'],left,175,67,False,3.17,4.6,41.6,0.22,33.33,0.04,0.05,0.04,1.22,1.7000000000000002,1.69,3,0.11,0,0.0,4.42,0.18,3,0.11,0.16,0,0.0,54,1.99,37.04,9.259,0.04,2.39,43.08,0.26,28.57,2.1,43.86,0.26,4.53,56.1,9.62,45.59,2.39,3.54,0.29,29.77,2.43,1.25,36.69,82.63,11.35,76.3,8.66,95.32,31.9,87.53,2.54,55.07,17.38,29.76,0.08,1.11,0.18,0.0,0.22,50.0,0.52,4.38,72.27,4.57,62.1,0.52,57.14,2.25,1.07,6.96,85.71,76.57,10.54,0,,0,,0,0.0,0.0,0.0,,,0.26,,0.22,0.18,0.0,0.0,1.55,2,100.0
Z. Margaryan,Zhirayr Margaryan,402063,Urartu,Urartu,https://cdn5.wyscout.com/photos/team/public/2398_120x120.png,IDBank Premier League,"LB, LB5",LB,69,LB5,19,,0,28.0,1997-09-13,300000,2027-06-30,25,2415,0,0.92,7,4.24,12.15,51.53,Armenia,['Armenia'],left,175,78,False,6.48,5.55,60.4,1.6800000000000002,37.78,0.15,0.22,0.26,2.98,4.31,1.16,4,0.15,0,0.0,1.75,0.0,0,0.0,0.03,0,0.0,13,0.48,23.08,0.0,0.26,2.65,29.58,2.5300000000000002,29.41,0.07,0.0,0.52,1.49,52.5,3.69,45.45,1.04,1.34,0.15,26.87,1.83,0.6000000000000001,35.55,77.88,13.86,73.39,6.48,95.98,29.14,86.45,3.91,44.76,19.59,37.85,0.16,1.16,0.04,0.0,0.19,40.0,0.48,5.14,65.22,2.42,36.92,0.45,33.33,0.30000000000000004,0.86,7.94,69.95,76.45,9.65,0,,0,,0,0.0,0.0,0.0,,,0.56,,1.6800000000000002,1.16,0.15,50.0,1.57,0,0.0
O. Farayola,Olawale Samuel Farayola,-295696,Alashkert,Alashkert,https://cdn5.wyscout.com/photos/team/public/g21301_120x120.png,IDBank Premier League,"RAMF, LAMF, LW",RAMF,48,LAMF,27,LW,10,23.0,2002-10-10,0,2027-06-30,26,2406,3,4.43,5,5.41,24.8,39.52,Nigeria,['Nigeria'],,0,0,False,4.75,4.53,62.81,2.84,25.0,0.0,0.0,0.04,1.9100000000000001,2.89,0.64,1,0.04,0,0.0,5.12,0.11,2,0.07,0.17,0,0.0,34,1.27,38.24,8.824,0.19,4.19,23.21,2.02,27.78,2.09,19.64,0.67,7.07,50.79,15.45,36.56,5.01,4.49,0.97,19.08,2.92,1.42,26.26,70.37,6.92,70.81,5.76,87.66,21.55,80.38,0.71,36.84,16.19,17.92,0.2,1.5,0.07,0.04,0.07,100.0,0.75,2.02,75.93,3.48,51.61,0.30000000000000004,50.0,1.98,0.9400000000000001,4.08,78.9,63.43,6.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.84,0.0,0.0,0.0,0.11,1,100.0
E. Piloyan,Erik Piloyan,516354,Urartu,Urartu,https://cdn5.wyscout.com/photos/team/public/2398_120x120.png,IDBank Premier League,"RB, LCB3, RCB3",RB,64,LCB3,14,RCB3,11,25.0,2001-01-29,200000,,25,2379,2,2.1,2,0.85,14.91,54.06,Armenia,['Armenia'],right,182,78,False,9.12,7.57,61.5,1.74,41.3,0.26,0.39,0.45,4.2,6.11,1.8900000000000001,7,0.26,0,0.0,0.98,0.08,2,0.08,0.08,1,0.04,17,0.64,41.18,11.765,0.08,0.61,31.25,0.08,50.0,0.53,28.57,0.04,0.8300000000000001,63.64,3.4,56.67,0.72,1.1,0.04,44.94,0.98,1.3599999999999999,56.29,87.43,19.41,76.22,7.6,98.51,51.15,91.12,4.54,53.33,19.26,37.57,0.03,0.26,0.0,0.08,0.04,0.0,0.11,4.62,68.85,0.76,30.0,0.23,16.67,0.23,0.23,8.28,63.93,94.6,21.03,0,,0,,0,0.0,0.0,0.0,,,2.95,,1.74,0.0,0.0,0.0,0.0,0,0.0
