Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Erjavšek,Lucas  Erjavšek,-391086,Nafta,Nafta,https://cdn5.wyscout.com/photos/team/public/1026_120x120.png,2. SNL,GK,GK,100,,0,,0,21.0,2004-07-05,0,2027-06-30,29,2732,0,0.0,0,0.0,0.78,78.26,Slovenia,['Slovenia'],right,188,77,False,1.81,0.07,50.0,0.48,85.71,0.0,0.0,0.0,1.77,2.39,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.14,50.0,0.0,0.0,0.0,8.39,0.24,0.2,16.14,78.44,9.01,65.91,0.0,0.0,10.3,97.68,5.66,45.78,29.23,47.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8399999999999999,31.48,0.14,0.0,0.03,0.0,0.0,0.0,3.68,58.33,96.45,5.77,23,0.78,97,3.31,10,76.29,25.2,0.86,2.2,0.075,0.0,1.88,0.48,,,,0.0,0,0.0
J. Krznarić,Josip Krznarić,219839,Krka,Krka,https://cdn5.wyscout.com/photos/team/public/g8799_120x120.png,2. SNL,"RDMF, RCMF, LCMF",RDMF,27,RCMF,19,LCMF,18,33.0,1993-01-07,100000,2026-05-31,29,2678,7,3.17,3,4.18,17.73,55.95,Croatia,['Croatia'],right,176,70,False,9.44,5.84,66.27,3.39,46.94,0.28,0.37,0.45,5.29,7.05,0.79,1,0.03,0,0.0,2.49,0.24,6,0.21,0.11,0,0.0,49,1.69,36.73,14.286,0.1,1.24,22.22,0.55,25.0,0.6900000000000001,20.0,0.35000000000000003,2.21,65.63,6.29,53.3,1.21,1.11,0.14,25.44,0.66,1.56,41.27,77.81,14.59,63.27,5.91,92.4,35.29,83.35,4.8,51.08,19.84,38.0,0.14,1.62,0.0,0.0,0.21,66.67,0.24,7.71,61.88,2.11,47.54,0.52,33.33,0.86,0.28,7.71,69.96,87.65,14.83,0,,0,,0,0.0,0.0,0.0,,,0.31,,3.39,2.0,0.35000000000000003,40.0,3.01,1,100.0
Z. Žabkar,Žan  Žabkar,-429048,Tabor Sežana,Tabor Sežana,https://cdn5.wyscout.com/photos/team/public/g2815_120x120.png,2. SNL,"AMF, RCMF",AMF,26,RCMF,22,,0,21.0,2005-03-30,0,2027-05-31,29,2618,2,1.8599999999999999,2,2.17,22.04,52.42,Slovenia,['Slovenia'],unknown,0,0,True,9.01,8.94,65.38,2.23,38.46,0.31,0.42,0.1,2.85,3.84,1.51,5,0.17,0,0.0,1.72,0.07,2,0.07,0.06,0,0.0,21,0.72,23.81,9.524000000000001,0.07,1.2,31.43,0.55,31.25,0.65,31.58,0.21,1.99,56.9,8.53,45.16,0.52,1.0,0.07,18.01,0.86,2.41,31.08,79.87,10.24,66.78,5.4,94.9,26.09,87.22,3.8200000000000003,45.05,19.21,36.68,0.07,0.76,0.07,0.0,0.07,50.0,0.1,5.5,63.13,2.54,44.59,0.48,35.71,0.72,0.41000000000000003,4.85,71.63,84.21,11.1,0,,0,,0,0.0,0.0,0.0,,,0.24,,2.23,0.86,0.14,25.0,1.34,0,0.0
A. Pihler,Aleks Pihler,162546,Nafta,Nafta,https://cdn5.wyscout.com/photos/team/public/1026_120x120.png,2. SNL,"LCMF, LDMF, DMF",LCMF,31,LDMF,27,DMF,19,32.0,1994-01-15,150000,2026-06-30,28,2576,2,2.17,0,0.99,15.16,56.22,Slovenia,['Slovenia'],right,183,75,False,8.56,5.51,65.79,3.37,61.29,0.29,0.4,0.44,4.64,6.4,1.52,5,0.17,1,0.03,0.76,0.07,2,0.07,0.08,1,0.04,23,0.8300000000000001,8.7,8.696,0.0,0.65,33.33,0.36,50.0,0.25,14.29,0.11,0.62,70.59,3.84,47.17,1.09,1.34,0.0,34.85,0.11,1.2,53.56,84.02,19.76,68.81,7.61,95.24,46.23,89.49,6.67,51.09,19.12,34.11,0.04,0.47000000000000003,0.11,0.0,0.07,50.0,0.04,10.52,69.66,2.2800000000000002,50.79,0.65,50.0,1.12,0.22,9.79,77.04,93.12,19.51,0,,0,,0,0.0,0.0,0.0,,,0.44,,3.37,0.0,0.0,0.0,0.0,0,0.0
S. Moćić,Stefan Moćić,-98590,Beltinci,Beltinci,https://cdn5.wyscout.com/photos/team/public/g30867_120x120.png,2. SNL,GK,GK,100,,0,,0,24.0,2001-07-03,50000,2026-06-30,27,2556,0,0.0,0,0.0,0.6000000000000001,94.12,Slovenia,['Slovenia'],right,183,78,False,1.44,0.11,66.67,0.28,100.0,0.0,0.0,0.0,1.37,2.13,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,11.65,0.32,0.25,19.58,85.07,10.6,74.42,0.0,0.0,13.35,98.42,6.23,56.5,31.59,50.12,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.13,43.75,0.07,0.0,0.11,33.33,0.0,0.0,4.93,65.0,97.4,8.13,20,0.7000000000000001,74,2.61,15,72.97,18.61,0.66,-1.3900000000000001,-0.049,0.0,1.44,0.28,,,,0.0,0,0.0
A. Kaučič,Alan Kaučič,-174506,Beltinci,Beltinci,https://cdn5.wyscout.com/photos/team/public/g30867_120x120.png,2. SNL,LCB,LCB,91,,0,,0,24.0,2001-08-12,0,,27,2554,0,0.9400000000000001,1,0.4,10.47,56.23,Slovenia,['Slovenia'],right,188,0,False,8.32,4.33,65.85,4.02,50.0,0.67,1.03,0.53,4.79,7.39,0.92,5,0.18,0,0.0,0.25,0.0,0,0.0,0.03,0,0.0,10,0.35000000000000003,20.0,0.0,0.04,0.18,60.0,0.14,75.0,0.04,0.0,0.0,0.04,100.0,0.85,37.5,0.67,1.87,0.14,37.71,0.21,0.39,57.58,88.56,20.16,75.17,2.96,94.05,50.46,93.23,6.94,55.33,22.91,39.53,0.01,0.18,0.04,0.04,0.04,100.0,0.07,5.43,61.04,0.56,31.25,0.35000000000000003,30.0,0.14,0.11,8.49,65.56,97.16,31.05,0,,0,,0,0.0,0.0,0.0,,,1.94,,4.02,0.04,0.0,0.0,0.0,0,0.0
A. Mulalić,Ajdin Mulalić,290812,Triglav,Triglav,https://cdn5.wyscout.com/photos/team/public/2615_120x120.png,2. SNL,GK,GK,100,,0,,0,31.0,1994-09-13,100000,2027-06-30,27,2539,0,0.0,0,0.0,0.39,100.0,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Slovenia']",right,187,85,False,1.31,0.07,100.0,0.18,100.0,0.04,0.05,0.0,1.21,1.81,0.0,4,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.04,11.7,0.18,0.18,19.6,81.37,10.74,70.96,0.04,0.0,12.48,97.16,7.05,54.27,31.16,48.68,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.27,37.5,0.25,0.0,0.21,16.67,0.07,0.0,5.46,66.88,94.59,7.87,25,0.89,102,3.62,14,75.49,26.76,0.9500000000000001,1.76,0.062,0.0,1.06,0.18,,,,0.0,0,0.0
N. Pušnik,Nejc Pušnik,504985,Brinje-Grosuplje,Brinje-Grosuplje,https://cdn5.wyscout.com/photos/team/public/g34364_120x120.png,2. SNL,"CB, LCB",CB,65,LCB,26,,0,27.0,1998-08-06,125000,,27,2536,4,5.11,1,0.66,11.53,61.54,Slovenia,['Slovenia'],right,185,0,False,7.67,4.68,70.45,3.55,53.0,0.14,0.23,0.5700000000000001,4.22,6.95,0.99,6,0.21,0,0.0,0.28,0.14,4,0.14,0.18,1,0.04,16,0.5700000000000001,37.5,25.0,0.04,0.18,0.0,0.07,0.0,0.11,0.0,0.04,0.07,100.0,1.06,56.67,1.24,0.92,0.04,45.11,0.07,0.71,62.43,90.45,19.41,80.07,4.08,96.52,58.02,93.46,4.22,52.94,19.71,31.24,0.02,0.28,0.07,0.0,0.0,0.0,0.07,6.46,75.27,0.39,36.36,0.18,0.0,0.28,0.0,8.13,72.49,96.39,33.43,0,,0,,0,0.0,0.0,0.0,,,2.2,,3.55,0.0,0.0,0.0,0.0,0,0.0
M. Magdić,Marin Magdić,-120000,Triglav,Triglav,https://cdn5.wyscout.com/photos/team/public/2615_120x120.png,2. SNL,"LCB, RCB, CB",LCB,41,RCB,38,CB,12,27.0,1999-04-13,100000,2026-06-30,27,2533,7,3.11,0,0.1,12.01,67.16,Croatia,"['Croatia', 'Bosnia and Herzegovina']",right,187,80,False,8.39,3.8,76.64,4.73,63.91,0.11,0.16,0.89,5.37,8.02,0.5700000000000001,3,0.11,1,0.04,0.6000000000000001,0.25,7,0.25,0.11,4,0.14,19,0.68,52.63,36.842,0.0,0.21,16.67,0.18,20.0,0.04,0.0,0.07,0.36,60.0,1.85,57.69,0.75,1.46,0.04,40.01,0.53,0.99,59.16,89.31,22.03,81.94,3.27,97.83,52.62,93.18,6.32,59.55,21.88,38.52,0.0,0.11,0.04,0.04,0.04,0.0,0.0,5.93,68.26,0.6000000000000001,23.53,0.11,0.0,0.21,0.04,9.56,70.26,94.6,29.63,0,,0,,0,0.0,0.0,0.0,,,2.2,,4.73,0.07,0.07,0.0,0.0,0,0.0
A. Jelovica,Anej Jelovica,-425143,Beltinci,Beltinci,https://cdn5.wyscout.com/photos/team/public/g30867_120x120.png,2. SNL,"RDMF, RCMF",RDMF,61,RCMF,33,,0,21.0,2005-03-16,0,2027-06-30,28,2498,0,1.69,4,5.06,17.83,53.13,Slovenia,['Slovenia'],,0,0,False,9.51,8.21,63.6,1.8,42.0,0.97,1.48,0.18,3.31,5.05,1.8399999999999999,4,0.14,0,0.0,1.55,0.0,0,0.0,0.06,0,0.0,35,1.26,25.71,0.0,0.14,1.15,31.25,0.4,27.27,0.68,36.84,0.22,1.55,48.84,5.22,45.52,1.26,0.9,0.07,22.88,0.36,1.48,36.17,79.08,13.01,63.71,6.2,93.02,31.27,83.99,3.86,53.27,18.97,38.93,0.18,1.12,0.18,0.07,0.25,42.86,0.43,6.23,67.63,2.77,45.45,0.76,42.86,1.08,0.29,6.23,74.57,86.89,11.82,0,,0,,0,0.0,0.0,0.0,,,0.18,,1.8,1.04,0.04,0.0,0.9,0,0.0
