Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Abildå,Freja Sørensen Abildå,306178,B 93,B 93,https://cdn5.wyscout.com/photos/team/public/g39767_120x120.png,Women's Play-offs 2/3,"DMF, RDMF, RCMF",DMF,63,RDMF,18,RCMF,10,27.0,1998-05-11,0,,14,1348,3,1.1400000000000001,1,1.38,16.82,60.32,Denmark,['Denmark'],,0,0,False,12.55,8.55,63.28,2.14,68.75,0.4,0.48,0.4,6.74,8.02,1.8,1,0.07,0,0.0,2.47,0.2,3,0.2,0.08,0,0.0,29,1.94,44.83,10.345,0.07,0.93,57.14,0.47000000000000003,57.14,0.47000000000000003,57.14,0.33,1.4,76.19,4.41,50.0,0.4,0.6000000000000001,0.07,34.45,0.2,0.87,56.82,71.21,29.44,63.49,4.41,93.94,47.67,77.17,8.21,38.21,18.59,35.77,0.09,1.07,0.13,0.07,0.07,0.0,0.07,13.35,60.0,2.4,36.11,0.4,16.67,0.53,0.53,14.96,70.54,78.45,15.49,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.14,1.54,0.47000000000000003,85.71,3.2,0,0
L. Petersson,Liva Petersson,-373894,Vålerenga,ThistedQ,https://cdn5.wyscout.com/photos/team/public/g10008_120x120.png,Toppserien,GK,GK,100,,0,,0,20.0,2005-06-22,0,,14,1345,0,0.0,0,0.0,0.8,83.33,Denmark,['Denmark'],unknown,0,0,False,2.48,0.07,100.0,0.54,100.0,0.0,0.0,0.0,2.41,2.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,26.83,0.13,0.0,41.89,87.86,14.19,69.81,0.07,100.0,32.99,96.75,8.9,54.89,23.31,39.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.67,0.07,0.0,0.07,100.0,0.0,0.0,6.02,44.44,97.25,21.88,13,0.87,91,6.09,3,85.71,15.99,1.07,2.99,0.2,0.0,2.81,0.54,,,,0.0,0,0
E. Simonsen,Emma Lind Simonsen,-356061,AaB,AaB,https://cdn5.wyscout.com/photos/team/public/g11059_120x120.png,Women's Play-offs 2/3,LCB,LCB,95,,0,,0,22.0,2003-05-13,0,,14,1337,0,0.03,1,0.43,13.4,56.28,Denmark,"['Denmark', 'United States']",unknown,170,0,False,9.49,7.54,66.96,0.9400000000000001,14.29,0.13,0.16,0.34,4.31,5.08,0.54,0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0,0.0,1,0.07,0.0,0.0,0.07,0.13,50.0,0.13,50.0,0.0,0.0,0.07,0.2,66.67,2.96,45.45,0.2,1.1400000000000001,0.0,40.25,0.61,0.74,61.46,75.47,31.1,62.55,4.91,86.3,47.26,87.18,14.07,36.36,23.42,38.22,0.03,0.34,0.0,0.0,0.0,0.0,0.13,10.5,37.82,1.4100000000000001,28.57,0.9400000000000001,42.86,0.47000000000000003,0.07,13.46,61.0,92.16,21.47,0,,0,,0,0.0,0.0,0.0,,,4.04,,0.9400000000000001,0.07,0.0,0.0,0.07,0,0
A. Kitchen,Astrid Kitchen,-192323,AaB,AaB,https://cdn5.wyscout.com/photos/team/public/g11059_120x120.png,Women's Play-offs 2/3,GK,GK,100,,0,,0,24.0,2001-07-01,0,,14,1334,0,0.0,0,0.0,1.28,78.95,Denmark,['Denmark'],,0,0,False,3.51,0.4,50.0,0.54,100.0,0.07,0.08,0.0,3.24,3.81,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,31.17,0.2,0.34,42.5,79.84,21.25,65.71,0.0,0.0,27.59,95.35,14.84,51.36,27.77,40.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,29.41,0.13,0.0,0.0,0.0,0.0,0.0,9.99,37.16,94.9,19.84,34,2.29,91,6.14,1,62.64,25.31,1.71,-8.69,-0.586,0.0,1.15,0.54,,,,0.0,0,0
L. Kristensen,Line Saustrup Kristensen,145993,ThistedQ,ThistedQ,https://cdn5.wyscout.com/photos/team/public/g33911_120x120.png,B-Liga Women,RCB,RCB,100,,0,,0,33.0,1992-11-11,0,,14,1332,1,0.49,0,0.31,9.53,61.7,Denmark,['Denmark'],,0,0,False,8.85,6.08,70.0,1.62,45.83,0.27,0.28,0.9500000000000001,4.32,4.5,0.81,3,0.2,0,0.0,0.34,0.07,1,0.07,0.03,1,0.07,5,0.34,40.0,20.0,0.0,0.2,33.33,0.0,0.0,0.2,33.33,0.0,0.2,66.67,0.47000000000000003,28.57,0.47000000000000003,1.01,0.34,20.68,0.2,0.0,35.68,82.95,12.7,68.62,2.9699999999999998,100.0,27.97,91.55,7.5,52.25,20.99,35.09,0.02,0.14,0.0,0.0,0.0,0.0,0.14,2.91,51.16,0.68,40.0,0.41000000000000003,33.33,0.27,0.07,6.35,53.19,89.87,16.01,0,,0,,0,0.0,0.0,0.0,,,2.5,,1.62,0.0,0.0,0.0,0.0,0,0
K. Neumann Andersen,Kristine Neumann Andersen,-580496,Næstved,Næstved,https://cdn5.wyscout.com/photos/team/public/g-18184_120x120.png,Women's Play-offs 2/3,"CF, LW, LB",CF,43,LW,23,LB,16,20.0,2005-05-21,0,,14,1329,4,5.13,1,2.33,22.01,50.15,Denmark,['Denmark'],unknown,0,0,False,9.28,7.52,71.17,1.69,40.0,0.14,0.19,0.0,3.79,5.28,1.22,3,0.2,0,0.0,4.0,0.27,4,0.27,0.35000000000000003,0,0.0,34,2.3,41.18,11.765,0.07,2.84,26.19,2.51,27.03,0.34,20.0,0.68,4.4,50.77,10.9,41.61,3.7199999999999998,2.44,0.34,24.11,2.5700000000000003,1.35,30.34,69.87,7.31,51.85,7.92,83.76,25.6,77.25,2.03,33.33,16.67,26.21,0.16,1.42,0.07,0.0,0.07,100.0,0.47000000000000003,1.96,51.72,2.1,35.48,0.14,50.0,0.54,0.88,3.7199999999999998,61.82,72.66,9.41,0,,0,,0,0.0,0.0,0.0,,,0.34,,1.69,0.07,0.0,0.0,0.0,0,0
C. Curts,Camryn Julia Curts,-741550,Næstved,Næstved,https://cdn5.wyscout.com/photos/team/public/g-18184_120x120.png,Women's Play-offs 2/3,"LCMF3, LAMF, RAMF",LCMF3,27,LAMF,25,RAMF,11,26.0,1999-09-27,0,,14,1323,4,3.18,1,0.75,25.92,47.77,Canada,['Canada'],unknown,0,0,False,10.61,7.07,62.5,2.7199999999999998,60.0,0.41000000000000003,0.5700000000000001,0.0,5.78,8.04,0.54,3,0.2,0,0.0,3.2,0.27,4,0.27,0.22,0,0.0,41,2.79,43.9,9.756,0.07,1.7000000000000002,4.0,0.54,0.0,1.02,6.67,0.2,2.86,64.29,13.88,41.18,1.9,1.9,0.07,33.06,0.8200000000000001,2.11,53.4,77.2,15.1,59.91,13.54,94.97,48.71,81.42,2.99,50.0,17.29,28.42,0.05,0.61,0.0,0.0,0.2,33.33,0.14,7.01,59.22,2.38,25.71,0.2,0.0,0.61,0.14,6.53,66.67,78.51,16.46,0,,0,,0,0.0,0.0,0.0,,,0.75,,2.7199999999999998,0.0,0.0,0.0,0.0,0,0
M. Sandfeld,Michelle Sandfeld,510053,ThistedQ,ThistedQ,https://cdn5.wyscout.com/photos/team/public/g33911_120x120.png,B-Liga Women,"RCMF, LCMF",RCMF,60,LCMF,39,,0,25.0,2001-01-16,0,,14,1322,2,1.38,1,0.71,12.53,48.91,Denmark,['Denmark'],,0,0,False,8.24,6.4,58.51,0.9500000000000001,57.14,0.0,0.0,0.27,4.49,4.66,1.16,1,0.07,0,0.0,1.5,0.14,2,0.14,0.09,0,0.0,16,1.09,43.75,12.5,0.07,0.41000000000000003,50.0,0.14,50.0,0.27,50.0,0.07,0.9500000000000001,71.43,4.29,36.51,0.54,0.9500000000000001,0.27,14.98,0.27,0.89,25.05,70.11,9.33,42.34,6.13,94.44,21.65,74.84,3.0,38.64,19.66,38.11,0.05,0.34,0.0,0.07,0.27,50.0,0.27,4.7,39.13,1.16,52.94,0.34,40.0,0.68,0.2,4.77,50.0,84.47,7.01,0,,0,,0,0.0,0.0,0.0,,,1.57,,0.9500000000000001,0.27,0.2,0.0,0.0,0,0
M. Grosso,Marta Grosso,519702,Næstved,Næstved,https://cdn5.wyscout.com/photos/team/public/g-18184_120x120.png,Women's Play-offs 2/3,"CF, AMF",CF,42,AMF,40,,0,24.0,2001-09-18,0,,14,1305,0,2.59,2,1.04,13.72,46.23,Italy,['Italy'],,0,0,False,5.59,4.76,66.67,0.76,27.27,0.0,0.0,0.0,2.41,3.33,0.48,2,0.14,0,0.0,1.5899999999999999,0.0,0,0.0,0.18,0,0.0,24,1.6600000000000001,29.17,0.0,0.14,0.97,21.43,0.14,50.0,0.6900000000000001,10.0,0.07,1.38,60.0,6.55,31.58,1.79,0.62,0.21,17.66,2.07,1.24,27.52,79.7,5.86,62.35,8.34,92.56,25.93,82.71,0.62,44.44,15.31,12.23,0.07,0.9,0.0,0.0,0.07,100.0,0.21,2.9699999999999998,60.47,0.97,50.0,0.21,33.33,0.76,0.28,2.9699999999999998,53.49,80.2,6.97,0,,0,,0,0.0,0.0,0.0,,,0.28,,0.76,0.07,0.0,0.0,0.07,0,0
M. Tesgaard,Matilde Tesgaard,-735608,AaB,AaB,https://cdn5.wyscout.com/photos/team/public/g11059_120x120.png,Women's Play-offs 2/3,RB,RB,90,,0,,0,,,0,,14,1302,1,1.11,2,1.29,10.44,47.68,Denmark,['Denmark'],unknown,0,0,False,6.77,6.22,58.89,0.55,37.5,0.0,0.0,0.14,3.11,3.7,0.55,1,0.07,0,0.0,1.8,0.07,1,0.07,0.08,0,0.0,3,0.21,33.33,33.333,0.14,3.73,40.74,0.21,66.67,3.5300000000000002,39.22,0.48,0.28,75.0,2.0,24.14,0.35000000000000003,0.76,0.0,25.3,2.63,0.14,37.81,65.45,16.94,53.88,5.39,91.03,28.0,74.57,6.22,38.89,20.82,32.06,0.09,0.76,0.0,0.0,0.07,0.0,0.28,5.05,46.58,3.87,35.71,0.55,12.5,0.14,1.38,11.13,60.87,68.05,11.68,0,,0,,0,0.0,0.0,0.0,,,1.8,,0.55,0.0,0.0,0.0,0.0,0,0
