Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Zogos,Vasilios Zogos,499169,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,"LCB, CB",LCB,83,CB,16,,0,27.0,1999-07-29,250000,,2,207,1,0.34,0,0.0,11.3,61.54,Greece,['Greece'],right,190,72,False,9.13,5.65,61.54,4.35,50.0,0.0,0.0,0.87,5.65,10.0,1.3,0,0.0,0,0.0,0.43,0.43,1,0.43,0.15,1,0.43,2,0.87,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,100.0,0.43,0.87,0.0,52.61,0.43,0.0,73.48,94.67,24.35,87.5,3.91,100.0,70.0,96.27,3.48,62.5,21.06,39.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,60.0,1.74,50.0,0.43,0.0,0.43,0.0,10.87,84.0,98.94,40.87,0,,0,,0,0.0,0.0,0.0,,,2.17,,4.35,0.0,0.0,0.0,0.0,0,0
P. Bernardoni,Paul Bernardoni,320100,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,29.0,1997-04-18,0,2028-06-30,2,207,0,0.0,0,0.0,0.87,0.0,France,['France'],left,193,92,False,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1,0.43,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.26,0.0,0.0,23.04,88.68,9.57,72.73,0.0,0.0,19.13,97.73,3.91,44.44,27.7,55.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,80.0,100.0,12.61,1,0.43,4,1.74,1,75.0,1.03,0.45,0.03,0.013000000000000001,0.0,0.43,0.0,,,,0.0,0,0
A. Fangaj,Abdurraman Fangaj,428498,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,"RCB, RB, RCB3",RCB,55,RB,27,RCB3,16,28.0,1997-10-12,300000,,2,207,0,0.09,0,0.14,11.74,66.67,Albania,['Albania'],right,182,77,False,7.39,6.52,80.0,0.43,100.0,0.43,0.77,0.43,1.74,3.08,1.3,0,0.0,0,0.0,2.61,0.0,0,0.0,0.04,0,0.0,1,0.43,0.0,0.0,0.0,5.22,50.0,0.0,0.0,5.22,50.0,0.87,0.87,0.0,1.74,25.0,0.87,4.78,0.0,46.09,1.3,0.0,61.74,80.28,22.61,82.69,5.65,100.0,49.13,86.73,7.83,61.11,21.8,37.62,0.06,0.43,0.0,0.0,0.0,0.0,0.43,12.61,79.31,7.39,47.06,0.87,0.0,1.74,2.17,15.22,91.43,75.38,28.26,0,,0,,0,0.0,0.0,0.0,,,1.3,,0.43,0.0,0.0,0.0,0.0,0,0
F. Përgjoni,Florjan Përgjoni,463905,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,"LB, LCB3",LB,83,LCB3,16,,0,29.0,1997-06-22,300000,,2,207,0,0.24,0,0.14,13.04,70.0,Albania,['Albania'],left,185,0,False,9.13,6.52,93.33,1.3,100.0,0.43,0.77,0.43,2.61,4.62,1.3,1,0.43,0,0.0,1.3,0.0,0,0.0,0.11,0,0.0,3,1.3,0.0,0.0,0.0,2.61,50.0,2.17,40.0,0.0,0.0,0.43,0.43,0.0,2.17,20.0,1.3,3.04,0.0,56.96,0.87,0.43,69.13,87.42,28.7,86.36,7.39,88.24,61.3,90.78,5.22,66.67,20.94,41.73,0.06,0.43,0.0,0.43,0.0,0.0,0.43,13.04,90.0,2.17,40.0,0.0,0.0,0.0,1.3,13.48,77.42,91.38,25.22,0,,0,,0,0.0,0.0,0.0,,,2.61,,1.3,0.43,0.0,0.0,0.0,0,0
D. Atanaskoski,David Atanaskoski,401245,Partizani Tirana,Partizani Tirana,https://cdn5.wyscout.com/photos/team/public/1576_120x120.png,Abissnet Superiore,"LB, LB5",LB,75,LB5,24,,0,29.0,1996-10-21,250000,,2,206,0,0.04,0,0.02,10.05,47.83,North Macedonia,"['North Macedonia', 'Bulgaria']",left,176,71,False,6.55,5.68,69.23,1.31,33.33,0.0,0.0,0.44,2.62,2.95,1.31,0,0.0,0,0.0,0.44,0.0,0,0.0,0.02,0,0.0,2,0.87,50.0,0.0,0.0,1.75,0.0,1.75,0.0,0.0,0.0,0.0,0.44,0.0,1.31,0.0,0.0,1.31,0.0,22.72,3.5,0.0,31.89,78.08,16.6,68.42,4.8100000000000005,100.0,24.9,87.72,5.68,53.85,22.01,44.31,0.01,0.44,0.0,0.0,0.0,0.0,0.0,8.74,90.0,2.62,16.67,1.31,33.33,0.44,0.0,7.86,77.78,80.0,8.74,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.31,0.0,0.0,0.0,0.0,0,0
P. Qirko,Pano Qirko,463751,Partizani Tirana,Partizani Tirana,https://cdn5.wyscout.com/photos/team/public/1576_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,27.0,1999-06-26,325000,2027-06-30,2,206,0,0.0,0,0.0,1.31,66.67,Albania,['Albania'],right,189,80,False,2.18,0.0,0.0,0.87,100.0,0.0,0.0,0.0,2.18,2.46,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.49,0.0,0.44,22.28,74.51,13.54,58.06,0.0,0.0,9.61,100.0,12.67,55.17,36.77,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,12.5,0.44,0.0,0.87,0.0,0.0,0.0,5.68,69.23,100.0,8.3,2,0.87,19,8.3,1,89.47,3.93,1.72,1.9300000000000002,0.843,0.0,0.87,0.87,,,,0.0,0,0
M. Boci,Muco  Boci,-367956,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,"LW, LWB",LW,84,LWB,15,,0,23.0,2003-06-09,0,,2,204,1,0.22,0,0.16,15.44,48.57,Albania,['Albania'],right,176,68,False,6.18,5.74,38.46,2.21,40.0,1.76,3.08,0.0,2.21,3.85,3.09,1,0.44,0,0.0,6.18,0.44,1,0.44,0.1,0,0.0,6,2.65,33.33,16.667,0.0,4.85,36.36,4.85,36.36,0.0,0.0,0.0,4.41,80.0,6.18,64.29,3.09,1.76,0.0,30.88,3.09,0.44,37.5,80.0,6.18,78.57,8.38,94.74,31.76,87.5,0.88,50.0,17.46,39.36,0.07,1.76,0.0,0.0,0.0,0.0,0.44,0.44,100.0,5.29,50.0,0.0,0.0,0.88,1.76,5.74,84.62,78.95,16.76,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.21,0.0,0.0,0.0,0.44,0,0
L. Tresa,Ledjo Tresa,-301241,AF Elbasani,AF Elbasani,https://cdn5.wyscout.com/photos/team/public/g-20768_120x120.png,Abissnet Superiore,"RAMF, AMF",RAMF,73,AMF,18,,0,21.0,2005-07-25,0,2029-06-30,2,204,0,0.05,0,0.0,15.88,33.33,Albania,['Albania'],right,0,0,False,3.9699999999999998,5.74,46.15,0.44,0.0,0.0,0.0,0.0,1.32,2.05,2.21,0,0.0,0,0.0,1.32,0.0,0,0.0,0.02,0,0.0,2,0.88,0.0,0.0,0.0,0.88,50.0,0.44,100.0,0.44,0.0,0.0,1.32,66.67,8.38,26.32,2.21,0.88,0.0,16.32,0.44,1.32,20.74,85.11,6.18,71.43,6.18,100.0,18.53,90.48,1.32,33.33,17.78,27.13,0.0,0.0,0.44,0.0,0.0,0.0,0.0,3.09,71.43,0.0,0.0,0.0,0.0,0.0,0.0,2.21,80.0,80.0,4.41,0,,0,,0,0.0,0.0,0.0,,,0.44,,0.44,0.88,0.0,0.0,0.44,0,0
K. Kasa,Klevis Kasa,-293978,AF Elbasani,AF Elbasani,https://cdn5.wyscout.com/photos/team/public/g-20768_120x120.png,Abissnet Superiore,LB,LB,100,,0,,0,23.0,2003-08-08,0,,2,204,0,0.11,0,0.14,9.71,45.45,Albania,['Albania'],unknown,0,0,False,4.85,3.9699999999999998,55.56,2.65,33.33,0.0,0.0,0.0,2.65,4.09,0.44,0,0.0,0,0.0,2.21,0.0,0,0.0,0.05,0,0.0,1,0.44,100.0,0.0,0.0,3.09,42.86,2.65,33.33,0.44,100.0,0.44,0.44,100.0,1.32,66.67,0.0,0.88,0.0,26.03,0.88,1.32,33.53,76.32,13.24,63.33,3.5300000000000002,100.0,24.26,89.09,6.62,46.67,26.03,43.96,0.06,0.88,0.0,0.0,0.0,0.0,0.0,7.5,58.82,2.21,60.0,0.0,0.0,0.44,0.88,9.71,72.73,84.85,14.56,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.65,3.5300000000000002,0.44,100.0,0.88,0,0
A. Ibrahim,Abbas Ibrahim,-42067,AF Elbasani,AF Elbasani,https://cdn5.wyscout.com/photos/team/public/g-20768_120x120.png,Abissnet Superiore,RDMF,RDMF,100,,0,,0,28.0,1998-01-02,350000,2027-06-30,2,204,0,0.05,0,0.0,12.35,50.0,Nigeria,['Nigeria'],right,171,65,False,3.9699999999999998,3.9699999999999998,44.44,2.21,20.0,0.0,0.0,0.0,2.21,3.41,0.44,1,0.44,0,0.0,1.32,0.0,0,0.0,0.02,0,0.0,1,0.44,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.44,0.0,0.0,1.32,100.0,4.41,70.0,0.0,0.44,0.0,31.76,0.0,1.32,45.44,86.41,15.0,64.71,5.29,91.67,42.79,89.69,2.21,40.0,19.74,33.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,58.33,0.88,0.0,0.0,0.0,0.0,0.0,6.62,86.67,97.96,21.62,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.21,0.0,0.0,0.0,0.0,0,0
