Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Pertlwieser,Niklas Pertlwieser,-318114,Austria Lustenau,Austria Lustenau,https://cdn5.wyscout.com/photos/team/public/611_120x120.png,Bundesliga,LCB,LCB,100,,0,,0,22,2003-11-23,0,2029-06-30,5,494,0,0.8,0,0.03,10.75,62.71,Austria,['Austria'],left,0,0,False,10.38,4.01,68.18,4.92,59.26,0.55,0.68,0.91,7.11,8.86,0.55,0,0.0,0,0.0,0.18,0.0,0,0.0,0.15,0,0.0,3,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.73,50.0,0.91,0.18,0.18,16.4,0.55,0.18,28.24,81.94,13.12,70.83,1.6400000000000001,100.0,22.23,88.52,6.01,57.58,22.35,42.2,0.01,0.18,0.0,0.0,0.0,0.0,0.18,3.64,60.0,0.55,66.67,0.0,0.0,0.55,0.0,5.83,62.5,94.55,10.02,0,,0,,0,0.0,0.0,0.0,,,1.28,,4.92,0.0,0.0,0.0,0.0,0,0
S. Chukwudi,Samuel Johansen Chukwudi,-124374,Ried,Ried,https://cdn5.wyscout.com/photos/team/public/425_120x120.png,Bundesliga,"RCB, CB",RCB,57,CB,42,,0,23,2003-06-25,0,2029-06-30,5,494,1,1.57,0,0.16,13.66,69.33,Faroe Islands,['Faroe Islands'],right,195,85,False,8.38,3.64,60.0,7.47,73.17,0.18,0.26,0.73,6.01,8.68,0.91,2,0.36,0,0.0,1.28,0.18,1,0.18,0.29,0,0.0,8,1.46,62.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,100.0,1.6400000000000001,66.67,2.37,0.0,0.0,31.15,0.36,0.91,43.36,91.18,13.66,81.33,3.64,90.0,41.36,92.95,2.0,54.55,18.32,32.01,0.03,0.18,0.0,0.0,0.0,0.0,0.0,2.73,60.0,0.0,0.0,0.0,0.0,0.36,0.0,4.19,69.57,98.25,20.77,0,,0,,0,0.0,0.0,0.0,,,2.55,,7.47,0.0,0.0,0.0,0.0,0,0
A. Leitner,Andreas Leitner,144047,Ried,Ried,https://cdn5.wyscout.com/photos/team/public/425_120x120.png,Bundesliga,GK,GK,100,,0,,0,32,1994-03-25,300000,2028-06-30,5,494,0,0.0,0,0.0,0.18,100.0,Austria,['Austria'],both,184,79,False,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.05,0.0,0,0.0,0,0.0,0.18,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.18,100.0,0.0,0.0,0.0,18.04,0.36,0.0,30.43,85.63,18.58,80.39,0.36,100.0,19.31,100.0,11.11,60.66,32.49,47.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,60.0,1.09,50.0,0.0,0.0,0.55,0.0,8.2,75.56,93.65,11.48,10,1.82,25,4.55,1,60.0,7.48,1.3599999999999999,-2.52,-0.459,0.0,0.36,0.0,,,,0.0,0,0
O. Steurer,Oliver Steurer,260525,Ried,Ried,https://cdn5.wyscout.com/photos/team/public/425_120x120.png,Bundesliga,"LCB, LCB3",LCB,57,LCB3,42,,0,31,1995-01-06,275000,2027-06-30,5,494,0,0.34,0,0.1,6.38,65.71,Germany,['Germany'],left,191,87,False,6.92,3.1,41.18,2.37,92.31,0.18,0.26,0.0,5.47,7.89,0.73,0,0.0,0,0.0,0.36,0.0,0,0.0,0.06,0,0.0,2,0.36,50.0,0.0,0.0,0.18,100.0,0.18,100.0,0.0,0.0,0.0,0.0,0.0,0.36,100.0,0.91,0.36,0.36,31.34,0.36,0.36,43.72,88.33,18.58,81.37,3.64,90.0,38.99,90.65,4.55,68.0,20.33,43.77,0.02,0.18,0.0,0.0,0.0,0.0,0.18,3.83,80.95,0.18,100.0,0.0,0.0,0.0,0.18,6.38,77.14,96.74,16.76,0,,0,,0,0.0,0.0,0.0,,,1.82,,2.37,0.0,0.0,0.0,0.0,0,0
B. Owusu,Beres Owusu,-356918,Grazer AK,Grazer AK,https://cdn5.wyscout.com/photos/team/public/g157_120x120.png,Bundesliga,RCB3,RCB3,99,,0,,0,22,2003-09-19,0,2029-06-30,5,493,0,0.02,0,0.33,9.68,52.83,France,"['France', 'Ghana']",right,185,0,False,8.76,4.93,70.37,1.83,40.0,0.0,0.0,0.73,5.29,6.85,0.73,1,0.18,0,0.0,0.37,0.0,0,0.0,0.0,0,0.0,2,0.37,0.0,0.0,0.0,0.91,40.0,0.0,0.0,0.91,40.0,0.0,0.0,0.0,2.01,18.18,0.0,0.18,0.18,42.17,0.91,0.55,55.86,82.35,24.65,70.37,4.02,86.36,46.37,87.8,8.58,57.45,23.6,46.92,0.06,0.18,0.0,0.0,0.0,0.0,0.37,8.76,54.17,2.74,26.67,0.37,50.0,0.73,0.37,11.68,71.88,92.97,23.37,0,,0,,0,0.0,0.0,0.0,,,1.83,,1.83,0.0,0.0,0.0,0.0,0,0
D. Pines,Donovan Pines,-65280,Grazer AK,Grazer AK,https://cdn5.wyscout.com/photos/team/public/g157_120x120.png,Bundesliga,CB,CB,100,,0,,0,28,1998-03-07,1700000,2027-06-30,5,493,1,0.21,0,0.23,13.87,61.84,United States,['United States'],right,196,88,False,11.32,4.38,45.83,5.29,72.41,0.0,0.0,1.28,9.31,12.05,1.6400000000000001,3,0.55,0,0.0,0.37,0.18,1,0.18,0.04,1,0.18,1,0.18,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,1.6400000000000001,77.78,0.73,0.18,0.0,26.11,0.37,0.91,41.62,92.11,12.23,80.6,2.56,92.86,39.07,94.86,2.56,50.0,20.77,39.92,0.04,0.18,0.0,0.0,0.0,0.0,0.18,1.46,62.5,0.18,0.0,0.0,0.0,0.18,0.0,4.02,45.45,96.85,23.18,0,,0,,0,0.0,0.0,0.0,,,1.83,,5.29,0.0,0.0,0.0,0.0,0,0
C. Stanković,Cican Stanković,145493,Grazer AK,Grazer AK,https://cdn5.wyscout.com/photos/team/public/g157_120x120.png,Bundesliga,GK,GK,100,,0,,0,33,1992-11-04,1500000,2027-06-30,5,493,0,0.0,0,0.0,0.18,100.0,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Austria']",right,187,86,False,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.47000000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,12.6,0.18,0.18,21.36,85.47,9.68,73.58,0.18,100.0,14.79,96.3,6.57,61.11,29.18,46.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6400000000000001,22.22,0.0,0.0,0.0,0.0,0.0,0.0,4.38,75.0,96.43,10.22,13,2.37,33,6.02,1,60.61,12.79,2.33,-0.21,-0.038,0.0,1.46,0.0,,,,0.0,0,0
L. Klassen,Leon Klassen,478304,Grazer AK,Grazer AK,https://cdn5.wyscout.com/photos/team/public/g157_120x120.png,Bundesliga,LWB,LWB,96,,0,,0,26,2000-05-29,500000,,5,493,0,0.68,0,0.49,11.14,54.1,Germany,"['Germany', 'Russia']",left,176,70,False,7.12,5.84,53.13,2.74,60.0,0.0,0.0,0.0,4.02,5.2,1.1,2,0.37,0,0.0,1.6400000000000001,0.0,0,0.0,0.12,0,0.0,6,1.1,16.67,0.0,0.0,2.74,33.33,2.56,35.71,0.18,0.0,0.18,0.55,100.0,2.01,54.55,0.91,1.46,0.0,26.65,2.37,0.91,36.69,78.61,9.86,66.67,8.22,95.56,30.67,86.31,3.47,42.11,19.3,43.21,0.09,1.28,0.0,0.0,0.0,0.0,0.73,3.65,55.0,3.1,58.82,0.0,0.0,1.28,1.1,6.39,62.86,77.78,13.14,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.74,0.0,0.0,0.0,0.18,0,0
B. Bolla,Bendegúz Bolla,498091,Rapid Wien,Rapid Wien,https://cdn5.wyscout.com/photos/team/public/419_120x120.png,Bundesliga,"RB, LB",RB,85,LB,14,,0,26,1999-11-22,2000000,2027-06-30,5,492,0,0.36,0,0.88,7.32,50.0,Hungary,['Hungary'],right,179,71,False,3.11,1.83,70.0,1.1,33.33,0.18,0.26,0.18,1.65,2.33,0.55,1,0.18,0,0.0,1.28,0.0,0,0.0,0.07,0,0.0,4,0.73,0.0,0.0,0.0,2.2,33.33,0.55,66.67,1.65,22.22,0.37,1.28,42.86,3.84,42.86,1.1,1.65,0.37,55.06,1.28,0.37,63.48,89.05,21.22,83.62,8.05,100.0,57.8,93.67,3.66,45.0,16.93,47.03,0.16,1.46,0.18,0.0,0.0,0.0,0.55,6.04,75.76,3.11,58.82,0.0,0.0,1.1,0.73,9.15,78.0,88.79,19.57,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.1,0.91,0.37,0.0,2.93,0,0
N. Hedl,Niklas Hedl,518284,Rapid Wien,Rapid Wien,https://cdn5.wyscout.com/photos/team/public/419_120x120.png,Bundesliga,GK,GK,100,,0,,0,25,2001-03-17,2000000,2027-06-30,5,492,0,0.0,1,0.25,0.18,100.0,Austria,['Austria'],right,188,81,False,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.29,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,26.16,0.37,0.18,40.43,79.19,18.84,58.25,0.37,50.0,27.99,98.04,12.44,36.76,31.22,55.5,0.05,0.18,0.0,0.0,0.0,0.0,0.18,5.67,29.03,0.91,40.0,0.18,100.0,0.37,0.0,7.87,60.47,98.11,19.39,7,1.28,28,5.12,2,75.0,6.12,1.12,-0.88,-0.161,0.0,1.28,0.0,,,,0.0,0,0
