Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Muriel,Muriel Gustavo Becker,9403,Náutico,Náutico,https://cdn5.wyscout.com/photos/team/public/259_120x120.png,Serie B,GK,GK,100,,0,,0,39,1987-02-14,200000,2026-11-30,17,1739,0,0.0,0,0.0,0.52,90.0,Brazil,"['Brazil', 'Germany']",left,190,84,False,1.24,0.1,100.0,0.21,100.0,0.0,0.0,0.0,1.1400000000000001,2.24,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,75.0,0.0,0.0,0.0,10.61,0.26,0.21,18.42,84.55,8.23,69.81,0.05,100.0,14.18,97.45,4.19,41.98,27.15,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6600000000000001,46.88,0.26,0.0,0.1,0.0,0.0,0.0,2.9,58.93,96.13,9.37,21,1.09,76,3.93,5,72.37,21.81,1.13,0.81,0.042,0.0,0.98,0.21,,,,0.0,0,0.0
Thiago Couto,Thiago Couto Wenceslau,474044,Sport Recife,Sport Recife,https://cdn5.wyscout.com/photos/team/public/258_120x120.png,Serie B,GK,GK,100,,0,,0,27,1999-03-26,200000,2027-12-31,17,1734,0,0.0,0,0.0,0.47000000000000003,88.89,Brazil,['Brazil'],right,188,79,False,1.04,0.05,100.0,0.31,100.0,0.0,0.0,0.0,0.99,1.6,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.33,0.16,0.0,17.34,91.02,7.06,81.62,0.0,0.0,13.18,99.61,4.1,64.56,27.77,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,46.15,0.1,0.0,0.05,0.0,0.0,0.0,2.44,63.83,97.91,9.91,15,0.78,72,3.74,7,79.17,18.48,0.96,3.48,0.181,0.0,1.19,0.31,,,,0.0,0,0.0
Vilar,Gustavo Vilar dos Santos,-165041,Botafogo SP,Botafogo SP,https://cdn5.wyscout.com/photos/team/public/1649_120x120.png,Serie B,"RCB, LCB, LCB3",RCB,55,LCB,32,LCB3,10,26,2000-04-18,0,2026-11-30,17,1713,1,2.54,0,0.07,11.19,66.2,Brazil,['Brazil'],right,190,89,False,7.15,4.15,63.29,5.46,70.19,0.0,0.0,0.79,4.52,6.75,1.1,2,0.11,0,0.0,0.37,0.05,1,0.05,0.13,1,0.05,15,0.79,40.0,6.667,0.0,0.16,33.33,0.0,0.0,0.16,33.33,0.0,0.11,0.0,0.26,40.0,1.26,0.37,0.0,24.33,0.26,0.32,38.56,85.97,13.29,71.94,2.5700000000000003,95.92,33.31,91.96,5.15,48.98,23.88,39.27,0.0,0.05,0.05,0.0,0.0,0.0,0.05,3.47,59.09,0.58,36.36,0.37,14.29,0.16,0.05,5.67,62.96,94.06,20.33,0,,0,,0,0.0,0.0,0.0,,,1.94,,5.46,0.0,0.0,0.0,0.0,0,0.0
Marcelo Carné,Marcelo Henrique Passos Carné,111439,Cuiabá,Cuiabá,https://cdn5.wyscout.com/photos/team/public/3325_120x120.png,Serie B,GK,GK,100,,0,,0,36,1990-02-06,350000,2026-11-30,17,1703,0,0.0,0,0.23,0.21,100.0,Brazil,['Brazil'],right,188,88,False,1.22,0.0,0.0,0.16,100.0,0.0,0.0,0.0,1.22,1.5899999999999999,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46,0.21,0.11,16.12,84.59,6.98,68.18,0.0,0.0,11.79,98.21,4.23,48.75,30.85,59.4,0.01,0.05,0.0,0.0,0.0,0.0,0.0,2.06,41.03,0.16,0.0,0.05,100.0,0.0,0.0,3.01,64.91,97.47,8.35,11,0.58,38,2.01,9,71.05,11.73,0.62,0.73,0.039,0.0,0.85,0.16,,,,0.0,0,0.0
Raul,Raul Lô Gonçalves,402060,Cuiabá,Cuiabá,https://cdn5.wyscout.com/photos/team/public/3325_120x120.png,Serie B,"CB, RCMF, LCMF",CB,34,RCMF,29,LCMF,24,30,1996-07-11,1500000,2027-12-31,17,1703,0,0.30000000000000004,0,0.54,9.35,61.02,Brazil,['Brazil'],right,180,73,True,6.87,4.6,66.67,1.22,34.78,0.37,0.48,0.26,3.44,4.5,0.21,2,0.11,0,0.0,0.58,0.0,0,0.0,0.02,0,0.0,7,0.37,28.57,0.0,0.0,0.16,66.67,0.16,66.67,0.0,0.0,0.0,0.42,75.0,2.22,64.29,0.11,0.32,0.11,31.18,0.05,1.48,43.6,90.42,12.52,81.01,3.59,97.06,37.63,93.4,5.8100000000000005,71.82,20.63,41.49,0.03,0.48,0.0,0.0,0.11,50.0,0.26,6.82,80.62,0.79,66.67,0.26,40.0,0.37,0.11,6.87,81.54,95.79,21.35,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.22,0.0,0.0,0.0,0.0,0,0.0
Jandrei,Jandrei Chitolina Carniel,327864,Juventude,Juventude,https://cdn5.wyscout.com/photos/team/public/507_120x120.png,Serie B,GK,GK,100,,0,,0,33,1993-03-01,400000,2026-12-31,17,1692,0,0.0,0,0.0,1.01,89.47,Brazil,"['Brazil', 'Italy']",right,186,88,True,1.76,0.11,50.0,0.74,92.86,0.05,0.08,0.0,1.65,2.38,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,14.15,0.21,0.43,27.02,82.09,13.51,69.29,0.0,0.0,16.97,95.92,10.0,59.04,37.26,54.21,0.0,0.0,0.05,0.0,0.0,0.0,0.0,3.56,49.25,0.37,28.57,0.27,20.0,0.05,0.0,6.86,70.54,95.55,13.14,8,0.43,55,2.93,12,85.45,12.48,0.66,4.48,0.23800000000000002,0.0,2.23,0.74,,,,0.0,0,0.0
Maurício Kozlinski,Maurício Kozlinski,171106,Londrina,Londrina,https://cdn5.wyscout.com/photos/team/public/4357_120x120.png,Serie B,GK,GK,100,,0,,0,35,1991-06-18,350000,2028-11-30,17,1689,0,0.0,0,0.0,0.32,100.0,Brazil,['Brazil'],right,190,91,False,0.91,0.0,0.0,0.16,100.0,0.0,0.0,0.0,0.91,1.16,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,9.38,0.27,0.16,15.67,86.05,8.15,78.43,0.0,0.0,10.34,94.85,5.33,69.0,30.57,47.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,38.1,0.16,0.0,0.21,0.0,0.0,0.0,4.05,67.11,93.94,7.03,25,1.33,77,4.1,2,67.53,22.92,1.22,-2.08,-0.111,0.0,1.76,0.16,,,,0.0,0,0.0
Alex Alves,Alex Alves de Lima,112486,São Bernardo FC,São Bernardo FC,https://cdn5.wyscout.com/photos/team/public/3188_120x120.png,Serie B,GK,GK,100,,0,,0,39,1986-11-08,0,2026-11-30,17,1663,0,0.0,0,0.0,0.7000000000000001,92.31,Brazil,['Brazil'],right,189,88,False,1.08,0.0,0.0,0.49,100.0,0.0,0.0,0.0,1.08,1.46,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,11.85,0.38,0.16,18.56,89.8,6.06,71.43,0.05,100.0,14.83,98.18,3.68,57.35,25.48,41.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,36.36,0.11,0.0,0.0,0.0,0.0,0.0,2.71,48.0,99.01,10.99,16,0.87,76,4.11,4,78.95,18.55,1.0,2.55,0.138,0.05,2.16,0.49,,,,0.0,0,0.0
Tito,Gebson Gomes dos Santos,-125703,Atlético GO,Atlético GO,https://cdn5.wyscout.com/photos/team/public/1716_120x120.png,Serie B,RCB,RCB,89,,0,,0,25,2000-07-26,0,2028-11-30,17,1643,0,0.67,0,0.0,11.78,61.86,Brazil,['Brazil'],right,184,76,False,7.5600000000000005,5.31,62.89,3.89,66.2,0.11,0.15,0.55,4.11,5.65,1.48,1,0.05,0,0.0,0.22,0.0,0,0.0,0.04,0,0.0,7,0.38,14.29,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.27,60.0,1.15,38.1,0.38,0.44,0.0,24.65,0.27,0.38,37.03,85.8,13.53,69.23,2.68,97.96,31.66,92.21,5.31,48.45,23.12,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,55.29,0.8200000000000001,33.33,0.33,33.33,0.27,0.0,5.86,69.16,96.63,17.86,0,,0,,0,0.0,0.0,0.0,,,2.25,,3.89,0.05,0.0,0.0,0.0,0,0.0
Helton Leite,Helton Brant Aleixo Leite,171229,Vila Nova,Vila Nova,https://cdn5.wyscout.com/photos/team/public/503_120x120.png,Serie B,GK,GK,100,,0,,0,35,1990-11-02,1000000,2026-11-30,16,1633,0,0.0,0,0.0,0.66,75.0,Brazil,"['Brazil', 'Portugal']",right,196,93,False,1.9300000000000002,0.06,0.0,0.28,100.0,0.0,0.0,0.0,1.9300000000000002,3.17,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,50.0,0.0,0.0,0.0,8.27,0.17,0.17,16.53,79.0,10.14,67.93,0.06,100.0,9.92,96.11,6.61,53.33,32.25,47.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,44.44,0.06,0.0,0.0,0.0,0.0,0.0,4.96,60.0,96.26,5.9,18,0.99,80,4.41,4,77.5,22.87,1.26,4.87,0.268,0.0,1.16,0.28,,,,0.0,0,0.0
