Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Pedro Pacheco,Pedro Jorge Pacheco Seabra,372379,Santa Clara,Santa Clara,https://cdn5.wyscout.com/photos/team/public/1536_120x120.png,Primeira Liga,"RCB, CB, LCB",RCB,56,CB,24,LCB,19,29,1997-01-27,900000,2028-06-30,4,512,0,0.4,0,0.0,4.39,64.0,Portugal,"['Portugal', 'Switzerland']",right,189,83,False,5.63,2.64,73.33,1.4100000000000001,37.5,0.0,0.0,0.0,3.69,5.94,0.7000000000000001,1,0.18,0,0.0,0.18,0.0,0,0.0,0.07,0,0.0,2,0.35000000000000003,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.18,100.0,0.18,100.0,0.35000000000000003,0.0,0.0,23.2,0.35000000000000003,0.18,35.16,84.0,13.71,67.95,1.4100000000000001,100.0,30.23,92.44,4.75,33.33,23.88,46.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,57.89,0.53,0.0,0.0,0.0,0.0,0.0,4.04,43.48,94.95,17.4,0,,0,,0,0.0,0.0,0.0,,,1.23,,1.4100000000000001,0.0,0.0,0.0,0.0,0,0
Pedro Ferreira,Pedro Miguel Dinis Ferreira,374835,Santa Clara,Santa Clara,https://cdn5.wyscout.com/photos/team/public/1536_120x120.png,Primeira Liga,"RDMF, RCMF",RDMF,73,RCMF,24,,0,28,1998-01-05,450000,2028-06-30,4,512,0,0.12,0,0.02,8.79,60.0,Portugal,['Portugal'],right,183,81,False,6.86,6.33,63.89,0.88,80.0,0.18,0.28,0.0,2.64,4.25,0.88,0,0.0,0,0.0,0.53,0.0,0,0.0,0.02,0,0.0,3,0.53,0.0,0.0,0.0,0.7000000000000001,50.0,0.35000000000000003,100.0,0.35000000000000003,0.0,0.0,0.18,100.0,1.4100000000000001,37.5,0.18,0.18,0.0,17.75,0.0,0.18,27.95,83.65,8.79,74.0,3.69,100.0,25.14,88.81,2.11,33.33,18.08,33.77,0.0,0.53,0.0,0.0,0.0,0.0,0.0,2.99,64.71,1.23,42.86,0.0,0.0,0.18,0.35000000000000003,4.04,52.17,80.65,10.9,0,,0,,0,0.0,0.0,0.0,,,0.18,,0.88,0.0,0.0,0.0,0.0,0,0
Lucas França,Lucas Oliveira de França,431776,Santa Clara,Santa Clara,https://cdn5.wyscout.com/photos/team/public/1536_120x120.png,Primeira Liga,GK,GK,100,,0,,0,30,1996-01-19,600000,,4,512,0,0.0,0,0.0,0.0,0.0,Brazil,['Brazil'],right,194,86,False,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.28,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38,0.0,0.0,13.18,84.0,4.57,57.69,0.0,0.0,10.02,100.0,3.16,33.33,26.4,51.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.23,42.86,97.44,6.86,3,0.53,11,1.9300000000000002,2,72.73,2.74,0.48,-0.26,-0.046,0.0,1.9300000000000002,0.0,,,,0.0,0,0
Guilherme Romão,Guilherme Kennedy Romão,485207,Santa Clara,Santa Clara,https://cdn5.wyscout.com/photos/team/public/1536_120x120.png,Primeira Liga,"LB, LWB",LB,75,LWB,24,,0,28,1997-10-07,400000,2028-12-31,4,512,0,0.07,0,0.2,6.68,47.37,Brazil,['Brazil'],left,176,75,False,5.1,2.81,37.5,1.23,71.43,0.18,0.28,0.0,3.87,6.23,0.7000000000000001,1,0.18,0,0.0,0.18,0.0,0,0.0,0.01,0,0.0,1,0.18,0.0,0.0,0.0,0.53,33.33,0.53,33.33,0.0,0.0,0.0,0.0,0.0,2.29,53.85,0.35000000000000003,0.53,0.35000000000000003,16.52,0.88,1.05,21.45,72.95,13.54,66.23,2.46,85.71,17.4,82.83,3.52,30.0,18.6,44.93,0.04,0.53,0.0,0.0,0.0,0.0,0.18,4.39,56.0,1.4100000000000001,37.5,0.0,0.0,0.18,0.18,4.75,55.56,80.0,3.52,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.23,0.35000000000000003,0.0,0.0,0.35000000000000003,0,0
F. van Breemen,Finn van Breemen,-339555,Famalicão,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,Primeira Liga,LCB,LCB,100,,0,,0,23,2003-02-25,0,2030-06-30,4,502,1,0.09,0,0.0,8.25,54.35,Netherlands,['Netherlands'],left,193,83,False,5.2,3.59,40.0,3.05,70.59,0.18,0.35000000000000003,0.0,3.59,6.98,1.43,2,0.36,0,0.0,0.18,0.18,1,0.18,0.02,1,0.18,1,0.18,100.0,100.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.54,66.67,0.18,0.18,0.18,47.69,0.18,0.9,59.88,91.32,17.57,76.53,3.59,95.0,55.4,94.82,4.3,50.0,21.48,47.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,72.22,0.9,20.0,0.0,0.0,0.0,0.0,7.35,65.85,97.37,34.06,0,,0,,0,0.0,0.0,0.0,,,2.87,,3.05,0.0,0.0,0.0,0.0,0,0
Rodrigo Pinheiro,Rodrigo Pinheiro Ferreira,-134027,Famalicão,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,Primeira Liga,RB,RB,100,,0,,0,24,2002-08-28,1300000,2028-06-30,4,502,0,0.27,0,0.38,9.5,58.49,Portugal,['Portugal'],right,183,80,False,5.38,3.94,54.55,2.87,62.5,0.0,0.0,0.0,3.23,6.28,0.9,1,0.18,0,0.0,1.25,0.0,0,0.0,0.05,0,0.0,3,0.54,0.0,0.0,0.0,1.79,50.0,0.0,0.0,1.79,50.0,0.36,0.54,66.67,1.79,60.0,0.36,1.25,0.18,38.37,1.43,0.72,45.0,84.06,20.8,77.59,4.3,100.0,40.7,88.11,2.69,46.67,15.6,37.69,0.07,0.9,0.0,0.0,0.0,0.0,0.54,5.5600000000000005,70.97,3.05,41.18,0.0,0.0,0.36,0.9,5.74,78.13,88.89,12.91,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.87,0.0,0.0,0.0,0.0,0,0
L. Carević,Lazar Carević,386291,Famalicão,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,Primeira Liga,GK,GK,100,,0,,0,27,1999-03-16,1500000,2028-06-30,4,502,0,0.0,0,0.0,0.18,100.0,Montenegro,['Montenegro'],right,195,85,False,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.35000000000000003,0.0,0,0.0,0,0.0,0.18,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.18,100.0,0.0,0.0,0.0,16.31,0.18,0.0,21.51,87.5,8.43,74.47,0.0,0.0,16.49,98.91,4.84,51.85,25.12,50.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,47.06,98.53,12.19,4,0.72,10,1.79,1,60.0,3.2800000000000002,0.59,-0.72,-0.129,0.0,0.18,0.0,,,,0.0,0,0
Calila,Diogo Dos Santos Cabral,420348,Santa Clara,Santa Clara,https://cdn5.wyscout.com/photos/team/public/1536_120x120.png,Primeira Liga,"RB, RWB",RB,75,RWB,24,,0,27,1998-10-10,300000,2027-06-30,4,501,0,0.12,1,0.30000000000000004,9.7,62.96,Portugal,['Portugal'],right,180,73,False,7.19,5.21,72.41,2.34,30.77,0.0,0.0,0.0,3.41,5.48,0.36,0,0.0,0,0.0,0.36,0.0,0,0.0,0.02,0,0.0,1,0.18,0.0,0.0,0.18,1.44,12.5,0.0,0.0,1.44,12.5,0.36,0.36,50.0,1.8,70.0,0.36,0.72,0.0,18.32,0.18,1.26,25.33,73.76,11.32,73.02,4.67,96.15,20.48,82.46,3.59,50.0,18.09,42.95,0.05,0.36,0.0,0.0,0.0,0.0,0.0,2.69,53.33,1.98,18.18,0.0,0.0,0.0,0.18,5.93,51.52,62.07,5.21,0,,0,,0,0.0,0.0,0.0,,,0.54,,2.34,0.18,0.0,0.0,0.9,0,0
M. De Amorim,Mathias De Amorim,-171089,Famalicão,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,Primeira Liga,"LDMF, AMF",LDMF,84,AMF,15,,0,21,2004-12-10,0,2028-06-30,4,485,0,0.0,0,0.1,15.22,41.46,France,"['France', 'Portugal']",right,174,70,False,5.57,5.01,44.44,1.48,37.5,0.37,0.73,0.19,2.9699999999999998,5.85,1.8599999999999999,1,0.19,0,0.0,0.37,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.0,1.11,33.33,7.98,41.86,0.74,0.56,0.0,20.97,0.19,2.7800000000000002,29.69,87.5,8.91,75.0,7.24,94.87,28.21,89.47,1.3,57.14,15.91,23.42,0.02,0.19,0.0,0.0,0.0,0.0,0.19,2.6,71.43,1.11,50.0,0.0,0.0,0.56,0.0,2.9699999999999998,62.5,92.86,10.39,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.48,0.0,0.0,0.0,0.0,0,0
Sorriso,Marcos Vinicios Lopes Moura,-109769,Famalicão,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,Primeira Liga,"LAMF, RAMF",LAMF,55,RAMF,38,,0,25,2001-02-23,2500000,2029-06-30,4,470,0,0.79,0,0.52,14.94,53.85,Brazil,['Brazil'],right,176,67,False,4.02,2.49,61.54,1.9100000000000001,60.0,0.0,0.0,0.38,2.49,5.06,0.5700000000000001,0,0.0,0,0.0,3.06,0.0,0,0.0,0.15,0,0.0,10,1.9100000000000001,20.0,0.0,0.0,3.06,31.25,2.49,30.77,0.5700000000000001,33.33,1.15,2.11,81.82,8.81,54.35,3.26,1.53,0.0,16.85,0.77,1.72,21.83,74.56,4.02,61.9,6.13,96.88,17.62,81.52,1.34,85.71,19.12,36.53,0.1,0.38,0.0,0.0,0.0,0.0,0.77,1.15,66.67,2.3,25.0,0.0,0.0,0.19,0.96,1.72,77.78,69.23,7.47,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.9100000000000001,0.38,0.38,0.0,1.53,0,0
