Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Muftic,Vedad Muftic,-191673,Željezničar,Željezničar,https://cdn5.wyscout.com/photos/team/public/1310_120x120.png,Premijer Liga,GK,GK,100,,0,,0,24,2001-10-25,300000,2026-05-31,33,3235,0,0.0,0,0.0,0.64,78.26,Bosnia and Herzegovina,['Bosnia and Herzegovina'],right,186,0,False,1.25,0.11,25.0,0.31,81.82,0.03,0.04,0.0,1.2,1.72,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,9.74,0.28,0.19,15.58,85.18,8.65,76.85,0.03,100.0,9.43,96.17,6.12,68.64,32.03,47.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,61.29,0.0,0.0,0.03,0.0,0.03,0.0,5.15,78.38,96.43,6.23,34,0.9500000000000001,138,3.84,13,75.36,41.56,1.16,7.5600000000000005,0.21,0.03,1.17,0.31,,,,0.0,0,0.0
T. Jović,Toni Jović,266527,Sloga Doboj,Sloga Doboj,https://cdn5.wyscout.com/photos/team/public/g3179_120x120.png,Premijer Liga,"LAMF, LW",LAMF,54,LW,31,,0,33,1992-09-02,200000,2026-05-31,35,3203,8,5.35,1,4.46,19.75,38.55,Croatia,['Croatia'],right,178,75,False,4.92,4.3,49.02,3.03,38.89,0.37,0.48,0.11,2.44,3.21,1.38,3,0.08,1,0.03,2.64,0.22,6,0.17,0.15,2,0.06,67,1.88,34.33,11.94,0.03,2.08,24.32,1.77,26.98,0.31,9.09,0.48,3.23,46.09,9.98,34.93,1.9100000000000001,1.1,0.11,12.84,1.24,1.83,20.01,64.19,7.17,58.43,3.91,83.45,16.66,71.5,1.32,31.91,16.68,25.0,0.13,1.07,0.08,0.03,0.0,0.0,0.22,2.75,57.14,2.2800000000000002,39.51,0.2,14.29,0.45,0.53,3.51,67.2,59.89,4.97,0,,0,,0,0.0,0.0,0.0,,,0.14,,3.03,2.08,0.28,40.0,2.39,2,100.0
M. Stanić,Mato Stanić,386973,Široki Brijeg,Široki Brijeg,https://cdn5.wyscout.com/photos/team/public/1307_120x120.png,Premijer Liga,"LCMF, LDMF, LCMF3",LCMF,48,LDMF,13,LCMF3,11,28,1998-01-11,150000,2026-05-31,35,3115,11,7.78,3,3.06,13.35,45.24,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Croatia']",left,184,78,False,5.78,3.9,63.7,1.65,40.35,0.32,0.39,0.17,2.98,3.67,1.01,3,0.09,0,0.0,1.18,0.32,8,0.23,0.22,2,0.06,50,1.44,36.0,22.0,0.09,0.72,16.0,0.64,18.18,0.06,0.0,0.09,1.21,38.1,5.95,36.41,1.27,0.4,0.0,20.11,0.9,1.62,30.02,67.95,12.19,53.79,5.49,85.79,25.08,74.19,4.25,39.46,19.06,37.79,0.09,0.84,0.09,0.03,0.26,33.33,0.2,6.65,48.7,2.2800000000000002,30.38,0.9500000000000001,21.21,0.52,0.14,5.95,61.17,72.45,7.66,0,,0,,0,0.0,0.0,0.0,,,0.38,,1.65,1.13,0.23,25.0,0.87,4,75.0
E. Alić,Enes Alić,-192842,Željezničar,Željezničar,https://cdn5.wyscout.com/photos/team/public/1310_120x120.png,Premijer Liga,LB,LB,94,,0,,0,26,1999-09-03,200000,2027-05-31,33,3109,2,1.53,4,4.14,15.43,55.16,Bosnia and Herzegovina,['Bosnia and Herzegovina'],left,175,72,False,8.13,6.43,62.16,1.79,48.39,0.41000000000000003,0.56,0.23,3.73,5.17,1.51,10,0.29,0,0.0,2.32,0.06,1,0.03,0.04,0,0.0,32,0.93,21.88,6.25,0.12,3.39,27.35,3.13,27.78,0.2,28.57,0.41000000000000003,1.97,60.29,5.33,50.0,0.43,1.62,0.29,19.71,0.6900000000000001,1.22,30.86,71.48,14.97,64.99,4.23,95.21,21.42,85.68,6.19,45.79,21.15,36.52,0.12,1.24,0.0,0.0,0.03,0.0,0.23,5.3,62.84,2.58,35.96,0.35000000000000003,33.33,0.12,0.9,8.28,67.83,71.85,6.89,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.79,2.14,0.41000000000000003,14.29,2.61,1,100.0
B. Šerbečić,Besim Šerbečić,386969,Velež,Velež,https://cdn5.wyscout.com/photos/team/public/1315_120x120.png,Premijer Liga,RCB,RCB,90,,0,,0,28,1998-05-01,250000,2026-06-30,32,3058,1,1.77,1,0.76,10.12,59.01,Bosnia and Herzegovina,['Bosnia and Herzegovina'],right,194,80,False,6.65,4.5,71.24,2.8,55.79,0.0,0.0,0.47000000000000003,3.44,5.1,1.12,6,0.18,0,0.0,0.68,0.03,1,0.03,0.05,0,0.0,13,0.38,46.15,7.692,0.03,0.74,44.0,0.03,0.0,0.71,45.83,0.03,0.32,45.45,1.5,47.06,0.56,1.71,0.03,30.67,0.44,0.44,46.53,86.53,21.54,78.14,4.09,97.84,39.53,93.15,6.33,49.3,21.02,36.47,0.02,0.29,0.0,0.0,0.03,100.0,0.12,6.8,67.53,1.38,36.17,0.29,40.0,0.18,0.32,9.12,78.06,94.54,16.72,0,,0,,0,0.0,0.0,0.0,,,2.71,,2.8,0.0,0.0,0.0,0.0,0,0.0
Abel Pascual,Abel Pascual Urbón,491106,Borac Banja Luka,Borac Banja Luka,https://cdn5.wyscout.com/photos/team/public/1312_120x120.png,Premijer Liga,RCB,RCB,90,,0,,0,30,1996-02-24,200000,2028-06-30,32,3035,1,1.8399999999999999,0,0.26,10.88,64.58,Spain,['Spain'],right,183,68,False,7.24,3.8,77.34,4.54,56.21,0.06,0.08,0.86,4.24,6.03,0.44,3,0.09,0,0.0,0.44,0.03,1,0.03,0.05,1,0.03,16,0.47000000000000003,31.25,6.25,0.0,0.21,42.86,0.03,0.0,0.18,50.0,0.0,0.30000000000000004,70.0,1.45,53.06,0.56,0.44,0.0,34.93,0.36,0.44,49.97,87.95,18.68,74.6,3.2,98.15,42.17,94.44,7.59,53.13,22.32,37.33,0.01,0.12,0.0,0.0,0.0,0.0,0.03,4.0,60.74,0.47000000000000003,25.0,0.12,25.0,0.03,0.09,7.98,66.91,97.11,24.64,0,,0,,0,0.0,0.0,0.0,,,2.58,,4.54,0.03,0.0,0.0,0.0,0,0.0
A. Babić,Andro Babić,-163158,Velež,Velež,https://cdn5.wyscout.com/photos/team/public/1315_120x120.png,Premijer Liga,"RDMF, RCMF, LDMF",RDMF,42,RCMF,23,LDMF,12,21,2004-09-08,0,2027-06-30,33,2995,1,1.69,1,1.25,17.55,54.62,Croatia,['Croatia'],right,181,74,False,9.59,7.9,64.64,2.49,40.96,0.48,0.7000000000000001,0.24,4.0,5.8,1.44,3,0.09,0,0.0,0.6900000000000001,0.03,1,0.03,0.05,0,0.0,19,0.5700000000000001,15.79,5.263,0.03,0.5700000000000001,31.58,0.12,25.0,0.42,35.71,0.09,0.63,57.14,4.87,48.77,0.42,0.51,0.06,20.34,0.15,1.4100000000000001,31.91,85.97,9.74,71.6,5.2,95.95,28.97,89.42,2.46,56.1,19.14,32.31,0.04,0.33,0.09,0.03,0.09,66.67,0.15,5.08,76.33,1.11,54.05,0.24,50.0,0.42,0.18,5.02,77.25,92.68,12.32,0,,0,,0,0.0,0.0,0.0,,,0.45,,2.49,0.0,0.0,0.0,0.06,0,0.0
M. Jurkaš,Mladen Jurkaš,-321850,Borac Banja Luka,Borac Banja Luka,https://cdn5.wyscout.com/photos/team/public/1312_120x120.png,Premijer Liga,GK,GK,100,,0,,0,18,2007-10-07,0,2029-06-30,31,2979,0,0.0,0,0.22,0.42,78.57,Bosnia and Herzegovina,['Bosnia and Herzegovina'],,0,0,False,1.12,0.03,100.0,0.24,87.5,0.0,0.0,0.0,1.09,1.6,0.0,3,0.09,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.15,60.0,0.0,0.0,0.0,11.93,0.06,0.09,16.13,83.15,8.61,71.23,0.0,0.0,10.21,97.63,5.92,58.16,29.1,43.04,0.01,0.03,0.0,0.0,0.03,100.0,0.03,0.48,43.75,0.06,50.0,0.0,0.0,0.03,0.0,4.68,61.29,96.92,6.86,19,0.5700000000000001,79,2.39,16,75.95,21.11,0.64,2.11,0.064,0.0,0.76,0.24,,,,0.0,0,0.0
R. Josipović,Renato Josipović,-76342,Široki Brijeg,Široki Brijeg,https://cdn5.wyscout.com/photos/team/public/1307_120x120.png,Premijer Liga,GK,GK,100,,0,,0,24,2001-06-12,200000,2026-06-30,30,2933,0,0.0,0,0.0,0.61,90.0,Croatia,['Croatia'],right,189,82,False,1.72,0.12,75.0,0.34,100.0,0.03,0.04,0.0,1.6,1.98,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,66.67,0.0,0.0,0.03,14.21,0.28,0.21,21.05,84.11,10.59,71.3,0.0,0.0,13.47,97.72,7.52,60.0,30.59,46.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,31.37,0.21,0.0,0.09,33.33,0.0,0.0,5.55,65.75,97.76,9.57,40,1.23,131,4.02,10,69.47,41.67,1.28,1.67,0.051000000000000004,0.0,1.26,0.34,,,,0.0,0,0.0
D. Ćosić,Djordje Ćosić,492520,Radnik Bijeljina,Radnik Bijeljina,https://cdn5.wyscout.com/photos/team/public/g3188_120x120.png,Premijer Liga,LCB,LCB,72,,0,,0,30,1995-09-11,200000,2026-06-30,31,2914,0,1.87,0,0.74,9.23,51.17,Bosnia and Herzegovina,['Bosnia and Herzegovina'],left,187,82,False,6.92,3.55,57.39,2.32,46.67,0.19,0.24,0.56,4.69,6.19,0.93,4,0.12,0,0.0,0.31,0.0,0,0.0,0.06,0,0.0,10,0.31,20.0,0.0,0.0,0.37,33.33,0.34,36.36,0.0,0.0,0.12,0.31,40.0,1.9500000000000002,46.03,0.34,0.25,0.03,18.13,0.12,0.74,33.57,79.39,15.78,67.12,3.3,94.39,25.97,88.82,7.23,47.86,23.24,39.31,0.02,0.19,0.03,0.0,0.0,0.0,0.06,4.2,54.41,0.9,24.14,0.31,0.0,0.15,0.12,7.94,60.7,91.39,12.2,0,,0,,0,0.0,0.0,0.0,,,2.13,,2.32,0.06,0.03,0.0,0.0,0,0.0
