Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Mądrzyk,Jakub Mądrzyk,-290593,Tychy 71,Tychy 71,https://cdn5.wyscout.com/photos/team/public/g9959_120x120.png,II Liga,GK,GK,100,,0,,0,22.0,2003-12-04,350000,2028-06-30,6,591,0,0.0,0,0.0,0.0,0.0,Poland,['Poland'],unknown,191,0,False,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.22,0.0,1,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44,0.15,0.0,17.97,79.66,11.73,71.43,0.0,0.0,10.2,97.01,7.77,56.86,33.43,48.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,37.5,0.0,0.0,0.0,0.0,0.0,0.0,6.7,65.91,94.44,5.48,5,0.76,14,2.13,2,64.29,5.11,0.78,0.11,0.017,0.0,1.52,0.0,,,,0.0,0,0
M. Trąbka,Michał Trąbka,326725,Tychy 71,Tychy 71,https://cdn5.wyscout.com/photos/team/public/g9959_120x120.png,II Liga,RCMF,RCMF,97,,0,,0,29.0,1997-04-22,0,2028-06-30,6,591,1,0.52,1,0.67,9.59,50.79,Poland,['Poland'],right,173,67,False,4.42,3.65,54.17,1.07,28.57,0.0,0.0,0.15,2.44,3.58,0.76,2,0.30000000000000004,0,0.0,0.76,0.15,1,0.15,0.08,0,0.0,15,2.2800000000000002,13.33,6.667,0.15,1.52,20.0,1.22,25.0,0.30000000000000004,0.0,0.76,0.15,100.0,4.42,51.72,1.37,1.07,0.15,36.24,0.46,0.61,50.1,83.28,13.55,71.91,5.94,94.87,42.34,88.49,6.24,63.41,19.16,43.75,0.1,0.91,0.15,0.30000000000000004,0.0,0.0,0.46,9.14,76.67,3.5,47.83,0.15,100.0,1.37,0.61,6.55,72.09,87.41,21.78,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.07,0.76,0.15,0.0,2.74,0,0
M. Horvat,Matija Horvat,449512,Tychy 71,Tychy 71,https://cdn5.wyscout.com/photos/team/public/g9959_120x120.png,II Liga,CB,CB,97,,0,,0,27.0,1999-05-07,300000,2028-06-30,6,591,0,0.31,0,0.0,10.05,51.52,Croatia,['Croatia'],right,180,80,False,5.18,2.74,44.44,4.72,48.39,0.15,0.22,0.15,3.81,5.6,1.83,2,0.30000000000000004,0,0.0,0.30000000000000004,0.0,0,0.0,0.05,0,0.0,2,0.30000000000000004,50.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.30000000000000004,50.0,1.98,53.85,0.61,0.0,0.0,27.11,0.46,1.07,42.64,87.86,13.25,72.41,3.65,91.67,36.55,93.75,5.94,53.85,23.39,45.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,61.54,0.46,0.0,0.0,0.0,0.15,0.0,5.94,58.97,95.24,22.39,0,,0,,0,0.0,0.0,0.0,,,2.44,,4.72,0.0,0.0,0.0,0.30000000000000004,0,0
M. Białka,Mateusz  Białka,-452710,Avia Świdnik,Avia Świdnik,https://cdn5.wyscout.com/photos/team/public/g9091_120x120.png,II Liga,GK,GK,100,,0,,0,19.0,2006-10-30,0,,6,582,0,0.0,0,0.0,0.31,100.0,Poland,['Poland'],,0,0,False,0.46,0.0,0.0,0.15,100.0,0.0,0.0,0.0,0.46,0.58,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.15,6.19,0.15,0.31,14.23,71.74,7.42,56.25,0.15,100.0,9.59,95.16,4.64,23.33,28.22,44.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,31.03,85.29,5.26,12,1.8599999999999999,25,3.87,2,52.0,7.93,1.23,-4.07,-0.629,0.0,2.32,0.15,,,,0.0,0,0
K. Orzechowski,Kacper Orzechowski,-444934,Avia Świdnik,Avia Świdnik,https://cdn5.wyscout.com/photos/team/public/g9091_120x120.png,II Liga,CB,CB,100,,0,,0,20.0,2006-05-28,0,,6,582,1,0.07,0,0.11,10.05,52.31,Poland,['Poland'],,0,0,False,10.67,4.18,48.15,4.02,57.69,0.15,0.19,1.08,8.51,10.58,1.55,2,0.31,0,0.0,0.15,0.15,1,0.15,0.01,1,0.15,1,0.15,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,50.0,0.46,0.15,0.15,35.1,0.15,0.62,48.25,93.27,15.15,81.63,1.7000000000000002,100.0,44.23,96.15,4.02,61.54,19.37,49.93,0.02,0.15,0.0,0.0,0.0,0.0,0.15,2.47,68.75,0.62,50.0,0.0,0.0,0.15,0.0,3.87,64.0,99.41,26.29,0,,0,,0,0.0,0.0,0.0,,,0.77,,4.02,0.0,0.0,0.0,0.0,0,0
M. Kołodziejski,Michał Kołodziejski,217674,Avia Świdnik,Avia Świdnik,https://cdn5.wyscout.com/photos/team/public/g9091_120x120.png,II Liga,LCB3,LCB3,100,,0,,0,33.0,1993-05-09,100000,,6,582,0,0.13,0,0.03,7.42,79.17,Poland,['Poland'],left,185,81,False,9.28,3.56,78.26,2.01,92.31,0.31,0.38,0.62,6.19,7.69,0.62,1,0.15,0,0.0,0.77,0.0,0,0.0,0.02,0,0.0,2,0.31,50.0,0.0,0.0,1.3900000000000001,33.33,1.24,37.5,0.15,0.0,0.31,0.15,100.0,0.77,80.0,0.93,0.62,0.15,46.24,0.46,0.62,63.25,83.13,26.44,72.51,3.56,95.65,51.96,92.56,10.05,41.54,22.72,44.89,0.01,0.31,0.0,0.0,0.0,0.0,0.0,7.89,70.59,1.08,28.57,0.0,0.0,0.31,0.46,12.84,60.24,93.37,27.99,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,2.01,0.15,0.0,0.0,0.31,0,0
H. Muszyński,Hubert Muszyński,-193581,Śląsk Wrocław II,Śląsk Wrocław II,https://cdn5.wyscout.com/photos/team/public/g24954_120x120.png,II Liga,"RCB, LCB",RCB,74,LCB,18,,0,31.0,1995-04-25,0,,6,580,0,2.47,0,0.13,14.74,62.11,Poland,['Poland'],,183,78,False,11.48,4.97,59.38,6.67,72.09,0.0,0.0,1.24,8.53,10.86,1.4,0,0.0,0,0.0,0.78,0.0,0,0.0,0.38,0,0.0,12,1.8599999999999999,33.33,0.0,0.0,0.62,0.0,0.31,0.0,0.31,0.0,0.16,0.31,50.0,2.02,46.15,2.33,0.47000000000000003,0.0,29.02,0.62,1.24,42.52,81.75,17.53,64.6,2.02,92.31,35.38,92.11,6.52,33.33,23.15,45.33,0.02,0.31,0.0,0.0,0.0,0.0,0.0,6.05,56.41,1.09,14.29,0.16,0.0,0.16,0.0,7.76,66.0,94.35,19.24,0,,0,,0,0.0,0.0,0.0,,,1.24,,6.67,0.16,0.0,0.0,0.0,1,0
K. Szymkowiak,Karol Szymkowiak,-295169,Sandecja Nowy Sącz,Sandecja Nowy Sącz,https://cdn5.wyscout.com/photos/team/public/2896_120x120.png,II Liga,GK,GK,100,,0,,0,26.0,2000-01-24,0,2027-06-30,6,578,0,0.0,0,0.0,0.47000000000000003,100.0,Poland,['Poland'],right,189,0,False,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.9400000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.0,0.0,0.0,8.25,0.47000000000000003,0.47000000000000003,16.82,78.7,9.81,65.08,0.0,0.0,10.43,98.51,6.38,46.34,30.75,50.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,33.33,0.16,0.0,0.0,0.0,0.16,0.0,4.52,58.62,97.37,5.92,4,0.62,20,3.11,4,80.0,4.91,0.76,0.91,0.14200000000000002,0.0,1.56,0.0,,,,0.0,0,0
W. Pleśnierowicz,Wiktor Pleśnierowicz,517200,Sandecja Nowy Sącz,Sandecja Nowy Sącz,https://cdn5.wyscout.com/photos/team/public/2896_120x120.png,II Liga,"RCB, RCB3",RCB,83,RCB3,16,,0,25.0,2001-03-29,250000,2028-06-30,6,578,0,0.76,0,0.06,12.77,59.76,Poland,['Poland'],right,186,82,False,9.65,4.36,53.57,6.07,53.85,0.31,0.47000000000000003,1.71,7.01,10.63,1.56,2,0.31,0,0.0,0.0,0.0,0,0.0,0.12,0,0.0,8,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,80.0,0.78,0.93,0.31,23.98,0.0,1.4,38.93,84.4,14.95,75.0,1.4,100.0,34.41,89.59,4.52,44.83,22.1,47.36,0.01,0.16,0.0,0.0,0.0,0.0,0.16,5.92,73.68,0.62,50.0,0.0,0.0,0.31,0.0,6.85,75.0,91.67,18.69,0,,0,,0,0.0,0.0,0.0,,,1.09,,6.07,0.0,0.0,0.0,0.0,0,0
K. Bochniarz,Kuba Bochniarz,-531286,Resovia Rzeszów,Resovia Rzeszów,https://cdn5.wyscout.com/photos/team/public/g8983_120x120.png,II Liga,GK,GK,100,,0,,0,17.0,2009-03-05,0,2028-06-30,6,576,0,0.0,0,0.0,0.16,100.0,Poland,['Poland'],,0,0,False,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.16,12.81,0.31,0.16,24.84,84.91,13.91,75.28,0.0,0.0,16.72,99.07,8.13,55.77,30.71,45.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,63.64,96.83,9.84,13,2.03,41,6.41,0,68.29,10.37,1.62,-2.63,-0.41100000000000003,0.0,2.34,0.0,,,,0.0,0,0
