Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Patsatsia,Vazha Patsatsia,405313,Rustavi,Rustavi,https://cdn5.wyscout.com/photos/team/public/g34920_120x120.png,Erovnuli Liga,LCB,LCB,85,,0,,0,28.0,1998-01-29,125000,2026-12-31,21,2057,2,1.9300000000000002,0,0.01,10.89,61.04,Georgia,['Georgia'],left,187,74,False,8.18,4.77,68.81,3.59,50.0,0.26,0.31,0.39,4.64,5.54,1.01,3,0.13,0,0.0,0.26,0.09,1,0.04,0.08,0,0.0,7,0.31,57.14,28.571,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.18,50.0,1.01,56.52,0.31,1.1400000000000001,0.0,28.05,0.18,0.48,41.0,86.98,16.71,74.87,2.32,94.34,36.1,92.85,4.86,44.14,22.22,41.08,0.0,0.04,0.0,0.0,0.0,0.0,0.0,5.08,56.03,0.48,9.09,0.48,9.09,0.09,0.0,6.17,70.92,95.8,19.78,0,,0,,0,0.0,0.0,0.0,,,2.01,,3.59,0.04,0.04,100.0,0.0,2,50
N. Chikovani,Nikoloz Chikovani,-358042,Rustavi,Rustavi,https://cdn5.wyscout.com/photos/team/public/g34920_120x120.png,Erovnuli Liga,LB,LB,91,,0,,0,21.0,2005-03-01,0,2026-12-31,21,2022,1,0.45,0,1.29,13.93,52.4,Georgia,['Georgia'],unknown,0,0,False,9.26,7.08,60.38,1.82,48.78,0.18,0.21,0.0,4.8100000000000005,5.73,1.02,2,0.09,0,0.0,2.4,0.04,1,0.04,0.02,0,0.0,24,1.07,25.0,4.167,0.0,1.82,41.46,1.82,41.46,0.0,0.0,0.09,2.4,57.41,4.23,42.11,0.22,2.14,0.18,24.79,0.98,0.18,34.14,77.05,16.2,69.23,5.07,94.74,28.0,84.26,4.32,45.36,19.01,35.38,0.06,0.62,0.0,0.0,0.0,0.0,0.18,5.52,64.52,2.45,40.0,0.49,18.18,0.31,0.85,8.81,69.19,80.47,7.52,0,,0,,0,0.0,0.0,0.0,,,0.67,,1.82,0.18,0.13,33.33,0.45,0,0
K. Andrić,Komnen Andrić,286332,Torpedo Kutaisi,Torpedo Kutaisi,https://cdn5.wyscout.com/photos/team/public/3057_120x120.png,Erovnuli Liga,CF,CF,85,,0,,0,31.0,1995-07-01,1000000,,21,2017,8,6.86,1,1.6,22.18,43.46,Serbia,['Serbia'],right,189,84,True,3.93,3.5300000000000002,55.7,5.18,45.69,0.27,0.41000000000000003,0.04,1.7000000000000002,2.5700000000000003,1.07,2,0.09,0,0.0,1.78,0.36,8,0.36,0.31,4,0.18,35,1.56,48.57,22.857,0.04,0.45,40.0,0.18,25.0,0.27,50.0,0.0,1.16,61.54,11.38,37.65,3.12,0.45,0.04,18.83,1.43,2.99,25.97,80.76,5.18,65.52,7.99,92.18,23.52,82.16,2.05,73.91,17.68,34.0,0.07,0.71,0.13,0.04,0.13,100.0,0.31,2.99,67.16,1.43,65.63,0.22,80.0,1.12,0.13,3.35,69.33,82.86,7.8100000000000005,0,,0,,0,0.0,0.0,0.0,,,0.18,,5.18,0.0,0.0,0.0,0.0,1,0
I. Sikharulidze,Irakli Sikharulidze,87638,Meshakhte,Meshakhte,https://cdn5.wyscout.com/photos/team/public/g7414_120x120.png,Erovnuli Liga,CF,CF,91,,0,,0,36.0,1990-07-18,100000,2026-12-31,21,1974,5,6.61,0,0.26,13.63,34.11,Georgia,['Georgia'],right,169,60,False,2.51,1.6400000000000001,52.78,4.19,34.78,0.14,0.17,0.05,1.5,1.8399999999999999,0.46,3,0.14,0,0.0,0.78,0.23,4,0.18,0.30000000000000004,1,0.05,31,1.4100000000000001,38.71,16.129,0.0,0.09,50.0,0.0,0.0,0.09,50.0,0.0,0.41000000000000003,44.44,5.61,26.83,1.82,0.23,0.05,8.12,1.28,1.23,13.36,78.5,3.6,55.7,4.33,94.74,12.77,80.36,0.5,36.36,14.1,12.23,0.01,0.18,0.0,0.05,0.0,0.0,0.18,1.55,64.71,0.41000000000000003,55.56,0.0,0.0,0.32,0.05,1.69,40.54,78.18,2.51,0,,0,,0,0.0,0.0,0.0,,,0.05,,4.19,0.0,0.0,0.0,0.05,1,100
A. Kalandadze,Aleksandre Kalandadze,-72179,Dinamo Tbilisi,Dinamo Tbilisi,https://cdn5.wyscout.com/photos/team/public/838_120x120.png,Erovnuli Liga,"LCB, RB, RCB",LCB,38,RB,20,RCB,19,25.0,2001-05-09,500000,2026-12-31,21,1973,2,1.65,0,0.11,10.17,61.43,Georgia,['Georgia'],left,188,72,False,6.75,4.06,74.16,3.1,55.88,0.18,0.25,0.5,3.56,4.84,0.73,1,0.05,0,0.0,0.59,0.09,2,0.09,0.08,2,0.09,10,0.46,50.0,20.0,0.0,0.27,50.0,0.27,50.0,0.0,0.0,0.05,0.32,57.14,1.4100000000000001,41.94,0.78,0.73,0.09,32.11,0.68,0.32,44.29,89.7,16.01,80.63,4.11,93.33,41.28,92.49,2.74,51.67,18.3,31.02,0.01,0.18,0.0,0.0,0.05,100.0,0.0,4.88,83.18,0.55,58.33,0.09,50.0,0.32,0.14,7.12,64.74,97.13,19.07,0,,0,,0,0.0,0.0,0.0,,,1.92,,3.1,0.0,0.0,0.0,0.0,0,0
L. Shovnadze,Levan Shovnadze,291335,Meshakhte,Meshakhte,https://cdn5.wyscout.com/photos/team/public/g7414_120x120.png,Erovnuli Liga,GK,GK,100,,0,,0,28.0,1997-11-19,125000,2026-12-31,20,1972,0,0.0,0,0.0,0.64,85.71,Georgia,['Georgia'],right,187,73,False,1.69,0.09,100.0,0.27,83.33,0.05,0.06,0.0,1.55,1.88,0.0,0,0.0,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.09,100.0,0.0,0.0,0.0,17.94,0.23,0.27,27.2,91.11,11.09,81.89,0.05,100.0,20.08,97.5,7.07,73.55,27.97,43.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,53.85,0.09,0.0,0.05,0.0,0.0,0.0,4.79,68.57,98.21,15.29,33,1.51,96,4.38,5,65.63,29.77,1.3599999999999999,-3.23,-0.147,0.0,1.32,0.27,,,,0.0,0,0
M. Kobakhidze,Mamuka Kobakhidze,115249,Dinamo Batumi,Dinamo Batumi,https://cdn5.wyscout.com/photos/team/public/g954_120x120.png,Erovnuli Liga,RCB,RCB,86,,0,,0,33.0,1992-08-23,200000,2026-12-31,21,1971,1,0.51,0,0.02,9.86,64.35,Georgia,['Georgia'],right,179,75,False,6.76,3.7,69.14,3.65,65.0,0.27,0.42,0.46,3.93,5.97,0.46,3,0.14,0,0.0,0.09,0.05,1,0.05,0.02,1,0.05,6,0.27,33.33,16.667,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.78,29.41,0.37,0.8200000000000001,0.0,37.58,0.27,0.59,50.59,91.16,21.87,85.39,2.6,100.0,47.17,93.9,3.38,54.05,21.12,34.99,0.0,0.09,0.0,0.0,0.0,0.0,0.0,6.07,86.47,0.14,0.0,0.05,0.0,0.0,0.0,10.59,77.59,95.53,22.47,0,,0,,0,0.0,0.0,0.0,,,2.24,,3.65,0.0,0.0,0.0,0.0,0,0
B. Putkaradze,Bukhuti Putkaradze,-325930,Spaeri,Spaeri,https://cdn5.wyscout.com/photos/team/public/g-10031_120x120.png,Erovnuli Liga,GK,GK,100,,0,,0,30.0,1996-04-26,0,2026-12-31,20,1957,0,0.0,0,0.0,0.55,66.67,Georgia,['Georgia'],unknown,0,0,False,1.06,0.14,100.0,0.23,40.0,0.05,0.06,0.0,0.87,1.18,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,75.0,0.0,0.0,0.0,10.44,0.09,0.18,16.28,83.62,8.28,72.22,0.0,0.0,11.77,96.48,4.46,50.52,29.72,51.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,32.14,0.18,0.0,0.09,0.0,0.0,0.0,3.45,61.33,95.65,7.4,27,1.24,88,4.05,4,69.32,25.54,1.17,-1.46,-0.067,0.0,0.78,0.23,,,,0.0,0,0
O. Vorobey,Oleksandr Vorobey,465510,Gagra,Gagra,https://cdn5.wyscout.com/photos/team/public/3789_120x120.png,Erovnuli Liga,GK,GK,100,,0,,0,31.0,1995-06-14,150000,2026-12-31,20,1953,0,0.0,0,0.0,0.8300000000000001,100.0,Ukraine,['Ukraine'],right,190,78,False,1.71,0.14,100.0,0.6000000000000001,100.0,0.0,0.0,0.0,1.57,1.76,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,11.11,0.23,0.23,17.56,91.08,7.74,85.71,0.0,0.0,13.27,97.92,4.29,69.89,27.77,44.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,35.29,0.09,0.0,0.0,0.0,0.0,0.0,3.23,71.43,94.79,8.85,26,1.2,99,4.5600000000000005,3,73.74,33.98,1.57,7.98,0.368,0.0,1.47,0.6000000000000001,,,,0.0,0,0
N. Kentchadze,Nikoloz Kentchadze,476624,Spaeri,Spaeri,https://cdn5.wyscout.com/photos/team/public/g-10031_120x120.png,Erovnuli Liga,RCB,RCB,83,,0,,0,28.0,1997-09-30,0,2026-12-31,20,1935,2,1.9,0,0.12,10.98,62.29,Georgia,['Georgia'],,0,0,False,8.14,4.7,73.27,2.65,38.6,0.28,0.37,0.47000000000000003,4.42,5.93,0.7000000000000001,2,0.09,0,0.0,0.65,0.09,2,0.09,0.09,1,0.05,13,0.6000000000000001,30.77,15.385,0.0,0.09,50.0,0.0,0.0,0.09,50.0,0.0,0.51,81.82,2.14,65.22,0.65,0.47000000000000003,0.14,30.42,0.51,1.3,43.91,89.62,18.33,79.44,2.93,96.83,38.33,94.3,5.49,57.63,22.1,39.51,0.01,0.14,0.0,0.0,0.0,0.0,0.0,4.74,71.57,0.42,33.33,0.47000000000000003,20.0,0.14,0.05,8.09,72.99,98.29,19.02,0,,0,,0,0.0,0.0,0.0,,,2.19,,2.65,0.0,0.0,0.0,0.0,0,0
