Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Biernat,Marcin Biernat,241582,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała,https://cdn5.wyscout.com/photos/team/public/2796_120x120.png,I Liga,CB,CB,100,,0,,0,34.0,1992-05-28,0,2028-06-30,6,588,1,1.54,0,0.01,10.41,58.82,Poland,['Poland'],right,190,78,False,5.66,1.53,30.0,5.2,55.88,0.15,0.25,0.61,5.05,8.18,0.92,2,0.31,0,0.0,0.31,0.15,0,0.0,0.24,0,0.0,4,0.61,25.0,25.0,0.0,0.31,50.0,0.15,0.0,0.15,100.0,0.0,0.15,0.0,1.99,76.92,1.07,0.77,0.15,23.11,0.0,1.99,37.04,92.56,10.41,86.76,1.22,87.5,35.36,93.94,1.38,66.67,19.69,28.6,0.0,0.15,0.0,0.0,0.0,0.0,0.0,3.06,90.0,0.31,100.0,0.0,0.0,0.31,0.15,3.67,70.83,97.18,21.73,0,,0,,0,0.0,0.0,0.0,,,0.15,,5.2,0.15,0.0,0.0,0.0,1,100
M. Jeleń,Mateusz Jeleń,-310961,Polonia Warszawa,Polonia Warszawa,https://cdn5.wyscout.com/photos/team/public/446_120x120.png,I Liga,GK,GK,100,,0,,0,19.0,2007-02-02,0,2027-06-30,6,587,0,0.0,0,0.0,0.31,100.0,Poland,['Poland'],right,188,78,True,0.31,0.15,100.0,0.15,100.0,0.0,0.0,0.0,0.15,0.26,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95,0.15,0.15,23.15,84.11,12.27,78.75,0.15,0.0,15.64,93.14,7.51,65.31,28.03,46.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,42.86,0.0,0.0,0.0,0.0,0.0,0.0,6.75,61.36,94.92,9.05,8,1.23,21,3.22,1,61.9,5.38,0.8200000000000001,-2.62,-0.402,0.0,0.77,0.15,,,,0.0,0,0
M. Marcjanik,Michał Marcjanik,302738,Polonia Warszawa,Polonia Warszawa,https://cdn5.wyscout.com/photos/team/public/446_120x120.png,I Liga,LCB,LCB,96,,0,,0,31.0,1994-12-15,300000,2028-06-30,6,587,0,0.74,0,0.0,9.05,50.85,Poland,['Poland'],right,188,82,False,6.59,2.61,47.06,5.21,52.94,0.0,0.0,0.46,5.37,9.21,1.23,0,0.0,0,0.0,0.15,0.0,0,0.0,0.11,0,0.0,5,0.77,20.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.46,0.0,41.09,0.15,0.0,51.06,93.69,14.57,83.16,3.37,100.0,48.3,95.87,2.61,58.82,20.19,39.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,83.33,0.46,0.0,0.0,0.0,0.15,0.0,4.75,70.97,97.86,28.67,0,,0,,0,0.0,0.0,0.0,,,2.76,,5.21,0.0,0.0,0.0,0.0,0,0
D. Gnaase,Dave Gnaase,409560,Polonia Warszawa,Polonia Warszawa,https://cdn5.wyscout.com/photos/team/public/446_120x120.png,I Liga,"RDMF, RCMF",RDMF,61,RCMF,34,,0,29.0,1996-12-14,600000,2027-06-30,6,587,1,1.78,0,0.06,12.11,53.16,Germany,['Germany'],right,179,77,False,5.37,4.29,64.29,1.38,44.44,0.31,0.53,0.77,2.3,3.95,0.61,1,0.15,0,0.0,0.61,0.15,0,0.0,0.27,0,0.0,9,1.38,33.33,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,25.0,5.37,45.71,2.3,1.38,0.15,31.28,0.31,1.8399999999999999,43.85,83.57,11.81,58.44,6.59,95.35,40.78,86.09,3.07,50.0,17.15,42.45,0.01,0.15,0.15,0.0,0.0,0.0,0.15,7.05,73.91,0.92,33.33,0.0,0.0,0.92,0.0,5.98,64.1,93.86,17.48,0,,0,,0,0.0,0.0,0.0,,,0.77,,1.38,0.0,0.0,0.0,0.0,1,100
M. Gostomski,Maciej Gostomski,12606,Stal Mielec,Stal Mielec,https://cdn5.wyscout.com/photos/team/public/g3118_120x120.png,I Liga,GK,GK,100,,0,,0,37.0,1988-09-27,125000,2027-06-30,6,586,0,0.0,0,0.0,0.31,50.0,Poland,['Poland'],both,195,90,False,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.21,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,6.6,0.61,0.15,13.21,81.4,6.14,62.5,0.0,0.0,9.06,98.31,4.15,44.44,32.07,45.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,22.22,0.15,0.0,0.0,0.0,0.0,0.0,2.61,52.94,100.0,6.14,13,2.0,36,5.53,0,63.89,13.75,2.11,0.75,0.115,0.0,2.0,0.0,,,,0.0,0,0
Israel Puerto,Israel Puerto Pineda,154763,Stal Mielec,Stal Mielec,https://cdn5.wyscout.com/photos/team/public/g3118_120x120.png,I Liga,LCB,LCB,100,,0,,0,33.0,1993-06-15,400000,2027-06-30,6,586,1,0.44,0,0.0,11.06,63.89,Spain,['Spain'],right,187,75,False,9.37,3.07,60.0,5.22,58.82,0.0,0.0,1.08,7.53,10.21,1.08,1,0.15,0,0.0,0.61,0.15,1,0.15,0.07,1,0.15,2,0.31,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,100.0,1.54,90.0,0.61,0.92,0.0,30.72,0.92,1.69,44.69,87.63,17.82,75.86,1.8399999999999999,100.0,35.17,93.89,9.52,64.52,25.6,44.18,0.0,0.0,0.15,0.15,0.0,0.0,0.0,6.14,67.5,0.31,50.0,0.0,0.0,0.46,0.0,7.99,69.23,96.38,21.19,0,,0,,0,0.0,0.0,0.0,,,0.61,,5.22,0.0,0.0,0.0,0.0,0,0
B. Kukułowicz,Bartłomiej Kukułowicz,468241,Stal Mielec,Stal Mielec,https://cdn5.wyscout.com/photos/team/public/g3118_120x120.png,I Liga,RB,RB,100,,0,,0,25.0,2000-10-11,75000,,6,586,0,0.15,0,0.6000000000000001,12.44,55.56,Poland,['Poland'],right,181,72,False,9.37,7.06,45.65,2.15,85.71,0.15,0.21,0.92,5.99,8.13,1.54,2,0.31,0,0.0,1.23,0.0,0,0.0,0.02,0,0.0,7,1.08,0.0,0.0,0.0,1.8399999999999999,33.33,0.31,0.0,1.54,40.0,0.15,0.61,100.0,2.3,66.67,0.31,1.23,0.31,35.02,2.0,0.92,42.85,82.08,17.2,75.0,6.3,80.49,37.32,87.65,3.69,50.0,17.59,38.13,0.09,0.46,0.0,0.31,0.0,0.0,0.31,6.76,70.45,3.07,40.0,0.0,0.0,0.46,0.77,7.22,72.34,85.87,14.13,0,,0,,0,0.0,0.0,0.0,,,0.31,,2.15,1.23,0.15,0.0,1.38,0,0
M. Pingot,Maksymilian Pingot,-254014,Odra Opole,Odra Opole,https://cdn5.wyscout.com/photos/team/public/g3130_120x120.png,I Liga,LCB3,LCB3,100,,0,,0,23.0,2003-04-01,700000,2028-06-30,6,585,1,0.52,0,0.1,11.08,54.17,Poland,['Poland'],left,188,78,True,5.38,2.92,63.16,6.15,50.0,0.0,0.0,0.46,3.54,4.54,0.77,0,0.0,0,0.0,0.77,0.15,1,0.15,0.08,0,0.0,4,0.62,25.0,25.0,0.0,1.08,14.29,1.08,14.29,0.0,0.0,0.0,0.77,60.0,2.0,53.85,0.77,0.46,0.15,26.92,0.31,0.46,36.31,80.51,18.46,75.0,2.31,100.0,27.38,89.89,8.0,55.77,22.32,38.75,0.02,0.15,0.0,0.0,0.0,0.0,0.15,6.92,71.11,1.38,33.33,0.0,0.0,0.46,0.15,8.92,70.69,81.33,11.54,0,,0,,0,0.0,0.0,0.0,,,0.46,,6.15,0.0,0.0,0.0,0.0,0,0
T. Gajda,Tomasz Gajda,-195188,Odra Opole,Odra Opole,https://cdn5.wyscout.com/photos/team/public/g3130_120x120.png,I Liga,"LCMF, LWF",LCMF,59,LWF,37,,0,30.0,1995-12-18,0,2028-06-30,6,585,0,0.48,1,0.9400000000000001,12.77,43.37,Poland,['Poland'],,0,0,False,5.23,3.85,32.0,3.08,50.0,0.0,0.0,0.46,4.0,5.13,2.0,0,0.0,0,0.0,2.31,0.0,0,0.0,0.07,0,0.0,5,0.77,60.0,0.0,0.15,2.0,23.08,1.69,9.09,0.31,100.0,0.15,1.54,80.0,5.23,47.06,0.31,1.23,0.31,24.77,0.77,0.31,37.85,78.05,11.85,67.53,2.92,94.74,32.62,84.43,3.23,47.62,18.06,44.66,0.14,0.62,0.0,0.0,0.15,100.0,0.15,6.77,63.64,3.23,42.86,0.31,50.0,0.77,0.62,5.69,62.16,80.77,16.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.08,0.92,0.15,100.0,2.46,0,0
A. Haluch,Artur Haluch,408316,Odra Opole,Odra Opole,https://cdn5.wyscout.com/photos/team/public/g3130_120x120.png,I Liga,GK,GK,100,,0,,0,31.0,1995-07-23,350000,2027-06-30,6,585,0,0.0,0,0.0,0.46,100.0,Poland,['Poland'],right,192,77,False,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.39,0.0,0,0.0,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.46,100.0,0.0,0.0,0.0,10.77,0.62,0.31,20.0,79.23,12.46,69.14,0.15,100.0,12.0,98.72,7.85,50.98,33.92,47.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,70.0,0.46,66.67,0.0,0.0,0.15,0.0,6.92,66.67,100.0,6.92,6,0.92,23,3.54,2,73.91,6.97,1.07,0.97,0.149,0.0,1.85,0.0,,,,0.0,0,0
