Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Mahdy,Momen Mahdy,-800506,Olympic El Qanah,Olympic El Qanah,https://cdn5.wyscout.com/photos/team/public/g20482_120x120.png,Premier League,LCB,LCB,94,,0,,0,27.0,1999-08-02,0,,3,303,0,0.0,0,0.01,8.61,55.17,Egypt,['Egypt'],unknown,0,0,False,11.88,2.08,71.43,5.05,58.82,0.59,0.75,0.89,9.8,12.38,1.19,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,50.0,0.0,0.0,0.0,12.77,0.0,0.59,20.79,84.29,8.91,66.67,1.19,100.0,18.71,92.06,2.08,14.29,22.11,42.62,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,1.19,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9699999999999998,40.0,97.3,10.99,0,,0,,0,0.0,0.0,0.0,,,0.59,,5.05,0.30000000000000004,0.0,0.0,0.0,0,0
I. Samy,Ibrahim Samy,-456281,Olympic El Qanah,Olympic El Qanah,https://cdn5.wyscout.com/photos/team/public/g20482_120x120.png,Premier League,RCB,RCB,94,,0,,0,24.0,2002-02-17,0,2029-06-30,3,303,1,0.89,0,0.0,9.21,70.97,Egypt,['Egypt'],,0,0,False,12.48,3.27,81.82,4.75,75.0,0.59,0.75,0.89,9.21,11.63,0.30000000000000004,0,0.0,0,0.0,0.30000000000000004,0.30000000000000004,0,0.0,0.27,0,0.0,2,0.59,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.30000000000000004,0.0,0.0,13.37,0.30000000000000004,0.59,23.47,75.95,10.99,59.46,2.08,100.0,19.01,84.38,4.46,40.0,25.5,39.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,66.67,0.59,0.0,0.0,0.0,0.0,0.0,5.94,65.0,90.32,9.21,0,,0,,0,0.0,0.0,0.0,,,1.78,,4.75,0.0,0.0,0.0,0.0,1,100
H. Ibrahim,Hafiz Ibrahim,-454850,Olympic El Qanah,Olympic El Qanah,https://cdn5.wyscout.com/photos/team/public/g20482_120x120.png,Premier League,"RDMF, LDMF, DMF",RDMF,37,LDMF,36,DMF,20,24.0,2002-05-10,0,2028-06-30,3,303,0,0.0,0,0.03,8.02,62.96,Ghana,['Ghana'],unknown,0,0,False,5.35,2.67,66.67,1.49,40.0,0.0,0.0,0.30000000000000004,3.56,4.5,0.89,1,0.30000000000000004,0,0.0,1.19,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.59,50.0,0.0,0.0,0.59,50.0,0.0,0.89,100.0,3.27,63.64,0.0,0.30000000000000004,0.0,19.31,0.89,1.19,29.41,81.82,9.21,54.84,3.86,92.31,26.14,85.23,2.67,55.56,18.98,39.09,0.01,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,5.35,61.11,1.49,20.0,0.0,0.0,0.0,0.30000000000000004,4.16,64.29,97.56,12.18,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.49,0.0,0.0,0.0,0.0,0,0
Mohamed Shaaban,Mohamed Shaaban Mahmoud,-117283,Olympic El Qanah,Olympic El Qanah,https://cdn5.wyscout.com/photos/team/public/g20482_120x120.png,Premier League,GK,GK,100,,0,,0,31.0,1994-10-01,200000,2029-06-30,3,303,0,0.0,0,0.0,1.19,100.0,Egypt,['Egypt'],right,0,0,False,0.59,0.0,0.0,0.59,100.0,0.0,0.0,0.0,0.59,0.75,0.0,1,0.30000000000000004,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,100.0,0.0,0.0,0.0,5.05,0.30000000000000004,1.19,10.69,61.11,8.32,53.57,0.59,50.0,2.38,100.0,8.02,51.85,47.06,56.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,44.44,0.0,0.0,0.0,0.0,0.0,0.0,5.94,70.0,100.0,2.08,2,0.59,13,3.86,1,84.62,5.69,1.69,3.69,1.096,0.30000000000000004,4.75,0.59,,,,0.0,0,0
Khaled Sobhi,Khaled Sobhi,-117311,Al Masry,Al Masry,https://cdn5.wyscout.com/photos/team/public/3050_120x120.png,Premier League,LCB,LCB,96,,0,,0,31.0,1995-05-04,200000,2028-06-30,3,303,0,0.0,0,0.0,5.94,60.0,Egypt,['Egypt'],left,0,0,False,6.53,1.49,100.0,3.27,36.36,0.0,0.0,0.0,5.05,8.23,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,100.0,0.0,0.30000000000000004,0.0,21.68,0.59,0.89,37.43,79.37,18.71,69.84,1.78,83.33,30.3,86.27,7.13,50.0,22.72,40.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,56.52,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,0.0,8.02,74.07,90.91,13.07,0,,0,,0,0.0,0.0,0.0,,,1.49,,3.27,0.0,0.0,0.0,0.0,0,0
Mahmoud Hamdy,Mahmoud Hamdy Ahmed Ali Abd El Baki,299873,Al Masry,Al Masry,https://cdn5.wyscout.com/photos/team/public/3050_120x120.png,Premier League,GK,GK,100,,0,,0,32.0,1993-11-01,200000,2028-06-30,3,303,0,0.0,0,0.0,0.59,100.0,Egypt,['Egypt'],,185,0,False,0.30000000000000004,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,0.30000000000000004,0.48,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,8.91,0.30000000000000004,0.59,16.63,85.71,9.8,78.79,0.0,0.0,11.29,100.0,5.35,55.56,28.61,45.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,54.55,94.12,5.05,3,0.89,13,3.86,1,76.92,2.38,0.71,-0.62,-0.184,0.0,2.08,0.30000000000000004,,,,0.0,0,0
Baher El Mohamady,Baher El Mohamady,470420,Al Masry,Al Masry,https://cdn5.wyscout.com/photos/team/public/3050_120x120.png,Premier League,RCB,RCB,96,,0,,0,29.0,1996-12-26,500000,2028-06-30,3,303,0,0.0,0,0.0,7.43,52.0,Egypt,['Egypt'],right,179,0,False,6.83,2.08,42.86,2.67,44.44,0.0,0.0,0.0,5.94,9.68,0.59,1,0.30000000000000004,0,0.0,0.59,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,66.67,2.08,57.14,0.0,0.59,0.0,19.9,0.0,0.89,32.67,88.18,10.4,82.86,2.38,87.5,28.81,91.75,3.86,61.54,21.16,34.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,42.86,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,3.86,46.15,97.92,14.26,0,,0,,0,0.0,0.0,0.0,,,1.49,,2.67,0.0,0.0,0.0,0.0,0,0
S. Teka,Seif Teka,216930,Wadi Degla,Wadi Degla,https://cdn5.wyscout.com/photos/team/public/3047_120x120.png,Premier League,"LCB, RCB",LCB,66,RCB,33,,0,35.0,1991-04-10,200000,,3,299,1,0.65,0,0.0,11.14,54.05,Tunisia,['Tunisia'],right,184,82,False,4.82,3.61,25.0,5.42,72.22,0.0,0.0,0.30000000000000004,3.91,8.3,1.81,1,0.30000000000000004,0,0.0,0.30000000000000004,0.30000000000000004,1,0.30000000000000004,0.19,1,0.30000000000000004,4,1.2,25.0,25.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,0.0,0.0,0.6000000000000001,100.0,2.11,0.9,0.0,36.12,0.9,0.30000000000000004,49.97,90.96,13.24,81.82,2.41,87.5,45.45,94.7,4.21,57.14,19.49,42.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,66.67,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,4.21,71.43,97.7,26.19,0,,0,,0,0.0,0.0,0.0,,,1.51,,5.42,0.0,0.0,0.0,0.0,0,0
Amr Hossam,Amr Hossam,474003,Wadi Degla,Wadi Degla,https://cdn5.wyscout.com/photos/team/public/3047_120x120.png,Premier League,GK,GK,100,,0,,0,35.0,1991-08-29,200000,2028-06-30,3,299,0,0.0,0,0.0,0.6000000000000001,100.0,Egypt,['Egypt'],right,183,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,100.0,0.0,0.0,0.0,9.03,0.0,0.6000000000000001,16.86,78.57,10.23,67.65,0.0,0.0,11.44,94.74,5.42,44.44,32.19,47.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,53.85,100.0,4.82,1,0.30000000000000004,11,3.31,2,90.91,2.09,0.63,1.09,0.328,0.0,0.9,0.0,,,,0.0,0,0
Abdelrahman Samir,Abdelrahman Samir,-303302,ENPPI,ENPPI,https://cdn5.wyscout.com/photos/team/public/1831_120x120.png,Premier League,GK,GK,100,,0,,0,26.0,2000-07-23,0,,3,298,0,0.0,0,0.0,0.0,0.0,Egypt,['Egypt'],,0,0,False,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.27,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.59,0.30000000000000004,0.0,22.95,81.58,12.08,77.5,0.0,0.0,14.19,95.74,8.46,60.71,32.92,45.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,75.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,55.56,87.5,9.66,6,1.81,16,4.83,1,62.5,5.51,1.6600000000000001,-0.49,-0.148,0.0,0.30000000000000004,0.0,,,,0.0,0,0
