Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Gelios,Ioannis Gelios,155043,Kalamata,Kalamata,https://cdn5.wyscout.com/photos/team/public/1557_120x120.png,Stoiximan Super League,GK,GK,100,,0,,0,34,1992-04-24,250000,2027-06-30,2,203,0,0.0,0,0.0,0.0,0.0,Germany,"['Germany', 'Greece']",right,190,80,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,9.75,0.0,0.0,19.06,83.72,8.87,70.0,0.44,100.0,12.41,96.43,6.65,60.0,31.04,45.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,61.54,95.45,9.75,5,2.22,11,4.88,0,54.55,4.34,1.9300000000000002,-0.66,-0.293,0.0,0.44,0.0,,,,0.0,0,0
A. Mendes Moreira,Ahmad Mendes Moreira,325410,Kalamata,Kalamata,https://cdn5.wyscout.com/photos/team/public/1557_120x120.png,Stoiximan Super League,"LAMF, CF, RAMF",LAMF,53,CF,30,RAMF,15,31,1995-06-27,350000,,2,203,0,0.01,1,0.47000000000000003,15.96,61.11,Netherlands,"['Netherlands', 'Guinea']",left,178,70,False,3.55,2.22,80.0,4.88,54.55,0.0,0.0,0.0,1.77,2.93,0.44,2,0.89,0,0.0,1.77,0.0,0,0.0,0.0,0,0.0,2,0.89,0.0,0.0,0.44,0.89,0.0,0.89,0.0,0.0,0.0,0.0,1.77,75.0,7.54,64.71,1.77,1.33,0.0,12.41,1.77,3.1,17.29,51.28,7.54,47.06,2.66,100.0,13.3,63.33,3.55,12.5,19.3,40.41,0.21,0.89,0.0,0.0,0.44,100.0,0.44,2.66,16.67,2.66,33.33,0.89,50.0,1.33,0.0,3.1,42.86,45.45,4.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.88,1.33,0.44,0.0,0.89,0,0
S. Stroungis,Stefanos Stroungis,524276,Kalamata,Kalamata,https://cdn5.wyscout.com/photos/team/public/1557_120x120.png,Stoiximan Super League,RCB,RCB,92,,0,,0,28,1997-10-09,200000,2028-06-30,2,203,0,0.47000000000000003,0,0.0,10.2,47.83,Greece,['Greece'],right,187,80,False,12.86,3.1,42.86,3.99,55.56,0.0,0.0,3.55,11.53,19.02,0.89,1,0.44,0,0.0,0.44,0.0,0,0.0,0.21,0,0.0,1,0.44,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,75.0,0.44,0.44,0.44,21.72,0.44,0.89,35.47,85.0,17.29,76.92,1.33,100.0,31.03,92.86,4.43,30.0,21.89,40.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,55.56,0.44,0.0,0.0,0.0,0.0,0.0,7.98,66.67,97.06,15.07,0,,0,,0,0.0,0.0,0.0,,,1.33,,3.99,0.0,0.0,0.0,0.0,0,0
Fabiano,Fabiano Leismann,184542,Aris,Aris,https://cdn5.wyscout.com/photos/team/public/432_120x120.png,Stoiximan Super League,RCB,RCB,100,,0,,0,34,1991-11-18,800000,2027-06-30,2,203,2,0.65,0,0.22,8.42,78.95,Brazil,['Brazil'],right,188,82,False,8.87,3.55,87.5,3.55,87.5,0.0,0.0,0.0,5.76,10.54,0.89,1,0.44,0,0.0,1.77,0.89,2,0.89,0.29,0,0.0,5,2.22,60.0,40.0,0.0,0.89,50.0,0.0,0.0,0.89,50.0,0.0,0.0,0.0,0.0,0.0,3.55,0.89,0.0,22.17,0.0,0.44,36.35,84.15,14.19,81.25,1.77,75.0,27.93,90.48,7.54,64.71,23.87,42.92,0.1,0.89,0.0,0.0,0.0,0.0,0.89,6.21,71.43,1.33,33.33,0.0,0.0,0.44,0.44,8.42,73.68,89.19,16.4,0,,0,,0,0.0,0.0,0.0,,,0.44,,3.55,0.0,0.0,0.0,0.0,0,0
F. Jensen,Fredrik Jensen,319689,Aris,Aris,https://cdn5.wyscout.com/photos/team/public/432_120x120.png,Stoiximan Super League,LCB,LCB,100,,0,,0,28,1997-09-09,0,2028-06-30,2,203,0,0.0,0,0.0,8.42,47.37,Finland,['Finland'],right,183,78,False,6.65,3.99,66.67,1.77,50.0,0.0,0.0,0.44,3.99,7.3,1.77,1,0.44,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,26.6,0.0,0.0,41.67,88.3,15.52,77.14,3.99,100.0,36.8,92.77,4.88,54.55,24.38,43.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,100.0,0.44,100.0,0.0,0.0,0.44,0.0,6.21,71.43,95.24,18.62,0,,0,,0,0.0,0.0,0.0,,,3.55,,1.77,0.0,0.0,0.0,0.0,0,0
U. Račić,Uroš Račić,445370,Aris,Aris,https://cdn5.wyscout.com/photos/team/public/432_120x120.png,Stoiximan Super League,LDMF,LDMF,91,,0,,0,28,1998-03-17,0,2029-06-30,2,203,1,1.56,1,0.45,15.52,65.71,Serbia,['Serbia'],right,193,81,False,4.88,4.43,60.0,3.1,71.43,0.0,0.0,0.0,2.22,4.05,2.22,1,0.44,0,0.0,2.22,0.44,0,0.0,0.6900000000000001,0,0.0,4,1.77,75.0,25.0,0.44,0.44,0.0,0.44,0.0,0.0,0.0,0.0,0.89,100.0,6.21,64.29,3.1,0.44,0.0,21.72,0.44,1.77,39.01,77.27,11.53,84.62,5.32,91.67,34.58,82.05,3.99,44.44,18.79,34.68,0.2,0.89,0.0,0.0,0.0,0.0,0.89,4.43,70.0,1.77,25.0,0.0,0.0,0.89,0.0,4.88,72.73,82.35,15.07,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.1,0.44,0.0,0.0,0.0,2,50
Ricardo Velho,Mário Ricardo Silva Velho,452419,Aris,Aris,https://cdn5.wyscout.com/photos/team/public/432_120x120.png,Stoiximan Super League,GK,GK,100,,0,,0,28,1998-08-20,3000000,2028-06-30,2,203,0,0.0,0,0.0,0.0,0.0,Portugal,['Portugal'],right,188,82,False,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.62,0.0,1,0.44,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.44,0.0,15.96,80.56,7.98,66.67,0.0,0.0,8.87,100.0,7.09,56.25,35.92,47.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,60.0,94.44,7.98,3,1.33,6,2.66,0,50.0,2.86,1.27,-0.14,-0.062,0.0,0.89,0.0,,,,0.0,0,0
N. Fadiga,Noah Fadiga,460073,Aris,Aris,https://cdn5.wyscout.com/photos/team/public/432_120x120.png,Stoiximan Super League,"RB, LB",RB,64,LB,35,,0,26,1999-12-03,1000000,2028-06-30,2,203,0,0.11,0,0.01,7.98,38.89,Belgium,"['Belgium', 'Senegal']",right,187,76,False,4.43,2.66,33.33,0.89,100.0,0.0,0.0,0.0,3.55,6.49,2.22,1,0.44,0,0.0,0.89,0.0,0,0.0,0.05,0,0.0,1,0.44,0.0,0.0,0.0,2.22,40.0,0.44,100.0,1.77,25.0,0.44,0.44,0.0,2.22,20.0,0.89,1.33,0.44,14.63,1.33,1.33,18.18,73.17,6.21,50.0,2.66,100.0,14.63,84.85,1.33,0.0,19.31,58.53,0.01,0.44,0.0,0.0,0.0,0.0,0.0,3.1,28.57,1.77,50.0,0.0,0.0,0.44,0.44,2.66,33.33,77.78,3.99,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.89,0.0,0.0,0.0,0.0,0,0
H. Essaoubi,Hatim Essaoubi,-199798,Volos NFC,Volos NFC,https://cdn5.wyscout.com/photos/team/public/g40532_120x120.png,Stoiximan Super League,"RCB, RCB3",RCB,68,RCB3,31,,0,25,2000-12-13,900000,2029-06-30,2,199,0,0.72,0,0.0,19.45,60.47,Morocco,['Morocco'],right,189,0,True,9.05,8.14,55.56,7.24,75.0,0.0,0.0,0.45,4.52,7.32,2.26,1,0.45,0,0.0,0.45,0.0,0,0.0,0.32,0,0.0,3,1.3599999999999999,0.0,0.0,0.0,0.45,100.0,0.45,100.0,0.0,0.0,0.0,0.45,0.0,2.26,40.0,1.81,0.9,0.0,19.45,0.0,1.3599999999999999,38.89,90.7,17.64,82.05,2.26,100.0,36.63,92.59,1.81,50.0,17.37,36.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,88.89,0.9,50.0,0.0,0.0,0.9,0.45,7.69,76.47,96.67,13.57,0,,0,,0,0.0,0.0,0.0,,,0.45,,7.24,0.0,0.0,0.0,0.0,0,0
G. Kargas,Giannis Kargas,270099,Volos NFC,Volos NFC,https://cdn5.wyscout.com/photos/team/public/g40532_120x120.png,Stoiximan Super League,"LCB, CB",LCB,68,CB,31,,0,31,1994-12-09,400000,2028-06-30,2,199,0,0.23,0,0.0,14.02,77.42,Greece,['Greece'],right,188,78,False,8.14,3.17,57.14,5.88,76.92,0.0,0.0,0.0,6.33,10.24,0.0,0,0.0,0,0.0,1.3599999999999999,0.0,0,0.0,0.1,0,0.0,2,0.9,0.0,0.0,0.0,0.45,100.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,3.17,100.0,0.9,0.0,0.0,23.97,0.9,3.17,42.51,80.85,10.4,69.57,1.81,50.0,36.63,85.19,5.43,50.0,22.0,41.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,57.14,1.3599999999999999,0.0,0.0,0.0,0.0,0.45,4.97,36.36,92.86,25.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.88,0.0,0.0,0.0,0.0,0,0
