Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Guilherme Pires,Guilherme Meireles Pires,-323516,Sporting CP II,Sporting CP II,https://cdn5.wyscout.com/photos/team/public/g1728_120x120.png,Segunda Liga,GK,GK,100,,0,,0,21.0,2005-04-19,0,2027-06-30,4,406,0,0.0,0,0.0,0.89,100.0,Portugal,['Portugal'],right,194,80,False,0.67,0.22,100.0,0.22,100.0,0.0,0.0,0.0,0.44,0.77,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,100.0,0.0,0.0,0.0,9.75,0.22,0.67,19.73,86.52,10.2,76.09,0.22,100.0,15.07,100.0,4.66,42.86,27.3,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,16.67,0.22,0.0,0.0,0.0,0.0,0.0,2.0,77.78,97.3,8.2,3,0.67,12,2.66,2,75.0,4.67,1.03,1.67,0.37,0.22,1.55,0.22,,,,0.0,0,0
M. Tanlongo,Mateo Tanlongo,-231590,Sporting CP II,Sporting CP II,https://cdn5.wyscout.com/photos/team/public/g1728_120x120.png,Segunda Liga,"RCMF, DMF, RDMF",RCMF,45,DMF,29,RDMF,24,23.0,2003-08-12,2000000,2027-06-30,4,406,0,0.16,0,0.01,10.2,50.0,Argentina,"['Argentina', 'Italy']",right,177,68,False,8.87,5.76,57.69,2.44,36.36,0.0,0.0,0.44,5.54,9.62,0.67,1,0.22,0,0.0,0.44,0.0,0,0.0,0.04,0,0.0,3,0.67,33.33,0.0,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.0,0.44,50.0,1.55,42.86,0.0,0.0,0.0,24.83,0.0,0.22,37.24,81.55,12.64,64.91,6.43,93.1,33.25,86.0,3.77,47.06,17.57,38.46,0.0,0.44,0.0,0.0,0.0,0.0,0.0,5.99,70.37,1.11,40.0,0.0,0.0,0.67,0.0,4.88,72.73,91.8,13.52,0,,0,,0,0.0,0.0,0.0,,,0.89,,2.44,0.0,0.0,0.0,0.0,0,0
Nermin Zolotić,Nermin Zolotić,181596,Farense,Farense,https://cdn5.wyscout.com/photos/team/public/g1729_120x120.png,Segunda Liga,LCB,LCB,100,,0,,0,33.0,1993-07-07,700000,2027-06-30,4,404,0,0.0,1,0.5700000000000001,9.8,50.0,Bosnia and Herzegovina,['Bosnia and Herzegovina'],left,188,77,False,7.35,2.9,69.23,4.68,28.57,0.0,0.0,0.67,5.35,8.37,0.45,0,0.0,0,0.0,0.45,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.22,0.67,66.67,0.67,66.67,0.0,0.0,0.22,0.22,0.0,1.11,60.0,0.89,0.22,0.0,35.87,1.11,0.67,54.13,88.07,22.5,79.21,2.45,100.0,46.78,91.43,6.68,66.67,21.68,44.18,0.13,0.67,0.0,0.0,0.0,0.0,0.45,5.57,72.0,0.45,0.0,0.22,100.0,0.22,0.45,10.47,74.47,94.78,25.62,0,,0,,0,0.0,0.0,0.0,,,1.56,,4.68,0.0,0.0,0.0,0.0,0,0
F. Buntić,Fabijan Buntić,310356,Farense,Farense,https://cdn5.wyscout.com/photos/team/public/g1729_120x120.png,Segunda Liga,GK,GK,100,,0,,0,29.0,1997-02-24,600000,2027-06-30,4,404,0,0.0,0,0.0,0.22,100.0,Germany,"['Germany', 'Croatia']",left,194,91,False,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.35000000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,10.02,0.22,0.0,18.49,90.36,8.69,82.05,0.0,0.0,11.58,98.08,6.91,77.42,32.49,51.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,70.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,84.62,100.0,8.91,5,1.11,19,4.23,0,73.68,4.9,1.09,-0.1,-0.022,0.0,1.56,0.0,,,,0.0,0,0
Alex Pinto,Carlos Alexandre Reis Pinto,473006,Farense,Farense,https://cdn5.wyscout.com/photos/team/public/g1729_120x120.png,Segunda Liga,RB,RB,100,,0,,0,28.0,1998-07-08,600000,,4,404,0,0.0,0,0.45,11.14,58.0,Portugal,['Portugal'],right,187,81,False,8.24,6.01,62.96,2.23,70.0,0.22,0.35000000000000003,0.0,4.23,6.63,1.11,1,0.22,0,0.0,1.56,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.56,31.25,0.0,0.0,3.56,31.25,0.22,0.67,66.67,2.23,40.0,0.22,0.89,0.0,25.17,1.56,0.22,37.2,67.66,15.37,55.07,5.57,100.0,26.29,79.66,7.35,42.42,21.9,36.89,0.1,0.67,0.0,0.22,0.0,0.0,0.22,5.79,53.85,4.68,38.1,0.0,0.0,0.89,0.89,8.24,67.57,66.67,12.7,0,,0,,0,0.0,0.0,0.0,,,0.22,,2.23,0.0,0.0,0.0,0.22,0,0
Cláudio Falcão,Cláudio Falcão Santos,385803,Farense,Farense,https://cdn5.wyscout.com/photos/team/public/g1729_120x120.png,Segunda Liga,"DMF, RDMF, RCB",DMF,53,RDMF,32,RCB,14,32.0,1994-07-03,1000000,2029-06-30,4,403,1,0.58,0,0.0,10.27,50.0,Brazil,"['Brazil', 'Portugal']",right,187,79,False,6.25,4.47,55.0,2.68,33.33,0.0,0.0,0.45,3.8,6.0,1.56,2,0.45,1,0.22,1.34,0.22,1,0.22,0.13,1,0.22,4,0.89,75.0,25.0,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.22,0.67,100.0,2.01,55.56,0.89,0.22,0.0,19.21,0.0,0.22,31.71,85.21,12.28,76.36,3.8,94.12,27.02,90.91,4.47,55.0,20.73,38.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,70.0,0.89,50.0,0.22,0.0,0.22,0.22,5.8100000000000005,73.08,90.91,12.28,0,,0,,0,0.0,0.0,0.0,,,1.12,,2.68,0.0,0.0,0.0,0.0,0,0
Cláudio Araújo,Claudio Vitor Rodrigues Araújo,-359219,Leixões,Leixões,https://cdn5.wyscout.com/photos/team/public/169_120x120.png,Segunda Liga,"LCMF3, LCMF",LCMF3,70,LCMF,20,,0,23.0,2003-02-22,0,2028-06-30,4,403,0,1.05,0,0.46,16.53,50.0,Portugal,['Portugal'],right,177,69,False,5.8100000000000005,7.59,52.94,2.23,10.0,0.0,0.0,0.22,1.79,3.08,1.79,0,0.0,0,0.0,2.01,0.0,0,0.0,0.24,0,0.0,10,2.23,20.0,0.0,0.0,0.89,75.0,0.67,66.67,0.22,100.0,0.0,1.12,80.0,6.03,62.96,3.13,1.56,0.22,20.77,1.12,2.23,30.6,86.86,9.38,73.81,7.15,100.0,27.47,87.8,2.23,80.0,16.85,39.19,0.1,1.56,0.0,0.0,0.22,0.0,0.89,4.69,90.48,1.79,50.0,0.45,50.0,0.89,0.67,4.91,86.36,86.67,10.05,0,,0,,0,0.0,0.0,0.0,,,0.22,,2.23,0.0,0.0,0.0,0.0,0,0
Tiago Simões,Tiago Alexandre Almeida Simões,-209806,Chaves,Chaves,https://cdn5.wyscout.com/photos/team/public/1978_120x120.png,Segunda Liga,"LCB, LCB3",LCB,72,LCB3,27,,0,26.0,2000-05-25,0,2029-06-30,4,403,0,0.2,1,0.2,11.17,58.0,Portugal,['Portugal'],left,189,83,False,4.24,2.68,33.33,5.14,73.91,0.0,0.0,0.0,3.35,5.5600000000000005,1.12,0,0.0,0,0.0,1.34,0.0,0,0.0,0.04,0,0.0,4,0.89,25.0,0.0,0.22,1.12,80.0,1.12,80.0,0.0,0.0,0.0,0.22,100.0,1.12,60.0,0.45,0.45,0.0,44.89,0.45,1.12,60.52,85.61,24.57,72.73,3.35,100.0,49.58,95.05,10.05,40.0,24.88,47.26,0.04,0.45,0.0,0.22,0.0,0.0,0.45,9.83,59.09,1.56,71.43,0.0,0.0,0.67,0.67,11.84,71.7,93.13,29.26,0,,0,,0,0.0,0.0,0.0,,,3.13,,5.14,0.0,0.0,0.0,0.0,0,0
Ktatau,Talysson Moreira Reis,-114035,Chaves,Chaves,https://cdn5.wyscout.com/photos/team/public/1978_120x120.png,Segunda Liga,"RCMF, RCMF3, RDMF",RCMF,33,RCMF3,27,RDMF,23,25.0,2001-07-13,0,2028-06-30,4,403,1,0.41000000000000003,0,0.08,10.94,59.18,Brazil,['Brazil'],right,180,75,False,6.03,4.24,68.42,0.89,75.0,0.0,0.0,0.0,3.13,5.19,0.22,0,0.0,0,0.0,0.22,0.22,1,0.22,0.09,0,0.0,6,1.34,16.67,16.667,0.0,0.67,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,4.02,38.89,1.34,0.67,0.0,29.93,0.45,0.89,43.1,87.56,16.3,78.08,6.25,96.43,39.53,92.66,2.9,38.46,17.37,38.26,0.02,0.22,0.0,0.22,0.0,0.0,0.22,6.25,85.71,1.12,60.0,0.0,0.0,0.89,0.22,6.25,78.57,94.2,15.41,0,,0,,0,0.0,0.0,0.0,,,0.45,,0.89,0.22,0.0,0.0,0.45,0,0
Roberto,Roberto Porfirio Maximiano Rodrigo,166281,Chaves,Chaves,https://cdn5.wyscout.com/photos/team/public/1978_120x120.png,Segunda Liga,"CF, AMF",CF,73,AMF,23,,0,37.0,1988-11-28,75000,2027-06-30,4,403,0,0.81,0,0.47000000000000003,6.7,60.0,Portugal,['Portugal'],right,180,76,False,4.02,2.01,77.78,2.68,58.33,0.22,0.37,0.45,2.23,3.7,0.22,0,0.0,0,0.0,0.67,0.0,0,0.0,0.18,0,0.0,7,1.56,28.57,0.0,0.0,0.67,33.33,0.22,0.0,0.45,50.0,0.45,0.0,0.0,1.34,33.33,3.8,0.0,0.0,9.83,1.34,0.67,13.4,73.33,2.23,60.0,5.14,91.3,12.51,75.0,0.22,100.0,12.27,7.46,0.11,0.89,0.0,0.0,0.0,0.0,0.45,0.22,100.0,0.67,66.67,0.0,0.0,0.45,0.22,1.12,40.0,70.0,2.23,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.68,0.0,0.0,0.0,0.0,0,0
