Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Espinoza,Greta Alejandra Espinoza Casas,241952,Tigres UANL,Tigres UANL,https://cdn5.wyscout.com/photos/team/public/g-8735_120x120.png,Liga MX Femenil,LCB,LCB,90,,0,,0,30.0,1995-06-05,0,,40,3962,1,2.58,2,0.77,7.0,58.77,Mexico,['Mexico'],,170,62,False,4.97,3.09,64.71,2.18,63.54,0.0,0.0,0.73,2.98,4.6,0.32,1,0.02,0,0.0,0.43,0.02,1,0.02,0.06,0,0.0,16,0.36,31.25,6.25,0.05,0.25,36.36,0.25,36.36,0.0,0.0,0.0,0.30000000000000004,76.92,1.0,40.91,0.64,1.45,0.11,30.19,0.36,0.14,40.64,85.8,16.56,71.88,1.8900000000000001,97.59,34.69,93.91,5.7,38.65,21.63,36.8,0.02,0.14,0.02,0.02,0.0,0.0,0.05,5.86,59.69,0.8,31.43,0.34,26.67,0.23,0.07,6.5600000000000005,75.09,95.86,18.65,0,,0,,0,0.0,0.0,0.0,,,1.2,,2.18,0.02,0.0,0.0,0.0,0,0.0
L. Fernandez,Liliana Fernandez,-238873,Toluca,Toluca,https://cdn5.wyscout.com/photos/team/public/g-8731_120x120.png,Liga MX Femenil,"RCB, LCB3, CB",RCB,63,LCB3,11,CB,11,25.0,2001-04-10,0,,40,3873,1,1.26,2,1.22,8.48,58.36,United States,['United States'],,170,0,False,8.06,4.37,67.02,1.67,48.61,0.4,0.54,0.58,4.74,6.45,0.33,2,0.05,0,0.0,0.46,0.02,1,0.02,0.03,0,0.0,11,0.26,27.27,9.091,0.05,0.26,36.36,0.09,25.0,0.16,42.86,0.02,0.4,76.47,1.37,45.76,0.42,0.88,0.09,24.1,0.35000000000000003,0.28,37.71,81.08,17.75,70.16,2.32,94.0,31.44,88.84,6.02,42.47,21.5,37.06,0.03,0.28,0.0,0.02,0.0,0.0,0.14,5.07,56.42,0.72,32.26,0.42,27.78,0.26,0.09,8.32,69.27,93.2,14.69,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,1.67,0.49,0.0,0.0,0.16,0,0.0
A. Godínez,Alejandría Godínez Herrera,-86246,Cruz Azul,Cruz Azul,https://cdn5.wyscout.com/photos/team/public/g-8723_120x120.png,Liga MX Femenil,GK,GK,100,,0,,0,32.0,1994-02-24,0,,38,3841,0,0.0,0,0.0,0.75,75.0,Mexico,['Mexico'],,170,68,False,1.99,0.05,0.0,0.56,91.67,0.0,0.0,0.0,1.99,2.75,0.02,5,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.09,25.0,0.0,0.0,0.0,17.32,0.28,0.05,28.89,81.18,16.71,71.95,0.02,100.0,17.95,94.78,10.9,59.14,29.93,41.24,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.87,45.0,0.07,0.0,0.14,0.0,0.0,0.0,8.08,62.32,94.58,11.25,56,1.31,224,5.25,9,75.0,59.04,1.38,3.04,0.07100000000000001,0.0,2.27,0.56,,,,0.0,0,0.0
Kimberly Rodriguez,Kimberly Vanessa Rodriguez Cubero,333707,América,América,https://cdn5.wyscout.com/photos/team/public/g-8739_120x120.png,Liga MX Femenil,"LCB, LCB3",LCB,73,LCB3,19,,0,27.0,1999-03-26,0,,42,3816,6,4.05,1,1.29,11.08,62.55,Mexico,"['Mexico', 'United States']",,0,0,False,8.21,5.8,69.51,2.9699999999999998,65.87,0.54,0.99,0.42,3.63,6.6,0.97,2,0.05,0,0.0,0.54,0.14,6,0.14,0.1,4,0.09,37,0.87,18.92,16.216,0.02,0.5,42.86,0.45,42.11,0.05,50.0,0.02,0.24,60.0,1.06,40.0,1.32,1.13,0.0,44.72,0.5,0.26,62.45,86.9,32.36,80.47,3.37,94.41,54.93,91.16,7.03,56.71,20.15,35.78,0.03,0.31,0.0,0.02,0.05,50.0,0.09,9.79,75.18,1.16,40.82,0.59,24.0,0.45,0.21,13.96,81.76,95.24,20.31,0,,0,,0,0.0,0.0,0.0,,,2.05,,2.9699999999999998,0.0,0.0,0.0,0.0,0,0.0
E. Barreras,Esthefanny Barreras Torres,268148,Pachuca,Pachuca,https://cdn5.wyscout.com/photos/team/public/g-8724_120x120.png,Liga MX Femenil,GK,GK,100,,0,,0,29.0,1996-11-02,0,,38,3752,0,0.0,0,0.0,0.89,72.97,United States,"['United States', 'Mexico']",,178,0,False,2.83,0.22,55.56,0.43,88.89,0.02,0.04,0.0,2.69,4.0,0.0,3,0.07,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.12,60.0,0.0,0.0,0.0,23.53,0.19,0.12,34.97,84.71,21.16,76.64,0.0,0.0,25.16,97.62,9.79,51.72,27.92,44.66,0.0,0.0,0.02,0.07,0.0,0.0,0.0,2.23,30.11,0.26,36.36,0.31,30.77,0.12,0.0,6.86,56.99,97.28,12.35,46,1.1,165,3.96,13,72.12,43.99,1.06,-2.01,-0.048,0.0,1.27,0.43,,,,0.0,0,0.0
Irene Guerrero,Irene  Guerrero Sanmartín,503063,América,América,https://cdn5.wyscout.com/photos/team/public/g-8739_120x120.png,Liga MX Femenil,"LCMF, LCMF3",LCMF,40,LCMF3,36,,0,29.0,1996-12-12,0,,41,3746,24,20.9,10,12.03,15.06,49.76,Spain,['Spain'],,168,54,False,5.86,4.3,68.16,0.7000000000000001,44.83,0.02,0.04,0.14,2.91,5.38,0.74,7,0.17,0,0.0,3.92,0.58,16,0.38,0.5,0,0.0,145,3.48,41.38,16.552,0.24,1.9,36.71,1.2,36.0,0.7000000000000001,37.93,0.17,2.55,62.26,8.53,41.41,3.12,2.02,0.46,40.03,0.91,1.18,51.87,78.88,18.04,66.58,9.92,94.92,47.14,83.33,2.88,34.17,15.84,33.83,0.29,2.26,0.1,0.1,0.53,36.36,0.62,7.83,70.25,4.08,42.35,0.84,34.29,1.6600000000000001,0.6000000000000001,7.38,82.74,83.24,12.76,0,,0,,0,0.0,0.0,0.0,,,0.31,,0.7000000000000001,1.78,0.31,30.77,4.01,8,100.0
D. Ordonez,Diana Ordonez,521409,Tigres UANL,Tigres UANL,https://cdn5.wyscout.com/photos/team/public/g-8735_120x120.png,Liga MX Femenil,CF,CF,98,,0,,0,24.0,2001-09-26,0,,41,3736,36,31.66,4,6.97,17.18,35.62,United States,"['United States', 'Mexico']",right,180,0,False,3.73,3.2,60.9,3.08,35.16,0.12,0.19,0.1,1.6600000000000001,2.58,1.23,6,0.14,0,0.0,2.91,0.87,33,0.79,0.76,10,0.24,148,3.5700000000000003,47.3,24.324,0.1,0.67,42.86,0.1,25.0,0.48,50.0,0.1,2.24,41.94,9.11,28.57,5.8100000000000005,1.25,0.14,14.6,2.19,1.16,17.75,77.48,2.7199999999999998,59.29,5.28,89.95,16.55,79.62,0.58,54.17,15.71,16.34,0.17,1.11,0.02,0.02,0.02,0.0,0.53,1.3,59.26,1.08,48.89,0.12,20.0,1.08,0.31,1.35,60.71,80.6,5.59,0,,0,,0,0.0,0.0,0.0,,,0.02,,3.08,0.0,0.0,0.0,0.0,3,100.0
E. Alvarado,Emily Sofia Alvarado Natividad,333701,FC Juárez,FC Juárez,https://cdn5.wyscout.com/photos/team/public/g-10491_120x120.png,Liga MX Femenil,GK,GK,100,,0,,0,27.0,1998-06-09,0,,36,3646,0,0.0,0,0.0,0.37,86.67,United States,"['United States', 'Mexico']",right,180,0,False,1.51,0.02,0.0,0.35000000000000003,92.86,0.0,0.0,0.0,1.51,2.11,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84,0.07,0.07,15.4,85.26,7.08,72.82,0.0,0.0,11.06,96.65,4.32,56.57,28.2,41.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,36.67,0.05,0.0,0.02,0.0,0.0,0.0,2.79,56.64,96.68,7.43,38,0.9400000000000001,153,3.7800000000000002,15,75.16,37.67,0.93,-0.33,-0.008,0.0,1.43,0.35000000000000003,,,,0.0,0,0.0
Y. Franco,Yamile Azenek Franco Tirado,-86953,Guadalajara,Guadalajara,https://cdn5.wyscout.com/photos/team/public/g-8733_120x120.png,Liga MX Femenil,"LDMF, RDMF, LCMF",LDMF,28,RDMF,28,LCMF,19,33.0,1992-07-07,0,,39,3550,0,1.31,3,3.3,12.07,52.31,Mexico,['Mexico'],,163,55,False,7.35,5.83,65.22,1.47,44.83,0.05,0.07,0.15,3.5,4.85,0.89,5,0.13,0,0.0,1.09,0.0,0,0.0,0.03,0,0.0,24,0.61,25.0,0.0,0.08,0.89,37.14,0.43,47.06,0.46,27.78,0.1,0.84,60.61,3.32,36.64,0.53,0.91,0.03,26.54,0.51,0.56,41.7,77.75,16.86,65.26,5.43,92.99,34.86,83.71,5.96,48.94,18.76,32.38,0.08,0.76,0.08,0.03,0.13,80.0,0.28,8.8,65.13,2.46,40.21,0.9400000000000001,43.24,0.89,0.33,8.37,74.55,86.11,13.69,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.47,0.58,0.03,100.0,1.27,0,0.0
A. Santiago,Aurora Cecilia Santiago Cisneros,110488,Tigres UANL,Tigres UANL,https://cdn5.wyscout.com/photos/team/public/g-8735_120x120.png,Liga MX Femenil,GK,GK,100,,0,,0,31.0,1994-10-19,0,,35,3541,0,0.0,0,0.0,0.71,89.29,Mexico,['Mexico'],,175,76,False,1.52,0.05,50.0,0.56,95.45,0.0,0.0,0.0,1.5,2.33,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,7.29,0.1,0.13,17.49,87.94,8.92,77.21,0.0,0.0,12.5,97.15,4.98,64.8,26.85,41.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,60.58,99.0,7.65,30,0.76,161,4.09,16,81.37,34.91,0.89,4.91,0.125,0.0,1.78,0.56,,,,0.0,0,0.0
