Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Anton,Francisco  Anton,-461924,,Charleston Golden Eagles,,,"RCB, LCB",RCB,61,LCB,37,,0,,,0,,15,1341,1,1.26,0,0.02,12.75,62.63,Spain,['Spain'],unknown,183,0,False,6.24,4.5,67.16,4.36,63.08,0.2,0.41000000000000003,0.2,3.02,6.11,1.28,1,0.07,0,0.0,0.67,0.07,1,0.07,0.08,0,0.0,10,0.67,30.0,10.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.54,87.5,1.6800000000000002,52.0,0.54,2.2800000000000002,0.27,45.17,1.21,0.6000000000000001,60.34,89.54,25.3,79.31,3.36,98.0,53.42,94.97,6.78,48.51,23.36,40.28,0.0,0.13,0.0,0.0,0.0,0.0,0.0,11.21,70.06,0.54,25.0,0.4,66.67,0.2,0.0,11.88,86.44,97.44,28.79,0,,0,,0,0.0,0.0,0.0,,,2.48,,4.36,0.0,0.0,0.0,0.0,0,0
M. Torrado,Marc Torrado Aranda,-225985,,Charleston Golden Eagles,,,GK,GK,100,,0,,0,26.0,2000-05-12,0,,13,1291,0,0.0,0,0.0,0.63,77.78,Spain,['Spain'],unknown,183,0,False,1.25,0.14,0.0,0.21,100.0,0.0,0.0,0.0,1.25,2.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,100.0,0.0,0.0,0.0,20.91,0.35000000000000003,0.35000000000000003,28.51,87.29,13.45,77.2,0.0,0.0,18.96,98.53,9.55,64.96,29.49,43.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,72.73,0.07,100.0,0.0,0.0,0.07,0.0,6.34,65.93,96.04,14.08,2,0.14,22,1.53,10,90.91,6.68,0.47000000000000003,4.68,0.326,0.0,1.32,0.21,,,,0.0,0,0
L. Redding,Lewis Redding,-281448,,Charleston Golden Eagles,,,"DMF, RCMF3, RCMF",DMF,43,RCMF3,39,RCMF,13,,,0,,15,1094,0,1.28,0,2.41,20.24,51.22,England,['England'],unknown,180,77,False,7.73,6.75,67.07,2.55,45.16,0.08,0.15,0.0,3.13,5.82,0.9,1,0.08,0,0.0,2.63,0.0,0,0.0,0.1,0,0.0,16,1.32,43.75,0.0,0.0,1.23,46.67,0.25,66.67,0.99,41.67,0.16,2.22,62.96,7.65,40.86,1.97,0.9,0.41000000000000003,22.79,0.58,0.8200000000000001,37.43,83.08,14.15,75.0,4.36,98.11,34.47,85.68,1.73,57.14,16.86,25.9,0.2,1.23,0.0,0.08,0.33,25.0,0.16,6.66,74.07,1.48,55.56,0.58,28.57,0.74,0.58,5.68,88.41,86.36,12.67,0,,0,,0,0.0,0.0,0.0,,,0.33,,2.55,0.25,0.08,0.0,0.25,0,0
J. Monaco,Jose Suarez Monaco,-492825,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,"LCMF3, LCMF, RCMF3",LCMF3,49,LCMF,19,RCMF3,15,,,0,,15,1044,6,6.15,1,1.51,23.1,52.99,Argentina,['Argentina'],unknown,170,0,False,7.59,7.24,72.62,2.41,50.0,0.26,0.45,0.09,2.07,3.62,0.6900000000000001,2,0.17,0,0.0,4.22,0.52,6,0.52,0.53,1,0.09,39,3.36,46.15,15.385,0.09,0.9500000000000001,36.36,0.34,50.0,0.6000000000000001,28.57,0.09,4.4,45.1,10.17,39.83,4.83,1.81,0.52,32.07,1.29,1.72,43.79,82.48,10.86,71.43,8.71,91.09,41.98,83.78,0.86,70.0,14.98,13.53,0.13,1.9,0.0,0.0,0.78,44.44,0.6900000000000001,4.74,81.82,2.41,57.14,0.52,50.0,1.9,0.26,5.09,88.14,84.43,14.4,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.41,0.34,0.09,0.0,0.43,0,0
J. Hermoso,Juan Hermoso Vanek,-130670,Palm Beach Atlantic Sailfish,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g32947_120x120.png,NCAA D2 Sunshine State Conference,"LCB, RCB",LCB,86,RCB,11,,0,25.0,2000-12-20,0,,14,1011,5,2.59,0,0.16,17.36,68.72,Argentina,['Argentina'],,183,82,False,6.5,4.99,76.79,6.94,71.79,0.09,0.2,0.27,2.58,5.8,1.34,1,0.09,1,0.09,1.16,0.45,5,0.45,0.23,4,0.36,11,0.98,54.55,45.455,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.62,100.0,1.96,54.55,1.34,1.07,0.27,47.27,0.62,0.62,67.66,89.34,25.01,79.72,4.18,91.49,60.36,92.92,7.21,60.49,23.8,37.58,0.01,0.09,0.0,0.0,0.0,0.0,0.09,10.86,74.59,0.62,42.86,0.53,33.33,0.27,0.0,12.11,79.41,97.2,34.99,0,,0,,0,0.0,0.0,0.0,,,3.74,,6.94,0.0,0.0,0.0,0.0,0,0
S. Dowling,Stafford Dowling,471877,,Charleston Golden Eagles,,,"CF, LWF, RW",CF,52,LWF,15,RW,10,27.0,1999-01-01,0,,15,962,5,4.64,3,2.04,27.6,44.41,New Zealand,['New Zealand'],,175,0,False,5.15,4.58,65.31,4.4,31.91,0.19,0.30000000000000004,0.09,1.96,3.15,1.31,1,0.09,0,0.0,6.92,0.47000000000000003,5,0.47000000000000003,0.43,0,0.0,35,3.27,51.43,14.286,0.28,2.71,37.93,1.12,41.67,1.5899999999999999,35.29,0.37,7.77,53.01,15.72,42.86,5.24,2.43,0.65,18.06,2.34,1.6800000000000002,24.14,73.26,5.15,61.82,6.92,87.84,20.86,78.48,0.56,50.0,15.85,7.96,0.19,1.31,0.19,0.09,0.28,33.33,0.84,1.6800000000000002,50.0,2.71,41.38,0.19,50.0,1.4,0.84,2.99,62.5,63.89,6.74,0,,0,,0,0.0,0.0,0.0,,,0.19,,4.4,0.09,0.09,0.0,0.09,0,0
K. Raghoebar,Ken Raghoebar,-492799,,Charleston Golden Eagles,,,"RB, LWF",RB,70,LWF,11,,0,,,0,,14,931,4,1.9500000000000002,4,2.73,20.2,53.59,Netherlands,['Netherlands'],unknown,0,0,False,8.41,7.73,72.5,3.19,36.36,0.19,0.33,0.1,2.61,4.48,0.77,2,0.19,0,0.0,3.77,0.39,4,0.39,0.19,0,0.0,9,0.87,55.56,44.444,0.39,2.22,56.52,0.1,100.0,2.13,54.55,0.39,2.9,66.67,6.86,46.48,2.03,1.55,0.39,25.04,1.55,0.97,36.35,82.45,12.95,75.37,8.31,90.7,31.22,88.54,3.09,40.63,18.73,23.73,0.26,1.45,0.1,0.0,0.1,100.0,1.06,4.45,73.91,1.8399999999999999,78.95,0.29,33.33,0.87,1.06,6.67,71.01,87.5,10.05,0,,0,,0,0.0,0.0,0.0,,,1.26,,3.19,0.0,0.0,0.0,0.0,0,0
J. Belmudes,Joao Belmudes,-281347,USF Bulls,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g27518_120x120.png,NCAA D1 Non-conference matches,"RWF, RW",RWF,59,RW,22,,0,,,0,,14,931,7,6.05,1,1.5899999999999999,29.87,52.1,Brazil,['Brazil'],unknown,175,70,False,5.7,4.83,68.0,2.51,34.62,0.1,0.16,0.1,2.32,3.83,0.48,0,0.0,0,0.0,9.47,0.68,3,0.29,0.58,0,0.0,35,3.38,42.86,20.0,0.1,3.0,22.58,0.48,0.0,2.51,26.92,0.68,10.63,64.55,20.01,52.66,3.0,3.67,0.58,24.55,1.9300000000000002,1.8399999999999999,38.47,73.87,12.76,73.48,8.02,92.77,33.93,79.2,1.55,56.25,17.0,18.06,0.15,1.74,0.0,0.19,1.55,31.25,0.97,4.16,69.77,5.22,48.15,1.55,50.0,1.9300000000000002,0.68,7.54,88.46,66.97,10.54,0,,0,,0,0.0,0.0,0.0,,,0.1,,2.51,0.39,0.19,0.0,0.29,5,80
F. Tradatti,Franco Tradatti,-352911,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,LB,LB,98,,0,,0,,,0,,15,915,2,0.76,5,3.1,21.64,58.64,Argentina,['Argentina'],unknown,177,0,False,11.8,9.54,72.16,4.52,41.3,0.39,0.65,0.0,4.52,7.46,1.28,1,0.1,0,0.0,2.85,0.2,2,0.2,0.07,0,0.0,12,1.18,50.0,16.667,0.49,2.75,21.43,2.66,22.22,0.0,0.0,0.49,1.87,84.21,5.21,52.83,0.49,1.57,0.1,33.44,0.59,0.6900000000000001,49.97,77.56,22.62,70.43,5.7,98.28,42.1,84.11,5.21,52.83,20.58,37.74,0.30000000000000004,2.07,0.0,0.2,0.30000000000000004,33.33,0.39,8.66,73.86,3.74,34.21,0.79,25.0,0.6900000000000001,0.6900000000000001,12.98,80.3,83.95,15.93,0,,0,,0,0.0,0.0,0.0,,,0.49,,4.52,1.18,0.1,100.0,1.87,0,0
G. Diakos,Giorgos Leon Diakos,-252740,,Charleston Golden Eagles,,,"LWF, LCMF3, LW",LWF,34,LCMF3,23,LW,12,23.0,2002-07-13,0,,15,911,7,5.61,2,4.34,20.05,54.68,Cyprus,"['Cyprus', 'Germany']",right,176,0,False,7.11,6.52,71.21,2.37,33.33,0.0,0.0,0.0,2.47,3.95,0.89,0,0.0,0,0.0,6.32,0.6900000000000001,7,0.6900000000000001,0.55,1,0.1,40,3.95,45.0,17.5,0.2,2.86,55.17,1.78,38.89,0.99,80.0,0.59,3.46,74.29,9.19,47.31,4.45,1.98,0.30000000000000004,29.93,2.37,1.28,39.71,77.36,12.84,71.54,7.41,92.0,35.76,79.83,1.09,54.55,19.26,20.17,0.43,2.77,0.2,0.1,0.99,40.0,0.99,5.04,68.63,4.64,59.57,0.6900000000000001,42.86,1.88,1.38,7.51,88.16,76.99,11.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.37,0.49,0.2,50.0,3.06,0,0
