Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Liit,Sander Alex Liit,-124326,Harju JK,Harju JK,https://cdn5.wyscout.com/photos/team/public/g33677_120x120.png,A.LeCoq Premium Liiga,"CB, RCB",CB,62,RCB,36,,0,23,2003-04-11,0,2026-12-31,14,1367,0,0.28,1,2.01,11.59,63.07,Estonia,['Estonia'],right,184,0,False,7.83,3.88,79.66,4.54,52.17,0.13,0.17,1.45,4.61,5.93,0.2,0,0.0,0,0.0,0.13,0.0,0,0.0,0.02,0,0.0,5,0.33,20.0,0.0,0.07,0.07,100.0,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.59,44.44,1.51,0.2,0.0,21.59,0.4,0.46,33.58,81.37,13.89,67.77,1.98,96.67,28.31,87.67,5.2,46.84,22.08,43.78,0.13,0.33,0.0,0.0,0.0,0.0,0.2,3.42,50.0,0.59,33.33,0.26,25.0,0.46,0.07,6.58,57.0,92.13,14.22,0,,0,,0,0.0,0.0,0.0,,,1.38,,4.54,0.07,0.07,100.0,0.0,0,0
M. Lukka,Marco Lukka,288249,Kuressaare,Kuressaare,https://cdn5.wyscout.com/photos/team/public/3658_120x120.png,A.LeCoq Premium Liiga,LCB,LCB,100,,0,,0,29,1996-12-04,150000,2027-12-31,14,1341,0,0.55,0,0.42,12.55,63.64,Estonia,['Estonia'],right,187,73,False,11.01,6.85,80.39,3.09,43.48,0.07,0.07,1.07,5.44,5.87,0.67,3,0.2,0,0.0,0.4,0.0,0,0.0,0.04,0,0.0,5,0.34,40.0,0.0,0.0,0.67,30.0,0.2,33.33,0.47000000000000003,28.57,0.13,0.07,100.0,1.01,46.67,1.21,0.34,0.07,19.93,0.2,0.4,36.51,79.6,16.98,69.57,2.62,92.31,28.39,88.42,7.45,50.45,23.68,39.83,0.03,0.13,0.0,0.0,0.0,0.0,0.07,5.23,66.67,0.74,45.45,0.07,0.0,0.13,0.2,8.39,63.2,91.92,13.29,0,,0,,0,0.0,0.0,0.0,,,1.54,,3.09,0.0,0.0,0.0,0.0,0,0
D. Andreas,Deivid Andreas,-98235,Kuressaare,Kuressaare,https://cdn5.wyscout.com/photos/team/public/3658_120x120.png,A.LeCoq Premium Liiga,LDMF,LDMF,89,,0,,0,24,2002-06-01,0,,14,1338,0,1.04,1,1.82,15.67,49.79,Estonia,['Estonia'],,0,0,True,9.55,7.8,61.21,1.82,40.74,0.54,0.58,0.34,4.24,4.58,0.87,1,0.07,0,0.0,1.6800000000000002,0.0,0,0.0,0.07,0,0.0,29,1.9500000000000002,24.14,0.0,0.07,1.88,28.57,1.08,43.75,0.74,9.09,0.2,1.01,66.67,4.04,33.33,0.67,1.35,0.27,14.8,0.27,0.27,29.73,67.65,13.18,60.71,3.7,89.09,22.06,76.22,5.78,47.67,20.3,35.25,0.12,1.1400000000000001,0.0,0.0,0.0,0.0,0.07,5.85,66.67,2.62,35.9,0.4,33.33,0.54,0.61,8.21,62.3,70.16,8.34,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.82,2.42,0.2,33.33,4.57,0,0
I. Kartau,Imre Kartau,-387790,Harju JK,Harju JK,https://cdn5.wyscout.com/photos/team/public/g33677_120x120.png,A.LeCoq Premium Liiga,"RCMF, LCMF, DMF",RCMF,35,LCMF,31,DMF,13,20,2006-02-17,0,,14,1323,0,0.06,0,0.30000000000000004,10.27,61.59,Estonia,['Estonia'],,0,0,False,7.41,4.97,71.23,1.16,47.06,0.14,0.17,0.41000000000000003,3.74,4.76,0.68,1,0.07,0,0.0,0.54,0.0,0,0.0,0.0,0,0.0,2,0.14,0.0,0.0,0.0,1.3599999999999999,35.0,0.34,20.0,0.8200000000000001,33.33,0.2,0.2,33.33,2.24,51.52,0.48,0.34,0.07,18.84,0.27,1.5,31.09,72.87,11.22,53.33,5.1,94.67,24.83,82.19,4.97,36.99,20.63,37.56,0.02,0.27,0.0,0.0,0.07,0.0,0.07,5.58,48.78,1.9,25.0,0.68,0.0,0.27,0.41000000000000003,5.65,53.01,77.86,9.52,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.16,0.14,0.0,0.0,0.41000000000000003,0,0
A. Frolov,Andre Frolov,25979,Nõmme United,Nõmme United,https://cdn5.wyscout.com/photos/team/public/g7395_120x120.png,A.LeCoq Premium Liiga,"LCMF, RCMF, DMF",LCMF,58,RCMF,25,DMF,14,38,1988-04-18,50000,2026-12-31,14,1320,4,4.62,2,1.74,14.32,51.9,Estonia,['Estonia'],both,175,76,False,8.39,5.66,57.83,1.23,55.56,0.34,0.45,0.75,4.77,6.25,1.3,3,0.2,0,0.0,1.6400000000000001,0.27,0,0.0,0.31,0,0.0,20,1.3599999999999999,30.0,20.0,0.14,1.98,41.38,0.8200000000000001,66.67,1.16,23.53,0.41000000000000003,0.75,54.55,5.86,44.19,1.8399999999999999,0.89,0.2,28.43,0.55,1.77,43.5,79.94,16.5,68.18,6.34,92.47,36.34,86.49,5.32,48.72,19.15,32.31,0.12,0.9500000000000001,0.14,0.0,0.0,0.0,0.27,8.66,75.59,2.45,47.22,0.34,40.0,0.48,0.8200000000000001,7.43,74.31,86.77,12.89,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.23,1.09,0.0,0.0,2.11,5,80
R. Siht,Rommi Siht,-347417,Nõmme Kalju,Nõmme Kalju,https://cdn5.wyscout.com/photos/team/public/2924_120x120.png,A.LeCoq Premium Liiga,"RCMF3, LCMF3, RW",RCMF3,27,LCMF3,18,RW,11,19,2006-06-30,0,2028-12-31,14,1318,1,2.6,4,2.52,15.09,54.75,Estonia,['Estonia'],unknown,0,0,False,7.17,5.33,69.23,3.2800000000000002,60.42,0.0,0.0,0.14,3.48,4.95,0.8200000000000001,1,0.07,0,0.0,1.98,0.07,1,0.07,0.18,1,0.07,18,1.23,55.56,5.556,0.27,1.98,27.59,0.14,0.0,1.78,30.77,0.41000000000000003,1.5,50.0,4.58,41.79,3.0,0.61,0.0,19.67,1.23,1.02,28.68,79.05,8.81,65.89,6.83,97.0,23.97,86.61,2.8,51.22,18.56,36.0,0.17,1.23,0.07,0.07,0.07,0.0,0.89,4.17,65.57,2.46,61.11,0.27,50.0,1.6400000000000001,0.55,4.58,82.09,81.9,7.92,0,,0,,0,0.0,0.0,0.0,,,0.75,,3.2800000000000002,0.07,0.0,0.0,0.14,0,0
J. Saliste,Joseph Saliste,199570,Levadia,Levadia,https://cdn5.wyscout.com/photos/team/public/900_120x120.png,A.LeCoq Premium Liiga,LB,LB,100,,0,,0,31,1995-04-10,0,2028-12-31,14,1314,0,0.30000000000000004,3,3.04,13.7,56.5,Estonia,['Estonia'],left,174,68,False,6.1,5.41,68.35,1.71,60.0,0.0,0.0,0.07,2.4,3.62,0.8200000000000001,1,0.07,0,0.0,3.42,0.0,0,0.0,0.02,0,0.0,5,0.34,60.0,0.0,0.21,5.34,51.28,5.34,51.28,0.0,0.0,0.34,0.8200000000000001,58.33,4.59,40.3,1.85,1.92,0.48,45.89,1.51,1.16,61.16,85.33,23.7,81.79,10.41,95.39,51.03,91.14,5.07,62.16,19.13,32.44,0.21,1.51,0.14,0.21,0.0,0.0,0.89,9.04,81.82,4.32,57.14,0.41000000000000003,33.33,0.8200000000000001,2.4,12.19,82.02,87.59,19.86,0,,0,,0,0.0,0.0,0.0,,,1.85,,1.71,0.0,0.0,0.0,0.0,0,0
Pedro Andrade,Pedro Andrade Drozina,-344249,Paide,Paide,https://cdn5.wyscout.com/photos/team/public/3627_120x120.png,A.LeCoq Premium Liiga,"LCB, RCB",LCB,78,RCB,21,,0,21,2005-04-20,0,2026-12-31,14,1312,0,0.66,0,0.07,11.32,70.3,Brazil,['Brazil'],unknown,184,70,False,8.37,5.9,75.58,3.02,81.82,0.07,0.1,0.55,3.84,5.68,0.8200000000000001,3,0.21,0,0.0,0.27,0.0,0,0.0,0.05,0,0.0,5,0.34,40.0,0.0,0.0,0.27,25.0,0.14,0.0,0.14,50.0,0.07,0.41000000000000003,16.67,1.3,21.05,0.41000000000000003,0.75,0.07,35.26,0.27,0.34,51.11,88.86,18.32,77.53,2.74,95.0,45.82,92.81,5.01,56.16,20.2,37.18,0.0,0.27,0.0,0.07,0.0,0.0,0.0,5.01,69.86,0.62,22.22,0.21,33.33,0.07,0.07,7.75,71.68,96.03,25.93,0,,0,,0,0.0,0.0,0.0,,,1.78,,3.02,0.14,0.14,0.0,0.0,0,0
H. Välja,Henri Välja,466653,Pärnu JK Vaprus,Pärnu JK Vaprus,https://cdn5.wyscout.com/photos/team/public/g38284_120x120.png,A.LeCoq Premium Liiga,"RCMF, LCMF, RDMF",RCMF,29,LCMF,19,RDMF,17,24,2001-11-04,0,2027-12-31,14,1304,8,5.55,0,1.8900000000000001,12.56,57.14,Estonia,['Estonia'],right,0,0,False,9.94,5.52,68.75,0.97,35.71,0.07,0.08,0.97,6.07,7.1,0.9,3,0.21,0,0.0,2.0,0.55,1,0.07,0.38,0,0.0,16,1.1,56.25,50.0,0.0,1.24,50.0,0.55,50.0,0.62,55.56,0.14,1.24,55.56,4.76,49.28,0.35000000000000003,1.1,0.07,21.33,0.14,1.38,35.41,83.43,13.18,72.77,5.73,96.39,29.61,88.58,4.62,58.21,19.9,37.53,0.13,0.6900000000000001,0.07,0.0,0.28,25.0,0.28,5.87,64.71,2.14,64.52,0.76,36.36,0.76,0.6900000000000001,6.83,70.71,88.75,11.04,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,0.97,0.8300000000000001,0.14,0.0,2.0,7,100
D. Rudenko,Daniil Rudenko,-127838,Harju JK,Harju JK,https://cdn5.wyscout.com/photos/team/public/g33677_120x120.png,A.LeCoq Premium Liiga,"RWB, RW, RAMF",RWB,32,RW,14,RAMF,11,22,2003-08-09,0,2026-12-31,14,1301,1,3.37,5,4.58,21.45,51.61,Ukraine,['Ukraine'],,0,0,False,10.72,7.61,69.09,4.36,44.44,0.07,0.09,0.55,5.4,6.92,0.62,3,0.21,0,0.0,3.74,0.07,1,0.07,0.23,0,0.0,38,2.63,28.95,2.632,0.35000000000000003,3.87,21.43,0.9,38.46,2.84,17.07,0.6900000000000001,4.77,44.93,8.3,43.33,3.87,2.08,0.28,19.92,1.52,1.45,27.26,65.99,9.34,57.78,6.16,85.39,21.17,76.47,2.49,41.67,20.04,40.2,0.32,1.45,0.0,0.07,0.0,0.0,0.42,3.11,57.78,2.35,41.18,0.14,50.0,0.6900000000000001,0.76,5.88,54.12,63.0,6.92,0,,0,,0,0.0,0.0,0.0,,,0.28,,4.36,3.04,0.35000000000000003,20.0,2.7,0,0
